,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-06-30,53.988,60.099,-7.902,52.197,1.793,2.128,3.433,33.949,140.134,-20.976,0,-10.857,0,0,15.187,-16.646,-125.309,-125.309,4.404,4.404,-20.443,-141.348,-17.86,3.003
2018-03-31,45.43700,61.99300,12.68300,74.67600,3.97300,-4.14200,-8.45700,-53.18800,66.92500,-11.76400,,-50.37900,,,-0.32700,-62.47000,-53.07700,-53.07700,0.79100,0.79100,-12.13700,-64.42300,-59.96800,2.92900
2017-12-31,-338.123,63.079,324.928,388.007,-11.534,1.353,19.444,72.575,122.459,98.212,0,-129.3,-0.25,-0.25,2.19,-29.148,-44.98,-44.98,3.166,3.166,-37.694,-79.508,13.803,1.973
2017-09-30,789.34,68.541,-740.476,-671.935,-5.044,2.176,35.724,24.018,141.423,-155.029,0,126.653,-0.25,-0.25,2.385,-26.241,-22.3671,-22.3671,-15.493,-15.493,-36.814,-74.674,40.508,1.853
2017-06-30,17.079,70.569,15.061,85.63,0.845,-1.459,0.84,26.377,129.086,-25.636,0,-124.212,0,0,6.948,-142.9,-87.5109,-87.5109,3.109,3.109,63.127,-21.275,-35.089,1.801
2017-03-31,5.10400,71.91100,23.38700,95.29800,6.53300,-2.47000,-14.60800,-15.57000,84.83200,-16.84700,,-2.44100,,,-4.02300,-23.31100,0.95800,0.95800,-5.18200,-5.18200,-27.31900,-31.54300,29.97800,2.17300
2016-12-31,5.032,72.786,12.356,85.142,-11.216,0.992,0,-2.245,87.929,27.349,0,-86.859,0,0,257.534,198.024,-256.983,-256.983,9.452,9.452,-14.439,-261.97,23.983,2.317
2016-09-30,46.535,69.725,7.37,77.095,7.105,-2.467,0.902,2.363,125.993,-67.907,0,0,0,0,-65.643,-133.55,5.059,5.059,10.659,10.659,-27.753,-12.035,-19.592,1.517
2016-06-30,34.035,68.007,13.745,81.752,0.003,-4.074,-1.465,6.229,122.016,-22.264,0,0.148,0,0,-50.439,-72.555,-28.421,-28.421,2.867,2.867,-16.785,-42.339,7.122,1.582
2016-03-31,23.70800,67.89600,-3.71600,64.18000,-1.80300,-1.95100,-15.60500,-15.86600,72.02200,-19.27800,,-0.14800,,,-51.78100,-71.20700,-18.08900,-18.08900,1.74200,1.74200,-7.23900,-23.58600,-22.77100,1.45500
2015-12-31,-9.066,69.545,42.049,111.594,-4.305,-2.65,-1.228,5.135,107.663,-32.033,0,0.057,0.244,0.244,-65.43,-97.162,22.476,22.476,1.33,1.33,-20.787,3.019,13.52,1.777
2015-09-30,4.9,67.863,36.306,104.169,8.477,-1.87,-0.782,-2.616,106.453,-46.284,0,-450.17,-2.471,-2.471,-21.776,-520.701,414.871,414.871,2.551,2.551,-12.803,404.619,-9.629,2.025
2015-06-30,2.983,63.778,11.645,75.423,-4.189,3.746,14.614,43.25,121.656,-71.719,0,0,0,0,-26.111,-97.83,-16.887,-16.887,1.89,1.89,-13.44,-28.437,-4.611,2.337
2015-03-31,1.86900,64.87400,29.00800,93.88200,0.72700,2.88700,-6.42300,-17.71500,78.03600,-48.64300,,,-0.32800,-0.32800,-16.34100,-65.31200,23.11400,23.11400,3.62800,3.62800,-10.41000,16.33200,29.05600,2.08400
2014-12-31,-149.781,66.859,166.15,233.009,0.577,-1.991,-30.364,-57.588,25.64,-66.385,0,0,-0.285,-0.285,-16.594,-83.264,31.162,31.162,3.576,3.576,0.852,35.59,-22.034,2.654
2014-09-30,-15.348,63.531,0.05,63.581,26.452,-20.096,8.889,44.622,92.855,-79.957,0,-30.493,0,0,-11.643,-122.093,23.098,33.063,0.189,0.189,-24.606,8.646,-20.592,2.916
2014-06-30,-19.273,71.389,19.263,90.652,-16.384,21.929,8.654,28.913,100.292,-43.226,0,-62.599,-1,-1,-10.283,-117.108,-6.641,-16.606,0.453,0.453,-3.427,-19.58,-36.396,5.096
2014-03-31,0.58000,71.69200,7.04000,78.73200,-0.59900,2.18600,-2.46900,-35.87600,43.43600,-36.91200,,-25.58600,,,9.42700,-53.07100,-7.22500,-7.22500,5.58100,5.58100,5.97900,4.33500,-5.30000,0.00000
2013-12-31,-675.66,84.329,630.966,715.295,-4.409,0.497,14.672,-13.826,25.809,-38.072,0,0.517,0.016,0.016,-23.602,-61.141,926.028,926.028,-9.15,-636.393,-229.179,60.456,25.124,4.739
2013-09-30,41.317,82.118,-13.359,68.759,10.141,0.6,-10.184,26.452,136.528,-42.002,0,-0.538,0,0,4.996,-37.544,-75.648,-75.648,27.88,27.88,-18.48,-66.248,32.736,6.369
2013-06-30,-12.18,82.766,91.326,174.092,3.109,-7.194,-10.442,-4.27,157.642,-53.613,0,1.073,6.679,6.679,0,-45.861,-138.654,-138.654,17.344,17.344,-3.038,-124.348,-12.567,5.45
2013-03-31,65.27100,79.22000,25.79700,105.01700,-3.80700,3.92200,-17.86400,-36.50000,133.78800,-60.18600,,-1.12500,-0.50000,-0.50000,26.00000,-35.81100,-116.99500,-116.99500,15.46100,-6.81400,13.06700,-110.74200,-12.76500,6.25100
2012-12-31,18.765,76.964,49.863,126.827,5.641,3.603,-6.891,23.837,169.429,-105.854,0,-604.434,3.6,3.6,8.825,-697.863,544.784,544.784,22.241,22.241,4.444,571.469,43.035,6.414
2012-09-30,46.446,64.013,33.901,97.914,-3.249,0.378,1.182,-37.486,106.874,-110.433,0,-55.016,0,0,0.3,-165.149,74.407,74.407,1.158,1.158,-3.984,71.581,13.306,6.888
2012-06-30,66.667,58.432,-10.503,47.929,-0.391,-2.844,4.035,-6.334,108.262,-132.999,0,-50,0,0,-10.15,-193.149,71.351,71.351,3.894,3.894,-3.683,71.562,-13.325,7.396
2012-03-31,78.61900,54.98600,3.64300,58.62900,-0.11400,0.19700,7.66800,-14.62400,122.62400,-118.37600,,,-39.60000,-39.60000,25.65000,-132.32600,-12.72400,-12.72400,4.64000,4.64000,-3.20300,-11.28700,-20.98900,7.91100
2011-12-31,44.031,53.53,10.665,64.195,-12.586,-3.202,-8.532,21.067,129.293,-88.249,0,-0.711,-26.2,-26.2,-0.925,-116.085,74.923,74.923,-54.31,-54.31,-3.202,17.411,30.619,5.874
2011-09-30,70.803,53.97,8.825,62.795,8.953,2.461,-42.8,13.497,147.095,-85.226,0,-3,6.527,6.527,3.762,-77.937,-155.837,-155.837,-24.466,-24.466,-3.019,-183.322,-114.164,6.107
2011-06-30,75.989,57.319,21.773,79.092,-5.382,0.014,14.757,33.606,188.687,-52.274,0,27.597,-70.525,-70.525,30,-65.202,-38.381,-38.381,4.374,4.374,-1.971,-35.978,87.507,6.124
2011-03-31,51.52800,56.25800,11.86200,68.12000,2.95100,1.12400,31.14700,-17.35800,102.29000,-54.36600,,-15.01200,-10.20000,-10.20000,,-79.57800,-36.04400,-36.04400,3.32100,3.32100,-1.89600,-34.61900,-11.90700,6.22500
2010-12-31,-153.132,57.773,230.138,287.911,-0.891,-2.129,-38.739,-11.307,123.472,-77.469,0,0,-13.366,-13.366,-230.46,-321.295,69.989,69.989,25.77,25.77,-6.993,88.766,-109.057,6.197
2010-09-30,48.345,56.868,8.392,65.26,1.876,0.683,30.404,32.752,146.357,-74.184,0,-36.745,-36.716,-36.716,7.352,-140.293,-1.56,4.378,-24.799,-24.799,-28.405,-48.826,-42.762,6.704
2010-06-30,6.972,55.838,40.294,96.132,-8.977,0.447,14.689,26.509,129.613,-90.393,0,-10.421,-13.55,-13.55,-43.777,-158.141,-207.184,-213.122,-7.816,-7.816,5.163,-215.775,-244.303,6.669
2010-03-31,36.15500,54.48900,4.00800,58.49700,6.65400,1.47600,42.89100,-0.91600,93.73600,-119.28200,,-8.72900,,,10.98200,-117.02900,-31.98900,-31.98900,0.74600,-10.45400,-4.87500,-47.31800,-70.61100,6.38400
2009-12-31,-357.905,56.404,390.621,447.025,2.24,-2.644,-29.811,-27.71,61.41,-61.468,0,-9,-0.395,-0.395,3.557,-67.306,-47.5829,-47.5829,16.586,16.586,-14.398,-45.395,-51.291,6.456
2009-09-30,21.351,52.903,-5.766,47.137,-4.924,0.049,16.579,43.034,111.522,-95.222,0,0,-12.501,-12.501,-24,-131.723,-19.8601,-11.7671,0.826,0.826,0.434,-10.507,-30.708,6.632
2009-06-30,28.48,49.331,13.03,62.361,-17.235,0.712,-14.019,-29.64,61.201,-67.87,0,0,50.603,50.603,16,-1.267,-4.857,-12.95,2.697,2.697,7.2,-3.053,56.881,6.787
2009-03-31,40.66100,46.53100,14.41300,60.94400,3.82800,-3.40900,17.35400,2.50800,104.11300,-62.36300,,,,,,-62.36300,-44.82500,-44.82500,0.77600,0.77600,-5.74300,-49.79200,-8.04200,8.48500
