,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-06-30,-9.98,174.284,40.185,214.469,-4.359,0,17.489,221.978,-882.561,0,0,-17.709,-17.709,-28.43,-928.7,250,252.103,502.103,403.791,403.791,-177.264,-12.493,716.137,9.4,0,-177.264
2019-03-31,64.99000,138.76100,-1.42200,137.33900,-11.11400,,-43.74700,158.58200,-120.27400,,,-17.11200,-17.11200,-22.89100,-160.27700,,192.56300,192.56300,-1.34100,-1.34100,-177.28600,-5.41500,8.52100,6.80600,,-177.28600
2018-12-31,834.383,137.076,-774.844,-637.768,10.351,0,19.176,215.791,1085.83,0,0,-177.938,-177.938,103.853,1011.745,704.282,-1935.439,-1231.157,212.88,212.88,-174.347,-3.753,-1196.377,31.105,0,-174.347
2018-09-30,102.926,138.148,-49.164,88.984,3.779,0,1.334,193.244,-37.382,0,0,383.882,383.882,-20.734,325.766,-1154.426,545.496,-608.93,0.689,0.689,-174.127,249.949,-532.419,-13.188,0,-174.127
2018-06-30,92.928,150.945,-31.931,119.014,9.638,0,31.568,243.51,171.683,0,0,315.086,315.086,-5.729,481.04,451.316,-993.164,-541.848,0.025,0.025,-174.29,-4.389,-720.502,3.961,0,-174.29
2018-03-31,43.23700,152.50500,6.18900,158.69400,-18.08200,,-5.76700,196.16400,-105.37700,,,116.75200,116.75200,-0.64700,10.72800,-1.17200,70.00000,68.82800,0.63000,0.63000,-174.14900,-66.54700,-171.23800,35.76500,,-174.14900
2017-12-31,-57.924,143.654,116.847,260.5011,-22.561,0,6.568,209.145,-472.574,0,0,-578.699,-578.699,556.832,-494.441,-1.5,410,408.5,9.677,9.677,-174.176,-37.499,206.502,-78.819,0,-174.176
2017-09-30,-5.72,137.8,83.807,221.607,6.556,0,-9.58,206.307,-198.84,0,0,-27.363,-27.363,-9.906,-236.109,-500.82,465,-35.82,4.133,4.133,-173.661,-57.448,-262.796,-292.424,0,-173.661
2017-06-30,22.101,137.922,57.542,195.464,-9.913,0,20.895,238.46,-79.583,0,0,511.424,511.424,-188.797,243.044,-313.304,-368.563,-681.867,9.586,9.586,-173.489,-7.428,-853.198,-371.474,0,-173.489
2017-03-31,464.17700,144.17700,-377.37700,-233.20000,1.13600,,-37.84800,193.12900,1131.09000,,,432.30900,432.30900,170.36400,1733.76300,-647.42700,-412.84400,-1060.27100,-0.06000,-0.06000,-173.62900,-5.00900,-1238.96900,687.93000,,-173.62900
2016-12-31,61.3,155.409,2.314,157.723,-14.55,9.674,-3.524,215.499,109.52,0,0,-13.05,-13.05,-211.284,-114.814,-1167.234,-454.48,-1621.7139,8.448,8.448,-173.299,1629.628,-156.937,-56.517,0,-173.299
2016-09-30,154.039,157.713,-1.046,156.667,10.429,-6.782,21.014,331.72,-148.007,0,0,-15.316,-15.316,2.782,-160.541,-403.153,514.999,111.8459,8.467,8.467,-269.182,-5.711,-154.58,16.441,0,-269.182
2016-06-30,304.842,150.827,-121.057,29.77,-6.576,3.955,63.683,398.295,-8.876,0,0,-20.132,-20.132,41.147,12.139,-209.469,85.001,-124.468,11.556,11.556,-268.875,-6.559,-388.346,25.363,0,-268.875
2016-03-31,119.74500,151.94700,43.06600,195.01300,3.70500,-6.84700,-46.14100,268.61700,-193.36700,,,-24.76400,-24.76400,52.37400,-165.75700,-536.91800,422.89700,-114.02100,30.49400,30.49400,-268.18600,-2.68900,-354.40200,-255.41300,,-268.18600
2015-12-31,-594.617,152.467,785.521,937.988,-18.388,1.186,11.114,354.485,550.0679,-768.413,-0.782,-43.702,-44.484,288.049,25.22,307.705,-310.715,-3.01,36.242,36.242,-263.06,88.035,-141.793,231.584,0,-263.06
2015-09-30,117.954,144.928,61.54,206.468,-4.17,7.287,-50.748,273.674,-10.378,0,0.782,-21.707,-20.925,-9.214,-40.517,252.245,-288.62,-36.375,76.063,76.063,-261.68,-5.17,-227.162,4.728,0,-261.68
2015-06-30,167.748,134.678,-10.162,124.516,-2.65,-2.634,71.654,363.918,-1227.632,0,0,-20.023,-20.023,-69.127,-1316.782,529.466,642.063,1171.529,29.099,29.099,-261.212,-8.096,931.32,-21.4,0,-261.212
2015-03-31,-237.50300,125.06100,427.30900,552.37000,-3.81400,-5.83900,-84.79900,230.06800,-133.17800,,,-37.79700,-37.79700,-157.31100,-328.28600,721.77000,-455.50600,266.26400,56.32900,56.32900,-260.68600,-10.18500,51.72200,-46.64000,,-260.68600
2014-12-31,199.63,126.725,-3.963,122.762,-1.652,8.058,43.207,365.599,-28.485,0,0,-26.11,-26.11,-500.059,-554.654,-249.8761,775.19,525.314,22.429,22.429,-250.724,-9.397,287.622,98.385,0,-250.724
2014-09-30,251.059,132.808,-76.532,56.276,-1.968,-8.209,-32.018,275.317,-228.075,-370.186,0,-19.557,-19.557,45.791,-572.027,807.38,-240,567.38,16.145,16.145,-250.471,-6.881,326.173,29.461,0,-250.471
2014-06-30,222.279,123.583,-45.227,78.356,-4.18,2.806,59.889,360.524,-318.163,0,0,-14.712,-14.712,-5.772,-338.647,-94.104,310,215.896,20.655,20.655,-250.166,-3.933,-17.548,4.332,0,-250.166
2014-03-31,263.62300,117.07500,-75.66100,41.41400,-1.04500,-8.94200,-57.85600,247.18100,-2.70300,,,-11.63300,-11.63300,-32.21500,-46.55100,-212.73900,,-212.73900,24.66000,24.66000,-250.19800,-13.17300,-451.45000,-250.81800,,-250.19800
2013-12-31,297.639,117.932,-178.31,-60.378,0.267,-14.351,2.75,305.307,57.836,0,0,-17.685,-17.685,37.155,77.306,382.886,-283.082,99.804,21.578,21.578,-239.816,-13.343,-131.777,251.142,0,-239.816
2013-09-30,236.858,132.623,-33.423,99.2,5.927,-31.087,-44.223,272.078,-32.456,0,0.373,-13.736,-13.363,192.8,146.981,-237.827,18.033,-219.794,30.644,30.644,-239.416,5.216,-423.35,-3.7,0,-239.416
2013-06-30,216.725,115.781,10.116,125.897,-1.505,-4.153,60.169,357.252,-60.156,0,-16.706,-10.643,-27.349,-276.07,-363.575,-28.245,251.049,222.804,29.607,29.607,-238.986,-1.598,11.827,5.567,0,-238.986
2013-03-31,233.78400,114.71300,-66.88200,47.83100,1.96700,-8.69900,-67.26500,214.35000,-64.40300,,28.03000,-8.39100,19.63900,-12.59600,-57.36000,-162.13500,14.00000,-148.13500,32.25300,32.25300,-238.46700,-2.76700,-357.11600,-200.12600,,-238.46700
2012-12-31,246.26,110.212,-79.621,30.591,-2.387,3.489,37.066,313.917,269.608,-1701.41,0,-17.759,-17.759,-213.893,-1663.454,754.004,0,754.0041,988.374,988.374,-227.078,-14.566,1500.734,151.197,0,-227.078
2012-09-30,199.043,99.102,-40.179,58.923,-5.79,0.885,-20.564,237.402,-196.639,0,0,-15.183,-15.183,-125.334,-337.156,447.758,-215.015,232.743,21.275,21.275,-215.376,-12.048,26.594,-73.16,0,-215.376
2012-06-30,204.975,97.263,-75.711,21.552,-1.592,-0.311,44.678,297.083,-40.52,0,-214.859,-19.368,-234.227,-7.649,-282.396,-282.481,215.015,-67.466,385.568,90.068,-211.785,-3.293,-192.476,-177.789,0,-211.785
2012-03-31,196.56400,97.48100,-23.50300,73.97800,2.30000,-7.87700,-58.19600,186.46800,-15.10200,,0.00000,-6.21500,-6.21500,-9.82900,-31.14600,439.94300,-454.00000,-14.05700,397.56900,397.56900,-211.06700,-13.84800,158.59700,313.91900,,-211.06700
2011-12-31,70.787,94.527,-117.127,-22.6,-0.616,-1.049,23.08,137.24,104.751,0,0,-20.659,-20.659,-113.554,-29.462,-17.266,79,61.734,24.93,24.93,-201.641,-4.155,-119.132,-11.354,0,-201.641
2011-09-30,175.471,96.175,-12.906,83.269,-5.616,32.641,-80.519,154.106,-22.597,-224.932,-22.449,-10.454,-32.903,-5.939,-286.371,-303.098,375,71.902,21.308,21.308,-201.133,8.843,-99.08,-231.345,0,-201.133
2011-06-30,234.252,97.422,-35.276,62.146,4.406,-12.083,28.448,282.988,-82.579,-3801.114,0,-105.526,-105.526,300.071,-3689.148,-120.547,0,-120.547,33.526,33.526,-200.706,-18.53,-306.257,-3712.417,0,-200.706
2011-03-31,73.98400,110.56400,-46.78100,63.78300,4.41600,8.07300,12.06000,149.82700,-65.45300,-136.06000,,-8.85600,-8.85600,-365.13400,-575.50300,2378.86300,,2378.86300,1248.04900,1248.04900,-184.20900,-65.10600,3377.59700,2951.92100,,-184.20900
2010-12-31,145.526,94.558,-121.82,-27.262,7.235,-7.522,-15.491,149.77,-46.229,0,106.466,-30.971,75.495,-133.23,-103.964,-479.895,-318,-797.895,1908.056,1908.056,-156.357,-15.544,938.26,984.066,-11.306,-156.357
2010-09-30,26.173,78.812,55.651,134.463,-2.469,-0.194,10.25,154.631,-69.158,0,72.507,-54.073,18.434,-114.909,-165.633,-274.903,318,43.097,78.255,78.255,-149.625,-4.35,-32.623,-43.625,3.618,-149.625
2010-06-30,88.595,77.944,-6.966,70.978,0.191,8.838,22.73,166.638,-126.135,0,0,-11.119,-11.119,14.632,-122.622,-78.878,-210,-288.878,442.135,442.135,-142.161,-3.456,7.64,51.656,4.182,-142.161
2010-03-31,84.10100,80.53500,-20.56100,59.97400,4.26500,-7.46300,-19.53900,109.45900,-31.04100,,0.24200,-3.96700,-3.72500,-3.94400,-38.71000,-208.84200,210.00000,1.15800,-1.54600,-1.54600,-142.59200,4.57600,-138.40400,-67.65500,3.50600,-142.59200
2009-12-31,35.484,91.947,31.815,123.762,-6.902,-3.89,-17.973,125.914,-11.293,0,37.457,-20.214,17.243,1.298,7.248,-27.7511,0,-27.7511,6.777,6.777,-140.274,-4.021,-165.269,-32.107,-11.068,-140.274
2009-09-30,-43.22,82.554,1.987,84.541,6.634,3.461,110.548,139.623,-25.925,0,114.865,-7.196,107.669,-161.2,-79.456,-153.3269,-100,-253.3269,424.682,424.682,-132.1,-4.54,34.715,94.882,3.531,-132.1
2009-06-30,101.178,73.421,-34.897,38.524,-0.489,-5.969,-1.171,133.085,27.467,0,4.8,-6.47,-1.67,2.864,28.661,-340.332,-135,-475.332,422.931,422.931,-122.524,-3.713,-178.638,-16.892,3.991,-122.524
2009-03-31,52.70900,80.13900,0.35900,80.49800,5.16500,-0.48300,-10.07400,117.01200,-14.50500,,,-7.92800,-7.92800,4.57400,-17.85900,-38.46300,85.00000,46.53700,-1.47800,-1.47800,-122.17400,-13.22400,-90.33900,8.81400,3.54600,-122.17400
