,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-01-31,364,183,192,375,-98,1476,-1726,319,199,938,-199,0,0,222,222,-9,14,-15,-15,-848,-848,-99,0,-962,0,32,-99
2017-10-31,239,171,20,191,12,-1526,1515,59,81,511,-193,0,0,-114,-114,-1,-308,-12,-12,-347,-347,-102,0,-461,-261,30,-102
2017-07-31,209,168,34,202,68,-508,397,107,38,449,-143,0,0,-144,-144,2,-285,-9,-9,-348,-348,-103,-1,-461,-273,36,-103
2017-04-30,188.00000,161.00000,42.00000,203.00000,333.00000,223.00000,-382.00000,-389.00000,-148.00000,243.00000,-153.00000,,,-271.00000,-271.00000,1.00000,-423.00000,-10.00000,-10.00000,-298.00000,-298.00000,-105.00000,,-413.00000,-599.00000,31.00000,-105.00000
2017-01-31,607,163,213,376,-272,1568,-1283,243,167,1150,-191,0,0,108,108,54,-29,-10,-10,-121,-121,-88,0,-219,899,26,-88
2016-10-31,194,164,61,225,-160,-1530,1446,-22,-309,110,-169,0,0,-188,-188,0,-357,-10,-10,-158,-158,-89,0,-257,-516,25,-89
2016-07-31,198,165,-8,157,166,-204,428,53,450,805,-84,0,0,-368,-368,1,-451,-12,-12,-217,-217,-90,-2,-321,18,26,-90
2016-04-30,229.00000,162.00000,65.00000,227.00000,73.00000,365.00000,-73.00000,-241.00000,36.00000,492.00000,-136.00000,,,92.00000,92.00000,4.00000,-40.00000,-362.00000,-362.00000,-31.00000,-31.00000,-238.00000,10.00000,-621.00000,-129.00000,31.00000,-238.00000
2016-01-31,479,163,184,347,-106,1580,-1688,147,54,880,-156,-153,0,342,342,59,92,-10,-10,-667,-667,-78,-20,-775,280,24,-78
2015-10-31,125,168,23,191,-39,-1662,1487,42,-161,155,-200,10,0,43,43,7,-140,-5,-5,-48,-48,-80,12,-121,-103,25,-80
2015-07-31,164,163,15,178,-34,-93,111,12,-24,318,-169,44,0,-132,-132,-7,-264,-5,-5,-318,-318,-80,1,-402,-373,28,-80
2015-04-30,129.00000,163.00000,92.00000,255.00000,302.00000,261.00000,-446.00000,-305.00000,-394.00000,-10.00000,-124.00000,48.00000,,-107.00000,-107.00000,-31.00000,-214.00000,-8.00000,-8.00000,25.00000,25.00000,-261.00000,6.00000,-238.00000,-259.00000,27.00000,-261.00000
2015-01-31,520,172,118,290,-256,1400,-1092,114,351,1161,-136,1,0,-241,-241,6,-370,-5,-5,23,23,-66,0,-48,503,24,-66
2014-10-31,107,165,41,206,-64,-1336,1406,4,-26,287,-167,1,0,-268,-268,-1,-435,-7,-7,10,10,-67,3,-61,-212,23,-67
2014-07-31,147,158,33,191,-135,-326,264,52,-159,179,-147,37,0,-443,-443,8,-545,-6,-6,8,8,-59,-4,-61,-428,17,-59
2014-04-30,461.00000,161.00000,-372.00000,-211.00000,436.00000,121.00000,-144.00000,-305.00000,58.00000,308.00000,-111.00000,,,-272.00000,-272.00000,21.00000,-362.00000,-6.00000,-6.00000,9.00000,9.00000,-59.00000,3.00000,-53.00000,-109.00000,23.00000,-59.00000
2014-01-31,294,166,186,352,-201,1571,-1451,106,124,770,-125,139,0,-224,-224,8,-202,-6,-6,24,24,-59,1,-40,508,20,-59
2013-10-31,54,163,47,210,63,-1543,1579,2,41,305,-121,0,0,11,11,-2,-112,-6,-6,125,125,-58,6,67,260,25,-58
2013-07-31,248,177,68,245,-328,-133,4,-115,-469,24,-127,41,0,22,22,-23,-87,985,985,13,13,-58,-7,933,1002,23,-58
2013-04-30,-73.00000,210.00000,225.00000,435.00000,473.00000,702.00000,-1118.00000,-336.00000,-367.00000,-5.00000,-174.00000,26.00000,,11.00000,11.00000,21.00000,-116.00000,-592.00000,-592.00000,9.00000,9.00000,-58.00000,,-641.00000,-918.00000,22.00000,-58.00000
2013-01-31,-379,1052,255,1307,-433,1595,-929,166,615,1543,-220,-2,0,1,1,25,-190,270,270,1,1,-58,-2,211,1517,22,-58
2012-10-31,1,222,49,271,-84,-1842,1801,6,-171,101,-206,1,0,2,2,-14,-217,-223,-223,11,11,-57,-4,-273,-371,31,-57
2012-07-31,-7,228,132,360,-323,-253,319,-354,-954,-601,-175,-20,0,41,41,53,-101,218,218,-121,-121,-109,-17,-29,-706,31,-109
2012-04-30,152.00000,237.00000,88.00000,325.00000,623.00000,765.00000,-1153.00000,-360.00000,-98.00000,379.00000,-141.00000,15.00000,,12.00000,12.00000,20.00000,-94.00000,-195.00000,-195.00000,-119.00000,-119.00000,,9.00000,-305.00000,187.00000,33.00000,0.00000
2012-02-29,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-31,-523,1433,45,1478,574,3926,-4994,-351,-512,443,-131,-174,0,130,130,108,-67,-55,-55,-199,-199,-56,-1312,-1622,-991,33,-56
2011-11-30,-70,-2,245,243,-1083,-3009,4340,496,554,727,-36,0,0,14,14,-21,-43,-13,-13,-112,-112,0,9,-116,319,-6,0
2011-10-31,201,233,-26,207,-142,81,2,-76,-45,363,-169,0,0,82,82,28,-59,-228,-228,-192,-192,-57,-29,-506,33,36,-57
2011-08-31,-27,-3,87,84,-12,-1133,1437,105,311,368,-34,0,0,-6,-6,-14,-54,0,0,-111,-111,0,10,-101,-39,-4,0
2011-07-31,187,242,-52,190,-175,1089,-1345,-105,-532,-155,-175,0,0,-47,-47,-34,-256,347,347,-252,-252,-56,-6,33,-129,36,-56
2011-05-31,-76,-1,162,161,35,-1356,1405,80,-104,-19,-30,0,0,-10,-10,-3,-43,1,1,-222,-222,-59,6,-274,-585,-6,-59
2011-04-30,239.00000,237.00000,-60.00000,177.00000,616.00000,926.00000,-561.00000,-140.00000,927.00000,1343.00000,-172.00000,,,23.00000,23.00000,6.00000,-143.00000,461.00000,461.00000,-212.00000,-212.00000,,-12.00000,237.00000,1690.00000,37.00000,
2011-02-28,1366.00000,978.00000,209.00000,1187.00000,-371.00000,-400.00000,-443.00000,-116.00000,-1363.00000,1190.00000,-744.00000,21.00000,,148.00000,148.00000,6.00000,-569.00000,-99.00000,-99.00000,-1014.00000,-1014.00000,-237.00000,-7.00000,-1357.00000,-723.00000,121.00000,-237.00000
2010-11-30,240,250,-19,231,-1002,-3652,4131,389,-10,461,-187,0,0,0,0,-14,-201,293,293,-403,-403,-60,-18,-188,82,29,-60
2010-08-31,257,238,77,315,-191,-36,-259,9,-657,-85,-181,21,0,253,253,1,94,192,192,-553,-553,-59,9,-411,-396,29,-59
2010-05-31,-1213,-683,-107,-790,451,-264,479,-340,-34,-2037,454,7,0,-155,-155,-20,286,-234,-234,-139,-139,175,52,-146,-1915,-89,175
2010-02-28,1394.00000,926.00000,133.00000,1059.00000,-63.00000,-609.00000,141.00000,181.00000,-247.00000,2206.00000,-615.00000,-7.00000,,40.00000,40.00000,42.00000,-540.00000,-210.00000,-210.00000,138.00000,138.00000,-234.00000,-42.00000,-348.00000,1328.00000,118.00000,-234.00000
2009-11-30,271,231,-16,215,-856,-3204,3620,354,-45,441,-159,0,6,0,6,-14,-167,-397,-397,43,43,-58,-14,-426,-104,31,-58
2009-08-31,157,232,6,238,-256,-215,349,79,-104,291,-124,0,11,0,11,46,-67,39,39,6,6,-59,-29,-43,133,30,-59
2009-05-31,-877,-576,-226,-802,840,-926,-172,186,-251,-1930,1117,2170,19,-165,-146,115,3256,-646,-646,-12,-12,165,163,-330,977,-83,165
2009-02-28,1033.00000,793.00000,328.00000,1121.00000,-419.00000,258.00000,139.00000,-250.00000,-277.00000,1877.00000,-1303.00000,-2170.00000,,165.00000,165.00000,-119.00000,-3427.00000,894.00000,894.00000,83.00000,83.00000,-223.00000,-163.00000,591.00000,-940.00000,110.00000,-223.00000
