,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-04-30,-78.50900,76.62600,104.01700,180.64300,50.64600,-46.86500,46.96500,-80.67600,-126.45200,-24.31800,-41.47400,,-5.38600,-5.38600,,-46.86000,800.00000,800.00000,-75.73300,-75.73300,,-1.79900,722.46800,651.21500,6.18200,
2020-01-31,222.719,76.392,72.077,148.469,-26.449,323.219,-180.984,27.652,172.599,543.787,-57.398,0,-19.189,-129.189,0,-186.587,0,0,-173.718,-173.718,0,0,-173.718,183.482,5.937,0
2019-10-31,129.747,74.256,72.292,146.548,-5.625,-300.921,144.876,-28.488,-166.125,110.17,-89.923,0,-10.418,139.582,0,49.659,0,0,-128.384,-128.384,0,0,-128.384,31.445,6.342,0
2019-07-31,161.258,73.141,81.703,154.844,2.783,-65.962,42.772,-52.234,-140.444,175.658,-79.377,0,-20.603,24.397,0,-54.98,0,0,-270.111,-270.111,0,0,-270.111,-149.433,6.736,0
2019-04-30,192.22100,71.81000,89.14600,160.95600,8.65400,-35.70800,3.32900,-101.17600,-81.49900,271.67800,-71.83600,,-12.73600,-207.73600,,-279.57200,,,-74.52600,-74.52600,,,-74.52600,-82.42000,6.03000,
2019-01-31,214.674,71.82,42.362,114.182,-33.793,266.122,-170.463,30.78,85.057,413.913,-62.985,0,-2.101,-2.101,0,-65.086,0,0,-236.5201,-236.5201,0,0,-236.52,112.307,6.328,0
2018-10-31,131.166,69.837,6.956,76.793,1.353,-264.88,164.628,1.64,-53.748,154.211,-114.724,-13.606,0,149,0,20.67,0,0,-115.044,-115.044,0,0,-115.044,59.837,7.136,0
2018-07-31,148.323,69.026,5.842,74.868,-3.392,-82.869,37.185,60.466,-112.451,110.74,-67.432,0,0,88.193,0,20.761,0,0,-126.28,-126.28,0,0,-126.28,5.221,7.002,0
2018-04-30,164.39600,68.78900,8.44100,77.23000,-0.55500,-40.39200,46.90600,-57.89700,35.63700,277.26300,-74.25900,,,-117.19300,,-191.45200,,,-131.37000,-131.37000,,,-131.37000,-45.55900,6.17000,
2018-01-31,208.173,65.003,-10.932,54.071,-16.785,253.29,-121.535,67.955,188.029,450.273,-103.075,0,0,-60,0,-163.075,0,0,-56.508,-56.508,0,-0.032,-56.54,230.658,6.501,0
2017-10-31,104.645,62.128,3.074,65.202,-15.341,-205.012,133.81,10.302,-60.747,109.1,-144.429,0,0,120,0,-24.429,0,0,-130.193,-130.193,0,-0.551,-130.744,-46.073,6.249,0
2017-07-31,114.193,63.106,5.284,68.39,-4.657,-96.271,-5.869,7.336,-138.334,44.249,-116.456,0,0,-30,0,-146.456,0,0,-126.658,-126.658,0,0,-126.658,-228.865,6.158,0
2017-04-30,128.22300,62.47600,7.39600,69.87200,25.69500,-104.45600,59.83400,5.35500,-22.35100,175.74400,-76.75400,,,-120.00000,,-196.75400,,,-42.27500,-42.27500,,,-42.27500,-63.28500,5.49100,
2017-01-31,140.218,59.281,31.232,90.513,-22.923,193.048,-165.553,0.216,80.636,311.367,-92.244,0,0,80,0,-12.244,0,0,-47.273,-47.273,0,0.052,-47.221,251.902,5.137,0
2016-10-31,87.562,53.462,8.327,61.789,-9.71,-206.818,139.833,15.099,-45.963,103.388,-131.608,0,0,0,0,-131.608,0,0,-37.072,-37.072,0,4.316,-32.756,-60.976,5.341,0
2016-07-31,90.004,49.665,4.758,54.423,-1.886,-86.715,18.96,8.008,-91.728,52.699,-95.274,0,0,20,0,-75.274,0,0,-24.077,-24.077,0,1.482,-22.595,-45.17,4.84,0
2016-04-30,91.97600,47.88700,2.08100,49.96800,10.88000,-81.69700,70.10400,10.70700,24.98700,166.93100,-54.32100,,,,,-54.32100,,,-222.39900,-222.39900,,3.20300,-219.19600,-106.58600,4.02200,
2016-01-31,107.823,45.998,11.986,57.984,-14.053,122.614,-95.095,-5.595,61.094,226.901,-67.258,0,0,20.209,0,-47.049,0,0,-44.453,-44.453,0,0.889,-43.564,136.288,4.468,0
2015-10-31,71.07,42.313,0.977,43.29,-5.662,-178.747,75.549,5.437,-91.083,23.277,-94.691,0,0,0,0,-94.691,0,0,-45.599,-45.599,0,1.351,-44.248,-115.662,3.548,0
2015-07-31,74.169,38.771,1.522,40.293,-1.719,-42.724,6.211,5.386,-57.058,57.404,-80.596,0,0,0,0,-80.596,0,0,-40.855,-40.855,0,3.254,-37.601,-60.793,4.236,0
2015-04-30,66.94600,37.96700,1.11100,39.07800,8.88200,-81.70700,18.73100,16.99200,-37.73200,68.29200,-56.62200,,,,,-56.62200,,,-18.81500,-18.81500,,4.00300,-14.81200,-3.14200,3.34200,
2015-01-31,87.264,35.709,8.618,44.327,-3.041,128.438,-45.551,-5.444,118.851,250.442,-76.569,0,0,-50.209,0,-126.778,0,0,-29.514,-29.514,0,-0.061,-29.575,94.089,3.487,0
2014-10-31,59.124,33.683,8.67,42.353,-7.289,-168.159,72.87,11.109,-88.555,12.922,-78.401,0,0,0.146,0,-78.255,0,0,-4.532,-4.532,0,1.867,-2.665,-67.998,3.833,0
2014-07-31,60.794,31.899,3.778,35.677,-15.388,-10.081,-20.689,11.862,-36.936,59.535,-54.991,0,0,-100.146,0,-155.137,0,0,1.429,1.429,0,0.522,1.951,-93.651,3.54,0
2014-04-30,49.95300,30.47300,4.34200,34.81500,20.32700,-73.49400,35.86600,6.02100,-11.07500,73.69300,-39.10600,,,,,-39.10600,,,1.74500,1.74500,,0.90100,2.64600,37.23300,4.06300,
2014-01-31,70.682,28.711,8.159,36.87,-0.138,124.37,-41.911,0.641,120.04,227.592,-49.058,0,0,0,0,-49.058,0,0,0,0,0,0.026,0.026,178.56,4.067,0
2013-10-31,45.43,26.825,-0.202,26.623,-15.913,-121.147,59.455,17.523,-56.44,15.613,-78.937,0,0,0,0,-78.937,0,0,11.377,11.377,0,6.653,18.03,-45.294,4.397,0
2013-07-31,44.911,25.968,1.615,27.583,-1.073,-19.071,-17.75,15.528,-30.809,41.685,-56.025,0,0,0,0,-56.025,0,0,4.538,4.538,0,2.798,7.336,-7.004,4.491,0
2013-04-30,41.82600,24.77900,0.82300,25.60200,11.59000,-80.96000,29.60200,14.56400,-24.59300,42.83500,-42.00400,,,,,-42.00400,,,-31.99300,-31.99300,,3.90100,-28.09200,-27.26100,3.04800,
2013-01-31,64.532,23.401,1.711,25.112,-4.866,101.708,-66.291,2.617,71.899,161.543,-44.548,0,0,0,0,-44.548,0,0,5.754,5.754,0,6.002,11.756,128.751,3.654,0
2012-10-31,38.151,22.218,-3.961,18.257,-4.37,-146.099,96.296,11.927,-15.182,41.226,-72.692,0,0,0,0,-72.692,0,0,12.234,12.234,0,13.555,25.789,-5.677,3.375,0
2012-07-31,34.998,21.629,-8.058,13.571,-9.951,15.331,-23.008,8.27,-24.883,23.686,-46.539,0,0,0,0,-46.539,0,0,5.153,5.153,-62.482,11.238,-46.091,-68.944,3.453,-62.482
2012-04-30,34.86800,20.98500,-13.91500,7.07000,3.82500,-87.41800,25.44700,11.83800,-29.39200,12.54600,-24.79900,,,,,-24.79900,,,8.31000,8.31000,,16.55000,24.86000,12.60700,2.89300,
2012-01-31,46.295,20.306,7.717,28.023,-5.073,110.244,-47.601,-0.767,69.109,143.427,-30.941,0,0,0,0,-30.941,0,0,2.823,2.823,0,7.772,10.595,123.081,3.382,0
2011-10-31,26.768,19.225,-4.432,14.793,-1.141,-96.139,52.663,1.755,-25.038,16.523,-45.016,0,0,0,0,-45.016,0,0,8.527,8.527,0,8.078,16.605,-11.888,3.027,0
2011-07-31,23.905,18.89,0.965,19.855,-4.305,-3.205,-0.13,12.199,12.74,56.5,-33.139,0,0,0,0,-33.139,0,0,1.06,1.06,0,1.313,2.373,25.734,2.388,0
2011-04-30,23.29600,17.51000,-6.39300,11.11700,6.65800,-37.03100,-5.58300,5.06400,-29.97600,4.43700,-19.54000,,,,,-19.54000,,,11.99300,11.99300,,8.73600,20.72900,5.62600,2.80800,
2011-01-31,30.104,17.238,3.046,20.284,-1.906,83.043,-33.152,0.27,55.662,106.05,-22.35,0,0,0,0,-22.35,0,0,10.803,10.803,0,8.331,19.134,102.834,3.756,0
2010-10-31,14.203,16.105,1.236,17.341,-8.968,-77.23,58.929,12.188,-1.176,30.368,-42.181,0,0,0,0,-42.181,0,0,2.863,2.863,0,1.385,4.248,-7.565,3.177,0
2010-07-31,13.062,15.675,2.247,17.922,-3.367,3.753,0.623,4.407,-0.676,30.308,-24.886,0,0,0,0,-24.886,0,0,1.624,1.624,0,0.2,1.824,7.246,2.487,0
2010-04-30,13.66100,15.91800,1.20800,17.12600,5.42600,-21.13400,4.30600,1.47100,-20.97000,9.81700,-7.69800,,,,,-7.69800,,,1.81000,1.81000,,0.72400,2.53400,4.65300,1.73500,
2010-01-31,20.226,15.4,4.754,20.154,-0.137,67.03,-61.133,-1.352,17.515,57.895,-18.715,0,0,0,0,-18.715,-39.162,-39.162,0.33,0.33,0,-0.126,-38.958,0.222,1.735,0
2009-10-31,8.46,15.406,1.262,16.668,-0.205,-64.826,77.127,1.926,19.933,45.061,-19.634,0,0,0,0,-19.634,-26.289,-26.289,0.675,0.675,0,0.319,-25.295,0.132,1.566,0
2009-07-31,5.75,15.995,1.215,17.21,-0.743,21.134,-13.107,2.904,28.954,51.914,-17.436,0,0,0,0,-17.436,-35.13,-35.13,0.192,0.192,0,0.283,-34.655,-0.177,1.353,0
2009-04-30,4.92000,15.36500,1.33400,16.69900,5.87600,-16.68400,5.68900,2.97400,-3.66200,17.95700,-12.32000,,,,,-12.32000,-5.46600,-5.46600,0.03100,0.03100,,,-5.43500,0.20200,1.29500,
2009-01-31,25.268,51.445,24.953,76.398,2.375,-37.493,-4.311,24.943,-26.463,75.203,-110.863,0,0,0,0,-110.863,31.277,31.277,2.458,2.458,0,1.774,35.509,-0.151,3.877,0
