,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2016-03-31,240.00000,244.00000,78.00000,322.00000,97.00000,143.00000,-93.00000,39.00000,183.00000,745.00000,-424.00000,,-25.00000,-25.00000,12.00000,-437.00000,-11.00000,-134.00000,-145.00000,-33.00000,-33.00000,-131.00000,-1.00000,-310.00000,-2.00000,-131.00000
2015-12-31,77,233,77,310,-18,37,-33,57,56,443,-635,0,-36,-36,39,-632,-26,314,288,14,14,-139,-4,159,-30,-139
2015-09-30,264,208,100,308,43,-109,-6,-143,-279,293,-506,0,-27,-27,-3,-536,21,185,206,0,0,-124,-2,80,-163,-124
2015-06-30,105,235,75,310,242,-99,4,-31,18,433,-487,-1,-6,-6,14,-480,297,0,297,0,0,-124,5,178,131,-124
2015-03-31,274.00000,222.00000,69.00000,291.00000,-8.00000,172.00000,-123.00000,139.00000,182.00000,747.00000,-392.00000,-240.00000,-23.00000,-23.00000,99.00000,-556.00000,378.00000,-398.00000,-20.00000,9.00000,9.00000,-122.00000,-7.00000,-140.00000,51.00000,-122.00000
2014-12-31,301,305,120,425,-225,-12,80,-22,-179,547,-538,0,-26,-26,-39,-603,432,-255,177,0,0,-122,-11,44,-12,-122
2014-09-30,157,307,40,347,128,-174,-56,-180,-282,222,-417,0,-5,-5,32,-390,136,142,278,0,0,-116,-9,153,-15,-116
2014-06-30,126,296,107,403,415,-138,4,-266,15,544,-555,0,-4,-4,-66,-625,46,136,182,-2,-2,-116,-6,58,-23,-116
2014-03-31,327.00000,285.00000,71.00000,356.00000,-270.00000,147.00000,100.00000,-128.00000,-151.00000,532.00000,-494.00000,,-4.00000,-4.00000,56.00000,-442.00000,-115.00000,244.00000,129.00000,-50.00000,-50.00000,-116.00000,-7.00000,-44.00000,46.00000,-116.00000
2013-12-31,126,296,-4,292,-331,88,30,234,21,439,-489,0,-17,-17,-63,-569,360,-140,220,10,10,-116,-3,111,-19,-116
