,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,-181.14,-6.18,0,-6.18,0,0,0,0,-63.91,-265.49,5,0,0,0,0,-9.6,16.16,11.56,-127.73,-127.73,0,0,180.51,-0.01,52.76,-201.83,0,0
2014-03-31,181.14000,6.18000,,6.18000,,,,,63.91000,265.49000,-5.00000,,,,,9.60000,-16.16000,-11.56000,127.73000,127.73000,,,-180.51000,0.01000,-52.76000,201.83000,,
2013-12-31,734.29,28.2,0,28.2,0,0,0,0,2.69,864.9,-35.42,0,0,0,0,-597.29,-268.1,-900.81,166.12,0,0,-17.64,-134.69,0.56,14.34,-21.88,0,0
2013-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-30,-172.1,-5.63,0,-5.63,0,0,0,0,-18.68,-249.22,5.61,0,0,0,0,-9.44,230.19,226.37,-161.92,0,0,17.19,131.29,0,-13.43,-34.49,0,0
2013-03-31,172.10000,5.63000,,5.63000,,,,,18.68000,249.22000,-5.61000,,0.00000,,,9.44000,-230.19000,-226.37000,161.92000,0.00000,,-17.19000,-131.29000,,13.43000,34.49000,,
2012-12-31,575.68,37.48,0,37.48,0,0,0,0,34.42,678.04,-28.55,0,0,0,0,-640,-46.36,-714.92,0,0,0,-62.63,0,0,-62.63,-100.13,0,0
2012-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-30,-147.95,-11.38,0,-11.38,0,0,0,0,-47.02,-212.28,3.66,0,0,0,0,254.45,-10.35,247.77,0,0,0,-3.34,0,0,-3.34,32.1,0,0
2012-03-31,147.95000,11.38000,,11.38000,,,,,47.02000,212.28000,-3.66000,,0.00000,,,-254.45000,10.35000,-247.77000,0.00000,0.00000,,3.34000,0.00000,,3.34000,-32.10000,,
2011-12-31,384.41,34.79,0,34.79,0,0,0,0,72.46,511.51,-55.52,0,0,0,0,-340.87,9.62,-386.77,0,0,0,8.13,0,0.03,8.16,132.15,0,0
2011-09-30,127.66,11.8,0,11.8,0,0,0,0,-15.01,135.61,-9.6,0,0,0,0,-66.34,-47.01,-122.96,0,0,0,3.52,0,0,3.52,15.52,0,0
