,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-09-30,150.445,157.996,11.472,169.468,-31.434,-90.812,-110.132,209.781,-205.203,-0.238,-0.238,-328.825,-534.266,-5.485,170,164.515,0.351,0.351,-140.51,-3.147,21.209,-303.276,8.457,-140.51
2018-06-30,160.565,156.417,-4.971,151.446,10.222,8.221,23.057,335.068,-285.381,-0.205,-0.205,-16.427,-302.013,496.144,-115,381.144,0.039,0.039,-140.466,-1.841,238.876,271.931,8.471,-140.466
2018-03-31,216.31200,165.79700,-75.81400,89.98300,22.79000,-101.79300,-80.51700,225.77800,-134.64700,-0.31800,-0.31800,-48.82300,-183.78800,-5.33600,70.00000,64.66400,-0.72300,-0.72300,-140.28800,-15.88300,-92.23000,-50.24000,14.77200,-140.28800
2017-12-31,132.203,154.259,37.626,191.885,-10.095,26.088,2.926,327.014,-268.79,-0.218,-0.218,-19.141,-288.149,-3.878,45,41.122,0,0,-131.678,-19.774,-110.33,-71.465,8.101,-131.678
2017-09-30,147.704,152.164,14.315,166.479,10.495,-128.919,-94.027,220.156,-248.578,-0.256,-0.256,202.617,-46.217,-5.0971,0,-5.0971,0.422,0.422,-131.679,-0.531,-136.885,37.054,8.023,-131.679
2017-06-30,167.01,151.919,-16.73,135.189,-16.99,7.592,-177.242,124.957,-256.11,-0.234,-0.234,-23.511,-279.855,619.3801,-105,514.3801,0.002,0.002,-131.666,-42.221,340.495,185.597,8.435,-131.666
2017-03-31,115.56400,159.20500,0.67500,159.88000,19.02300,-61.09000,-35.59200,239.85200,-248.88200,-0.96100,-0.96100,-17.98000,-267.82300,-5.06000,105.00000,99.94000,-0.18300,-0.18300,-131.55500,-6.13600,-37.93400,-65.90500,10.80200,-131.55500
2016-12-31,164.894,178.032,-49.25,128.7821,-18.447,7.415,-2.913,290.763,-149.3211,-0.232,-0.232,-83.41,-232.963,-4.3259,0,-4.3259,-0.001,-0.001,-114.364,-12.134,-130.825,-73.025,7.621,-114.364
2016-09-30,71.504,203.748,-13.436,190.3119,8.172,-130.423,-102.182,159.634,-305.8479,-0.271,-0.271,-372.673,-678.792,-108.039,0,-108.039,0.396,0.396,-114.361,-19.559,-241.563,-760.721,7.643,-114.361
2016-06-30,117.357,153.175,-3.645,149.53,-11.055,-35.703,-31.716,235.171,-177.481,-0.22,-104.916,-33.838,-316.235,-216.27,0,-216.27,-0.009,-0.009,-114.334,-13.957,-344.57,-425.634,7.578,-114.334
2016-03-31,216.22200,159.44800,-59.02400,100.42400,25.01800,-18.66700,32.33400,348.98000,-203.88800,-0.43800,104.25800,-9.72700,-109.35700,990.81500,,990.81500,-0.65700,-0.65700,-328.56700,-19.25400,642.33700,881.96000,10.06900,-328.56700
2015-12-31,166.738,164.46,-63.309,101.151,-26.475,-36.978,-77.356,190.533,204.4439,-667.577,-667.577,-215.894,-679.027,-35.02,0,-35.02,0,0,-114.18,-25.595,-174.795,-663.289,6.358,-114.18
2015-09-30,323.271,153.015,-204.517,-51.502,-11.263,-120.108,-105.967,165.802,-174.649,-0.207,-0.207,394.492,219.636,-7.228,0,-7.228,0.467,0.467,-114.179,-220.242,-341.182,44.256,6.345,-114.179
2015-06-30,100.739,167.844,-4.134,163.71,-7.415,-6.884,-22.819,241.63,54.204,-0.241,-0.241,122.477,176.44,-5.885,0,-5.885,0.477,-0.156,-114.156,-19.518,-139.715,278.355,5.469,-114.156
2015-03-31,209.17000,154.22300,-108.83400,45.38900,-1.17300,-69.50300,-53.11300,201.44600,-113.39000,-0.88400,-0.88400,116.99900,2.72500,-7.02400,,-7.02400,-0.14500,-0.14500,-883.68400,-12.00100,-902.85400,-698.68300,11.01100,-883.68400
2014-12-31,211.425,162.43,-132.13,30.3,-3.385,6.292,-15.849,225.876,260.358,-0.238,-0.238,-436.988,-176.868,-553.744,0,-553.744,0.393,-0.996,-113.95,1536.097,867.407,916.415,5.391,-113.95
2014-09-30,150.975,157.245,-49.907,107.338,8.138,-140.638,-97.629,160.684,-141.765,-0.204,-0.204,0.284,-141.685,-69.823,0,-69.823,0.368,-15.616,-113.702,-9.77,-208.911,-189.912,5.809,-113.702
2014-06-30,95.901,154.628,-6.698,147.93,-13.536,-16.892,-59.047,184.784,-151.737,-0.239,-0.239,-47.523,-199.499,-5.577,0,-5.577,1.689,1.689,-116.282,-8.112,-128.282,-142.997,6.519,-116.282
2014-03-31,67.75600,154.27000,-91.94600,62.32400,21.65200,-39.93900,-5.87100,124.20900,-146.08600,-1.09900,-1.09900,0.11300,-147.07200,-661.15100,,-661.15100,-0.52700,-0.52700,-496.33000,-4.69300,-1162.70100,-1185.56400,10.38000,-496.33000
2013-12-31,106.312,155.409,-47.607,107.802,-4.071,27.32,13.391,227.505,-81.7651,-0.225,-0.225,2.795,-79.195,16.4391,0,16.4391,0.014,0.014,-113.678,672.777,575.552,723.862,6.154,-113.678
2013-09-30,170.436,154.193,-80.846,73.347,10.646,-79.693,-28.2,215.583,-22.8329,-0.195,-0.195,21.885,-1.143,-16.885,0,-16.885,0.346,-43.021,-113.989,-8.001,-181.896,32.544,6.537,-113.989
2013-06-30,506.761,134.604,-464.553,-329.949,-17.708,-36.13,-79.403,97.409,-312.1611,-0.22,-0.22,293.07,-19.311,745.107,0,745.107,-0.135,-0.586,-112.511,-10.753,621.257,699.355,6.681,-112.511
2013-03-31,57.93100,121.19100,31.17400,152.36500,10.69000,-12.54300,27.13300,237.42900,-432.14400,-0.91800,-0.91800,0.07100,-432.99100,-23.68700,,-23.68700,-0.55900,193.81200,-110.94000,3.77500,62.96000,-132.60200,25.78300,-110.94000
2012-12-31,76.608,120.55,22.038,142.588,-5.525,-5.136,-39.933,179.263,-267.095,-0.193,-0.193,9.368,-257.92,-4.834,0,-4.834,-0.149,-0.149,-93.905,-3.692,-102.58,-181.237,4.82,-93.905
2012-09-30,65.522,111.554,20.095,131.649,-1.44,-106.234,-64.565,132.606,-198.697,-1.042,-1.042,-13.959,-213.698,-253.439,0,-253.439,-0.757,-19.086,-93.725,-1.44,-367.69,-448.782,6.746,-93.725
2012-06-30,134.174,112.075,-30.143,81.932,7.434,-22.041,-54.287,161.819,-47.758,0.844,0.844,0.61,-46.304,928.444,0,928.444,138.216,138.216,-92.957,-8.417,965.286,1080.801,6.755,-92.957
2012-03-31,55.83500,109.86500,-50.02100,59.84400,22.68600,-2.15700,53.58200,169.26100,-758.54100,-0.84400,-0.84400,-0.72500,-760.11000,-657.95300,,-657.95300,109.94300,109.94300,-92.31200,-0.84100,-641.16300,-1232.01200,11.35800,-92.31200
2011-12-31,115.443,109.181,-29.312,79.869,-32.493,19.781,-31.843,163.469,-195.831,-0.198,-0.198,136.335,-59.694,747.666,0,747.666,0.113,0.113,-83.996,-7.374,656.409,760.184,5.97,-83.996
2011-09-30,80.451,109.495,19.253,128.748,-3.249,-85.873,-56.441,152.758,-106.448,-1.061,266.439,-0.287,159.704,-2.4349,0,-2.4349,45.067,45.067,-83.771,11.117,-30.022,282.44,5.937,-83.771
2011-06-30,69.738,111.08,20.38,131.46,10.273,-36.933,-43.381,157.817,-47.049,0.695,0.695,-22.723,-69.077,-6.556,0,-6.556,55.027,55.027,-83.388,-20.544,-55.461,33.279,5.909,-83.388
2011-03-31,48.19400,109.42800,24.60400,134.03200,6.07300,-72.62400,-49.94200,132.28400,-129.10200,-0.69500,-0.69500,8.76800,-121.02900,-8.77700,,-8.77700,348.49700,348.49700,-81.44200,-1.17600,257.10200,268.35700,11.85600,-81.44200
2010-12-31,-12.756,92.763,16.796,109.559,-8.037,-21.246,-53.764,43.039,-406.801,-0.139,-267.639,288.872,-385.568,-331.6869,0,-331.6869,0.66,0.66,-81.433,-36.137,-448.597,-791.126,6.127,-81.433
2010-09-30,68.089,81.133,12.204,93.337,-7.626,-39.319,-39.076,122.35,-191.825,2.288,2.288,-300.603,-490.14,2.157,0,2.157,15.879,15.879,-81.208,-2.412,-65.584,-433.374,6.38,-81.208
2010-06-30,72.487,81.4,12.843,94.243,10.815,-27.591,-16.32,150.41,-132.486,-2.554,-2.554,2.42,-132.62,547.306,0,547.306,5.205,5.205,-81.094,-6.151,465.266,483.056,6.334,-81.094
2010-03-31,62.50700,83.07500,10.93000,94.00500,-0.26700,-65.73700,-96.41800,60.09400,-119.40700,2.55400,2.55400,-36.09300,-152.94600,-55.08700,,-55.08700,0.84900,0.84900,-80.95100,-0.50000,-135.68900,-228.54100,14.01100,-80.95100
2009-12-31,62.746,79.125,22.103,101.228,-16.027,-11.063,5.486,169.46,-118.641,4.078,4.078,-3.753,-118.316,699.321,0,699.321,-846.827,-846.827,-77.396,840.585,615.683,666.827,6.5,-77.396
2009-09-30,77.65,78.181,12.565,90.746,12.157,-34.033,-37.417,130.979,-127.7,0,0,-1.62,-129.32,39.9,0,39.9,3.226,3.226,-84.24,2.316,-38.798,-37.139,6.483,-84.24
2009-06-30,80.073,87.005,15.221,102.226,-1.826,2.563,24.502,206.801,-105.135,0,0,-0.916,-106.051,-66.076,-100,-166.076,843.08,843.08,-98.04,-4.258,574.706,675.456,6.559,-98.04
2009-03-31,54.03000,77.37000,43.01100,120.38100,7.54000,-54.78900,-64.27500,110.13600,-91.36800,,,-1.54600,-92.91400,9.06300,-25.00000,-15.93700,0.52100,0.52100,-97.65200,-1.87500,-114.94300,-97.72100,7.09400,-97.65200
