,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-06-30,206.25,18.059,35.943,54.002,-74.693,-1.158,10.075,-5.316,61.451,321.703,-29.612,0,-86.686,-86.686,0,-116.298,-3.548,0,-3.548,-48.599,-48.599,0.939,-51.208,148.34,82.436
2018-03-31,227.30100,16.34300,-4.28900,12.05400,-13.47300,-8.20800,2.15400,64.29800,13.30200,252.65700,-29.27900,,34.21200,34.21200,,4.93300,-0.94700,,-0.94700,78.40300,78.40300,1.50000,78.95600,338.20200,78.13600
2017-12-31,102.185,16.432,75.844,92.276,-11.594,-17.258,1.828,-47.628,33.05,227.511,-42.984,0,21.137,21.137,1.061,-20.786,23.684,0,23.684,46.635,46.635,2.912,73.231,280.757,76.246
2017-09-30,-291.267,15.225,449.551,464.776,-10.398,-7.228,-7.122,-44.765,-3.423,170.086,-27.96,0,24.281,24.281,-221.602,-225.281,-1.983,0,-1.983,150.318,150.318,4.37,152.705,99.011,74.456
2017-06-30,31.169,14.89,82.519,97.409,-41.969,-15.104,13.33,4.967,53.075,181.653,-17.378,0,-58.905,-58.905,0,-76.283,-5.934,0,-5.934,136.638,136.638,1.329,132.033,239.515,73.095
2017-03-31,249.54800,14.85000,71.23200,86.08200,-7.79800,-7.89400,0.71700,-44.49800,-69.93800,265.69200,-11.09900,,-149.88000,-149.88000,,-160.97900,-4.70300,-300.00000,-304.70300,11.24900,11.24900,3.88900,-289.56500,-183.46400,69.43900
2016-12-31,27.759,15.451,62.461,77.912,-29.335,-7.832,9.787,89.968,39.053,144.724,-14.788,0,232.183,232.183,-40.458,176.937,4.876,0,4.876,17.065,17.065,71.821,93.762,411.022,62
2016-09-30,-39.537,14.569,57.555,72.124,3.194,-3.757,2.289,-4.081,33.069,65.656,-13.883,0,33.599,33.599,15.075,34.791,-3.762,0,-3.762,17.463,17.463,-0.147,13.554,113.826,61.209
2016-06-30,-36.151,14.963,90.011,104.974,-10.442,-3.008,-23.478,-4.962,-27.963,40.86,-15.918,0,-44.469,-44.469,2.605,-57.782,-3.497,0,-3.497,24.856,24.856,-0.106,21.253,1.621,61.942
2016-03-31,-36.10200,16.41500,53.69700,70.11200,-2.51200,-4.77100,-0.34300,-10.14000,-49.14700,-15.13700,-11.97400,,-93.45100,-93.45100,2.71700,-102.70800,-4.04100,,-4.04100,8.84600,8.84600,-0.10300,4.70200,-110.52300,55.47200
2015-12-31,-74.669,15.747,55.06,70.807,-21.363,-7.019,-7.992,14.237,33.005,29.143,-12.527,0,-78.051,-78.051,-32.112,-122.69,6.837,0,6.837,45.903,45.903,-0.1,52.64,-41.482,44.646
2015-09-30,-93.816,16.168,58.26,74.428,-67.538,-6.701,9.316,-12.788,-42.685,-62.073,-8.797,0,-103.6169,-103.6169,11.479,-100.935,-2.074,0,-2.074,51.839,51.839,-0.097,49.668,-114.293,65.734
2015-06-30,-220.992,14.065,75.023,89.088,-15.334,-6.791,20.523,-4.134,21.638,-110.266,-13.42,-80,370.3019,370.3019,1.561,278.443,-9.944,0,-9.944,46.234,46.234,-0.093,36.197,205.664,63.261
2015-03-31,-198.70400,16.36300,58.01300,74.37600,-5.86300,-2.63500,-23.55600,-20.56600,-97.90800,-222.23600,-10.55800,,245.76800,245.76800,-21.17200,214.03800,8.88900,,8.88900,41.61600,41.61600,-0.09100,50.41400,39.62000,57.38400
2014-12-31,-180.846,16.336,41.207,57.543,14.743,-11.568,30.592,-7.107,-58.48,-181.783,-14.676,-10,-2.77,-2.77,9.435,-18.011,-12.418,0,-12.418,73.341,73.341,47.262,108.185,-93.304,42.382
2014-09-30,-170.06,16.961,47.099,64.06,-9.833,-6.095,-13.215,-10.791,18.353,-87.647,-9.298,0,39.835,39.835,0.008,30.545,289.052,0,289.052,83.327,83.327,-15.146,357.233,298.005,46.136
2014-06-30,-159.382,14.172,42.639,56.811,-22.719,-1.294,6.693,-7.223,-25.349,-127.92,-11.701,0,101.582,101.582,0.001,89.882,-9.262,0,-9.262,57.813,57.813,-15.146,33.405,-3.487,42.444
2014-03-31,-232.45700,15.78800,46.40700,62.19500,25.23700,2.48800,0.97800,-16.18100,-5.50000,-175.76200,-15.52600,,-4.88100,-4.88100,,-20.40700,5.42800,,5.42800,60.13400,60.13400,-15.14600,50.41600,-145.25400,46.58000
2013-12-31,-184.549,17.631,177.826,195.457,32.626,1.93,-3.229,-33.148,8.851,19.759,-14.471,0,-55.865,-55.865,-49.474,-119.81,-1.456,0,-1.456,23.518,23.518,61.99,84.052,-13.882,23.374
2013-09-30,-128.662,9.489,41.581,51.07,39.199,-1.408,7.369,-6.93,63.872,-13.72,-18.514,0,60.8259,60.8259,7.224,49.536,-2.355,0,-2.355,34.488,34.488,-19.127,13.006,51.934,31.307
2013-06-30,-61.712,10.554,56.33,66.884,30.372,-2.611,-12.803,-2.03,-6.099,-0.927,-1.801,0,-39.422,-39.422,36.532,-4.691,-2.308,0,-2.308,186.202,186.202,-26.406,157.488,152.148,44.775
2013-03-31,-312.62700,10.69100,316.92900,327.62000,-48.83400,9.23100,-40.57100,-22.96400,-80.77100,-65.77800,-16.60700,,-27.96400,-27.96400,6.97500,-37.59600,-10.09600,,-10.09600,21.67000,21.67000,-17.70900,-6.13500,-110.30800,33.70700
2012-12-31,-78.076,12.373,84.428,96.801,-3.626,2.494,13.533,-6.945,21.834,40.559,-28.046,0,29.0019,29.0019,6.2,7.156,-0.207,0,-0.207,16.771,16.771,-11.727,4.837,52.521,29.827
2012-09-30,-26.467,8.593,47.412,56.005,46.021,1.869,16.672,9.819,76.423,105.961,-21.396,0,-91.8289,-91.8289,-18.003,-131.228,-2.408,0,-2.408,16.947,16.947,-6.389,8.15,-17.175,30.183
2012-06-30,-34.468,8.665,133.272,141.937,46.61,-17.373,-13.913,-28.824,10.936,118.405,-15.543,0,-56.493,-56.493,1.993,-70.043,0,0,0,136.705,136.705,0.987,137.692,186.138,34.556
2012-03-31,87.87600,8.56000,27.49000,36.05000,-49.09300,-16.91500,-1.40000,-36.99300,-121.01000,2.91600,-6.15500,,-219.40800,-219.40800,-6.13900,-231.70200,,,,21.29800,21.29800,0.22700,21.52500,-207.39700,29.98000
2011-12-31,188.141,9.724,48.752,58.476,262.526,-44.564,25.365,1.627,257.046,503.663,-9.329,0,-377.722,-377.722,-0.725,-387.776,-105,0,-105,16.12,16.12,-94.1,-182.98,-67.225,31.183
2011-09-30,228.452,7.75,120.649,128.399,-349.418,-14.738,-18.044,-18.499,-313.956,42.895,-9.985,0,19.464,19.464,11.967,21.446,0,0,0,20.069,20.069,0,20.069,84.35,31.402
2011-06-30,-199.318,8.709,48.715,57.424,-90.636,-34.424,31.213,-15.268,-74.301,-216.195,-10.431,-60,241.204,241.204,2.017,172.79,0,0,0,55.03,55.03,0,55.03,11.659,34.602
2011-03-31,-176.09600,8.85800,41.56300,50.42100,6.92200,-17.66200,-1.06600,-29.03800,-60.95300,-186.62800,-4.85000,,411.36600,411.36600,-0.56400,405.95200,-50.00000,,-50.00000,33.64300,33.64300,,-16.35700,203.33900,29.56400
2010-12-31,-180.392,8.205,35.602,43.807,-7.564,0,11.133,-36.916,-29.518,-166.103,-14.428,0,-155.174,-155.174,-0.093,-169.695,-391.645,0,-391.645,9.447,9.447,391.645,9.447,-326.704,25.212
2010-09-30,-208.957,6.758,34.306,41.064,-1.404,0,-21.951,6.888,3.903,-163.99,-10.83,0,8.372,8.372,0.044,-2.414,391.645,0,391.645,6.85,6.85,0,398.495,232.293,25.185
2010-06-30,-200.006,7.912,57.107,65.019,4.331,0,17.6,-7.3,26.1,-108.887,-9.686,0,54.637,54.637,-4.303,40.648,0,0,0,9.473,9.473,0,9.473,-58.939,26.534
2010-03-31,-165.27100,7.58400,25.48700,33.07100,1.71400,,-7.96400,-29.13500,-64.26200,-196.46200,-3.11000,,142.25200,142.25200,-0.38000,138.76200,,,,7.66400,7.66400,-0.02200,7.64200,-50.11100,20.74500
2009-12-31,-158.644,8.383,34.953,43.336,0.572,0,17.047,-16.933,12.981,-102.327,-7.578,0,-540.2321,-540.2321,0.033,-547.777,27.685,0,27.685,511.025,511.025,-0.046,538.664,-112.475,19.185
2009-09-30,-149.565,6.815,21.565,28.38,4.584,0,-7.539,88.877,99.55,-21.635,-4.753,0,47.731,47.731,-0.453,42.525,122.217,0,122.217,8.376,8.376,0,130.593,150.184,21.408
2009-06-30,-171.297,7.745,41.04,48.785,1.959,0,5.01,-5.251,4.447,-118.065,-4.586,0,-79.264,-79.264,0.193,-83.657,0,0,0,11.166,11.166,-0.085,11.081,-193.25,28.726
2009-03-31,-162.67200,7.16400,25.50300,32.66700,6.78500,,-29.57500,-11.56600,-55.55400,-185.55900,-6.57900,-87.42200,174.00600,174.00600,0.17200,80.17700,,,,318.66800,318.66800,,318.66800,213.08400,23.44700
