,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,579,72,43,115,-19,0,19,-45,74,768,-13,0,0,-47,-47,0,-60,0,0,43,43,-316,-15,-288,430,42,-316
2020-03-31,505.00000,139.00000,60.00000,199.00000,249.00000,,-132.00000,-420.00000,-556.00000,148.00000,-19.00000,,,-9.00000,-9.00000,,-28.00000,,,26.00000,26.00000,,-19.00000,7.00000,112.00000,43.00000,
2019-12-31,525,144,-403,-259,-453,0,9,800,652,918,-37,0,153,-218,-65,1,-101,0,0,18,18,0,-4,14,852,39,0
2019-09-30,204,90,70,160,65,0,97,-209,-55,309,-34,0,0,78,78,-2,42,0,0,30,30,0,-7,23,347,27,0
2019-06-30,327,128,19,147,132,0,16,-168,-320,154,-27,0,-13,75,62,7,42,0,0,27,27,-283,-42,-298,-101,37,-283
2019-03-31,447.00000,191.00000,196.00000,387.00000,438.00000,,-91.00000,-666.00000,-384.00000,450.00000,-18.00000,,13.00000,,13.00000,,-5.00000,,,30.00000,30.00000,,-6.00000,24.00000,471.00000,63.00000,
2018-12-31,686,375,-172,203,-404,127,-51,480,110,999,-34,0,0,-34,-34,-2,-70,0,0,8,8,0,-8,0,913,45,0
2018-09-30,260,150,185,335,-221,-135,143,31,-342,253,-36,0,0,0,0,0,-36,-1740,-1740,14,14,0,-44,-1770,-1549,54,0
2018-06-30,402,168,121,289,8,4,3,-432,-682,9,-30,0,0,-39,-39,-4,-73,0,0,30,30,-259,-29,-258,-359,56,-259
2018-03-31,500.00000,305.00000,93.00000,398.00000,503.00000,4.00000,-160.00000,-629.00000,-369.00000,529.00000,-31.00000,,,-20.00000,-20.00000,,-51.00000,,,47.00000,47.00000,,-39.00000,8.00000,504.00000,54.00000,
2017-12-31,-585,317,64,381,-25,24,7,439,1362,1158,-69,0,0,25,25,0,-44,0,0,28,28,0,-12,16,1134,58,0
2017-09-30,189,244,25,269,-525,-44,146,289,-79,379,-34,0,0,-80,-80,-1,-115,0,0,20,20,0,-8,12,298,47,0
2017-06-30,243,325,16,341,-11,-8,8,-342,-319,265,-31,0,0,0,0,10,-21,-10,-10,21,21,-226,-33,-248,27,38,-226
2017-03-31,426.00000,313.00000,-25.00000,288.00000,396.00000,2.00000,-76.00000,-564.00000,-303.00000,411.00000,-21.00000,,,,,-6.00000,-27.00000,-500.00000,-500.00000,109.00000,109.00000,,-13.00000,-404.00000,-1.00000,33.00000,
2016-12-31,253,313,340,653,-311,64,26,199,-47,859,-37,2,0,0,0,-3544,-3579,-1500,-1500,20,20,0,-103,-1583,-4336,40,0
2016-09-30,199,305,-43,262,18,-45,36,-60,-5,456,-28,0,0,0,0,-9,-37,1320,1320,26,26,0,-9,1337,1758,32,0
2016-06-30,151,318,-3,315,-82,-1,72,-17,37,503,-44,0,0,0,0,-1,-45,-816,-816,36,36,-195,-58,-1033,-601,41,-195
2016-03-31,363.00000,235.00000,-18.00000,217.00000,459.00000,14.00000,-184.00000,-529.00000,-243.00000,337.00000,-27.00000,-4588.00000,,,,3547.00000,-1068.00000,1770.00000,1770.00000,24.00000,24.00000,,-15.00000,1779.00000,1049.00000,34.00000,
2015-12-31,159,128,43,171,-182,81,-18,568,733,1063,-16,-46,0,129,129,-3544,-3477,0,0,24,24,0,-54,-30,-2542,21,0
2015-09-30,127,104,13,117,-303,-126,115,-16,-392,-148,-46,0,0,-29,-29,-20,-95,0,0,21,21,0,167,188,-51,28,0
2015-06-30,212,105,40,145,7,-19,86,-372,-222,135,-28,0,0,-100,-100,0,-128,0,0,34,34,-170,-12,-148,-49,20,-170
2015-03-31,394.00000,164.00000,12.00000,176.00000,438.00000,10.00000,-208.00000,-536.00000,-361.00000,209.00000,-21.00000,,,,,5.00000,-16.00000,-250.00000,-250.00000,27.00000,27.00000,,11.00000,-212.00000,-383.00000,23.00000,
2014-12-31,361,156,79,235,16,88,71,392,638,1234,-17,0,0,0,0,13,-4,0,0,15,15,0,-54,-39,1043,59,0
2014-09-30,-23,59,-7,52,-595,-91,107,353,-174,-145,-28,0,0,0,0,-18,-46,0,0,23,23,0,-1,22,-394,-7,0
2014-06-30,204,66,1,67,112,-4,-1,-343,-165,106,-25,0,-21,21,0,3,-22,0,0,18,18,-147,-15,-144,-80,23,-147
2014-03-31,293.00000,72.00000,27.00000,99.00000,290.00000,5.00000,-189.00000,-258.00000,-256.00000,136.00000,-37.00000,,21.00000,,21.00000,4.00000,-12.00000,-375.00000,-375.00000,119.00000,119.00000,,4.00000,-252.00000,-131.00000,29.00000,
2013-12-31,173,32,71,103,-300,122,63,511,604,880,-16,0,26,21,47,86,117,4744,4744,-5764,-5764,0,-74,-1094,-34,108,0
2013-09-30,57,111,-64,47,-85,-180,141,-139,-154,-50,-22,0,-26,152,126,-89,15,0,0,41,41,0,6,47,103,-50,0
2013-06-30,324,66,95,161,120,25,-48,-491,-376,109,-19,0,0,116,116,-1,96,0,0,18,18,-216,-1,-199,42,23,-216
2013-03-31,456.00000,107.00000,171.00000,278.00000,463.00000,39.00000,-149.00000,-491.00000,-409.00000,325.00000,-17.00000,,,87.00000,87.00000,10.00000,80.00000,,,33.00000,33.00000,,-10.00000,23.00000,340.00000,27.00000,
2012-12-31,354,136,26,162,-496,70,87,569,460,976,-27,0,382,-354,28,20,21,0,0,3,3,0,-10,-7,1050,43,0
2012-09-30,226,45,24,69,29,-160,87,-165,-171,124,-20,0,-80,52,-28,-23,-71,0,0,7,7,0,-1,6,123,34,0
2012-06-30,185,94,-9,85,-132,15,-13,5,-178,92,-17,0,-115,138,23,-3,3,0,0,-46,-46,-204,0,-250,-263,28,-204
2012-03-31,384.00000,53.00000,84.00000,137.00000,553.00000,,-215.00000,-469.00000,-368.00000,153.00000,-9.00000,,-187.00000,115.00000,-72.00000,4.00000,-77.00000,,,-246.00000,-246.00000,,,-246.00000,-116.00000,21.00000,
2011-12-31,99,207,13,220,-503,54,148,710,531,850,-25,0,648,-593,55,26,56,0,0,-138,-138,0,-12,-150,696,42,0
2011-09-30,148,52,7,59,-2,-117,99,-208,-161,46,-29,0,-25,229,204,-28,147,0,0,-10,-10,-2,17,5,135,18,-2
2011-06-30,335,81,-14,67,-36,10,-17,-439,-480,-78,-14,0,-139,220,81,10,77,0,0,-137,-137,-192,3,-326,-324,20,-192
2011-03-31,503.00000,95.00000,172.00000,267.00000,554.00000,11.00000,-199.00000,-632.00000,-636.00000,134.00000,-4.00000,,-161.00000,154.00000,-7.00000,-3.00000,-14.00000,,,-338.00000,-338.00000,,1.00000,-337.00000,-154.00000,23.00000,
2010-12-31,-233,238,24,262,-428,143,130,827,964,993,-21,0,-119,107,-12,44,11,0,0,-319,-319,-2,3,-318,689,37,-2
2010-09-30,51,78,-2,76,-54,-97,84,40,55,182,-37,0,-293,285,-8,-51,-96,0,0,-240,-240,0,5,-235,-91,33,0
2010-06-30,219,80,6,86,-68,38,2,-315,-331,-26,-27,0,-201,171,-30,14,-43,0,0,-228,-228,-187,2,-413,-481,17,-187
2010-03-31,381.00000,121.00000,130.00000,251.00000,593.00000,40.00000,-146.00000,-555.00000,-405.00000,227.00000,-12.00000,,-187.00000,17.00000,-170.00000,-2.00000,-184.00000,,,-91.00000,-91.00000,,4.00000,-87.00000,-73.00000,44.00000,
2009-12-31,-286,249,262,511,-513,110,21,713,588,813,-28,0,-197,35,-162,45,-145,0,0,-257,-257,0,11,-246,408,47,0
2009-09-30,15,96,72,168,42,-153,160,-52,-22,161,-17,0,-228,6,-222,-35,-274,0,0,-274,-274,0,12,-262,-368,36,0
2009-06-30,195,146,-171,-25,-88,32,-39,-220,-288,-118,-14,0,0,2,2,-5,-17,0,0,-191,-191,0,39,-152,-260,43,0
2009-03-31,189.00000,137.00000,69.00000,206.00000,794.00000,32.00000,-160.00000,-356.00000,-68.00000,327.00000,-10.00000,,,3.00000,3.00000,,-7.00000,,,-306.00000,-306.00000,,17.00000,-289.00000,30.00000,30.00000,
