,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-03-31,-100.00000,284.00000,-14.00000,270.00000,-468.00000,39.00000,2431.00000,1979.00000,2149.00000,-274.00000,,-438.00000,,-438.00000,6.00000,-706.00000,,,66.00000,66.00000,-47.00000,2.00000,21.00000,1453.00000,-47.00000
2018-12-31,25,353,-1,352,134,-176,-466,-522,-145,-244,-13,-1803,2159,356,-3,96,0,0,-306,-306,-48,19,-335,-404,-48
2018-09-30,531,296,-239,57,60,67,-1341,-959,-371,-223,-40,0,1023,1023,19,779,-500,-500,-92,-92,-47,-59,-698,-303,-47
2018-06-30,-9,352,110,462,-131,102,194,362,815,-219,0,0,-495,-495,8,-706,0,0,-177,-177,-45,2,-220,-234,-45
2018-03-31,-149.00000,289.00000,35.00000,324.00000,-345.00000,-127.00000,2113.00000,1501.00000,1676.00000,-192.00000,,,-550.00000,-550.00000,14.00000,-728.00000,,,-182.00000,-182.00000,-46.00000,-8.00000,-236.00000,729.00000,-46.00000
2017-12-31,53,281,-22,259,-28,57,-400,-413,-101,-184,0,-1811,1888,77,5,-102,-2,-2,-123,-123,-46,-2,-173,-371,-46
2017-09-30,349,234,-109,125,6,62,-1133,-917,-443,-169,-33,991,-967,24,1,-177,992,992,-1,-1,-45,-4,942,365,-45
2017-06-30,54,268,-75,193,-202,284,230,454,701,-190,-136,-991,949,-42,16,-352,0,0,10,10,-43,0,-33,384,-43
2017-03-31,-84.00000,255.00000,2.00000,257.00000,-232.00000,-87.00000,1855.00000,1515.00000,1688.00000,-167.00000,,,-774.00000,-774.00000,-9.00000,-950.00000,,,13.00000,13.00000,-42.00000,-19.00000,-48.00000,721.00000,-42.00000
2016-12-31,84.597,279.446,115.917,395.363,21.258,25.547,-466.743,-474.638,5.322,-181.956,-0.223,0,4.809,4.809,48.293,-129.077,0.216,0.216,155.963,155.963,-38.991,7.109,124.297,-63.176,-38.991
2016-09-30,278.928,246.757,-63.774,182.983,69.93,32.397,-816.937,-644.33,-182.419,-187.063,-0.777,20.446,-11.567,8.879,-15.434,-194.395,-2.773,-2.773,-4.429,-4.429,-39.062,-20.544,-66.808,-452.049,-39.062
2016-06-30,6.007,300.635,24.189,324.824,-99.321,83.634,275.666,286.943,617.774,-212.403,0,-20.446,14.543,-5.903,-16.987,-235.293,0,0,-97.192,-97.192,-35.773,-2.573,-135.538,233.195,-35.773
2016-03-31,-108.53200,244.16200,-13.33200,230.83000,-267.86700,42.42200,1275.01400,986.02500,1108.32300,-167.57800,,,8.21500,8.21500,0.12800,-159.23500,-400.44300,-400.44300,-161.34200,-161.34200,-36.17400,-14.99200,-612.95100,387.03000,-36.17400
2015-12-31,-12.886,212.97,27.816,240.7859,183.356,-105.635,-415.089,-401.381,-173.481,-161.602,-129.828,512.329,-502.677,9.652,14.314,-267.464,741.406,741.406,-5.952,-5.952,-31.354,-24.709,679.391,220.96,-31.354
2015-09-30,276.237,182.212,-10.065,172.147,31.052,-42.96,-677.489,-568.889,-120.505,-156.712,-1609.789,-6.22,165.946,159.726,11.745,-1595.03,-1.894,-1.894,20.534,20.534,-31.182,51.31,38.768,-1731.79,-31.182
2015-06-30,426.836,147.651,-519.831,-372.18,-197.634,172.745,334.725,556.311,610.967,-366.077,525.938,-506.109,443.349,-62.76,21.181,118.282,702.348,702.348,52.557,52.557,-23.096,-19.105,712.704,1451.846,-23.096
2015-03-31,32.56100,128.37300,-48.39100,79.98200,-215.03600,73.09800,1149.19500,938.52100,1051.06400,-102.65000,-326.08800,,-217.02400,-217.02400,18.71400,-627.04800,,,-15.91200,-15.91200,-22.89500,12.14300,-26.66400,332.58300,-22.89500
2014-12-31,56.279,109.026,-15.631,93.395,119.099,-115.759,-371.053,-349.517,-199.843,-88.709,-535.491,87.318,-31.653,55.665,5.53,-563.005,-0.736,-0.736,-22.831,-22.831,-22.92,15.799,-30.688,-850.048,-22.92
2014-09-30,250.621,108.292,51.371,159.663,29.944,58.16,-495.711,-308.424,101.86,-82.465,-25.177,-87.318,606.5759,519.2579,-7.875,403.741,493.63,493.63,-103.913,-103.913,-22.944,7.674,374.447,818.928,-22.944
2014-06-30,85.854,104.836,-12.226,92.61,-110.13,136.521,112.226,315.0399,493.504,-82.464,0,359.708,-606.5759,-246.8679,-2.058,-331.39,0,0,-201.693,-201.693,-19.231,3.518,-217.406,-50.246,-19.231
2014-03-31,-19.80400,105.44700,-5.84600,99.60100,-196.87000,31.68100,1039.20700,891.64110,971.43800,-74.74900,,-359.70800,,-359.70800,0.85400,-433.60300,,,-84.17100,-84.17100,-19.60200,25.56900,-78.20400,463.03300,-19.60200
2013-12-31,93.987,101.554,1.17,102.724,82.791,-165.513,-309.263,-408.926,-212.215,-73.165,-0.758,87.08,0,87.08,-1.721,11.436,0,0,-153.068,-153.068,-19.68,0.587,-172.161,-373.465,-19.68
2013-09-30,166.724,89.518,-71.387,18.131,-2.7,-44.552,-355.773,-409.048,-224.193,-77.576,0,555.877,0,555.877,15.905,494.206,0,0,-213.371,-213.371,-20.459,3.507,-230.323,82.681,-20.459
2013-06-30,63.015,86.062,52.546,138.608,-56.584,128.548,146.996,116.896,318.519,-70.684,0,-4.089,0,-4.089,18.338,-56.435,0,0,-2.363,-2.363,-17.638,8.32,-11.681,229.019,-17.638
2013-03-31,-107.36800,136.51400,43.44700,179.96100,-150.83400,173.02000,759.26700,808.49600,881.08900,-87.15600,-540.48900,-352.88300,,-352.88300,5.80800,-974.72000,,,-71.98900,-71.98900,-17.98300,11.62100,-78.35100,-210.36300,-17.98300
2012-12-31,6.902,73.257,-68.233,5.024,108.088,-144.34,-333.993,-228.652,-216.726,-58.717,-0.962,369.1201,0,369.1201,-4.49,304.951,0,0,-40.984,-40.984,-87.953,10.077,-118.86,-21.567,-87.953
2012-09-30,169.731,68.686,-5.056,63.63,-49.984,97.729,-308.384,-180.048,53.313,-59.763,0.869,46.7459,0,46.7459,-19.175,-31.323,0,0,-62.46,-62.46,-18.061,12.483,-68.038,-28.618,-18.061
2012-06-30,106.109,63.918,31.804,95.722,-70.285,128.781,166.45,350.9479,552.779,-66.403,-199.267,-280.881,0,-280.881,2.855,-543.696,0,0,93.429,93.429,-12.205,8.138,89.362,70.838,-12.205
2012-03-31,-2.30200,54.68700,19.47500,74.16200,-71.83600,64.29900,785.74100,775.95610,847.81600,-50.81400,,-52.54900,,-52.54900,5.60600,-97.75700,,,-166.36300,-166.36300,-12.20400,3.31600,-175.25100,583.37400,-12.20400
2011-12-31,71.098,64.508,-7.349,57.159,12.511,-112.62,-208.147,-321.226,-192.969,-49.97,-27.145,-82.95,0,-82.95,2.786,-157.279,0,0,-167.083,-167.083,-18.818,1.667,-184.234,-576.455,-18.818
2011-09-30,210.406,55.378,21.717,77.095,27.02,-26.641,-385.671,-355.34,-67.839,-59.251,-0.001,287.419,0,287.419,-4.614,223.553,0,0,-150.088,-150.088,-19.148,4.852,-164.384,-31.696,-19.148
2011-06-30,140.89,49.078,-55.633,-6.555,-27.548,119.046,93.829,259.551,393.886,-52.53,-8.075,-41.306,0,-41.306,-3.738,-105.649,0,0,79.791,79.791,-19.232,2.048,62.607,426.032,-19.232
2011-03-31,52.20900,49.81700,-58.53300,-8.71600,-81.99500,100.60500,656.60200,649.15800,692.65100,-46.08600,,-379.27300,,-379.27300,1.27400,-424.08500,,,-44.64300,-44.64300,-19.35200,-3.48800,-67.48300,250.05400,-19.35200
2010-12-31,71.584,21.885,-107.495,-85.61,91.302,-121.652,-254.991,-318.304,-332.33,-23.052,20.334,105.86,0,105.86,1.723,104.865,-0.524,-0.524,-95.986,-95.986,-19.251,2.629,-113.132,-298.308,-19.251
2010-09-30,178.024,51.822,-39.813,12.009,-8.51,27.796,-186.768,-185.649,4.384,-40.196,0,-327.592,0,-327.592,9.914,-357.874,742.994,742.994,-240.73,-240.73,-19.703,-0.789,481.772,155.017,-19.703
2010-06-30,115.353,53.31,35.038,88.348,-20.097,82.45,-21.807,110.105,313.806,-43.453,-36.107,-357.096,0,-357.096,-5.854,-442.51,0,0,-21.005,-21.005,-19.902,0.635,-40.272,-201.607,-19.902
2010-03-31,60.59900,53.53500,23.06000,76.59500,-85.13500,61.05400,521.63000,482.33300,619.52700,-29.67500,-0.24600,-25.47500,,-25.47500,6.56800,-48.82800,,,-171.58600,-171.58600,-20.22000,-8.70200,-200.50800,354.91700,-20.22000
2009-12-31,104.213,23.117,-102.299,-79.182,65.429,-116.502,-202.695,-271.462,-246.431,-15.91,8.327,-42.982,46,3.018,0.874,-3.691,0,0,11.144,11.144,0,-0.454,10.69,-219.398,0
2009-09-30,117.813,50.018,-9.044,40.974,4.643,27.258,-210.881,-183.005,-24.218,-20.88,0,45.08,-46,-0.92,0.58,-21.22,0,0,1.554,1.554,0,4.811,6.365,-23.715,0
2009-06-30,41.843,47.671,-32.458,15.213,-39.655,99.285,94.265,285.49,342.546,-18.666,-5.951,42.188,0,42.188,37.156,54.727,0,0,-0.743,-0.743,0,-8.753,-9.496,387.06,0
2009-03-31,39.75400,52.27700,11.72700,64.00400,-60.19800,16.42500,457.80700,398.24600,502.00400,-23.38600,-2.41200,2.90300,,2.90300,3.40600,-19.48900,-650.00000,-650.00000,-4.12400,-4.12400,,-14.35400,-668.47800,-190.17800,
