,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-06-30,121.7,34.2,15.1,49.3,6.5,-15.6,0.4,-4.8,167.2,-9.7,0.1,0,0,0,-1.6,-11.2,0,-142.4,-142.4,12.5,12.5,-53.2,-0.8,-183.9,-30.5,12.8,-53.2
2018-03-31,157.80000,35.70000,0.60000,36.30000,-11.30000,-23.50000,-4.70000,-37.60000,155.50000,-9.90000,-49.90000,,,,-0.20000,-60.00000,,-17.40000,-17.40000,-183.60000,-183.60000,-53.00000,-1.60000,-255.60000,-159.10000,3.10000,-53.00000
2017-12-31,405.6,33.8,-233.7,-199.9,30.6,7.9,-10,52.6,257.4,-24.1,0,0,0,0,-1,-25.1,0,-46.2,-46.2,-95.8,-95.8,-47.2,-0.5,-189.7,42.4,3.2,-47.2
2017-09-30,133.4,32.4,24.6,57,-33.5,-3,1.4,-15.2,174.8,-10.5,-1024.7,0,0,0,-0.8,-1036,1221.3,-312.2,909.1,10.6,10.6,-47.5,-16.8,855.4,-1.1,2.6,-47.5
2017-06-30,72.9,29.9,10.9,40.8,4.4,-8.8,25.7,5,117.8,-7.6,-75,0,0,0,-0.4,-83,200,43.8,243.8,-138.3,-138.3,-47.3,-0.6,57.6,98.1,10.3,-47.3
2017-03-31,131.50000,29.30000,11.80000,41.10000,-11.20000,-21.30000,-0.50000,-41.60000,131.50000,-2.80000,-160.30000,,,,3.80000,-159.30000,,158.80000,158.80000,-134.40000,-134.40000,-48.40000,-0.40000,-24.40000,-48.30000,2.00000,-48.40000
2016-12-31,110.4,27.4,12,39.4,-25.9,25.7,-17.5,13.4,160.3,-21.7,-129.8,0,0,0,-0.3,-151.8,0,196,196,-197.5,-197.5,-45.6,0.2,-46.9,-44.3,1.9,-45.6
2016-09-30,124,25.8,8.6,34.4,12.9,2.8,-7.4,40.2,198.5,-10.3,0,0,0,0,1.1,-9.2,0,-150.9,-150.9,18.6,18.6,-45.7,10.9,-167.1,21.3,1.8,-45.7
2016-06-30,111.6,26.5,12,38.5,-4.9,-0.6,-9.6,-31.7,118.7,-9.3,-0.5,0,0,0,0.3,-9.5,0,-70,-70,16.1,16.1,-45.6,10,-89.5,16.5,6.5,-45.6
2016-03-31,113.00000,27.90000,13.70000,41.60000,5.20000,-8.70000,-11.10000,22.30000,177.80000,-8.50000,-175.00000,,,,-0.60000,-184.10000,,93.80000,93.80000,-186.70000,-186.70000,-46.10000,2.90000,-136.10000,-135.70000,5.80000,-46.10000
2015-12-31,109.1,24.7,6.4,31.1,53.6,-2,-8,56.5,197.3,-17.1,0,0,0,0,-1.5,-18.6,-250,333.4,83.4,-94.8,-94.8,-43.9,0.6,-54.7,119.4,1.9,-43.9
2015-09-30,120.4,24.9,13,37.9,2.8,-8.9,-2,-2.2,160.4,-10.7,0,0,0,0,-1,-11.7,0,-98.7,-98.7,7.6,7.6,-43.9,2.6,-132.4,7.4,1.8,-43.9
2015-06-30,73.7,25.4,32.2,57.6,-0.9,-12.4,2,-24.4,104.2,-12.1,0,0,0,0,-0.9,-13,0,-150.1,-150.1,-2.5,-2.5,-43.8,2.4,-194,-96.5,10.7,-43.8
2015-03-31,107.20000,26.00000,8.10000,34.10000,-22.00000,-15.20000,-9.20000,-0.60000,144.20000,-21.90000,-74.90000,,,,-1.10000,-97.90000,,127.10000,127.10000,-244.90000,-244.90000,-43.70000,7.60000,-153.90000,-123.30000,1.70000,-43.70000
2014-12-31,106.6,23.5,5.4,28.9,-6.8,11.8,-7.1,-6,131.6,-34.3,0.4,0,0,0,-0.9,-34.8,299.8,-257.1,42.7,-35.6,-35.6,-41.5,-0.6,-35,52.8,2,-41.5
2014-09-30,115.9,22,4.6,26.6,15.2,8.8,13.6,58.1,201.9,-19.1,-216.1,0,0,0,-0.4,-235.6,0,251.3,251.3,6.6,6.6,-41.4,2.2,218.7,173.3,2.2,-41.4
2014-06-30,88.8,22.9,18.9,41.8,3.6,-4.5,-18.1,-25.1,104.4,-10.8,0,0,0,0,-0.6,-11.4,0,-0.4,-0.4,-164.3,-164.3,-42.1,6.4,-200.4,-103.1,10.5,-42.1
2014-03-31,102.60000,22.80000,8.10000,30.90000,-13.80000,-14.30000,-13.30000,-32.00000,102.40000,-6.30000,,,,,-0.30000,-6.60000,,-0.50000,-0.50000,-252.80000,-252.80000,-42.50000,5.90000,-289.90000,-196.90000,2.30000,-42.50000
2013-12-31,92.2,22.6,10.7,33.3,-6.8,7.5,-19,-3.4,123,-36.8,0,0,5.7,5.7,-6.9,-38,0,0.1,0.1,5.7,5.7,-38.9,3.3,-29.8,51.4,2.4,-38.9
2013-09-30,107.9,21.6,8.3,29.9,6.3,-1.2,11.4,78,215.6,-10.2,0,0,-1.2,-1.2,-2,-13.4,0,-0.9,-0.9,3.5,3.5,-38.8,1.3,-34.9,171.4,2.3,-38.8
2013-06-30,86.6,22.7,16.4,39.1,0.2,1.1,-18.3,-38.5,88.7,-9.7,0,19.7,-1.3,18.4,-1.1,7.6,0,-48.6,-48.6,7.2,7.2,-38.9,4.1,-76.2,14.5,10.6,-38.9
2013-03-31,107.70000,23.60000,6.00000,29.60000,-30.90000,-14.70000,-8.90000,-65.30000,72.30000,-10.40000,,-19.70000,-3.20000,-22.90000,,-33.30000,,-50.00000,-50.00000,-44.50000,-44.50000,-38.60000,14.20000,-118.90000,-83.40000,1.70000,-38.60000
2012-12-31,80.8,25.6,3.4,29,7.5,21.6,6.3,98.6,207.7,-24.8,-652.3,0,-4,-4,650.8,-30.3,-252,251.3,-0.7,-42.5,-42.5,-33.5,0.6,-76.1,101.8,1.8,-33.5
2012-09-30,93.9,20.1,7.6,27.7,-4.6,3.8,-8.6,5.4,126.7,-9.7,0,0,-2.9,-2.9,-650.2,-662.8,651.6,-29.8,621.8,2.8,2.8,-33.5,-1.9,589.2,57,1.7,-33.5
2012-06-30,79.3,20.1,15.3,35.4,-7.2,-15.2,-4.4,-39.7,75.3,-24.9,0,0,-3.8,-3.8,-1,-29.7,0,32.3,32.3,-97.8,-97.8,-33.3,8.3,-90.5,-48.2,7.4,-33.3
2012-03-31,95.80000,19.20000,2.80000,22.00000,-4.70000,-11.30000,-11.80000,-3.50000,113.90000,-15.10000,,0.00000,-3.00000,-3.00000,-0.40000,-18.50000,,-2.50000,-2.50000,-84.90000,-84.90000,-34.20000,4.20000,-117.40000,-19.00000,1.50000,-34.20000
2011-12-31,63.8,18.4,27.2,45.6,-6.3,20.3,-10.6,8.4,118.6,-35.8,-4.3,-1.5,-3.2,-4.7,1.9,-42.9,0,-1.3,-1.3,-73.2,-73.2,-24.3,1.4,-97.4,-23.6,1.3,-24.3
2011-09-30,79.6,19.5,18.2,37.7,5.7,-13.8,-4.2,29.7,147.5,-17.2,0,0.2,0,0.2,-0.7,-17.7,0,3.9,3.9,3.5,3.5,-24.5,4.7,-12.4,111.6,1.3,-24.5
2011-06-30,82.6,19.8,14.1,33.9,-19.7,-0.6,-1.2,-23.7,92.2,-16.8,-64.8,0.2,0,0.2,0.3,-81.1,0,0,0,10.9,10.9,-24.3,3.1,-10.3,4.3,6.6,-24.3
2011-03-31,83.60000,19.40000,14.50000,33.90000,-15.00000,-14.90000,-9.30000,-37.50000,79.50000,-6.80000,,1.10000,,1.10000,-0.40000,-6.10000,,-90.00000,-90.00000,5.70000,5.70000,-24.30000,2.20000,-106.40000,-30.10000,1.80000,-24.30000
2010-12-31,47,17.2,19.9,37.1,20.6,22.5,1.5,56.6,139.8,-26.4,-45.5,0.1,0,0.1,-0.4,-72.2,-408.3,90,-318.3,4.5,4.5,-12.1,-5.5,-331.4,-264.3,1.7,-12.1
2010-09-30,69.4,18,27.7,45.7,-3.2,18.1,-0.8,49.8,164.9,-16.9,-10.1,0.1,0,0.1,-0.5,-27.4,-41.2,-1.8,-43,1.7,1.7,-12.1,2,-51.4,89.2,2,-12.1
2010-06-30,74.3,18.2,10.7,28.9,-5.9,-3.4,-1.2,-51.4,51.8,-11.3,-70.2,0.2,0,0.2,-0.4,-81.7,-41.1,-3,-44.1,4.4,4.4,-9.9,1.5,-48.1,-82.3,6.3,-9.9
2010-03-31,80.00000,18.20000,4.50000,22.70000,-24.20000,-13.10000,-1.70000,-30.70000,72.00000,-1.00000,-0.20000,1.40000,,1.40000,0.70000,0.90000,-41.10000,-30.10000,-71.20000,5.30000,5.30000,-9.90000,3.00000,-72.80000,-0.50000,1.80000,-9.90000
2009-12-31,52.743,20.509,3.235,23.744,15.597,11.391,29.821,19.283,92.07,-48.244,-0.121,-0.024,0,-0.024,0.132,-48.257,-20.562,1.358,-19.204,4.91,4.91,-9.824,2.878,-21.24,27.857,1.675,-9.824
2009-09-30,70.024,21.285,14.83,36.115,-1.485,-9.828,-24.328,7.905,114.044,-29.905,-0.169,0,0,0,0.612,-29.462,-16.979,2.353,-14.626,1.168,1.168,-9.845,0.356,-22.947,62.243,1.853,-9.845
2009-06-30,58.157,21.936,14.561,36.497,0.068,-9.715,2.351,8.151,102.805,-5.87,-0.169,0,0,0,0.273,-5.766,-16.98,-4.806,-21.786,1.451,1.451,-6.322,0.83,-25.827,76.758,6.465,-6.322
2009-03-31,62.57600,21.67000,12.67400,34.34400,-7.98000,-2.34800,-3.24400,-4.93900,91.98100,-21.28100,-0.24100,1.32400,,1.32400,-0.41700,-20.61500,-16.97900,31.99500,15.01600,2.07100,2.07100,-6.30900,0.93600,11.71400,82.24200,2.70700,-6.30900
