,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-07-31,48.748,13.637,7.607,21.244,0,-9.207,0.096,-16.444,-16.982,53.01,-26.655,0,0,-26.655,-55.128,-55.128,-0.39,-55.518,-26.892,1.392
2014-04-30,18.98100,12.46000,32.92300,45.38300,,9.20700,-5.80500,2.05300,6.61100,70.97500,-25.44700,,,-25.44700,1.57500,1.57500,-3.22400,-1.64900,53.31600,1.97700
2014-01-31,109.692,12.345,-24.311,-11.966,0,32.193,7.899,33.036,85.807,183.533,-34.463,0,0,-34.463,0.693,0.693,-0.44,0.253,97.904,-2.366
2013-10-31,66.112,12.916,4.671,17.587,0,-44.559,-7.939,-5.055,-59.824,23.875,-27.931,0,0,-27.931,2.344,2.344,0.005,2.349,-9.528,4.165
2013-07-31,56.464,12.078,-1.723,10.355,0,-19.912,8.958,-9.509,-21.023,45.796,-23.038,0,0,-23.038,4.971,4.971,5.692,10.663,21.855,4.002
2013-04-30,47.27900,11.72900,21.15900,32.88800,,-6.22900,2.70900,-21.57200,-55.03200,25.13500,-20.97600,,,-20.97600,0.16300,0.16300,-4.52100,-4.35800,-1.76100,4.28600
2013-01-31,109.375,12.038,-7.44,4.598,0,10.04,-5.523,26.63,52.9,166.873,-21.188,0,0,-21.188,4.036,4.036,2.336,6.372,150.756,3.809
2012-10-31,57.38,11.483,2.098,13.581,0,-39.431,-0.357,4.23,-21.241,49.72,-32.995,0,0,-32.995,1.629,1.629,-23.962,-22.333,-4.863,3.788
2012-07-31,57.702,9.681,3.567,13.248,0,-19.021,2.624,-3.309,-23.382,47.568,-26.35,0,0,-26.35,0.775,0.775,0.884,1.659,19.956,4.149
2012-04-30,46.97400,9.79800,-0.28500,9.51300,,-2.81000,-10.22500,-26.04900,-40.53500,15.95200,-12.69600,,,-12.69600,4.57400,4.57400,4.23700,8.81100,14.89300,3.89100
2012-01-31,73.888,9.371,10.446,19.817,0,24.923,8.481,27.808,56.39,150.095,-15.967,0,0,-15.967,0.753,0.753,0.137,0.89,132.491,2.595
2011-10-31,38.942,7.327,1.488,8.815,0,-40.831,1.465,9.778,-13.766,33.991,-19.02,0,0,-19.02,1.157,1.157,1.222,2.379,12.218,2.679
2011-07-31,38.618,7.52,-10.048,-2.528,0,-24.612,1.019,1.843,-22.216,13.874,-12.493,0,0,-12.493,1.741,1.741,2.196,3.937,3.857,2.337
2011-04-30,33.51600,6.04100,0.23600,6.27700,,-5.55200,-3.10400,-12.02400,-34.13800,5.65500,-74.83100,,,-74.83100,5.96300,5.96300,2.19500,8.15800,-55.41500,2.72900
2011-01-31,54.966,6.198,-8.567,-2.369,0,16.069,-2.502,15.511,39.481,92.078,-8.406,0,0,-8.406,1.849,1.849,3.905,5.754,91.511,1.908
2010-10-31,25.936,6.426,7.339,13.765,0,-6.246,2.056,3.155,13.664,53.365,-10.38,0,0,-10.38,1.649,1.649,0.158,1.807,46.603,1.802
2010-07-31,21.707,6.602,6.808,13.41,1.225,-12.411,-2.003,2.732,-13.137,21.98,-18.175,0,0.279,-17.896,0.589,0.589,0.567,1.156,4.532,1.837
2010-04-30,19.58800,5.38800,3.63800,9.02600,-1.22500,-5.36600,-2.71800,-4.82900,-16.04200,12.57200,-5.87800,,-0.27900,-6.15700,1.74900,1.74900,3.23300,4.98200,14.06700,1.72600
2010-01-31,28.451,5.596,2.184,7.78,-3.974,8.309,5.183,15.654,29.956,66.187,-6.473,0,0.38,-6.093,0.957,0.957,-3.579,-2.622,57.741,1.387
2009-10-31,14.068,5.684,2.936,8.62,0,-5.527,2.797,1.959,0.352,23.04,-3.68,0,-0.231,-3.911,0.081,0.081,-0.676,-0.595,18.035,1.413
2009-07-31,9.244,5.274,1.252,6.526,0,0.245,-1.333,2.458,10.144,25.914,-3.063,0,-0.685,-3.748,0.013,0.013,0.205,0.218,24.526,1.447
2009-04-30,6.51800,4.27800,1.68500,5.96300,,8.26900,-0.62200,-3.65700,-9.66200,2.81900,-2.28100,,-0.27400,-2.55500,0.15800,0.15800,0.19200,0.35000,2.47400,1.36900
2009-01-31,39.363,15.823,-5.385,10.438,-1.173,-19.782,0.832,5.021,-3.363,46.438,-43.932,0,-2.863,-46.795,1.436,1.436,12.024,13.46,4.252,6.532
