,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-10-31,171.00000,74.00000,89.00000,163.00000,-186.00000,-110.00000,-65.00000,-284.00000,38.00000,-52.00000,-329.00000,,,,-381.00000,,341.00000,341.00000,2.00000,2.00000,-97.00000,15.00000,261.00000,-28.00000,21.00000,-97.00000
2013-07-31,-160,89,329,418,-8,-94,0,-89,155,-130,-248,0,0,-2,-380,0,212,212,-9,-9,-1,4,206,-52,31,-1
2013-04-30,179,99,93,192,118,-6,-6,19,365,-94,9,0,0,-4,-89,0,-183,-183,-48,-48,0,5,-226,43,31,0
2013-01-31,187,121,63,184,100,79,14,55,418,-69,0,0,0,-2,-71,0,-15,-15,-16,-16,-274,4,-301,49,26,-274
2012-10-31,243.00000,98.00000,81.00000,179.00000,-258.00000,-125.00000,-90.00000,-330.00000,81.00000,-38.00000,-1567.00000,,,-9.00000,-1614.00000,1250.00000,411.00000,1661.00000,3.00000,3.00000,-92.00000,-14.00000,1558.00000,26.00000,25.00000,-92.00000
2012-07-31,125,73,19,92,5,-48,-6,72,282,-150,0,0,0,-7,-157,0,45,45,-122,-122,-92,4,-165,-48,17,-92
2012-04-30,175,65,84,149,117,74,-5,91,360,-76,0,0,0,5,-71,0,-111,-111,-28,-28,-93,6,-226,61,17,-93
2012-01-31,201,61,80,141,98,137,11,75,405,-61,0,0,0,0,-61,0,-126,-126,-81,-81,-93,0,-300,37,23,-93
2011-10-31,263.00000,63.00000,76.00000,139.00000,-238.00000,-131.00000,-74.00000,-317.00000,73.00000,-35.00000,,,,1.00000,-34.00000,,-65.00000,-65.00000,-69.00000,-69.00000,-95.00000,,-229.00000,-199.00000,22.00000,-95.00000
2011-07-31,98,74,90,164,43,-130,-10,30,284,-139,0,0,0,1,-138,0,-29,-29,10,10,-94,4,-109,35,18,-94
2011-04-30,186,65,39,104,128,84,11,109,375,-59,0,0,0,1,-58,500,-527,-27,-107,-107,-96,5,-225,124,23,-96
2011-01-31,239,64,97,161,94,133,13,119,512,-45,0,0,0,0,-45,0,57,57,-401,-401,-94,3,-435,34,25,-94
2010-10-31,279.00000,65.00000,81.00000,146.00000,-280.00000,-101.00000,-139.00000,-438.00000,-29.00000,-20.00000,,,,,-20.00000,,294.00000,294.00000,-134.00000,-134.00000,-94.00000,3.00000,69.00000,37.00000,21.00000,-94.00000
2010-07-31,113,66,23,89,27,-88,-20,10,198,-130,0,0,0,-1,-131,400,-104,296,-93,-93,-95,1,109,174,20,-95
2010-04-30,168,63,54,117,141,67,-1,113,363,-74,0,0,0,1,-73,0,-169,-169,-63,-63,-95,2,-325,-33,23,-95
2010-01-31,259,62,54,116,106,133,2,168,532,-54,0,0,0,1,-53,0,-261,-261,-96,-96,-87,3,-441,37,25,-87
2009-10-31,304.00000,60.00000,102.00000,162.00000,-253.00000,-7.00000,-274.00000,-492.00000,-36.00000,-44.00000,,,,1.00000,-43.00000,,269.00000,269.00000,-81.00000,-81.00000,-88.00000,1.00000,101.00000,25.00000,20.00000,-88.00000
2009-07-31,69,69,120,189,17,-81,1,114,360,-169,-66,0,0,0,-235,300,-239,61,-115,-115,-89,-2,-145,-10,21,-89
2009-04-30,174,62,114,176,154,44,-4,61,388,-77,0,0,0,-4,-81,0,-128,-128,-114,-114,-90,0,-332,-19,19,-90
2009-01-31,493,133,74,207,-144,23,18,-272,418,-98,38,0,0,-2,-62,300,-253,47,-226,-226,-171,13,-337,-1,44,-171
