,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2015-09-30,67.813,105.087,1.298,106.385,0.573,-22.96,151.238,-140.721,0,21.503,21.503,-0.796,-120.014,-52.534,-52.534,152.908,152.908,-141.679,-1.586,-42.891,-11.667,-134.909
2015-06-30,66.35,106.33,-2.035,104.295,0.886,33.213,203.858,-722.885,-18.083,8.181,8.181,21.313,-711.474,282.005,282.005,382.301,382.301,-138.785,-11.354,514.167,6.551,-132.015
2015-03-31,67.58100,100.85500,-6.52200,94.33300,0.89200,-44.06200,117.85200,-204.12600,18.08300,22.27400,22.27400,,-163.76900,95.70400,95.70400,102.16200,95.41200,-133.88000,-2.98100,54.25500,8.33800,-127.11000
2014-12-31,78.077,99.103,-25.075,74.028,-15.04,35.506,187.611,-153.346,0,42.044,42.044,-9.2,-120.502,170.411,170.411,101.882,-118.118,-129.828,-2.658,-80.193,-13.084,-122.975
2014-09-30,73.628,94.775,-11.756,83.019,-0.769,-15.342,141.305,-178.79,0,33.839,33.839,-22.06,-167.011,167.23,167.23,2.364,2.364,-133.035,-2.825,33.734,8.028,-122.553
2014-06-30,62.242,95.319,-3.23,92.089,3.145,30.249,184.58,-296.79,0,7.033,7.033,-4.47,-294.227,-339.558,-339.558,580.705,580.705,-132.175,-4.559,104.413,-5.234,-121.692
2014-03-31,57.99300,92.86700,-3.31700,89.55000,9.60000,-33.34700,114.19600,-605.34900,6.91800,5.77200,5.77200,-0.46000,-593.11900,610.30300,610.30300,2.12600,2.12600,-124.36200,-5.25900,482.80800,3.88500,-113.88000
2013-12-31,64.633,92.003,-22.218,69.785,-3.597,38.821,173.239,-145.704,28.017,0,0,-2.919,-120.606,-356.7962,-356.7962,430.468,430.468,-121.626,-4.382,-52.336,0.297,-111.143
2013-09-30,51.907,87.425,-6.899,80.526,7.784,-8.199,124.234,-540.618,22.435,0,0,6.137,-512.046,503.8671,503.8671,1.864,1.864,-117.821,-12.713,375.197,-12.615,-107.339
2013-06-30,56.517,77.223,-3.718,73.505,-3.36,35.137,165.159,-649.939,16.874,0.008,0.008,22.908,-610.149,582.838,582.838,0.742,0.742,-117.347,-2.827,463.406,18.416,-106.864
2013-03-31,73.22600,70.78600,-38.97700,31.80900,-2.94300,-48.76100,56.27400,-101.72900,59.45900,,,-46.94000,-89.21000,-624.71900,-624.71900,756.30600,756.30600,-95.57400,-4.16600,31.84700,-1.08900,-85.09200
2012-12-31,39.023,45.611,-0.461,45.15,-3.021,33.768,117.941,-367.151,16.28,0,0,-31.928,-382.799,348.442,348.442,0,0,-71.112,-10.018,267.312,2.454,-60.629
2012-09-30,37.458,43.614,-2.305,41.309,1.774,-26.172,52.595,-433.169,15.734,0.023,0.023,5.491,-411.921,425.181,425.181,0.611,0.611,-69.649,-0.087,356.056,-3.27,-59.167
2012-06-30,43.408,37.038,-2.509,34.529,1.986,27.67,105.607,-213.046,14.99,0,0,-6.31,-204.366,140.454,140.454,0.805,35.241,-68.624,-7.442,99.629,0.87,-58.36
2012-03-31,39.26300,37.43700,0.13500,37.57200,-0.16600,-26.50900,50.32600,-8.91300,3.55900,,,-3.93400,-9.28800,-205.20600,-205.20600,0.74300,234.18400,-66.40800,-2.57900,-40.00900,1.02900,-58.19200
2011-12-31,41.005,36.889,4.576,41.465,-6.161,17.235,99.705,-191.199,10.167,1.485,1.485,1.187,-178.36,140.659,140.659,0.652,0.652,-64.084,0.05,77.277,-1.378,-58.021
2011-09-30,40.78,33.155,-2.551,30.604,0.846,-9.105,62.279,-462.384,7.51,-0.082,-0.082,3.169,-451.787,96.462,96.462,204.157,204.157,-61.208,-0.031,239.38,-150.128,-55.145
2011-06-30,39.248,30.663,-0.642,30.021,0.317,26.173,95.442,-153.121,3.273,0.675,0.675,0.149,-149.024,150,150,0.788,0.788,-61.072,-10.17,79.546,25.964,-55.008
2011-03-31,35.99900,28.78800,0.35200,29.14000,7.50900,-23.61300,41.52600,-150.64300,1.09900,,,-6.14800,-155.69200,,,285.53300,285.53300,-57.18600,-2.08100,226.26600,112.10000,-51.12300
2010-12-31,37.877,22.838,0.108,22.946,-1.753,25.784,86.607,-412.161,10.485,0,0,-0.674,-402.35,0,0,235.692,235.692,-53.863,-4.061,177.768,-137.975,-47.8
2010-09-30,31.653,25.213,-1.463,23.75,0.948,-9.158,46.245,-13.972,8.942,0,0,-5.288,-10.318,-27.029,-27.029,196.899,196.899,-51.089,0.002,118.783,154.71,-45.026
2010-06-30,31.049,24.954,-1.27,23.684,0.414,19.256,73.989,-261.93,5.555,0,0,0.21,-256.165,233.26,233.26,1.652,1.652,-50.974,-1.739,182.199,0.023,-44.91
2010-03-31,30.20500,24.80200,-0.38500,24.41700,5.66100,-18.09500,36.52700,-28.71300,0.79700,,,-0.60900,-28.52500,35.30000,35.30000,-1.65200,-1.65200,-50.82700,,-17.17900,-9.17700,-44.76400
2009-12-31,35.331,22.919,-0.673,22.246,-1.399,20.306,77.883,-47.675,10.525,-0.17,-0.17,-4.479,-41.799,4.6,4.6,0,0,-50.704,0.004,-46.1,-10.016,-44.641
2009-09-30,33.151,23.441,-1.241,22.2,2.06,-13.336,42.015,-10.612,3.184,0.17,0.17,0,-7.258,0,0,0,0,-50.604,0.066,-50.538,-15.781,-44.541
2009-06-30,32.561,24.108,-1.971,22.137,-1.051,16.493,71.191,-0.593,5.272,0,0,0,4.679,0,0,0,0,-50.528,0.043,-50.485,25.385,-44.464
2009-03-31,30.08400,24.16000,0.37400,24.53400,3.99700,-19.00000,35.61800,-2.43900,1.09300,,,,-1.34600,-20.00000,-20.00000,,,-50.42500,-0.22400,-70.64900,-36.37700,-44.36200
