,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2016-03-31,246.03300,194.98300,23.02800,218.01100,-133.96500,-22.74800,-76.31700,-10.15600,35.92000,499.96400,-431.47200,,1.37800,1.37800,5.49400,-424.60000,500.00000,-391.45300,108.54700,,,-143.03700,-13.85500,-48.34500,27.01900,-141.15700
2015-12-31,183.685,150.219,-171.785,-21.566,108.645,-13.268,142.042,35.661,-79.685,82.434,-546.854,-23.353,60.513,60.513,9.06,-500.634,400,145.453,545.453,0,0,-134.308,-4.779,406.366,-11.834,-132.428
2015-09-30,237.799,151.033,-27.805,123.228,-24.458,-12.664,-5.484,-0.856,125.008,486.035,-436.906,0,1.79,1.79,-7.59,-442.706,24.877,61.8,86.677,0,0,-134.307,3.613,-44.017,-0.688,-132.427
2015-06-30,209.387,162.502,56.742,219.244,204.315,-8.128,-168.68,-24.953,-54.89,373.741,-377.793,0,21.753,21.753,4.755,-351.285,133.423,-49.8,83.623,0,0,-134.383,-6.254,-57.014,-34.558,-132.503
2015-03-31,255.13300,224.44100,25.39000,249.83100,-328.29900,68.17200,-59.49600,34.17900,-13.42300,491.54100,-362.58600,,-2.00500,-2.00500,0.06600,-364.52500,450.00000,-399.57500,50.42500,,,-134.31200,-10.80500,-94.69200,32.32400,-132.43300
2014-12-31,223.489,137.311,56.16,193.471,-55.676,-14.163,214.191,36.404,-169.001,247.959,-486.251,-9.779,-1.377,-1.377,28.828,-468.579,75.099,279.075,354.174,0,0,-121.027,-15.53,217.617,-3.003,-119.147
2014-09-30,236.493,130.68,48.769,179.449,-8.893,-53.78,43.506,21.146,91.412,507.354,-393.45,0,-0.195,-0.195,-8.142,-401.787,-200,219,19,0,0,-120.799,3.842,-97.957,7.61,-118.919
2014-06-30,129.247,148.665,271.666,420.331,124.651,-48.408,-166.859,-53.035,-146.711,402.867,-375.352,0,3.241,3.241,1.836,-370.275,-51.65,86.5,34.85,0,0,-120.581,-1.915,-87.646,-55.054,-118.701
2014-03-31,237.83600,208.70500,149.08800,357.79300,-182.22100,75.04100,53.90500,11.28200,-101.83300,493.79600,-348.69100,,-4.10000,-4.10000,1.63700,-351.15400,325.00000,-299.50000,25.50000,,,-120.33900,-2.01700,-96.85600,45.78600,-118.46000
2013-12-31,179.276,174.796,104.598,279.394,-65.117,-1.677,57.893,59.143,27.901,486.571,-383.028,-69.259,1.089,1.089,68.953,-382.245,240.715,-225,15.715,0,0,-122.901,-11.717,-118.903,-14.577,-121.021
2013-09-30,211.381,219.15,-34.154,184.996,2.797,-24.098,14.867,-11.74,11.567,407.944,-373.507,4.138,28.504,28.504,-0.294,-341.159,-479.965,548.5,68.535,0,0,-111.532,-1.902,-44.899,21.886,-109.652
2013-06-30,173.064,222.209,5.238,227.447,28.202,-17.523,-40.463,-37.791,-104.63,295.881,-311.302,65.121,4.115,4.115,-28.84,-270.906,569.755,-492.5,77.255,0,0,-117.68,-9.312,-49.737,-24.762,-115.637
2013-03-31,229.96800,243.52500,241.04000,484.56500,-129.43100,28.48700,-86.91600,-32.23500,-241.39000,473.14300,-388.95000,,-85.96000,-85.96000,27.99700,-446.91300,337.47100,-228.00000,109.47100,,,-118.31000,-2.32200,-11.16100,15.06900,-116.43100
2012-12-31,176.595,193.998,-91.16,102.838,7.463,1.434,79.969,28.677,85.791,365.224,-390.522,-6.199,-11.484,-11.484,1.617,-406.588,-40.783,170.75,129.967,0,0,-109.571,-6.733,13.663,-27.701,-107.691
2012-09-30,209.508,231.353,132.049,363.402,-111.072,-7.808,-31.775,44.754,-97.308,475.602,-391.374,18.051,-9.206,-9.206,10.94,-371.589,-58.648,95.75,37.102,0,0,-109.528,13.379,-59.047,44.966,-107.648
2012-06-30,46.219,210.828,-5.157,205.671,54.119,10.587,13.699,-24.659,59.697,311.587,-386.082,-11.852,-10.022,-10.022,20.678,-387.278,-304.138,215.5,-88.638,0,17.903,-109.483,1.013,-179.205,-254.896,-107.604
2012-03-31,100.75500,104.61200,-37.22100,67.39100,29.27600,30.10800,-190.23200,-40.24000,-159.33000,8.81600,-304.29400,,-0.62300,-0.62300,2.44800,-302.46900,300.00000,343.00000,643.00000,,-17.90300,-53.49400,-1.13000,570.47300,276.82000,-52.10400
2011-12-31,114.779,101.7,1.99,103.69,-44.087,-6.961,-47.702,21.988,-136.53,81.939,-374.511,0,-0.743,-0.743,66.523,-308.731,-142.2,287,144.8,0,124.086,-50.08,-2.176,216.63,-10.162,-48.69
2011-09-30,91.431,129.038,-144.904,-15.866,-19.039,-17.064,90.599,11.214,126.187,201.752,-280.534,0,-0.593,-0.593,-1.021,-282.148,367.208,-107,260.208,0,-124.086,-50.048,-4.064,82.01,1.614,-48.658
2011-06-30,78.719,106.806,37.339,144.145,72.497,-29.998,5.297,12.648,91.065,313.929,-184.996,0,-0.611,-0.611,-5.156,-190.763,-19.538,-52,-71.538,0,0,-50.008,-1.872,-123.418,-0.252,-48.619
2011-03-31,115.58400,125.64000,124.60000,250.24000,8.19900,42.99000,-29.27800,-33.28100,6.94200,372.76600,-236.68900,,-0.58400,-0.58400,0.32800,-236.94500,-16.86800,-78.00000,-94.86800,,,-49.97800,0.98900,-143.85700,-8.03600,-48.58800
2010-12-31,131.223,169.069,82.373,251.442,-72.19,4.789,15.246,-11.495,-132.849,249.816,-276.893,0,-0.569,-0.569,9.255,-268.207,-65.14,111,45.86,0,0,-46.583,1.33,0.607,-17.784,-45.193
2010-09-30,101.936,181.729,48.695,230.424,-13.798,-18.687,-6.121,25.162,-22.492,309.868,-235.175,0,-0.676,-0.676,-6.043,-241.894,-67.124,-1.313,-68.437,0,0,-46.545,-0.588,-115.57,-47.596,-45.155
2010-06-30,73.347,142.965,38.604,181.569,41.961,3.593,-7.292,23.393,53.16,308.076,-239.917,0,-0.6,-0.6,-3.891,-244.408,-16.317,57,40.683,0,0,-46.495,0.907,-4.905,58.763,-45.106
2010-03-31,87.60100,129.89900,28.17300,158.07200,-7.25800,48.43100,-46.18800,-19.59400,-19.97000,225.70300,-202.48700,,-0.49400,-0.49400,-0.47800,-203.45900,28.43100,,28.43100,,,-46.47800,-1.13700,-19.18400,3.06000,-45.08800
2009-12-31,86.107,125.984,62.628,188.612,-31.619,7.057,33.999,-12.721,-46.731,227.988,-273.7,0,-0.613,-0.613,3.665,-270.648,89.133,-224.921,-135.788,-5.234,-5.234,-43.124,4.781,-179.365,-222.025,-41.734
2009-09-30,66.178,144.285,28.321,172.606,-35.475,-16.682,-30.734,29.015,14.009,252.793,-213.552,0,0.097,0.097,1.359,-212.096,-62.882,-168.755,-231.637,1.118,1.118,-43.116,0.767,-272.868,-232.171,-41.726
2009-06-30,84.243,130.728,97.024,227.752,147.692,-15.589,-36.948,12.748,56.389,368.384,-211.998,0,-0.156,-0.156,1.566,-210.588,-50.161,0.001,-50.16,0.061,0.061,-43.103,-0.274,-93.476,64.32,-41.714
2009-03-31,99.06400,139.87700,6.50300,146.38000,10.48300,51.17100,-174.49700,-35.91800,-105.49100,139.95300,-208.89600,,-1.62400,-1.62400,1.37300,-209.14700,187.54900,-124.90900,62.64000,387.35000,387.35000,-38.59700,-15.18700,396.20600,327.01200,-37.20700
