,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-03-31,1162.00000,335.00000,66.00000,401.00000,,-2214.00000,-2415.00000,-852.00000,-173.00000,84.00000,-2860.00000,1267.00000,-1593.00000,252.00000,-1430.00000,-1179.00000,7286.00000,6107.00000,-576.00000,-576.00000,-282.00000,-4278.00000,971.00000,-1261.00000,-246.00000
2017-12-31,1181,430,-227,203,0,-628,-93,1291,-264,0,-14232,-1953,-16185,-2755,-19204,-586,4433,3847,-593,-593,-297,12592,15549,-2332,-248
2017-09-30,1020,351,117,468,0,-233,3724,5212,-211,0,-1781,-261,-2042,2420,167,2740,556,3296,-513,-513,-288,-6339,-3844,1579,-253
2017-06-30,976,346,-17,329,0,918,-1917,-612,-436,0,-7453,-2112,-9565,-890,-10891,1210,-1567,-357,-388,-388,-248,12034,11041,-385,-199
2017-03-31,937.00000,347.00000,95.00000,442.00000,,-751.00000,-2603.00000,-1224.00000,-286.00000,,-6282.00000,-389.00000,-6671.00000,4180.00000,-2777.00000,2180.00000,4014.00000,6194.00000,-727.00000,-727.00000,-243.00000,-1192.00000,4032.00000,67.00000,-201.00000
2016-12-31,872,384,60,444,29,-158,3394,4710,-330,-4,26818,1562,28380,1180,29226,545,1769,2314,-532,-532,-250,-36404,-34872,-1033,-202
2016-09-30,993,370,-36,334,343,-234,-1232,95,-81,1,-134,-2228,-2362,-2196,-4638,865,428,1293,-434,556,-219,1898,3528,-852,-206
2016-06-30,875,384,-324,60,52,290,-1267,-332,-201,-38,7741,791,8532,-2677,5616,2043,-8024,-5981,-438,-438,-232,3432,-3219,1881,-184
2016-03-31,808.00000,364.00000,-21.00000,343.00000,57.00000,1624.00000,643.00000,1794.00000,-148.00000,,16290.00000,2016.00000,18306.00000,1922.00000,20080.00000,48.00000,-97.00000,-49.00000,-529.00000,-529.00000,-199.00000,-23710.00000,-24487.00000,-2609.00000,-186.00000
2015-12-31,696,373,337,710,-381,-925,-1264,142,-190,0,-21502,209,-21293,1944,-19539,219,5842,6061,-362,-362,-242,12243,17700,-1697,-186
2015-09-30,827,376,-198,178,0,216,346,1351,-112,17,14748,2503,17251,646,17802,705,-1010,-305,-626,-626,-204,-18209,-19344,-119,-191
2015-06-30,889,368,21,389,0,12,1427,2705,-137,0,-9066,2476,-6590,-1378,-8105,15,2192,2207,-702,288,-214,4312,6593,1186,-191
2015-03-31,810.00000,340.00000,-170.00000,170.00000,,283.00000,-1051.00000,-71.00000,-162.00000,-9.00000,-547.00000,-7345.00000,-7892.00000,-1882.00000,-9945.00000,-6.00000,-2772.00000,-2778.00000,-313.00000,-313.00000,-205.00000,13532.00000,10236.00000,197.00000,-192.00000
2014-12-31,257,316,-427,-111,0,1482,1040,1186,-196,-3,3768,-4138,-370,-447,-1016,-1595,2808,1213,-332,-332,-218,-245,418,560,-194
2014-09-30,1106,330,-485,-155,0,127,-38,913,370,0,22353,-12318,10035,5254,15659,778,2272,3050,-284,-284,-209,-18781,-16224,237,-196
2014-06-30,594,313,-107,206,0,798,2640,3440,-179,40,-24637,-3842,-28479,-5101,-33719,-121,786,665,-339,-339,-220,30246,30352,81,-197
2014-03-31,694.00000,333.00000,-129.00000,204.00000,,229.00000,-1953.00000,-1055.00000,-201.00000,-1.00000,11062.00000,-1048.00000,10014.00000,-2411.00000,7401.00000,1383.00000,1333.00000,2716.00000,-318.00000,-318.00000,-186.00000,-8929.00000,-6717.00000,-368.00000,-173.00000
2013-12-31,556,338,119,457,0,-2080,-1600,-587,-237,-2,-2140,-445,-2585,-1839,-4663,958,-1430,-472,-223,-223,-201,5273,4377,-844,-175
2013-09-30,983,345,312,657,0,-174,-736,904,-114,72,-16267,7080,-9187,1324,-7905,162,-1097,-935,-80,-80,-188,8516,7313,364,-175
2013-06-30,883,373,-289,84,0,564,818,1785,-132,-1,-2577,-3226,-5803,-1957,-7893,-812,4312,3500,-300,194,-189,5181,8686,2500,-177
2013-03-31,-237.00000,333.00000,53.00000,386.00000,,-2256.00000,-2893.00000,-2744.00000,-126.00000,-4.00000,14834.00000,-4367.00000,10467.00000,-3076.00000,7261.00000,877.00000,-194.00000,683.00000,-135.00000,-135.00000,-166.00000,-5137.00000,-4755.00000,-287.00000,-153.00000
2012-12-31,638,335,-204,131,0,234,-413,356,-198,-22,-20400,3061,-17339,-1453,-19012,-681,-3543,-4224,-135,-103,-167,22876,18382,-264,-154
2012-09-30,750,313,136,449,0,-1467,-300,899,-177,-3,5094,-9237,-4143,-259,-4582,-294,3372,3078,-280,256,-160,951,4125,469,-155
2012-06-30,496,299,-426,-127,0,-355,-109,260,-147,-4,-22667,-5401,-28068,-1941,-30160,-1588,1717,129,-279,221,-156,29939,30133,189,-156
2012-03-31,631.00000,299.00000,-31.00000,268.00000,,176.00000,-785.00000,114.00000,-124.00000,,29131.00000,-5450.00000,23681.00000,810.00000,24367.00000,365.00000,3366.00000,3731.00000,-389.00000,-389.00000,-158.00000,-27536.00000,-24352.00000,158.00000,-158.00000
2011-12-31,478,219,-182,37,0,2016,2379,2894,-62,-27,-5891,-5623,-11514,557,-11046,-1803,-961,-2764,-63,-63,-158,8625,5640,-2516,-158
2011-09-30,664,191,-104,87,0,-2477,-2431,-1680,-205,-17,-4961,-8878,-13839,-3047,-17108,5018,789,5807,-462,-462,-161,15041,20225,1131,-161
2011-06-30,757,183,137,320,0,728,-506,571,-203,-8,-31348,-1720,-33068,-2265,-35544,433,1588,2021,-261,-261,-162,34872,36470,1502,-162
2011-03-31,670.00000,183.00000,-27.00000,156.00000,,-692.00000,-400.00000,426.00000,-159.00000,-12.00000,-14945.00000,1374.00000,-13571.00000,-2738.00000,-16480.00000,-1066.00000,1958.00000,892.00000,-44.00000,-44.00000,-112.00000,15694.00000,16430.00000,383.00000,-112.00000
2010-12-31,694,216,319,535,0,484,-68,1161,-102,0,6734,-4958,1776,-360,1314,754,1370,2124,9,9,-112,-4523,-2502,-18,-112
2010-09-30,611,156,813,969,0,1146,1451,3031,-38,-2678,3373,-4352,-979,1789,-1906,-1330,1086,-244,669,669,-109,-1369,-1053,124,-109
2010-06-30,692,144,-61,83,0,-1536,-2108,-1333,-33,-115,-12518,1588,-10930,-3779,-14857,1709,-1297,412,11,11,-110,16158,16471,262,-110
2010-03-31,584.00000,113.00000,39.00000,152.00000,,-249.00000,455.00000,1191.00000,-43.00000,133.00000,-3337.00000,1120.00000,-2217.00000,2639.00000,512.00000,-412.00000,135.00000,-277.00000,-2.00000,-2.00000,-109.00000,-1738.00000,-2126.00000,-425.00000,-109.00000
2009-12-31,594,191,-227,-36,0,199,697,1255,-33,-353,792,-946,-154,-1172,-1712,-1406,1151,-255,7,7,-108,1192,836,366,-109
2009-09-30,-2457,193,3539,3732,0,-241,938,2213,-94,0,-3725,-3992,-7717,1767,-6044,-1097,2462,1365,-125,-125,-112,2258,3386,-425,-112
2009-06-30,410,176,-72,104,0,-55,224,738,-59,-5,12442,-12335,107,2249,2292,3147,826,3973,1342,-1658,-137,-5142,-2964,111,-101
2009-03-31,370.00000,151.00000,357.00000,508.00000,,-539.00000,-1303.00000,-425.00000,-126.00000,-6.00000,25219.00000,1746.00000,26965.00000,1719.00000,28552.00000,-4893.00000,-516.00000,-5409.00000,-1.00000,-1.00000,-315.00000,-23506.00000,-29231.00000,-1209.00000,-277.00000
