,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-04-30,40.00000,145.00000,33.00000,178.00000,65.00000,-110.00000,-19.00000,-291.00000,-73.00000,-123.00000,,,,17.00000,-106.00000,,7.00000,7.00000,-9.00000,-9.00000,-83.00000,-1.00000,-86.00000,-267.00000,23.00000,-83.00000
2019-01-31,540,135,91,226,-55,691,86,598,1364,-68,0,0,0,-3,-71,-4,-61,-65,0,0,-166,2,-229,1065,22,-166
2018-10-31,-43,138,105,243,-9,-650,15,-399,-199,-216,0,0,0,8,-208,0,92,92,-14,-14,-165,-2,-89,-495,25,-165
2018-07-31,99,137,37,174,-40,33,18,18,291,-185,0,-1,-1,15,-171,-52,19,-33,-109,-109,-167,-2,-311,-189,25,-167
2018-04-30,48.00000,137.00000,12.00000,149.00000,41.00000,-114.00000,9.00000,-276.00000,-79.00000,-160.00000,,1.00000,1.00000,,-159.00000,,13.00000,13.00000,-88.00000,-88.00000,-168.00000,,-243.00000,-483.00000,25.00000,-168.00000
2018-01-31,664,133,-46,87,-22,479,-10,517,1268,-108,0,-27,-27,18,-117,-45,8,-37,-163,-163,-170,1,-369,780,28,-170
2017-10-31,86,133,23,156,-41,-598,78,-325,-83,-227,0,0,0,-4,-231,0,16,16,-152,-152,-172,-1,-309,-625,24,-172
2017-07-31,139,128,21,149,-30,34,29,-74,214,-207,0,17,17,-5,-195,0,20,20,-59,-59,-172,-8,-219,-195,25,-172
2017-04-30,94.00000,130.00000,21.00000,151.00000,80.00000,-52.00000,-77.00000,-238.00000,7.00000,-165.00000,,10.00000,10.00000,,-155.00000,,8.00000,8.00000,-66.00000,-66.00000,-172.00000,,-230.00000,-379.00000,25.00000,-172.00000
2017-01-31,632,129,127,256,31,557,105,691,1579,-112,0,3,3,-3,-112,0,13,13,-24,-24,-172,-1,-184,1280,26,-172
2016-10-31,121,121,14,135,-60,-450,-29,-353,-97,-328,-2,5,5,-2,-327,0,6,6,-27,-27,-173,-1,-195,-619,24,-173
2016-07-31,253,112,-47,65,-18,58,-21,233,551,-310,0,110,110,11,-189,-50,4,-46,-172,-172,-173,40,-351,6,25,-173
2016-04-30,152.00000,110.00000,32.00000,142.00000,3.00000,-135.00000,45.00000,-337.00000,-43.00000,-187.00000,-31.00000,1.00000,11.00000,2.00000,-205.00000,,6.00000,6.00000,-250.00000,-250.00000,-750.00000,-41.00000,-1035.00000,-1281.00000,21.00000,-750.00000
2016-01-31,636,111,96,207,20,494,104,922,1765,-124,0,9,9,4,-111,0,2,2,-206,-206,-145,-65,-414,1237,24,-145
2015-10-31,164,100,15,115,-24,-515,-4,-392,-113,-184,0,0,40,-1,-145,988,5,993,-60,-60,-146,2,789,531,23,-146
2015-07-31,203,103,10,113,-19,29,27,215,531,-91,0,0,0,0,-91,0,0,0,-177,-177,-146,13,-310,131,24,-146
2015-04-30,250.00000,101.00000,-89.00000,12.00000,13.00000,-100.00000,34.00000,-418.00000,-156.00000,-132.00000,85.00000,,-50.00000,1.00000,-96.00000,,,,-95.00000,-95.00000,-734.00000,48.00000,-781.00000,-1032.00000,26.00000,-734.00000
2015-01-31,565,101,61,162,21,442,83,689,1416,-130,0,0,0,1,-129,-213,0,-213,-32,-32,-100,1,-344,936,23,-100
2014-10-31,132,98,9,107,-41,-412,-41,-315,-76,-236,0,0,0,0,-236,0,0,0,6,6,-100,4,-90,-402,22,-100
2014-07-31,188,99,34,133,-17,145,23,214,535,-199,0,0,0,0,-199,0,0,0,0,0,-99,-3,-102,235,23,-99
2014-04-30,157.00000,100.00000,-7.00000,93.00000,28.00000,-54.00000,-1.00000,-339.00000,-89.00000,-150.00000,,,,15.00000,-135.00000,,,,-26.00000,-26.00000,-392.00000,35.00000,-383.00000,-607.00000,22.00000,-392.00000
2014-01-31,490,98,38,136,-1,474,85,653,1279,-93,0,0,0,-13,-106,0,0,0,5,5,-88,5,-78,1094,24,-88
2013-10-31,92,87,10,97,-54,-518,-38,-574,-385,-215,0,46,46,1,-168,495,0,495,12,12,-87,6,426,-126,21,-87
2013-07-31,178,92,13,105,-15,-12,-7,191,474,-234,0,0,0,11,-223,0,0,0,0,0,-87,5,-82,169,20,-87
2013-04-30,143.00000,91.00000,6.00000,97.00000,27.00000,-112.00000,6.00000,-360.00000,-120.00000,-149.00000,,,,-9.00000,-158.00000,,,,-45.00000,-45.00000,-87.00000,20.00000,-112.00000,-391.00000,20.00000,-87.00000
2013-01-31,411,186,59,245,10,442,74,620,1276,-97,0,35,35,2,-60,-57,0,-57,-3,-3,-942,13,-989,226,24,-942
2012-10-31,74,87,-16,71,-37,-389,-16,-275,-130,-162,0,0,0,9,-153,0,0,0,-6,-6,-361,3,-364,-646,16,-361
2012-07-31,143,88,0,88,-15,42,61,157,388,-193,0,0,0,-1,-194,0,0,0,-225,-225,-73,13,-285,-93,17,-73
2012-04-30,125.00000,86.00000,-64.00000,22.00000,47.00000,-102.00000,-41.00000,-330.00000,-183.00000,-136.00000,,,,12.00000,-124.00000,985.00000,,985.00000,-343.00000,-343.00000,-73.00000,87.00000,656.00000,351.00000,16.00000,-73.00000
2012-01-31,359,324,-165,159,-95,477,158,654,1172,-88,124,0,0,-23,13,0,0,0,-103,-103,-653,8,-748,437,13,-653
2011-10-31,95,84,7,91,-50,-435,-2,-315,-129,-176,0,0,0,0,-176,0,0,0,-177,-177,-60,6,-231,-537,14,-60
2011-07-31,231,90,23,113,-39,-30,-40,-103,241,-85,0,0,0,0,-85,0,0,0,-319,-319,-367,8,-678,-522,12,-367
2011-04-30,165.00000,90.00000,-80.00000,10.00000,32.00000,-39.00000,-13.00000,-193.00000,-18.00000,-77.00000,,,,99.00000,22.00000,981.00000,,981.00000,-516.00000,-516.00000,-64.00000,19.00000,420.00000,427.00000,12.00000,-64.00000
2011-01-31,453,99,-44,55,17,424,130,695,1203,-77,0,0,0,56,-21,0,0,0,-32,-32,-1017,7,-1042,142,26,-1017
2010-10-31,61,89,5,94,-38,-371,-47,-258,-103,-87,0,0,0,5,-82,-24,0,-24,-57,-57,-49,2,-128,-312,15,-49
2010-07-31,178,88,-60,28,-27,13,6,38,244,-66,32,0,0,20,-14,-31,0,-31,-41,-41,-49,4,-117,112,10,-49
2010-04-30,113.00000,89.00000,-21.00000,68.00000,37.00000,-57.00000,-38.00000,-241.00000,-60.00000,-44.00000,,,,55.00000,11.00000,-200.00000,,-200.00000,11.00000,11.00000,-373.00000,-8.00000,-570.00000,-616.00000,13.00000,-373.00000
2010-01-31,356,98,4,102,34,389,57,586,1044,-42,0,0,0,33,-9,-158,0,-158,5,5,-48,0,-201,836,8,-48
2009-10-31,15,89,57,146,-21,-335,-42,-275,-114,-63,9,0,0,-2,-56,-368,0,-368,3,3,-49,0,-414,-582,10,-49
2009-07-31,74,88,3,91,-29,130,20,197,362,-46,0,0,0,0,-46,343,0,343,0,0,-48,0,295,614,11,-48
2009-04-30,3.00000,85.00000,14.00000,99.00000,38.00000,-28.00000,14.00000,-220.00000,-118.00000,-51.00000,,,,,-51.00000,,,,,,-48.00000,-19.00000,-67.00000,-237.00000,11.00000,-48.00000
2009-01-31,216,558,-43,515,103,45,153,223,954,-479,159,0,0,80,-240,-15,0,-15,-348,-348,-201,2,-562,155,35,-201
