,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,1606.4,112.9,136.1,249,-30.4,-126,343.5,93.1,1948.5,-105,0,-141.8,0,-578.6001,-578.6001,-7.3,-832.7,1467.3,0,1467.3,-2798.5,-2798.5,17.8,-1313.4,-206.4,48.1
2020-03-31,1392.60000,119.90000,282.70000,402.60000,-238.40000,-62.20000,320.10000,-327.90000,1467.30000,-149.70000,-37.00000,,,705.10010,705.10010,-75.50000,442.90000,,,,-2249.80000,-2249.80000,4.50000,-2245.30000,-322.40000,67.70000
2019-12-31,1439.7,113,147.6,260.6,71.2,-66.5,-94.1,259.9,1960.2,-110.4,589.4,-744.4,0,942.2,942.2,31.6,708.4,0,0,0,-2076.2,-2076.2,-40.2,-2116.4,569.8,38.4
2019-09-30,1545.9,329.5,-3.6,325.9,0.5,-61.4,-223,-176.9,1694.9,-90.1,-744.4,1668.1,0,-1198.9,-1198.9,-0.6,-365.9,0,0,0,-711.2,-711.2,22.2,-689,620.5,45.9
2019-06-30,1494.1,117,89.8,206.8,133.7,-20.3,227.4,263.1,1964,-186.9,0,-744.4,0,826.2,826.2,-5.7,-110.8,0,0,0,-2392.9,-2392.9,17.2,-2375.7,-519.8,52.3
2019-03-31,1408.80000,121.10000,76.40000,197.50000,-136.60000,129.00000,-0.80000,-146.80000,1459.50000,-127.10000,0.00000,-300.00000,,664.20000,664.20000,1.70000,238.80000,,,,-688.00000,-688.00000,8.70000,-679.30000,1018.60000,45.70000
2018-12-31,944.9,-36.4,636.1,599.7,48.8,-20.2,-42.6,350.8,1895.4,-225.9,0,-187.5,0,-1098.5992,-1098.5992,-113.3,-1625.3,0,0,0,-1345.9,-1345.9,-91.1,-1437,-1162.1,38.5
2018-09-30,1442.9,346.5,-124.8,221.7,-66.8,8.2,42.5,71.3,1735.9,-163.2,0,-412.5,0,-127.5,-127.5,84.1,-619.1,-3.2,0,-3.2,7.6,7.6,20.7,25.1,1136.5,37.3
2018-06-30,915,171.5,19.1,190.6,-53.2,-42.7,-45.5,-6.3,1099.3,-186.8,-3,-762.9,0,-121.3,-121.3,-74.5,-1148.5,0,0,0,-2743.1,-2743.1,-48.4,-2791.5,-2857.8,38.3
2018-03-31,1171.20000,168.90000,132.60000,301.50000,-134.00000,2.60000,237.60000,-15.60000,1457.10000,-194.70000,,-600.00000,,2149.70000,2149.70000,-8.40000,1346.60000,,,,-271.20000,-271.20000,2.60000,-268.60000,2534.20000,43.40000
2017-12-31,-166.3,209,259.9,468.9,-209.8,75.8,1072.6,1215.7,1518.3,-230.6,-65,-300,0,-168.0005,-168.0005,-5.9,-769.5,-557.7,0,-557.7,10.7,10.7,-161.1,-708.1,25.7,30.6
2017-09-30,1226.1,177.4,64.3,241.7,75.4,-85,222.3,160.5,1628.3,-229.1,-50.1,-300,0,-669.7998,-669.7998,2.1,-1246.9,-3.2,0,-3.2,7.1,7.1,-23.4,-19.5,378.5,30.1
2017-06-30,862.8,182.6,109.1,291.7,-105.5,-39.1,-72.6,14.7,1169.2,-197.7,-5.1,-300,0,420.8999,420.8999,-120.6,-202.5,0,0,0,-774.1,-774.1,23.1,-751,245.6,30.3
2017-03-31,747.50000,512.00000,131.20000,643.20000,-195.70000,-46.20000,-229.40000,-1155.50000,235.20000,-210.00000,-855.20000,-300.00000,,627.60010,627.60010,-6.60000,-744.20000,,,,-609.10000,-609.10000,-292.30000,-901.40000,-1402.50000,37.00000
2016-12-31,647.9,177.4,-22.7,154.7,-3.3,-10.5,-4.7,779.3,1581.9,-182.1,-1.2,-300,0,-88.3999,-88.3999,-10,-581.7,0,0,0,-647.2,-647.2,-79.3,-726.5,241.7,37
2016-09-30,1030.2,180.2,23.5,203.7,-173.1,-26.8,16.4,-242.6,991.3,-170.3,-110.4,-300,0,563.7996,563.7996,53.1,36.2,-2.7,0,-2.7,-339.4,-339.4,36.8,-305.3,722.8,33.7
2016-06-30,1048.4,175.4,40.5,215.9,95,-39.7,-341.7,-266.1,998.2,-136.8,28.6,-300,0,-276.4,-276.4,-51.5,-736.1,0,0,0,-21.9,-21.9,6.1,-15.8,231.3,38.8
2016-03-31,969.20000,149.70000,42.30000,192.00000,-160.00000,-88.60000,239.90000,-145.40000,1015.80000,-126.90000,-28.60000,-300.00000,,-733.30000,-733.30000,-14.40000,-1203.20000,,,,,,-5.00000,-5.00000,-177.30000,45.30000
2015-12-31,828.7,156.3,198.9,355.2001,92.6,-24,-382.6,59.8,1243.7,-186.1,-9.1,-300,0,-1295.2,-1295.2,-17.1,-1807.5,-0.4,0,-0.4,-2118.2,-2118.2,-83.1,-2201.7,-2781,29.9
2015-09-30,1019.5,151.6,-20,131.6,-24.7,-69.1,-157.3,-255.7,895.4,-229.2,-6.3,-300,0,-437.2,-437.2,-17.3,-990,5928.8,0,5928.8,-2945.2,-2945.2,-76,2907.6,2806.9,37.8
2015-06-30,924.8,144.6,-38.6,106,89.4,-59.8,-48.7,16.5,1047.3,-129.9,0,0,0,-1120.1,-1120.1,-3.4,-1253.3,0,0,0,-33.1,-33.1,29.6,-3.6,-196,41.6
2015-03-31,820.20000,147.90000,35.90000,183.80000,-128.30000,-21.50000,84.30000,-271.00000,733.00000,-97.80000,,-448.80000,,50.60000,50.60000,-6.70000,-502.80000,,,,25.60000,25.60000,55.10000,80.80000,273.20000,52.10000
2014-12-31,882.62,157.592,2.276,159.868,-215.343,-66.01,-53.304,-109.6401,932.848,-106.946,-28.2,-200,0,-68.4872,-68.4872,25.331,-378.302,-0.026,0,-0.026,-516.879,-516.879,3.613,-513.292,18.581,35.792
2014-09-30,856.12,175.406,-78.613,96.793,-108.096,-47.201,66.835,-38.88,914.033,-62.546,0,-150,0,-325.6321,-325.6321,-2.386,-540.564,-2.674,0,-2.674,-11.593,-11.593,-20.856,-35.123,323.084,35.652
2014-06-30,723.132,164.139,-22.169,141.97,8.724,-55.709,31.407,125.491,990.593,-64.002,0,0,0,-561.3819,-561.3819,-4.743,-630.127,-22.363,0,-22.363,-303.428,-303.428,3.431,-322.36,34.596,37.516
2014-03-31,479.72800,190.96300,-104.69400,86.26900,-197.68500,-16.98000,-75.33800,-461.37100,104.62600,-54.30600,,-25.00000,,91.30100,91.30100,-6.00200,5.99300,22.36300,,22.36300,,,92.51200,114.87500,226.03900,46.34000
2013-12-31,457.265,158.343,-38.487,119.856,93.16,-61.086,86.526,291.906,869.027,-78.672,0.019,-15,0,-639.609,-639.609,23.254,-710.008,-0.06,0,-0.06,10.441,10.441,0.828,11.209,174.81,31.449
2013-09-30,487.616,147.477,-4.758,142.719,-34.172,-53.643,2.638,41.587,671.922,-80.188,0,0,0,-235.124,-235.124,-9.08,-324.392,0,0,0,-341.92,-341.92,23.398,-318.522,35.304,37.464
2013-06-30,490.67,128.427,-29.945,98.482,-110.142,-68.362,49.624,36.06,625.212,-54.151,-3262.719,0,0,-382.093,-382.093,2972.722,-726.241,-202.34,0,-202.34,17.185,17.185,14.392,-170.763,-270.795,30.63
2013-03-31,426.74900,97.45300,-63.21000,34.24300,-75.54600,-60.80900,35.21200,-282.05300,178.93900,-33.28900,,,,3168.82600,3168.82600,-2979.59600,155.94100,-250.00000,,-250.00000,-19.20600,-19.20600,30.78200,-238.42400,92.58100,36.75700
2012-12-31,292.127,96.876,28.968,125.844,-14.915,-57.886,-110.635,89.936,507.907,-69.037,0,0,0,-305.914,-305.914,-0.503,-375.454,-2.428,0,-2.428,-12.329,-12.329,-0.767,-15.524,118.998,30.188
2012-09-30,398.399,94.203,5.954,100.157,29.244,-38.06,52.044,43.228,541.784,-58.064,0,0,0,-448.9591,-448.9591,-15.367,-522.39,0,0,0,-38.023,-38.023,9.773,-28.25,-5.088,27.911
2012-06-30,387.141,90.624,-3.881,86.743,78.308,-25.336,26.694,161.697,635.581,-897.33,0,0,0,847.0891,847.0891,-2.875,-53.116,0,0,0,-427.779,-427.779,10.339,-417.44,158.672,28.071
2012-03-31,302.36600,83.94500,-0.55300,83.39200,-89.06600,-19.02700,-1.00900,-191.13300,194.62500,769.88300,,-72.40100,,-677.09200,-677.09200,-19.77200,0.61800,,,,-439.09100,-439.09100,22.82700,-416.26400,-216.40300,32.39600
2011-12-31,300.21,88.721,99.904,188.6251,-56.04,-23.452,-25.828,-14.861,473.974,-70.442,0,-5,0,-305.356,-305.356,-8.734,-389.532,-11.459,0,-11.459,-96.216,-96.216,-35.134,-142.809,-60.598,26.38
2011-09-30,353.662,87.367,107.59,194.957,37.575,-35.767,9.345,21.904,570.523,-51.349,0,0,0,-506.1871,-506.1871,-29.641,-587.177,0,0,0,13.583,13.583,-112.711,-99.128,-122.386,29.226
2011-06-30,304.048,90.3,-6.164,84.136,35.803,0,-75.896,41.482,429.666,-54.086,0,0,0,-488.0849,-488.0849,-4.619,-546.79,0,0,0,3.44,3.44,18.467,21.907,-93.149,24.28
2011-03-31,308.76600,92.54500,85.40400,177.94900,-90.71200,,6.63800,-233.13700,253.57800,-32.14300,,,,-120.64700,-120.64700,25.99500,-126.79500,,,,-104.13200,-104.13200,4.30000,-99.83200,31.07700,33.11900
2010-12-31,271.752,95.655,12.359,108.014,-26.508,-20.838,-14.862,51.29,431.056,-48.835,0,-32.5,0,-437.2869,-437.2869,0,-518.622,-1.891,-2.586,-4.477,103.039,103.039,127.364,225.926,132.841,33.232
2010-09-30,112.179,90.128,236.564,326.692,-49.764,-5.136,3.161,-10.63,428.241,-38.96,0,-84.952,0,54.158,54.158,0,-69.754,-2.04,-0.326,-2.366,-450.991,-450.991,-7.902,-461.259,-94.205,39.224
2010-06-30,294.649,87.451,5.832,93.283,-2.754,9.183,-25.002,40.549,428.481,-47.051,0,0,0,731.015,731.015,0,683.964,-12.131,4.738,-7.393,-1021.379,-1021.379,2.646,-1026.126,81.403,44.364
2010-03-31,219.99300,82.51000,112.04200,194.55200,-20.20100,12.26400,13.14100,-77.65000,336.89500,-38.20900,,-39.97600,,327.92200,327.92200,,249.73700,-2.01100,-1.82600,-3.83700,-524.76200,-524.76200,5.13900,-523.46000,57.67000,51.00600
2009-12-31,305.996,93.2,-16.022,77.178,-4.227,-17.577,-70.821,-103.834,279.34,-55.517,0,0,0,438.1394,438.1394,0,382.622,0,34.769,34.769,-678.965,-678.965,-22.561,-666.757,-3.899,41
2009-09-30,279.602,85.884,5.608,91.492,-32.373,-10.842,-0.939,-104.837,266.257,-38.408,0,0,0,-436.025,-436.025,0,-474.433,0,-0.028,-0.028,8.849,8.849,-2.438,6.383,-201.016,41.01
2009-06-30,144.885,126.731,2.455,129.186,-25.907,-1.633,-160.937,-45.52,228.551,-34.68,0,0,0,-176.8341,-176.8341,0,-211.514,-10.867,6.156,-4.711,7.344,7.344,0.518,3.151,22.7,41.003
2009-03-31,246.57900,122.14600,29.31600,151.46200,-37.93500,-12.72000,73.37100,-97.29100,300.75000,-37.04100,,,29.99100,-84.65600,-54.66500,,-91.70600,,-28.62200,-28.62200,-40.58800,-40.58800,2.28200,-66.92800,141.71900,37.88900
