,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-03-31,116.67800,71.56100,-10.39700,61.16400,0.87800,-26.29900,-22.58400,155.25800,-5.56200,,-0.11800,-4.20300,-4.32100,-5.65900,-15.54200,-3.06100,,-3.06100,0.68100,0.68100,-132.52100,-4.72300,-139.62400,0.09200,-132.52100
2018-12-31,87.947,74.266,3.359,77.625,-1.088,-7.632,-43.967,121.605,-0.059,0,0.28,16.642,16.922,6.027,22.89,15.497,-30,-14.503,0.104,0.104,-132.524,-0.377,-147.3,-2.805,-132.524
2018-09-30,100.725,74.972,-15.803,59.169,-2.989,-23.771,4.451,164.345,1.85,0,0.548,-18.855,-18.307,19.061,2.604,-309.053,130,-179.053,0.457,0.457,-132.521,-15.023,-326.14,-159.191,-132.521
2018-06-30,165.809,79.76,-63.439,16.321,4.082,-10.995,-22.423,159.707,134.693,0,-0.063,2.503,2.44,11.592,148.725,-23.394,-7.746,-31.14,-50.85,-50.85,-134.47,-4.708,-221.168,87.264,-134.47
2018-03-31,143.98200,81.38200,-36.37100,45.01100,5.22400,-12.30900,3.28600,192.27900,85.97800,-4.59200,0.12900,-2.42400,-2.29500,0.33500,79.42600,-165.03200,,-165.03200,8.86800,8.86800,-130.24100,-5.50000,-291.90500,-20.20000,-130.24100
2017-12-31,84.566,85.024,-5.263,79.761,-7.745,-2.75,-43.962,120.365,-47.359,0,0.704,30.002,30.706,0.645,-16.008,-100.8679,-17.101,-117.9689,222.196,222.196,-124.99,-1.669,-22.432,81.925,-124.99
2017-09-30,122.216,88.443,-47.671,40.772,-5.105,-12.491,30.794,193.782,-129.989,0,0.596,-1.682,-1.086,0.246,-130.829,626.2659,-450,176.2659,217.777,-7.223,-128.389,-90.118,-49.464,13.489,-128.389
2017-06-30,154.674,95.27,-84.097,11.173,-0.853,-3.621,-22.865,142.982,-140.287,34.424,-8.433,31.957,23.524,0.271,-82.068,-408.057,465,56.943,0.412,0.412,-126.478,-16.146,-85.269,-24.355,-126.478
2017-03-31,78.21500,92.07400,-5.78800,86.28600,5.76900,-21.10300,-7.44900,157.05200,-21.95500,-44.43400,0.45700,0.31400,0.77100,0.24300,-65.37500,86.35600,-15.04200,71.31400,0.56100,0.56100,-126.31500,-12.26900,-66.70900,24.96800,-126.31500
2016-12-31,80.686,90.884,-0.65,90.234,-10.35,18.817,-23.35,147.57,-51.872,0,0.03,-35.878,-35.848,4.86,-82.86,247.5029,-200.002,47.5009,0.586,0.586,-119.933,-20.923,-92.769,-28.059,-119.933
2016-09-30,-41.548,96.827,99.977,196.804,1.228,43.567,73.423,228.679,-93.242,-0.81,-1.084,-8.646,-9.73,40.676,-63.106,-435.562,126.428,-309.134,150.296,150.296,-118.654,-55.351,-332.843,-167.27,-118.654
2016-06-30,204.846,82.753,-121.187,-38.434,1.304,-75.259,-87.521,78.891,8.228,-45.445,-1.325,26.96,25.635,195.129,183.547,13.493,-79.981,-66.488,45.102,45.102,-118.428,-6.809,-146.623,115.815,-118.428
2016-03-31,142.15400,84.85600,-71.16800,13.68800,1.24700,-29.00200,-18.88600,136.95600,26.59900,-5.33300,1.85000,13.55300,15.40300,91.13300,127.80200,-407.17600,180.00000,-227.17600,111.41100,111.41100,-117.03000,0.50300,-232.29200,32.46600,-117.03000
2015-12-31,378.711,86.095,-351.132,-265.037,-2.495,-41.581,-82.615,31.059,730.062,-658.349,4.608,-61.357,-56.749,471.884,486.848,232.3731,-425,-192.6269,3.141,-171.859,-115.088,-29.712,-509.286,8.621,-115.088
2015-09-30,81.084,103.708,-22.019,81.689,5.011,-30.221,13.874,176.647,-12.925,-3.074,12.244,97.055,109.299,-79.302,13.998,-243.2461,200,-43.2461,2.095,2.095,-113.722,-0.691,-155.564,35.081,-113.722
2015-06-30,127.609,80.155,-41.839,38.316,0.598,-31.252,-43.02,122.905,8.102,0,58.361,11.075,69.436,50.437,127.975,-266.915,85,-181.915,3.214,3.214,-113.623,-33.701,-326.025,-75.145,-113.623
2015-03-31,312.73900,74.56900,-228.79800,-154.22900,-5.98100,-1.42400,4.58000,163.09000,-488.09500,,0.70000,-4.41400,-3.71400,-115.64700,-607.45600,443.55900,40.00000,483.55900,10.25800,10.25800,-113.40000,97.60400,478.02100,33.65500,-113.40000
2014-12-31,50.761,73.179,69.845,143.024,-11.228,-26.835,-74.447,119.338,719.517,-384.828,-6.889,-37.739,-44.628,-91.263,198.798,-51.142,-150,-201.142,7.787,7.787,-107.124,15.475,-285.004,33.132,-107.124
2014-09-30,197.309,70.618,-100.134,-29.516,0.99,-21.458,16.115,183.908,80.387,0,3.561,15.323,18.884,0.615,99.886,-568.704,350.216,-218.488,3.751,3.751,-107.05,0,-321.787,-37.993,-107.05
2014-06-30,91.95,67.63,13.932,81.562,-3.621,-11.673,-28.928,144.584,-207.261,0,0,68.598,68.598,-27.49,-166.153,476.729,-426.858,49.871,9.033,9.033,-106.937,-7.126,-55.159,-76.728,-106.937
2014-03-31,95.86000,61.66600,14.02800,75.69400,5.79900,-8.18000,9.95900,181.51300,-46.03700,,-4.33700,56.58700,52.25000,-12.03900,-5.82600,-78.52900,132.28800,53.75900,3.30300,3.30300,-106.76200,-5.84400,-55.54400,120.14300,-106.76200
2013-12-31,60.385,66.435,24.721,91.156,-4.201,-52.259,-115.347,36.194,-62.231,0,15.606,40.338,55.944,8.236,1.949,-229.394,41.301,-188.093,1.167,1.167,-100.6,-3.579,-291.105,-252.962,-100.6
2013-09-30,57.188,64.378,83.589,147.967,0.272,0.588,63.158,268.313,70.922,0,0.042,132.984,133.026,-36.21,167.738,-244.163,154.149,-90.014,1.101,1.101,-100.59,-1.268,-190.771,245.28,-100.59
2013-06-30,53.272,64.269,49.126,113.395,4.112,-43.614,-51.024,115.643,-18.139,0,10.594,273.643,284.237,-201.953,64.145,421.862,-503.225,-81.363,22.17,22.17,-101.42,-29.619,-190.232,-10.444,-101.42
2013-03-31,70.50800,62.77300,-15.47100,47.30200,7.03000,6.76800,32.07500,149.88500,-66.27200,,-33.42400,-0.81000,-34.23400,-61.09100,-161.59700,-117.63600,250.00000,132.36400,5.77200,5.77200,-97.74400,-3.66100,36.73100,25.01900,-97.74400
2012-12-31,91.655,64.778,-9.413,55.365,-8.309,-21.051,-75.556,71.464,44.168,0,0,55.042,55.042,-20.16,79.05,-270.619,235.117,-35.502,171.645,-288.355,-97.63,-16.681,-438.168,-287.654,-97.63
2012-09-30,57.085,66.773,-9.748,57.025,-7.071,-9.682,18.048,132.158,-84.029,0,0.038,137.196,137.234,-38.372,14.833,191.28,-226.558,-35.278,228.705,53.705,-100.785,-18.833,-101.191,45.8,-100.785
2012-06-30,72.387,66.306,4.266,70.572,4.757,-12.057,-24.401,118.558,-15.424,0,0.034,-24.525,-24.491,-72.489,-112.404,49.177,185.57,234.747,-0.454,-0.454,-92.149,-6.869,135.275,141.429,-92.149
2012-03-31,59.14800,64.88500,10.26400,75.14900,13.56300,-8.20100,22.57700,156.87400,-47.64500,,0.08400,45.73800,45.82200,-30.65600,-32.47900,-81.08400,-185.57000,-266.65400,365.90500,365.90500,-92.15800,-2.07000,5.02300,129.41800,-92.15800
2011-12-31,50.159,62.327,18.906,81.233,-14.089,4.303,-50.694,80.698,-77.731,0,9.713,35.247,44.96,-67.538,-100.309,-44.625,98.811,54.186,-0.317,-0.317,-88.09,-13.484,-47.705,-67.316,-88.09
2011-09-30,58.595,60.526,6.822,67.348,-0.732,-11.579,26.137,152.08,-74.163,0,0.011,47.848,47.859,-7.758,-34.062,-93.411,114.751,21.34,-0.492,-0.492,-88.094,-14.641,-81.887,36.131,-88.094
2011-06-30,41.314,61.954,9.839,71.793,4.501,3.584,-12.114,100.993,-12.025,0,169.745,19.802,189.547,-10.663,166.859,-18.144,-166.139,-184.283,0.619,0.619,-88.079,-0.08,-271.823,-3.971,-88.079
2011-03-31,32.02200,66.33200,14.88600,81.21800,-8.95100,-4.02400,1.60200,114.84200,-37.13500,,8.53400,22.55500,31.08900,-47.20200,-53.24800,-4.69200,64.71400,60.02200,0.72400,0.72400,-89.50100,-9.95500,-38.71000,22.88400,-89.50100
2010-12-31,46.676,62.603,69.013,131.616,-3.993,-11.681,-56.561,121.731,-67.303,0,24.119,29.648,53.767,-22.651,-36.187,-18.502,-20.715,-39.217,6.72,6.72,-76.772,-9.237,-118.506,-32.962,-76.772
2010-09-30,32.988,61.863,-4.338,57.525,-10.976,12.875,37.957,128.47,-12.218,0,-8.428,98.412,89.984,-108.686,-30.92,-125.217,-31.908,-157.125,170.757,170.757,-76.754,-11.595,-74.717,22.833,-76.754
2010-06-30,27.277,61.581,30.461,92.042,-1.642,-15.621,-32.771,86.548,130.023,0,1.27,-15.309,-14.039,20.519,136.503,-97.814,1.167,-96.647,0.149,0.149,-76.732,-51.975,-225.205,-2.154,-76.732
2010-03-31,54.71000,61.59000,4.95600,66.54600,-0.77700,-13.44100,21.93000,143.18600,-28.38400,,4.45300,-9.21300,-4.76000,1.65200,-31.49200,-46.69500,40.14700,-6.54800,0.21100,0.21100,-76.70600,-13.27200,-96.31500,15.37900,-76.70600
2009-12-31,52.491,59.723,48.53,108.253,-10.749,-35.075,-79.11,81.634,-312.121,0,10.001,115.433,125.434,-101.587,-288.274,-245.392,139.0969,-106.2951,345.907,345.907,-34.425,-17.246,187.941,-18.699,-34.425
2009-09-30,43.645,56.639,18.358,74.997,-4.081,-18.371,5.354,123.996,-43.957,0,53.158,33.357,86.515,25.692,68.25,-164.774,-38.1679,-202.9419,0.717,0.717,-34.403,-3.786,-240.414,-48.168,-34.403
2009-06-30,-131.867,55.274,184.809,240.083,6.391,-16.123,-25.169,83.047,-54.131,0,9.915,-3.241,6.674,4.069,-43.388,324.846,-889.123,-564.277,717.776,717.776,-131.099,-23.116,-0.716,38.943,-131.099
2009-03-31,41.79200,56.14000,13.60700,69.74700,-11.43900,-10.21300,3.36600,114.90500,-50.46400,,7.51200,-40.19100,-32.67900,3.31900,-79.82400,-100.36000,211.50200,111.14200,0.04400,0.04400,-131.09700,-1.36500,-21.27600,13.80500,-131.09700
