,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-03-31,519.00000,155.00000,50.00000,205.00000,-662.00000,897.00000,592.00000,1316.00000,-176.00000,,-197.00000,-197.00000,,-373.00000,91.00000,91.00000,-35.00000,-35.00000,2.00000,58.00000,1001.00000,38.00000
2018-12-31,241,141,14,155,-477,15,-1030,-634,-186,-97,-739,-739,0,-1022,206,206,-54,-54,0,152,-1504,40
2018-09-30,16,139,-69,70,-143,-295,462,548,-127,-1721,-462,-462,0,-2310,113,113,-5,-5,-26,82,-1680,38
2018-06-30,299,111,8,119,-377,455,-944,-526,-144,-11,-334,-334,0,-489,1151,1151,2776,2776,-62,3865,2850,34
2018-03-31,338.00000,104.00000,63.00000,167.00000,-176.00000,1360.00000,1341.00000,1846.00000,-218.00000,-226.00000,-320.00000,-320.00000,,-764.00000,524.00000,524.00000,-9.00000,-9.00000,-2.00000,513.00000,1595.00000,33.00000
2017-12-31,223,97,-40,57,699,-377,170,450,-121,-50,-409,-409,12,-568,1,1,-47,-47,-33,-79,-198,36
2017-09-30,201,91,63,154,-53,-667,-258,97,-120,0,-83,-83,1,-202,-2,-2,-3,-3,-37,-42,-146,37
2017-06-30,252,87,23,110,-755,107,-668,-306,-98,0,-63,-63,0,-161,48,48,-2,-2,3,49,-418,30
2017-03-31,132.00000,86.00000,-19.00000,67.00000,59.00000,1227.00000,1049.00000,1248.00000,-83.00000,,-239.00000,-239.00000,-1.00000,-323.00000,,,-13.00000,-13.00000,3.00000,-10.00000,915.00000,32.00000
2016-12-31,259,89,138,227,980,-177,1106,1592,-95,-449,-293,-293,0,-837,171,171,-34,-34,-14,123,876,36
2016-09-30,148,78,25,103,215,-91,231,482,-117,14,-210,-210,0,-313,112,112,-2,-2,-8,102,272,29
2016-06-30,169,76,37,113,-947,289,-701,-419,-49,-80,-354,-354,0,-483,185,185,-5,-5,-4,176,-726,32
2016-03-31,-15.00000,35.00000,33.00000,68.00000,-174.00000,282.00000,143.00000,196.00000,-45.00000,-782.00000,-9.00000,-9.00000,,-836.00000,2402.00000,2402.00000,-22.00000,-22.00000,-64.00000,2316.00000,1676.00000,51.00000
2015-12-31,111,39,13,52,0,208,38,201,-49,-2,7,7,0,-44,-53,-53,-44,-44,35,-62,95,23
2015-09-30,94,57,-13,44,-19,-100,-76,62,-43,-5,-422,-422,0,-470,124,124,-2,-2,-16,106,-302,15
2015-06-30,88,26,10,36,-7,125,226,350,-31,-2,-41,-41,0,-74,24,24,-3,-3,4,25,301,17
2015-03-31,64.00000,27.00000,,27.00000,-334.00000,230.00000,-46.00000,45.00000,-27.00000,-9.00000,-196.00000,-196.00000,7.00000,-225.00000,247.00000,247.00000,-4.00000,-4.00000,-7.00000,236.00000,56.00000,16.00000
2014-12-31,105,24,36,60,-220,346,205,370,-34,-42,-191,-191,0,-267,-66,-66,-29,-29,20,-75,27,13
2014-09-30,78,23,-42,-19,-82,197,382,441,-27,0,-164,-164,0,-191,67,67,1,1,6,74,324,12
2014-06-30,49,22,9,31,-42,53,80,160,-24,-17,-199,-199,0,-240,74,74,-1,-1,-5,68,-12,12
2014-03-31,32.00000,20.00000,3.00000,23.00000,-119.00000,225.00000,197.00000,252.00000,-18.00000,-77.00000,-55.00000,-55.00000,,-150.00000,126.00000,126.00000,,,5.00000,131.00000,233.00000,11.00000
2013-12-31,55.164,16.78,6.122,22.902,-84.413,73.517,92.264,170.33,-21.617,-0.227,3.982,3.982,0,-17.862,149.842,149.842,-12.222,-12.222,6.583,144.203,296.671,9.748
2013-09-30,48.914,17.292,1.208,18.5,12.643,0.346,63.317,130.731,-16.326,4.059,-36.363,-36.363,0,-48.63,-30.724,-30.724,-0.779,-0.779,1.971,-29.532,52.569,10.297
2013-06-30,39.011,17.237,18.309,35.546,-14.496,-43.372,-36.611,37.946,-19.403,-66.832,-32.996,-32.996,0,-119.231,20.658,20.658,17.158,17.158,1.39,39.206,-42.079,8.58
2013-03-31,22.91100,15.69100,9.36100,25.05200,-56.73400,74.50900,-4.97000,42.99300,-10.65400,,-145.62300,-145.62300,,-156.27700,-0.77600,-0.77600,0.84300,0.84300,0.05600,0.12300,-113.16100,8.37500
2012-12-31,4.934,16.108,11.748,27.856,22.414,-121.358,-61.072,-28.282,-11.399,0,-38.051,-38.051,0,-49.45,144.422,144.422,-6.532,-6.532,-13.081,124.809,47.077,6.583
2012-09-30,0.295,16.626,-40.138,-23.512,93.331,229.93,340.399,317.182,-13.159,0,85.233,85.233,0,72.074,-15.821,-15.821,1.003,1.003,0.289,-14.529,374.727,6.424
2012-06-30,-38.832,16.653,37.16,53.813,-111.961,135.36,7.215,22.196,212.75,0,-302.523,-302.523,0,-89.773,54.194,54.194,0.959,0.959,1.32,56.473,-11.104,5.618
2012-03-31,22.60300,16.61300,12.23000,28.84300,-120.78400,98.06800,-83.54200,-32.09600,-270.19200,,149.34100,149.34100,,-120.85100,-0.79500,-0.79500,7.57000,7.57000,5.47200,12.24700,-140.70000,6.37500
2011-12-31,29.264,15.272,7.375,22.647,2,67.809,120.112,172.023,-16.77,-1.183,-29.972,-29.972,0,-47.925,-0.808,-0.808,-4.296,-4.296,3.047,-2.057,122.041,4.908
2011-09-30,28.213,14.488,7.517,22.005,2.84,-39.864,-13.699,36.519,-21.81,0,-38.23,-38.23,0,-60.04,-0.78,-0.78,1.067,1.067,0.441,0.728,-22.793,4.424
2011-06-30,28.063,14.242,10.104,24.346,-20.362,-11.877,-93.246,-40.837,-18.246,-3.192,12.305,12.305,0,-9.133,29.765,29.765,5.119,5.119,-2.509,32.375,-17.595,4.445
2011-03-31,22.82300,14.32500,3.69400,18.01900,4.21600,22.66500,53.14900,93.99100,-16.88200,,4.90400,4.90400,,-11.97800,-25.27700,-25.27700,6.11600,6.11600,-4.97300,-24.13400,57.87900,4.39400
2010-12-31,26.319,13.38,6.949,20.329,44.766,62.639,147.977,194.625,-26.596,-33.541,-114.481,-114.481,0,-174.618,66.465,66.465,-1.485,-1.485,-48.487,16.493,36.5,3.65
2010-09-30,23.2,13.702,8.607,22.309,-10.407,37.099,27.054,72.563,-28.358,-5.374,83.787,83.787,0,50.055,11.377,11.377,0.489,0.489,-2.418,9.448,132.066,3.336
2010-06-30,24.502,12.391,6.966,19.357,-53.261,-6.385,-103.615,-59.756,-40.503,-19.454,15.077,15.077,0,-44.88,20.074,20.074,1.129,1.129,-1.056,20.147,-84.489,3.428
2010-03-31,24.25000,12.52700,-7.33800,5.18900,-4.45700,-103.91500,-67.93900,-38.50000,-23.09900,-2.01900,-29.46600,-29.46600,13.42000,-41.16400,-75.10600,-75.10600,104.59600,104.59600,-3.48900,26.00100,-53.66300,3.46000
2009-12-31,23.771,13.204,1.984,15.188,2.76,72.758,32.259,71.218,-40.417,-7.03,-47.9649,-47.9649,0,-95.412,30.399,30.399,-0.117,-0.117,3.682,33.964,9.77,3.206
2009-09-30,23.81,9.908,6.632,16.54,22.946,19.841,74.508,114.858,-12.863,-23.912,-62.714,-62.714,0,-99.489,-11.424,-11.424,0.516,0.516,5.022,-5.886,9.483,3.817
2009-06-30,19.419,10.659,3.063,13.722,16.069,20.194,5.56,38.701,-18.676,-2.43,30.92,30.92,0,9.814,-1.562,-1.562,-4.821,-4.821,0.138,-6.245,42.27,3.822
2009-03-31,19.24500,10.23300,6.51000,16.74300,-39.39600,45.50000,-12.57000,23.41800,-11.15700,-5.19100,-68.65200,-68.65200,,-85.00000,25.42700,25.42700,0.48300,0.48300,-1.19800,24.71200,-36.87000,3.78900
