,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-08-31,4326,1308,262,1570,-557,-226,0,-531,5155,-2251,0,-18,0,-18,140,-2129,-3387,-3387,17,17,0,37,-3333,-340,47,0
2018-05-31,3823,1256,0,1256,-547,-184,0,-496,4261,-2411,0,-16,0,-16,183,-2244,-3069,-3069,80,80,0,-34,-3023,-1014,48,0
2018-02-28,3311,1177,75,1252,-509,-25,0,-425,4348,-2261,0,-255,0,-255,107,-2409,-135,-135,38,38,0,-41,-138,1811,52,0
2017-11-30,2678.00000,1119.00000,246.00000,1365.00000,-121.00000,-37.00000,,-351.00000,3636.00000,-1956.00000,,453.00000,,453.00000,69.00000,-1434.00000,-2594.00000,-2594.00000,1449.00000,1449.00000,,-137.00000,-1282.00000,914.00000,51.00000,
2017-08-31,2369,1098,-8,1090,-313,-58,0,-426,3203,-1265,0,-329,267,-62,49,-1278,-609,-609,-2,-2,0,-247,-858,1070,57,0
2017-05-31,1647,1051,139,1190,-565,-66,23,-496,2407,-1041,0,169,-18,151,16,-874,-1043,-1043,40,40,0,-131,-1134,417,57,0
2017-02-28,894,1034,43,1077,-372,35,-384,-621,1405,-1164,-2634,-599,-76,-675,24,-4449,2577,2577,39,39,0,-63,2553,-482,55,0
2016-11-30,180.00000,803.00000,47.00000,850.00000,-401.00000,139.00000,,37.00000,1138.00000,-1264.00000,,490.00000,-173.00000,317.00000,11.00000,-936.00000,-172.00000,-172.00000,29.00000,29.00000,,-69.00000,-212.00000,-52.00000,46.00000,
2016-08-31,-170,746,41,787,-3,31,0,297,896,-1923,0,499,-45,454,67,-1402,-148,-148,165,165,0,25,42,-452,43,0
2016-05-31,-215,785,129,914,-74,-312,0,-316,389,-1685,0,1229,-155,1074,-5,-616,1822,1822,6,6,0,-57,1771,1549,47,0
2016-02-29,-96,805,24,829,245,-173,0,3,763,-1219,0,737,94,831,22,-366,-322,-322,-3,-3,0,397,72,473,55,0
2015-11-30,206.00000,770.00000,-14.00000,756.00000,297.00000,-95.00000,,204.00000,1120.00000,-990.00000,,534.00000,-46.00000,488.00000,-158.00000,-660.00000,-23.00000,-23.00000,-120.00000,-120.00000,,3.00000,-140.00000,318.00000,46.00000,
2015-08-31,471,743,-253,490,56,41,-105,-166,1030,-1765,0,325,-38,287,-16,-1494,-238,-238,-629,-629,0,-66,-933,-1403,41,0
2015-05-31,491,707,82,789,184,-3,0,136,1335,-734,0,-822,-6,-828,42,-1520,270,270,13,13,0,76,359,147,43,0
2015-02-28,935,674,-126,548,-99,71,0,-195,1251,-853,0,-1253,-22,-1275,2,-2126,637,637,-186,-186,0,211,662,-217,49,0
2014-11-30,1002.00000,681.00000,67.00000,748.00000,252.00000,7.00000,,-62.00000,1592.00000,-669.00000,,-338.00000,-66.00000,-404.00000,-3.00000,-1076.00000,-786.00000,-786.00000,-8.00000,-8.00000,,-12.00000,-806.00000,-386.00000,35.00000,
2014-08-31,1151,590,-377,213,-188,77,58,-28,1347,-1307,0,-455,104,-351,-40,-1698,441,441,17,17,0,-4,454,88,34,0
2014-05-31,806,578,-30,548,128,-71,2,63,1455,-566,0,6,-1,5,10,-551,-1147,-1147,21,21,0,-23,-1149,-243,32,0
2014-02-28,741,561,41,602,36,-2,-3,53,1390,-565,0,-1,-24,-25,59,-531,-188,-188,49,49,0,-73,-212,651,27,0
2013-11-30,381.00000,541.00000,81.00000,622.00000,-494.00000,190.00000,186.00000,502.00000,1507.00000,-669.00000,,-38.00000,,-38.00000,585.00000,-122.00000,-737.00000,-737.00000,102.00000,102.00000,,43.00000,-592.00000,774.00000,22.00000,
2013-08-31,1710,486,-1528,-1042,-129,45,80,-20,717,-478,0,-287,-37,-324,62,-740,230,230,82,82,0,151,463,440,30,0
2013-05-31,43,470,168,638,-277,11,-32,-65,624,-203,0,273,-216,57,-25,-171,-77,-77,44,44,0,-41,-74,379,21,0
2013-02-28,-284,485,250,735,-101,53,-27,-156,234,-327,0,-24,0,-24,-9,-360,104,104,21,21,0,-40,85,-41,21,0
2012-11-30,-275.00000,485.00000,104.00000,589.00000,98.00000,-26.00000,-36.00000,-72.00000,236.00000,-434.00000,,-208.00000,,-208.00000,3.00000,-639.00000,121.00000,121.00000,-2.00000,-2.00000,,-73.00000,46.00000,-357.00000,19.00000,
2012-08-31,-242,509,25,534,104,76,-324,142,450,-383,0,-7,-21,-28,79,-332,-51,-51,-1,-1,0,202,150,268,16,0
2012-05-31,-320,546,154,700,-91,183,310,341,686,-275,0,-313,-228,-541,19,-797,1014,1014,0,0,0,-806,208,97,21,0
2012-02-29,-282,586,121,707,124,16,-33,164,574,-353,0,-92,0,-92,-24,-469,-53,-53,0,0,0,127,74,179,30,0
2011-11-30,-187.00000,581.00000,94.00000,675.00000,101.00000,-17.00000,-42.00000,-55.00000,404.00000,-688.00000,,,,,-26.00000,-714.00000,-48.00000,-48.00000,,,,113.00000,65.00000,-245.00000,20.00000,
2011-08-31,-134,570,8,578,-56,-12,36,-160,354,-865,0,87,8,95,-59,-829,614,614,-135,-135,0,-239,240,-235,19,0
2011-05-31,77,559,112,671,-44,-149,125,-122,589,-465,159,-8,-59,-67,398,25,-327,-327,0,0,0,-76,-403,211,19,0
2011-02-28,75,516,67,583,-19,-68,-45,154,809,-662,-159,0,37,37,-18,-802,-177,-177,0,0,0,-57,-234,-227,19,0
2010-11-30,172.00000,517.00000,156.00000,673.00000,173.00000,-128.00000,34.00000,-113.00000,732.00000,-431.00000,,,,,-5.00000,-436.00000,-635.00000,-635.00000,,,,-163.00000,-798.00000,-502.00000,19.00000,
2010-08-31,359,531,91,622,40,-33,13,56,1077,-339,0,0,409,409,-299,-229,-92,-92,-21,-21,0,-135,-248,600,20,0
2010-05-31,960,496,-442,54,-246,14,8,-125,889,-64,95,0,-8,-8,21,44,-378,-378,0,0,0,-112,-490,443,20,0
2010-02-28,379,487,9,496,14,-43,-42,-71,804,-88,0,0,-143,-143,-7,-238,-90,-90,0,0,0,-171,-261,305,22,0
2009-11-30,202.00000,491.00000,-8.00000,483.00000,-324.00000,-59.00000,-42.00000,-359.00000,326.00000,-31.00000,,,,,6.00000,-25.00000,-80.00000,-80.00000,,,,-141.00000,-221.00000,80.00000,31.00000,
2009-08-31,-114,445,-97,348,-98,-45,216,123,357,-36,0,0,0,0,43,7,-56,-56,-1,-1,0,-128,-185,179,10,0
2009-05-31,-334,526,118,644,-150,-140,35,-159,151,-59,0,0,0,0,-4,-63,195,195,276,276,0,-185,286,374,12,0
2009-02-28,-1545,1215,961,2176,374,-171,-34,67,698,-367,0,130,-408,-278,27,-618,148,148,0,0,0,-539,-391,-311,22,0
