,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,531.667,79.027,79.324,158.351,-22.758,28.851,177.919,146.882,409.8,1099.985,-108.242,0,0,0,-0.344,-108.586,110,-454,-344,-61.182,-61.182,-0.85,-406.032,585.356,5.605
2020-03-31,300.43800,74.99800,-52.85700,22.14100,-12.20800,-106.93700,156.58400,-34.61300,134.77500,459.09300,-131.38300,,,,-95.25900,-226.64200,1551.79500,-969.00000,582.79500,-564.25200,-564.25200,-3.24300,15.30000,246.66100,5.87500
2019-12-31,324.916,71.511,14.118,85.629,23.315,-84.926,-15.52,-36.952,-193.441,218.803,-145.211,0,0,0,-158.48,-303.691,516,-330,186,-103.679,-103.679,0,82.321,-2.398,5.343
2019-09-30,391.293,69.118,9.582,78.7,36.086,-85.883,90.421,39.286,171.126,642.672,-183.258,0,0,0,-16.449,-199.707,563,-644,-81,-374.967,-374.967,-0.003,-455.97,-13.005,5.563
2019-06-30,353.681,69.28,9.643,78.923,-14.064,-33.698,77.604,25.213,-28.254,406.382,-141.367,0,0,0,-0.583,-141.95,1254.955,-929,325.9551,-587.307,-587.307,-3.988,-265.34,-0.908,5.591
2019-03-31,321.15200,64.88200,9.73600,74.61800,-60.91400,-35.40500,60.91800,-4.46800,42.60700,440.62200,-151.10300,,,,-0.29500,-151.39800,874.00000,-831.00000,43.00000,-306.63200,-306.63200,-0.19000,-263.82200,25.40200,5.42400
2018-12-31,300.357,66.532,7.958,74.49,50.937,-34.153,-16.393,-49.131,7.098,385.536,-152.376,-34.818,0,0,0.716,-186.478,669,-427,242,-449.762,-449.762,0,-207.762,-8.704,5.032
2018-09-30,366.151,63.434,13.202,76.636,-3.249,-47.6,69.427,25.749,22.348,466.786,-125.927,0,0,0,-0.292,-126.219,316,-396,-80.0001,-257.416,-257.416,0,-337.416,3.151,4.992
2018-06-30,353.073,61.726,9.63,71.356,-19.129,-38.971,91.886,35.273,16.118,442.956,-107.09,0,0,0,-0.049,-107.139,1172.66,-1109,63.66,-397.211,-397.211,-3.923,-337.474,-1.657,4.976
2018-03-31,304.90600,70.71500,9.54600,80.26100,-10.42100,-42.64300,32.75600,-14.20600,44.86600,432.27700,-114.09100,,,,-0.37500,-114.46600,755.00000,-541.00000,214.00000,-537.47800,-537.47800,-2.15600,-325.63400,-7.82300,5.17600
2017-12-31,302.315,61.138,-41.875,19.263,1.019,-23.464,35.779,-12.828,-8.926,316.268,-115.626,-2.747,0,0,2.072,-116.301,614,-537,77,-267.806,-267.806,-0.1,-190.906,9.061,4.566
2017-09-30,283.734,59.275,38.281,97.556,-17.964,-28.472,62.362,3.608,-6.515,376.912,-119.096,0,0,0,-0.105,-119.201,2519.8,-2218,301.8,-543.089,-543.089,-5.663,-246.952,10.759,4.482
2017-06-30,282.821,58.653,10.363,69.016,-11.016,-86.699,103.894,29.4,-22.257,333.807,-116.367,0,0,0,-1.331,-117.698,234,392,626,-841.293,-841.293,-1.827,-217.12,-1.011,4.925
2017-03-31,264.93400,57.65000,8.03900,65.68900,0.21900,-93.16700,51.23000,-30.02400,44.26700,376.70000,-110.38700,,,,-0.63600,-111.02300,482.00000,-392.00000,90.00000,-474.58000,-474.58000,-0.15600,-384.73600,-119.05900,5.42800
2016-12-31,246.03,57.059,10.443,67.502,-3.236,39.607,-68.422,13.109,-19.338,296.454,-117.48,0,0,0,-58.918,-176.398,0,0,0,-533.433,-533.433,-0.345,-533.778,-413.722,4.488
2016-09-30,278.493,55.655,15.768,71.423,-6.475,-48.862,84.439,-9.478,34.09,385.525,-135.3,0,0,0,0,-135.3,0,0,0,-87.821,-87.821,-0.343,-88.164,162.061,4.518
2016-06-30,257.794,54.279,1.186,55.465,-9.631,-39.27,132.032,30.517,11.18,325.613,-115.335,0,0,0,0,-115.335,0,0,0,-527.967,-527.967,-0.06,-528.027,-317.749,4.675
2016-03-31,255.37400,53.32400,1.85600,55.18000,-19.20600,-70.74500,174.37800,-20.97900,191.08600,503.12100,-103.11000,,1.04700,1.04700,,-102.06300,499.16000,,499.16000,-296.58200,-296.58200,-3.92900,198.64900,599.70700,5.17800
2015-12-31,218.576,52.719,56.132,108.851,0.653,-24.202,-17.895,-1.614,-47.306,282.766,-116.985,0,1.046,1.046,0,-115.939,0,0,0,-275.749,-275.749,-51.693,-327.442,-160.615,5.243
2015-09-30,266.268,52.585,-19.914,32.671,9.688,-45.838,90.155,3.469,63.73,364.269,-109.354,0,1.047,1.047,0,-108.307,0,0,0,-256.9,-256.9,17.812,-239.088,16.874,5.352
2015-06-30,233.508,51.583,-17.23,34.353,-14.332,-32.993,65.222,43.48,23.328,292.428,-94.441,0,1.046,1.046,0,-93.395,-0.006,0,-0.006,-424.39,-424.39,11.759,-412.637,-213.604,5.414
2015-03-31,212.86400,55.47500,-19.73900,35.73600,-19.86700,26.80700,53.58200,-21.67300,156.07000,406.02500,-90.48200,,0.93500,0.93500,,-89.54700,-0.01900,,-0.01900,-114.56100,-114.56100,21.18800,-93.39200,223.08600,5.89000
2014-12-31,181.678,51.213,8.412,59.625,6.896,-36.862,8.113,-36.702,-35.618,207.476,-112.254,0,0.935,0.935,0,-111.319,-0.018,0,-0.018,-160.716,-160.716,16.854,-143.88,-47.723,5.671
2014-09-30,216.997,49.033,-8.582,40.451,2.255,-55.146,106.772,3.386,68.898,327.429,-120.713,0,0.935,0.935,0,-119.778,-0.018,0,-0.018,-371.228,-371.228,8.447,-362.799,-155.148,5.287
2014-06-30,205.647,48.048,-7.848,40.2,-15.406,-65.74,141.385,33.208,62.937,309.976,-111.342,0,0.935,0.935,0,-110.407,-0.018,0,-0.018,-263.95,-263.95,5.999,-257.969,-58.4,7.041
2014-03-31,173.86000,47.99700,-16.55000,31.44700,-13.01600,-21.99400,104.37600,-0.57200,138.71600,345.54900,-82.79800,,0.90000,0.90000,,-81.89800,-0.01800,,-0.01800,-0.97000,-0.97000,17.85000,16.86200,280.51300,5.09600
2013-12-31,152.347,47.637,-6.961,40.676,7.552,-8.67,-19.235,-0.952,-7.615,188.178,-95.74,0,1.491,1.491,0,-94.249,-0.017,0,-0.017,-231.218,-231.218,5.616,-225.619,-131.69,5.237
2013-09-30,186.489,46.915,7.378,54.293,32.192,-19.16,16.666,13.419,38.136,280.436,-122.511,0,1.739,1.739,0,-120.772,-0.018,0,-0.018,-167.994,-167.994,5.426,-162.586,-2.922,5.311
2013-06-30,177.127,46.007,0.295,46.302,-24.837,-49.531,91.859,7.529,-12.016,213.068,-102.77,0,1.137,1.137,0,-101.633,299.932,0,299.932,-256.861,-256.861,6.014,49.085,160.52,5.577
2013-03-31,154.32900,44.67500,-7.88200,36.79300,-31.84400,-19.51500,37.88800,-13.62800,33.76000,226.34400,-73.12900,,1.02900,1.02900,,-72.10000,-0.14500,,-0.14500,-207.60500,-207.60500,10.78800,-196.96200,-42.71800,5.59700
2012-12-31,132.802,45.103,-13.293,31.81,27.152,-55.198,61.617,2.341,51.755,218.429,-82.934,0,1.042,1.042,-23.889,-105.781,-0.193,0,-0.193,-295.378,-295.378,8.346,-287.225,-174.577,5.45
2012-09-30,159.332,44.724,13.276,58,-1.946,-62.115,163.535,2.072,123.009,341.668,-65.485,0,1.015,1.015,0,-64.47,298.506,0,298.506,-524.933,-524.933,4.217,-222.21,54.988,5.685
2012-06-30,146.12,44.817,-7.998,36.819,-9.442,-140.422,230.52,38.104,91.206,276.93,-74.286,0,1.029,1.029,0,-73.257,-0.182,0,-0.182,-423.878,-423.878,12.908,-411.152,-207.479,5.667
2012-03-31,147.49200,44.25000,-0.42800,43.82200,-11.36000,-19.16900,190.03400,-12.29400,221.92400,414.52800,-74.97000,,1.07100,1.07100,,-73.89900,-0.18500,,-0.18500,-137.58400,-137.58400,10.78400,-126.98500,213.64400,5.22400
2011-12-31,122.988,43.564,0.422,43.986,0.898,23.658,88.481,27.001,110.64,278.842,-83.043,0,1.072,1.072,0.29,-81.681,-0.295,0,-0.2949,-120.311,-120.311,8.28,-112.326,84.835,-26.056
2011-09-30,148.439,43.307,-3.339,39.968,-2.282,25.875,75.605,-4.566,88.649,278.681,-92.533,0,1.341,1.341,0,-91.192,299.124,0,299.124,-483.455,-483.455,4.767,-179.564,7.925,5.352
2011-06-30,133.772,41.676,4.562,46.238,-10.332,-33.968,137.639,-8.171,84.964,267.355,-55.876,0,1.343,1.343,-0.001,-54.534,-0.385,0,-0.385,-178.925,-178.925,5.233,-174.077,38.744,5.397
2011-03-31,102.47400,39.13000,40.94500,80.07500,-9.50300,22.17500,81.90700,-14.26400,108.50600,294.11300,-94.15200,,1.67900,1.67900,0.22700,-92.24600,538.47600,-398.40000,140.07600,-136.37900,-136.37900,-5.23700,-1.54000,200.32700,5.13600
2010-12-31,105.76,42.706,-0.856,41.85,2.001,-25.771,-42.335,-5.581,-38.423,111.124,-88.698,0,12.754,12.754,-0.618,-76.562,445.307,-517.7,-72.393,17.527,17.527,6.832,-48.034,-13.472,4.181
2010-09-30,116.542,42.745,52.937,95.682,1.927,-65.239,88.611,19.779,22.701,236.82,-94.031,0,1.934,1.934,-2.024,-94.121,-0.641,-152.3,-152.941,17.832,17.832,3.992,-131.117,11.582,4.354
2010-06-30,99.595,41.956,13.297,55.253,-8.252,-29.371,59.807,12,28.746,185.097,-90.223,0,1.404,1.404,-1.518,-90.337,-2.03,-115.9,-117.93,18.921,18.921,5.988,-93.021,1.739,4.324
2010-03-31,97.47600,41.88700,20.62600,62.51300,-17.42400,10.11000,-23.50900,11.15500,9.09900,170.64600,-90.34300,,1.27200,1.27200,-1.18600,-90.25700,-2.46300,-85.60000,-88.06300,8.83600,8.83600,1.77500,-77.45200,2.93700,4.11400
2009-12-31,71.923,39.008,-3.594,35.414,2.267,-57.168,-70.484,17.567,-112.125,-3.78,-95.882,0,1.575,1.575,-1.523,-95.83,218.864,-131.6,87.264,8.504,8.504,1.242,97.01,-2.6,3.698
2009-09-30,87.225,38.985,42.202,81.187,4.3,-119.91,70.069,11.052,-34.489,136.217,-84.802,0,2.321,2.321,-1.15,-83.631,99.443,-192.2,-92.757,24.587,24.587,4.095,-64.075,-11.489,6.092
2009-06-30,85.515,39.946,17.885,57.831,-9.694,-106.629,58.203,-21.373,-79.493,66.213,-79.71,0,0.591,0.591,-1.489,-80.608,162.533,-163.852,-1.319,16.061,16.061,3.273,18.015,3.62,5.857
2009-03-31,62.83500,37.99800,5.08600,43.08400,-6.58700,-56.03500,22.03600,18.14000,-22.44600,86.55000,-150.09700,,1.33200,1.33200,-1.82700,-150.59200,170.06200,-112.29800,57.76400,10.35600,10.35600,2.02500,70.14500,6.10300,5.76600
