,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-12-31,84.02,54.13,9.477,63.607,-287.682,50.645,-102.48,45.147,-62.242,6.07,0,0,0,-56.172,109.318,109.318,-152.877,-152.877,0,-43.559,-54.629,10.154
2018-09-30,11.753,69.791,10.951,80.742,91.457,16.072,156.769,249.264,-24.505,98.312,0,0,0,73.807,-261.681,-261.681,-4.622,-4.622,0,-266.303,53.336,10.718
2018-06-30,46.27,75.571,10.038,85.609,24.451,13.176,42.144,174.023,-22.447,406.542,0,0,-1,383.095,-553.796,-553.796,-64.374,-64.374,0,-618.17,-67.674,14.342
2018-03-31,-19.58700,69.92400,-8.21700,61.70700,56.77100,36.91200,-39.39600,2.72400,-17.67900,,,,1.00000,-16.67900,-304.81300,-304.81300,-24.27000,-24.27000,,-329.08300,-339.42800,30.95800
2017-12-31,107.307,73.346,-106.951,-33.605,-353.426,223.304,-51.452,22.25,-35.146,-0.01,0,0,0,-35.156,-64.814,-64.814,-0.923,-0.923,0,-65.737,-81.118,11.013
2017-09-30,-48.18,72.325,-7.089,65.236,29.849,-35.231,132.493,149.549,-33.992,-37.592,0,0,0,-71.584,-79.812,-79.812,-0.514,-0.514,-0.001,-80.327,15.609,14.357
2017-06-30,-92.281,92.564,-35.009,57.555,12.98,54.778,147.049,112.323,-30.927,-2493.013,0,0,0,-2523.94,1810.188,1810.188,-9.168,-9.168,-32.397,1768.623,-638.595,30.997
2017-03-31,36.43300,16.99800,10.57800,27.57600,-57.91900,73.33000,-93.61400,-29.60500,-10.70000,-111.16500,,,,-121.86500,955.00000,955.00000,-18.95600,-18.95600,-18.77300,917.27100,771.80800,22.57600
2016-12-31,66.485,16.436,18.8,35.236,-94.903,-27.061,-18.352,83.369,-12.986,-18.833,0,0,0,-31.819,-40,-40,-3.753,-3.753,0,-43.753,-5.511,10.533
2016-09-30,30.483,16.205,-3.049,13.156,46.622,-16.454,76.841,120.48,-11.54,0.533,0,0,0,-11.007,-90,-90,1.307,1.307,0,-88.693,20.681,9.521
2016-06-30,51.627,16.982,12.458,29.44,-1.291,21.393,67.385,148.452,-18.777,-29.096,0,0,0,-47.873,-55,-55,-4.358,-4.358,-4.975,-64.333,41.11,11.112
2016-03-31,44.98700,15.42800,13.30400,28.73200,-19.08900,99.82900,-60.38800,13.33100,-6.56000,-0.80000,,,,-7.36000,65.00000,65.00000,-42.90700,-42.90700,,22.09300,30.96700,15.49500
2015-12-31,65.763,14.329,12.599,26.928,-101.521,-22.018,-13.437,79.254,-10.061,-0.751,0,0,0,-10.812,-15,-15,-54.133,-54.133,2.638,-66.495,1.732,9.169
2015-09-30,30.366,12.985,1.461,14.446,43.463,-30.343,72.092,116.904,-12.453,-195.478,0,0,0,-207.931,125,125,-9.799,-9.799,0.105,115.306,13.663,9.588
2015-06-30,51.155,10.364,12.758,23.122,3.951,30.441,69.463,143.74,-11.982,0,0,0,0,-11.982,50,50,-115.652,-115.652,3.561,-62.091,75.928,10.663
2015-03-31,28.35100,10.96500,5.81500,16.78000,9.63100,72.52300,-39.46800,5.66300,-11.63200,,,,,-11.63200,260.00000,260.00000,-321.96600,-321.96600,7.55600,-54.41000,-83.64900,16.72900
2014-12-31,59.144,11.597,9.042,20.639,-113.789,-9.147,-8.613,71.17,-12.97,-2.4,0,0,0,-15.37,35,35,-43.478,-43.478,-3.706,-12.184,24.082,9.42
2014-09-30,33.846,10.922,-1.941,8.981,34.456,5.57,80.024,122.851,-6.365,0,0,0,0,-6.365,-5,-5,-78.377,-78.377,5,-78.377,23.295,8.808
2014-06-30,53.04,10.219,0.835,11.054,7.119,18.254,72.194,136.288,-9.966,-6.621,0,0,0,-16.587,20,20,-108.962,-108.962,3.129,-85.833,34.641,6.865
2014-03-31,37.73600,9.31900,9.95700,19.27600,-4.21000,68.18100,-40.54200,16.47000,-9.18500,-115.27000,,,,-124.45500,150.00000,150.00000,-193.42200,-193.42200,11.14600,-32.27600,-140.70600,13.75200
2013-12-31,61.418,9.581,12.38,21.961,-97.829,5.062,-9.794,73.585,-8.726,0,0,0,0,-8.726,0,0,-22.982,-22.982,6.98,-16.002,49.469,7.686
2013-09-30,38.194,9.244,12.913,22.157,42.661,-18.888,41.402,101.753,-8.137,0,0,0,0,-8.137,0,0,-54.514,-54.514,-2.255,-56.769,41.158,7.475
2013-06-30,46.514,9.035,3.462,12.497,9.22,25.503,61.612,120.623,-9.987,0,0,0,0,-9.987,0,0,-51.626,-51.626,7.448,-44.178,64.3,7.232
2013-03-31,36.67500,9.29200,-2.74900,6.54300,17.85100,44.19800,-23.52500,19.69300,-9.64800,,,,,-9.64800,,,-46.57200,-46.57200,9.66600,-36.90600,-30.78900,12.34200
2012-12-31,58.823,8.86,11.66,20.52,-92.774,9.774,-8.281,71.062,-13.537,0,0,0,0,-13.537,5,5,-20.134,-20.134,0.938,-14.196,44.461,8.357
2012-09-30,31.375,8.167,5.714,13.881,23.497,10.338,64.043,109.299,-10.158,-0.827,0,0,0,-10.985,-0.088,-0.088,-2.816,-2.816,3.638,0.734,104.86,9.219
2012-06-30,41.484,7.609,3.182,10.791,-9.035,16.93,28.498,80.773,-13.524,-9.509,0,0,0,-23.033,-40.205,-40.205,-4.291,-4.291,2.944,-41.552,11.546,7.863
2012-03-31,34.22100,7.14300,-4.50900,2.63400,39.69500,30.24100,-18.17600,18.67900,-7.11800,,,,,-7.11800,40.29300,40.29300,-71.63300,-71.63300,13.78400,-17.55600,-3.75400,10.93900
2011-12-31,45.024,7.688,0.224,7.912,-74.91,11.589,26.165,79.101,-18.234,0,0,0,0,-18.234,-10,-10,-68.532,-68.532,3.114,-75.418,-14.164,8.115
2011-09-30,30.464,7.928,12.446,20.374,4.108,41.036,61.714,112.552,-14.26,0,0,0,0,-14.26,-10,-10,-51.931,-51.931,0.518,-61.413,31.562,7.757
2011-06-30,32.223,9.343,16.095,25.438,-13.829,22.191,30.915,88.576,-5.755,0,0,0,0,-5.755,-35.167,-35.167,-33.674,-33.674,1.327,-67.514,16.338,7.831
2011-03-31,29.19100,9.39300,-22.43700,-13.04400,25.74400,17.95800,-40.81000,-24.66300,-3.70500,,,,,-3.70500,35.01100,35.01100,-37.83800,-37.83800,20.61300,17.78600,-11.17800,9.16200
2010-12-31,36.694,9.444,7.637,17.081,-63.325,12.679,25.349,79.124,-9.483,0,0,0,0,-9.483,-84.627,-84.627,-19.197,-19.197,5.789,-98.035,-28.231,9.336
2010-09-30,20.075,8.979,-3.482,5.497,-6.211,24.261,39.211,64.783,-4.518,0,0,0,0,-4.518,-57,-57,7.011,7.011,4.754,-45.235,26.048,7.264
2010-06-30,20.113,9.236,4.408,13.644,12.56,-15.849,35.801,69.558,-4.281,-0.455,0,0,0,-4.736,-10,-10,-35.649,-35.649,2.633,-43.016,16.451,6.875
2010-03-31,19.40300,9.78200,3.09800,12.88000,8.79900,27.55500,-40.24900,-7.96600,-3.41200,-11.69600,,,,-15.10800,38.00000,38.00000,-28.45800,-28.45800,5.18800,14.73000,-10.66100,9.15900
2009-12-31,25.716,6.946,10.434,17.38,-52.902,10.671,1.201,44.297,-4.017,-104.523,0,0,0,-108.54,64,64,3.8,3.8,0.707,68.507,3.796,6.589
2009-09-30,20.067,7.226,4.828,12.054,9.036,4.216,22.985,55.106,-2.679,0,0,0,0,-2.679,-51.5,-51.5,6.59,6.59,1.269,-43.641,15.814,6.326
2009-06-30,17.185,7.096,5.5,12.596,11.527,-1.501,17.926,47.707,-3.91,0,0,0,0,-3.91,-21.5,-21.5,1.951,1.951,0.409,-19.14,26.701,6.359
2009-03-31,19.99600,7.23500,7.91500,15.15000,57.68800,-11.44400,-20.31900,14.82700,-4.53600,,,,,-4.53600,-78.25000,-78.25000,-1.26300,-1.26300,0.00700,-79.50600,-70.66600,6.79200
