,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-10-31,200.188,22.259,-26.483,-4.224,5.583,-1.327,16.119,9.133,20.227,216.191,-10.363,-3.555,96.137,12.97,0,12.97,-2.388,92.801,0,0,-100.403,-100.403,-29.47,-9.521,-139.394,169.598,18.873,-29.47
2017-07-31,165.259,22.106,-17.275,4.831,-14.55,-3.17,-27.455,-1.272,-69.086,101.004,-3.749,-0.608,49.251,-52.498,0,-52.498,-4.887,-12.491,0,0,-143.393,-143.393,-30.095,-10.486,-183.974,-95.461,22.422,-30.095
2017-04-30,106.62100,22.01900,16.16200,38.18100,-21.76300,-11.54200,31.42300,10.41000,-10.62600,134.17600,-9.05600,-1.09300,22.95400,-37.41700,,-37.41700,7.27500,-17.33700,,,-146.35400,-146.35400,-29.99100,-28.62400,-204.96900,-88.13000,24.01700,-29.99100
2017-01-31,-80.091,30.27,118.755,149.025,26.811,18.381,-38.694,8.319,49.912,118.846,-6.786,-1.87,0,53.171,0,53.171,-0.258,44.257,0,0,-62.65,-62.65,-30.457,-7.492,-100.599,62.504,24.058,-30.457
2016-10-31,72.616,31.669,26.888,58.557,-13.512,3.71,-29.818,-2.137,-9.712,121.461,-13.347,-0.394,0,30.385,0,30.385,-24.726,-8.082,0,0,-45.254,-45.254,-30.699,-4.59,-80.543,32.836,28.263,-30.699
2016-07-31,51.305,29.812,37.962,67.774,-68.025,-6.364,20.437,24.166,-59.797,59.282,-12.509,-3.995,0,6.148,0,6.148,-75,-85.356,0,0,0.244,0.244,-30.675,-4.965,-35.396,-61.47,37.196,-30.675
2016-04-30,-22.67900,30.06000,24.23400,54.29400,42.64200,13.59800,19.92200,-750.45100,-689.63900,-658.02400,-11.86800,-4.05000,,276.69400,,276.69400,-50.00000,210.77600,,,0.31500,0.31500,-30.46100,-20.56400,-50.71000,-497.95800,24.45300,-30.46100
2016-01-31,4.2,33.859,38.578,72.437,57.628,69.544,-62.163,-42.42,-23.331,53.306,6.113,-1.579,0,344.086,-10.007,334.079,-0.119,338.494,0,0,21.369,21.369,-30.447,-1.595,-10.673,381.127,32.419,-30.447
2015-10-31,-57.75,29.2,49.938,79.138,36.793,39.457,-55.693,6.396,45.206,66.594,-9.041,-0.98,0,-0.056,10.007,9.951,-0.13,-0.2,0,0,-63.117,-63.117,-30.27,-3.484,-96.871,-30.477,31.465,-30.27
2015-07-31,-771.94,28.244,39.849,68.093,-23.907,12.903,-5.167,741.475,730.431,26.584,-16.986,-2.071,0,48.83,0,48.83,0.208,29.981,0,0,-131.15,-131.15,-31.194,-5.422,-167.766,-111.201,36.674,-31.194
2015-04-30,14.09000,29.67300,33.21500,62.88800,27.14100,-31.31800,17.12500,-5.05800,-18.11000,58.86800,-17.57400,-3.60600,,-145.40500,,-145.40500,,-166.58500,,,-7.26000,-7.26000,-30.91000,-26.35900,-64.52900,-172.24600,33.22100,-30.91000
2015-01-31,81.693,26.467,30.096,56.563,24.11,48.247,-60.808,11.695,17.165,155.421,-14.415,-1.91,0,-108.327,13.22,-95.107,-0.701,-112.133,0,0,19.861,19.861,-30.942,-5.223,-16.304,26.984,37.963,-30.942
2014-10-31,115.304,30.304,28.258,58.562,40.214,37.506,-70.749,6.483,7.558,181.424,-16.661,-5.105,0,-229.881,0,-229.881,0,-251.647,0,0,-40.84,-40.84,-30.867,-6.612,-78.319,-148.542,34.294,-30.867
2014-07-31,138.87,30.052,27.392,57.444,33.419,-43.194,2.558,-34.788,-39.36,156.954,-15.823,-1.298,0,36.218,0,36.218,0,19.097,0,0,49.282,49.282,-30.82,-3.282,15.18,191.231,35.02,-30.82
2014-04-30,99.47900,34.18000,31.39500,65.57500,-63.57800,-3.10500,85.12800,28.77100,70.08300,235.13700,-16.13100,-8.11100,,-0.01900,,-0.01900,,-24.26100,,,19.09200,19.09200,-30.17200,-24.24200,-35.32200,175.55400,29.96900,-30.17200
2014-01-31,97.129,46.129,29.302,75.431,13.233,32.262,-88.52,-20.177,-72.071,100.489,-13.31,-3.654,6.306,3.39,0,3.39,0,-7.268,0,0,107.686,107.686,-29.889,-1.598,76.199,169.42,38.068,-29.889
2013-10-31,103.156,36.558,44.846,81.404,-35.855,-45.157,44.442,6.612,-7.361,177.199,-14.222,-6.383,0,125.427,0,125.427,0,104.822,0,0,-47.322,-47.322,-29.516,-0.508,-77.346,204.675,43.201,-29.516
2013-07-31,61.826,36.335,42.882,79.217,-60.524,-64.17,54.933,28.698,-54.547,86.496,-18.981,-1.75,0,-2.472,0,-2.472,0,-23.203,0,0,-34.798,-34.798,-29.791,-1.469,-66.058,-2.765,41.091,-29.791
2013-04-30,53.20900,35.65200,36.02900,71.68100,-40.11200,-20.12300,28.93600,5.92200,-41.03500,83.85500,-20.08000,-5.86000,-2.55100,28.93300,,28.93300,,0.44200,,,-196.88900,-196.88900,-30.25300,-14.68800,-241.83000,-157.53300,33.51300,-30.25300
2013-01-31,50.152,38.495,44.46,82.955,44.532,73.468,2.833,-14.181,71.488,204.595,-19.096,-24.315,0,176.373,0,176.373,0,132.962,0,0,-221.772,-221.772,-31.748,-0.268,-253.788,83.769,36.486,-31.748
2012-10-31,68.816,35.371,31.629,67,16.002,21.601,-54.674,-8.024,0.761,136.577,-19.356,-4.235,-1,-122.022,0,-122.022,0,-146.613,0,0,-194.072,-194.072,-33.476,-0.34,-227.888,-237.924,30.374,-33.476
2012-07-31,93.074,34.308,35.497,69.805,26.61,7.832,6.288,13.82,26.313,189.192,-10.83,-4.407,0,96.527,0,96.527,0,81.29,0,0,-210.801,-210.801,-33.537,-0.595,-244.933,25.549,33.228,-33.537
2012-04-30,94.54300,35.55400,30.05400,65.60800,-10.11900,0.20100,21.24900,9.69600,38.52200,198.67300,-18.90400,-2.04500,,132.12500,,132.12500,,111.17600,,,-205.35400,-205.35400,,-8.83800,-214.19200,95.65700,27.19200,0.00000
2012-01-31,80.717,34.524,31.886,66.41,46.252,-37.142,-51.288,-12.778,-78.029,69.098,-26.449,-4.23,-75.156,109.646,0,109.646,0,3.811,0,0,-136.006,-136.006,0,-2.945,-138.951,-66.042,31.417,0
2011-10-31,195.121,31.334,34.792,66.126,-45.351,12.037,-2.806,18.208,0.34,261.587,-20.085,-2.978,-2,-42.113,0,-42.113,0,-67.176,0,0,-206.213,-206.213,0,-0.219,-206.432,-12.021,30.611,0
2011-07-31,192.392,33.575,33.635,67.21,19.711,-22.897,12.294,3.731,3.811,263.413,-25.227,-3.325,-0.43,-54.686,0,-54.686,0,-83.668,0,0,-98.958,-98.958,0,-0.22,-99.181,80.564,30.355,0
2011-04-30,146.86100,38.37800,31.33100,69.70900,33.93800,-53.10700,-5.29500,5.37300,-39.42100,177.14900,-17.01800,-3.29000,-16.33000,-406.38200,,-406.38200,,-443.02000,-0.51100,-0.51100,-793.66000,-793.66000,,-4.63400,-798.80200,-1064.67300,27.48000,
2011-01-31,222.853,38.204,42.052,80.256,8.569,-19.511,-21.471,41.899,-52.276,250.833,-26.906,-10.495,-8.767,-50.796,9.192,-41.604,0,-87.772,-0.5,-0.5,50.794,50.794,0,-9.175,41.119,204.18,31.279,0
2010-10-31,255.732,44.91,28.427,73.337,22.78,11.94,-34.508,-7.975,38.817,367.886,-23.969,-5.83,0,18.103,0,18.103,0,-11.696,-0.49,-0.49,-43.398,-43.398,0,0.44,-43.448,312.742,29.541,0
2010-07-31,219.777,43.987,32.057,76.044,-42.062,-31.501,91.74,-1.237,23.417,319.238,-22.903,-4.569,-20.679,-324.627,0,-324.627,0,-372.778,-0.48,-0.48,31.789,31.789,0,0.044,31.353,-22.187,30.689,0
2010-04-30,205.76700,45.62700,27.80400,73.43100,-91.89700,35.41700,6.70300,34.31400,-23.60700,255.59100,-16.39500,-2.25000,,-38.43800,,-38.43800,,-57.08300,-0.47000,-0.47000,48.68800,48.68800,,0.18500,48.40300,246.91100,26.89600,
2010-01-31,204.821,48.52,51.91,100.43,37.523,-16.398,-30.06,-23.762,-24.134,281.117,-25.006,-3.048,0,-271.937,0,-271.937,0,-299.991,-0.461,-0.461,76.896,76.896,0,0.472,76.907,58.033,30.559,0
2009-10-31,201.599,51.021,23.697,74.718,-65.857,-17.039,38.281,52.384,-72.783,203.534,-7.629,0,0,-416.73,0,-416.73,0,-424.359,-0.451,-0.451,13.728,13.728,0,0.136,13.413,-207.412,34.377,0
2009-07-31,58.493,51.476,34.11,85.586,-43.095,-5.694,103.043,-11.182,38.254,182.333,-3.765,-3.25,0,0.05,0,0.05,0,-6.965,-0.442,-0.442,20.636,20.636,0,0.04,20.234,195.602,30.015,0
2009-04-30,-111.45700,55.73100,30.27600,86.00700,-63.26600,106.28100,30.73800,18.39500,169.97900,144.52900,-3.41400,-9.30000,,,,,,-12.71400,-0.43300,-0.43300,0.38500,0.38500,,0.02900,-0.01900,131.79600,31.64800,
2009-01-31,147.242,266.147,143.94,410.087,109.919,126.938,-88.795,27.451,123.356,680.685,-73.243,-5.2,-5.287,19.009,0,19.009,0,-64.721,-397.213,-397.213,92.645,92.645,0,0.365,-304.203,311.761,177.132,0
