,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2015-03-31,-4.20000,56.90000,-29.00000,27.90000,460.50000,-929.90000,-172.50000,-815.20000,-780.70000,-20.20000,,,,,0.20000,-20.00000,,34.30000,34.30000,-42.10000,-42.10000,-49.30000,-10.20000,-67.30000,-926.30000,-49.30000
2014-12-31,331.3,59.1,33.5,92.6,-643.1,856.5,286.1,646.5,1077.4,-54.3,-20.8,0.5,0,0.5,17.6,-57,-1.1,-21.9,-23,-118.8,-118.8,-39.1,-17,-197.9,764.6,-39.1
2014-09-30,92.8,54.1,44.7,98.8,295.4,-431.2,51.9,-17.6,176.2,-35.7,-6.7,-0.5,0,-0.5,0.1,-42.8,0,8.4,8.4,-49.6,-49.6,-39.8,-4.5,-85.5,0.9,-39.8
2014-06-30,103.7,52.6,32,84.6,-230,321.1,-121.6,-30.7,168.5,-32.1,-18.2,0,0,0,-1.7,-52,149,-46.1,102.9,-47.9,-47.9,-39.9,-13.7,1.4,124.1,-39.9
2014-03-31,-22.40000,56.60000,-19.10000,37.50000,557.60000,-905.60000,-223.50000,-744.80000,-725.70000,-26.60000,-22.10000,,,,1.60000,-47.10000,,-6.70000,-6.70000,-38.70000,-38.70000,-40.20000,-5.10000,-90.70000,-865.80000,-40.20000
2013-12-31,212.1,52.9,43.1,96,-744,1229.2,84.9,705.6,1023.3,-81.4,-14.1,0,0,0,-0.9,-96.4,-1.2,-7.9,-9.1,-197.2,-197.2,-34.8,-15.6,-256.7,637.5,-31.9
2013-09-30,49.2,49.9,62,111.9,256.4,-238.1,-19.9,-4.2,161,-44.8,0.2,-0.8,0,-0.8,-0.3,-45.7,-600,-5.8,-605.8,-88.1,-88.1,-34.3,-1.4,-729.6,-614.6,-31.4
2013-06-30,86.1,51.2,38.8,90,-236.9,324.8,-50.7,18.7,183.7,-29,-10.2,0.5,0,0.5,-3.9,-42.6,-1.2,30.5,29.3,-91.4,-91.4,-34.6,-25.2,-121.9,-31.8,-31.7
2013-03-31,-58.50000,55.10000,-45.70000,9.40000,567.40000,-898.20000,-263.00000,-725.60000,-775.10000,-17.80000,-34.90000,11.10000,,11.10000,1.80000,-39.80000,,-11.40000,-11.40000,-57.70000,-57.70000,-33.90000,-1.10000,-104.10000,-929.10000,-31.00000
2012-12-31,337.1,47.2,46,93.2,-654.9,732.3,178.3,369.9,802.5,-69.9,90.2,-0.4,0,-0.4,-0.8,19.1,797.3,-32.9,764.4,-146.8,-146.8,-28.2,-18.4,571,1387.5,-25.3
2012-09-30,67.7,46.7,14.6,61.3,-64.9,-230.5,42.6,-234.9,-104.7,-41.1,-89.5,-0.5,0,-0.5,-0.6,-131.7,-0.5,17,16.5,-82.5,-82.5,-28.7,-3.9,-98.6,-314.7,-25.8
2012-06-30,105.5,50.5,10.5,61,-67.2,186.2,-87,-7,157.9,-35.8,-36.9,0,0,0,-3.6,-76.3,-0.4,24.7,24.3,-62.8,-62.8,-29,-44.6,-112.1,-71.1,-26.1
2012-03-31,-45.70000,49.60000,-44.80000,4.80000,742.30000,-808.40000,-251.00000,-468.00000,-498.50000,-22.40000,-2.10000,-0.30000,,-0.30000,3.50000,-21.30000,-153.30000,3.80000,-149.50000,-47.60000,-47.60000,-29.10000,-2.80000,-229.00000,-729.60000,-26.20000
2011-12-31,278.3,48.6,61.9,110.5,-785,754.5,243.7,316.3001,717.4,-57,-12.8,0,0,0,1.9,-67.9,-0.6,-5.5,-6.1,-131.7,-131.7,-29.6,49.1,-118.3,517.7,-26.7
2011-09-30,217.5,46.5,-69.4,-22.9,314.8,-231.9,-218.5,-39.0001,157.8,-30.2,-18.7,0,133.5,133.5,9,93.6,-36.8,23.3,-13.5,-129.8,-129.8,-30.5,-28.2,-202,-24.8,-27.6
2011-06-30,108.9,49.4,19.1,68.5,-118.4,148.1,-34.6,19.1,200,-36.2,-31.9,0,0,0,0.4,-67.7,-0.7,29.7,29,-125.2,-125.2,-31.2,-47.9,-175.3,-30.4,-28.3
2011-03-31,-53.20000,49.40000,-49.50000,-0.10000,369.40000,-733.60000,-174.60000,-758.60000,-801.70000,-16.90000,0.30000,,,,-0.20000,-16.80000,-0.80000,-5.00000,-5.80000,-2.10000,-2.10000,-31.40000,-6.10000,-45.40000,-835.50000,-28.50000
2010-12-31,222.8,47,65.6,112.6,-464.9,816.2,123,644.8,979.1,-46.6,1.1,0,0,0,20.6,-24.9,-193.1,-8.5,-201.6,-1,-1,-2.9,-14.5,-220,748,0
2010-09-30,45.6,48.1,-10,38.1,62,-88.1,-45.7,-51.1,40.4,-21.4,-84.9,0,0,0,32,-74.3,-2.8,22.3,19.5,1,1,-2.9,-29.4,-11.8,-2.2,0
2010-06-30,83.1,48.8,48.7,97.5,-416.3,487.1,-121.4,165.3,353.3,-18.9,-2.6,0,0,0,-0.8,-22.3,-21.4,11.4,-10,0,-265.9,-6.9,-16.9,-299.7,1.1,0
2010-03-31,-70.30000,50.10000,-37.60000,12.50000,271.60000,-347.80000,-91.70000,-508.60000,-555.50000,-9.40000,24.50000,,,,-2.10000,13.00000,,-7.80000,-7.80000,,,-6.90000,-1.50000,-16.20000,-566.40000,0.00000
2009-12-31,159.7,54.3,103.6,157.9,-633.4,1093.4,49.4,418.1,739.3,-23.4,-6.2,0.6,0,0.6,11.1,-17.9,-12.7,12.1,-0.6,0,0,-6.9,3.1,-4.4,733.7,0
2009-09-30,25.9,54.1,23.9,78,210.6,-153.4,-104.6,18,124.9,-16,-33.8,0.5,0,0.5,-0.1,-49.4,-72.4,-25.9,-98.3,15.8,15.8,-6.9,-23.2,-112.6,1,0
2009-06-30,31.4,64.4,50.4,114.8,81.4,-97.5,38.6,73.6,233.9,-16,-18.8,6.7,0,6.7,-1,-29.1,-110.6,13.8,-96.8,-15.8,-15.8,-6.9,-14.6,-134.1,118.5,0
2009-03-31,-73.60000,58.70000,-44.30000,14.40000,520.90000,-612.50000,-10.60000,-490.80000,-557.30000,-11.70000,-13.60000,150.70000,,150.70000,0.40000,125.80000,,,,,,-6.90000,-9.00000,-15.90000,-465.20000,
