,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-12-31,55,177,20,197,136,51,126,378,-48,0,0,-4,-4,2,-50,0,0,0,-300,-300,-36,2,-334,-10,27,-36
2018-09-30,230,0,0,0,140,10,131,361,-55,-1,0,4,4,-5,-57,0,0,0,-89,-89,-33,3,-119,185,0,-33
2018-06-30,289,0,0,0,-106,15,59,348,-63,0,95,0,95,-2,30,-1,-114,-115,-115,-115,-121,-1,-352,14,0,-121
2018-03-31,210.00000,,,,-216.00000,-87.00000,-265.00000,-55.00000,-39.00000,-548.00000,13.00000,,13.00000,,-574.00000,,,,-150.00000,-150.00000,-33.00000,-32.00000,-215.00000,-824.00000,,-33.00000
2017-12-31,-169,152,170,322,92,58,131,284,-42,-89,-29,1,-28,-23,-182,-3,0,-3,-19,-19,-33,-4,-59,53,38,-33
2017-09-30,214,0,0,0,108,-9,98,312,-36,2,68,1,69,-2,33,-1,0,-1,-178,-178,-32,-2,-213,149,0,-32
2017-06-30,289,0,0,0,-96,-22,15,304,-40,126,62,2,64,0,150,1,58,59,-47,-47,-67,-117,-172,303,0,-67
2017-03-31,246.00000,,,,-244.00000,-105.00000,-395.00000,-149.00000,-31.00000,,11.00000,3.00000,14.00000,-9.00000,-26.00000,,,,-87.00000,-87.00000,-32.00000,-14.00000,-133.00000,-301.00000,,-32.00000
2016-12-31,-134,159,184,343,113,36,97,306,-63,0,-32,18,-14,-7,-84,1,0,1,-217,-217,-33,0,-249,-51,29,-33
2016-09-30,237,0,0,0,41,6,56,293,-38,0,-45,1,-44,-3,-85,0,0,0,-74,-74,-32,-16,-122,85,0,-32
2016-06-30,214,0,0,0,-88,-16,46,260,-42,0,57,13,70,-3,25,0,-1300,-1300,-82,-82,-62,-45,-1489,-1219,0,-62
2016-03-31,219.00000,,,,-198.00000,-63.00000,-289.00000,-70.00000,-37.00000,,60.00000,,60.00000,-3.00000,20.00000,-2.00000,889.00000,887.00000,-85.00000,-85.00000,-32.00000,-19.00000,751.00000,707.00000,,-32.00000
2015-12-31,-187,153,268,421,141,58,154,388,-41,0,0,3,3,-7,-45,1,0,1,-49,-49,-32,-68,-148,189,41,-32
2015-09-30,226,0,0,0,87,22,57,283,-33,1,-45,1,-44,-8,-84,-1,0,-1,-198,-198,-32,17,-214,-18,0,-32
2015-06-30,211,0,0,0,-88,-7,80,291,-37,-16,-7,3,-4,-14,-71,200,-500,-300,-104,-104,-66,-51,-521,-281,0,-66
2015-03-31,144.00000,,,,-244.00000,-56.00000,-296.00000,-152.00000,-29.00000,-26.00000,78.00000,3.00000,81.00000,-15.00000,11.00000,,497.00000,497.00000,-103.00000,-103.00000,-32.00000,,362.00000,195.00000,,-32.00000
2014-12-31,360,182,-390,-208,176,34,144,296,-42,0,-45,50,5,-3,-40,0,0,0,-119,-119,-31,13,-137,101,47,-31
2014-09-30,198,0,0,0,61,20,47,245,-24,0,-66,0,-66,-10,-100,-3,0,-3,0,0,-32,0,-35,87,0,-32
2014-06-30,224,0,0,0,-91,-54,81,305,-25,0,76,11,87,-16,46,1,0,1,1,1,-61,0,-59,289,0,-61
2014-03-31,121.00000,,,,-227.00000,-75.00000,-365.00000,-244.00000,-21.00000,-2.00000,15.00000,2.00000,17.00000,,-6.00000,,,,-39.00000,-39.00000,-27.00000,,-66.00000,-317.00000,,-27.00000
2013-12-31,-160,205,73,278,217,16,177,295,-35,15,-38,3,-35,-1,-56,0,0,0,0,0,-26,0,-26,212,54,-26
2013-09-30,190,0,0,0,46,29,101,291,-12,0,-73,2,-71,0,-83,-2,-200,-202,0,0,-27,0,-229,-17,0,-27
2013-06-30,169,0,0,0,-85,-26,100,269,-26,0,13,6,19,-1,-8,0,0,0,0,0,-62,0,-62,200,0,-62
2013-03-31,130.00000,,,,-263.00000,-43.00000,-340.00000,-210.00000,-26.00000,-5.00000,100.00000,5.00000,105.00000,-4.00000,70.00000,,,,-35.00000,-35.00000,-26.00000,-4.00000,-65.00000,-212.00000,,-26.00000
2012-12-31,-270,214,110,324,195,42,137,191,3,8,-27,7,-20,-3,-12,-1,0,-1,0,0,-27,0,-28,151,61,-27
2012-09-30,82,0,0,0,58,23,12,94,-27,1,25,5,30,-6,-2,1,-745,-744,0,0,-27,0,-771,-661,0,-27
2012-06-30,19,0,0,0,-31,-31,144,163,-12,0,0,6,6,-7,-13,0,0,0,0,0,-67,0,-67,65,0,-67
2012-03-31,90.00000,,,,-272.00000,-50.00000,-257.00000,-167.00000,-16.00000,,,22.00000,22.00000,-8.00000,-2.00000,-1.00000,350.00000,349.00000,-8.00000,-8.00000,-26.00000,-25.00000,290.00000,132.00000,,-26.00000
2011-12-31,-743,263,511,774,185,64,113,144,-40,-10,-23,9,-14,-11,-75,-2,0,-2,0,0,-27,0,-29,33,61,-27
2011-09-30,87,0,0,0,48,33,39,126,-30,0,0,27,27,-10,-13,-1,-58,-59,0,0,-26,0,-85,-1,0,-26
2011-06-30,82,0,0,0,-73,-58,47,129,-30,0,35,10,45,3,18,-2,0,-2,0,0,-45,0,-47,106,0,-45
2011-03-31,41.00000,,,,-220.00000,-93.00000,-201.00000,-160.00000,-27.00000,,14.00000,-1.00000,13.00000,,-14.00000,,,,-30.00000,-30.00000,-27.00000,-1.00000,-58.00000,-210.00000,,-27.00000
2010-12-31,-1335,279,1073,1352,216,66,212,229,-47,0,17,0,17,8,-22,-1,0,-1,0,0,-27,4,-24,178,62,-27
2010-09-30,121,0,0,0,68,58,48,169,-16,0,5,-2,3,-7,-20,-1,0,-1,0,0,-27,0,-28,153,0,-27
2010-06-30,120,0,0,0,-24,-50,67,187,-33,0,0,1,1,-7,-39,-1,-59,-60,0,0,-42,-9,-111,6,0,-42
2010-03-31,92.00000,,,,-180.00000,-72.00000,-212.00000,-120.00000,-23.00000,,0.00000,1.00000,1.00000,-6.00000,-28.00000,1.00000,194.00000,195.00000,-45.00000,-45.00000,-27.00000,,123.00000,-35.00000,,-27.00000
2009-12-31,-529,254,354,608,207,49,211,290,-52,5,1,-2,-1,4,-44,-3,0,-3,0,0,-27,7,-23,214,69,-27
2009-09-30,167,0,0,0,38,81,138,305,-9,3,1,0,1,-8,-13,-5,0,-5,0,0,-27,0,-32,273,0,-27
2009-06-30,164,0,0,0,-69,38,-6,158,-14,0,0,-1,-1,-8,-23,-1,0,-1,0,0,-43,0,-44,113,0,-43
2009-03-31,53.00000,,,,-156.00000,30.00000,-101.00000,-48.00000,-27.00000,-8.00000,3.00000,3.00000,6.00000,-9.00000,-38.00000,-2.00000,,-2.00000,-11.00000,-11.00000,-85.00000,,-98.00000,-215.00000,,-85.00000
