,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,118.10000,54.80000,-17.60000,37.20000,-50.30000,1.80000,8.20000,163.50000,-7.30000,0.20000,-18.10000,-18.10000,,-25.20000,-25.00000,-25.00000,-58.50000,-58.50000,-30.60000,-0.10000,-114.20000,22.80000,11.00000,-30.60000
2017-12-31,257.1,56.4,-226.9,-170.5,-18.5,86.8,108.9,195.5,-11.4,-8.7,-46.8,-46.8,0,-66.9,-75.3,-75.3,-7.9,-7.9,-30.7,-0.7,-114.6,18.7,13.5,-30.7
2017-09-30,60.3,57.5,22.9,80.4,31.8,-129.8,-133.9,6.8,-6.9,0,106.1,106.1,-1.4,97.8,-100,-100,-1.5,-1.5,-30.7,0,-132.2,-23.8,9,-30.7
2017-06-30,68,55.9,-3.3,52.6,-0.3,67.3,69.2,189.8,-11.8,0,-68.9,-68.9,0.1,-80.6,-75,-75,-6.8,-6.8,-28.4,-1,-111.2,-4.7,9.2,-28.4
2017-03-31,15.20000,26.00000,39.40000,65.40000,-33.60000,-65.90000,-98.30000,-17.70000,-7.40000,-1405.40000,24.70000,24.70000,1.30000,-1386.80000,1494.20000,1494.20000,-7.90000,-7.90000,-28.30000,-0.30000,1457.70000,56.00000,20.90000,-28.30000
2016-12-31,45.1,10,-6,4,-8.3,-1,6.4,55.5,-8,0,0.9,0.9,0,-7.1,0,0,0,0,-20.4,-3.5,-23.9,24.5,3.6,-20.4
2016-09-30,40.5,10.2,2.9,13.1,9.9,-1.5,5.6,59.2,-11,0,-0.4,-0.4,-2,-13.4,0,0,-4.1,-4.1,-20.4,-0.7,-25.2,20.6,3.8,-20.4
2016-06-30,50.9,12.3,3.3,15.6,-14,-7.1,-49,17.5,-16.5,0,-19.5,-19.5,0,-36,0,0,-14,-14,-18.8,-4,-36.8,-55.3,3.7,-18.8
2016-03-31,49.20000,11.90000,2.90000,14.80000,4.00000,8.40000,33.40000,97.40000,-8.90000,-14.30000,-4.70000,-4.70000,,-27.90000,,,-46.50000,-46.50000,-18.90000,1.10000,-64.30000,5.20000,3.40000,-18.90000
2015-12-31,50.379,12.17,-3.676,8.494,7.923,0.132,-7.71,51.163,-12.369,-0.04,-6.181,-6.181,1.827,-16.763,0,0,-34.819,-34.819,-18.987,0.055,-53.751,-19.351,3.213,-18.987
2015-09-30,67.516,12.417,0.868,13.285,-2.477,-2.332,7.511,88.312,-9.295,-2.96,0.016,0.016,-2.073,-14.312,0,0,-18.83,-18.83,-19.125,-4.001,-41.956,32.044,3.186,-19.125
2015-06-30,44.846,11.3,3.101,14.401,-11.4,-3.649,-31.877,27.37,-10.1,0,-0.466,-0.466,0,-10.566,0,0,-47.217,-47.217,-17.563,0.052,-64.728,-47.924,3.146,-17.563
2015-03-31,42.25900,10.41300,3.50700,13.92000,6.15400,6.84900,22.27600,78.45500,-7.53600,,-30.46900,-30.46900,0.24600,-37.75900,,,-34.53400,-34.53400,-17.72500,1.19400,-51.06500,-10.36900,2.65500,-17.72500
2014-12-31,49.342,11.08,6.118,17.198,-3.265,-2.488,12.051,78.591,-10.18,0,-0.488,-0.488,0,-10.668,0,0,-28.74,-28.74,-17.778,0.003,-46.515,21.408,2.097,-17.778
2014-09-30,48.367,10.372,1.754,12.126,0.353,-1.441,2.337,62.83,-11.648,0,-0.526,-0.526,0,-12.174,0,0,-51.357,-51.357,-17.914,0.023,-69.248,-18.592,2.11,-17.914
2014-06-30,42.981,9.926,4.594,14.52,2.382,-5.337,-24.581,32.92,-16.154,0,-0.473,-0.473,0.003,-16.624,0,0,-57.436,-57.436,-15.58,2.766,-70.25,-53.954,4.457,-15.58
2014-03-31,49.02400,8.62200,7.70000,16.32200,-7.96800,11.56300,22.97000,88.31600,-12.17200,,-0.50000,-0.50000,,-12.67200,,,-39.12700,-39.12700,-59.55800,0.76500,-97.92000,-22.27600,6.91300,-59.55800
2013-12-31,46.11,9.136,1.685,10.821,0.244,-7.486,-4.915,52.016,-8.906,0,-1.014,-1.014,0,-9.92,0,0,-31.313,-31.313,-15.82,0,-47.133,-5.037,3.956,-15.82
2013-09-30,41.356,8.504,1.557,10.061,5.601,-5.992,4.087,55.504,-6.695,0,-0.398,-0.398,0,-7.093,0,0,-14.004,-14.004,-15.945,0.15,-29.799,18.612,3.918,-15.945
2013-06-30,46.16,8.651,5.71,14.361,-4.597,-8.971,-38.958,21.563,-6.632,0,-0.444,-0.444,0,-7.076,0,0,-6.106,-6.106,-13.307,2.206,-17.207,-2.72,6.21,-13.307
2013-03-31,42.37300,8.31100,6.95000,15.26100,-5.47000,20.30700,37.66300,95.29700,-6.44000,,-0.67600,-0.67600,0.00800,-7.10800,,,-0.00300,-0.00300,-13.29700,,-13.30000,74.88900,6.73900,-13.29700
2012-12-31,39.724,6.233,2.832,9.065,-0.287,-4.84,10.878,59.667,-3.237,0,-1.677,-1.677,0,-4.914,0,0,-0.001,-0.001,-79.436,0,-79.437,-24.684,3.3,-79.436
2012-09-30,45.758,8.656,5.498,14.154,3.05,-6.337,-5.778,54.134,-7.337,0,-0.412,-0.412,0,-7.749,0,0,0,0,-13.241,0,-13.241,33.144,3.082,-13.241
2012-06-30,38.496,8.342,2.956,11.298,0.009,-4.773,-26.403,23.391,-11.623,0,-0.428,-0.428,0,-12.051,0,0,-22.229,-22.229,-10.603,0,-32.832,-21.492,3.027,-10.603
2012-03-31,33.41700,8.34200,2.26300,10.60500,-10.86000,17.23200,19.32100,63.34300,-7.86900,,-0.39400,-0.39400,,-8.26300,,,-30.64200,-30.64200,-10.74500,,-41.38700,13.69300,2.93900,-10.74500
2011-12-31,31.807,7.529,5.068,12.597,8.435,-9.236,-5.572,38.832,-5.658,0,-1.25,-1.25,0.055,-6.853,0,0,-33.367,-33.367,-10.896,0,-44.263,-12.284,3.01,-10.896
2011-09-30,41.327,8.918,1.503,10.421,-0.212,-7.484,19.985,71.733,-5.151,0,0,0,0,-5.151,0,0,-14.887,-14.887,-11.02,0,-25.907,40.675,2.976,-11.02
2011-06-30,33.401,9.019,2.605,11.624,1.214,-8.817,-30.685,14.34,-11.2,0,0,0,0.019,-11.181,0,0,-3.075,-3.075,-9.228,0,-12.303,-9.144,3.219,-9.228
2011-03-31,32.87100,8.71800,6.41800,15.13600,-9.26900,25.72900,30.21700,78.22400,-7.13400,,,,0.03800,-7.09600,,,,,-9.22800,,-9.22800,61.90000,3.41300,-9.22800
2010-12-31,31.377,8.207,10.024,18.231,-1.169,-11.567,0.501,50.109,-8.507,0,0,0,-0.998,-9.505,0,0,-300.447,-300.447,-9.284,-0.02,-309.751,-269.147,5.236,-9.284
2010-09-30,20.453,7.117,16.547,23.664,-2.676,-9.739,-30.592,13.525,-4.277,0,-0.001,-0.001,0,-4.278,0,0,0,0,-10.377,0,-10.377,-1.13,14.929,-10.377
2010-06-30,24.89,7.318,-1.49,5.828,3.351,-13.785,-21.771,8.947,-4.21,0,-7.989,-7.989,0,-12.199,0,0,301.238,301.238,-113.417,-300,-112.179,-115.431,0.636,-113.417
2010-03-31,22.67600,7.31800,-1.82300,5.49500,-6.81500,31.63700,34.16100,62.33200,-6.56200,,,,,-6.56200,,,,,,-0.00300,-0.00300,55.76700,,
2009-12-31,34.903,6.869,3.426,7.841,2.222,-33.953,-28.751,16.443,-8.576,0,-1.5,0,26.939,18.363,0,0,0,0,0,-0.011,-0.011,34.785,0,0
2009-09-30,19.16,6.9,0.522,7.422,-0.149,-8.951,-8.638,17.944,-8.662,0,0,0,-0.273,-8.935,0,0,0,0,0,0,0,9.009,0,0
2009-06-30,28.109,7.044,-0.592,6.452,6.558,-13.948,-5.908,28.653,-10.922,0,0,0,4.464,-6.458,0,0,0,0,0,-0.02,-0.02,22.175,0,0
2009-03-31,24.27800,6.90700,-0.90200,6.00500,-9.59000,34.47800,19.43700,49.72000,-9.83000,,1.50000,1.50000,-4.98000,-13.31000,,,,,,-0.07900,-0.07900,36.33100,,
