,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-03-31,194,182,71,253,55,-30,-46,9,-21,426,-94,0,0,0,0,-9,-103,1135,1135,36,36,-186,-1,984,1311,37,-186
2016-12-31,297,191,69,260,98,-94,69,8,99,656,-96,0,5,0,5,-4,-95,0,0,-135,-135,-188,-1,-324,225,33,-188
2016-09-30,167.00000,200.00000,34.00000,234.00000,12.00000,-46.00000,101.00000,2.00000,190.00000,591.00000,-140.00000,,1.00000,,1.00000,,-139.00000,,,-66.00000,-66.00000,,-23.00000,-89.00000,363.00000,40.00000,
2016-06-30,70,226,-4,222,-67,60,7,6,-23,269,-146,0,0,0,0,0,-146,0,0,1,1,-188,-1,-188,-68,25,-188
2016-03-31,-20,198,55,253,147,117,-288,-5,-28,205,-95,0,0,0,0,10,-85,-7,-7,8,8,-188,-1,-188,-65,30,-188
2015-12-31,164,209,33,242,171,73,-169,-4,-24,382,-137,-634,0,0,0,0,-771,0,0,-77,-77,-188,-1,-266,-657,32,-188
2015-09-30,34.00000,208.00000,43.00000,251.00000,213.00000,-105.00000,426.00000,2.00000,539.00000,824.00000,-209.00000,,,,,,-209.00000,-15.00000,-15.00000,-943.00000,-943.00000,-163.00000,-57.00000,-1178.00000,-564.00000,33.00000,-163.00000
2015-06-30,137,212,59,271,34,90,-207,9,-177,231,-201,-3,0,0,0,-15,-219,208,208,-173,-173,-171,0,-136,-122,31,-171
2015-03-31,291,203,23,226,63,46,-60,0,-143,374,-159,0,0,0,0,-56,-215,-1,-1,-664,-664,-176,0,-841,-692,33,-176
2014-12-31,933,208,68,276,80,-58,26,21,234,1443,-215,0,9,0,9,-28,-234,87,87,-8,-8,-177,0,-98,1106,31,-177
2014-09-30,381.00000,218.00000,56.00000,274.00000,-179.00000,-49.00000,183.00000,14.00000,-53.00000,602.00000,-172.00000,-450.00000,9.00000,,9.00000,-6.00000,-619.00000,-124.00000,-124.00000,-144.00000,-144.00000,-140.00000,-12.00000,-420.00000,-444.00000,42.00000,-140.00000
2014-06-30,320,211,55,266,-28,-28,84,-9,-9,577,-128,-285,44,0,44,-5,-374,329,329,-17,-17,-140,0,172,375,31,-140
2014-03-31,395,211,41,252,-19,102,-228,21,-204,443,-124,0,0,0,0,-1,-125,-64,-64,-147,-147,-140,0,-351,-34,30,-140
2013-12-31,428,229,-14,215,2,-77,-93,330,213,856,-143,0,515,0,515,-9,363,791,791,-1498,-1498,-142,-1,-850,369,30,-142
2013-09-30,427.00000,228.00000,28.00000,256.00000,49.00000,-17.00000,47.00000,-2.00000,-1.00000,682.00000,-161.00000,,-6.00000,,-6.00000,-19.00000,-186.00000,,,-143.00000,-143.00000,-135.00000,-4.00000,-282.00000,216.00000,27.00000,-135.00000
2013-06-30,348,222,73,295,-108,-21,-76,-75,-255,388,-128,0,-17,0,-17,1,-144,183,183,-16,-16,-137,1,31,275,20,-137
2013-03-31,416,221,-6,215,86,-33,34,15,52,683,-206,0,-20,0,-20,-2,-228,-363,-363,-37,-37,-4,0,-404,50,20,-4
2012-12-31,492,218,22,240,35,46,-123,124,112,844,-164,0,-10,0,-10,-14,-188,-58,-58,-860,-860,-250,0,-1168,-511,19,-250
2012-09-30,582.00000,212.00000,-27.00000,185.00000,648.00000,110.00000,-373.00000,169.00000,365.00000,1132.00000,-259.00000,-36.00000,30.00000,,30.00000,,-265.00000,,,-482.00000,-482.00000,-127.00000,-72.00000,-681.00000,187.00000,17.00000,-127.00000
2012-06-30,1013,217,-17,200,159,-68,-34,11,232,1445,-130,0,-4,0,-4,-15,-149,0,0,-1124,-1124,-106,3,-1227,69,13,-106
2012-03-31,1146,224,4,228,-853,-14,691,-273,-436,938,-134,0,-4,0,-4,16,-122,-76,-76,-818,-818,-112,3,-1003,-187,12,-112
2011-12-31,563,191,6,197,-179,134,-202,139,-41,719,-142,-561,9,0,9,0,-694,-560,-560,-38,-38,-76,0,-674,-649,14,-76
2011-09-30,140.00000,182.00000,17.00000,199.00000,49.00000,47.00000,-298.00000,68.00000,-179.00000,160.00000,-210.00000,,61.00000,,61.00000,,-149.00000,-34.00000,-34.00000,-102.00000,-102.00000,-78.00000,,-214.00000,-203.00000,12.00000,-78.00000
2011-06-30,119,187,6,193,-102,-38,205,-120,-10,317,-83,0,-209,0,-209,14,-278,588,588,-77,-77,-74,0,437,476,13,-74
2011-03-31,93,188,26,214,-2,-26,-62,1,-112,195,-123,0,1,0,1,-1,-123,-15,-15,-381,-381,0,-3,-399,-327,12,0
2010-12-31,150,190,30,220,120,-65,84,-14,137,507,-202,0,0,0,0,1,-201,736,736,-297,-297,0,0,439,745,13,0
2010-09-30,149.00000,189.00000,38.00000,227.00000,-111.00000,14.00000,159.00000,-67.00000,-131.00000,245.00000,-358.00000,,-19.00000,,-19.00000,-2.00000,-379.00000,-362.00000,-362.00000,16.00000,16.00000,,,-346.00000,-480.00000,13.00000,0.00000
2010-06-30,379,189,-15,174,51,-72,-240,21,-229,324,-246,0,-49,0,-49,-10,-305,510,510,-328,-328,0,0,182,201,19,0
2010-03-31,518,188,17,205,-118,-40,13,36,-146,577,-180,0,2,0,2,4,-174,-5,-20,-212,-212,0,0,-232,171,13,0
2009-12-31,533,192,38,230,-91,-23,117,-61,-10,753,-103,0,-105,0,-105,-1,-209,-46,-246,16,16,0,47,-183,361,14,0
2009-09-30,179.00000,268.00000,15.00000,283.00000,-209.00000,-35.00000,112.00000,20.00000,-184.00000,278.00000,-89.00000,,27.00000,,27.00000,-2.00000,-64.00000,-334.00000,-469.00000,26.00000,26.00000,,332.00000,-111.00000,103.00000,11.00000,
2009-06-30,-83,224,33,257,-162,-10,184,-40,18,192,-73,0,-39,0,-39,6,-106,364,364,9,9,0,-384,-11,75,13,0
2009-03-31,-3042,3027,364,3391,534,368,-263,116,282,631,-553,0,33,0,33,8,-512,-20,330,45,45,-132,0,243,362,70,-132
