,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-12-31,229.315,52.2,-114.146,-61.946,0,-2.683,-19.623,147.746,-253.8049,-14.923,0,0,0,0,-268.728,233.7281,233.7281,0,0,-98.286,-9.425,126.017,5.035,-7.244,-98.286
2017-09-30,101.075,51.238,4.69,55.928,0,-20.938,3.577,160.58,-37.846,-0.351,0,0,0,0,-38.197,17.297,17.297,1.266,1.266,-98.286,-10.063,-89.786,32.597,2.289,-98.286
2017-06-30,94.098,49.612,11.516,61.128,0,8.723,20.702,175.928,-43.26,-2.67,0,1.519,1.519,0,-44.411,-15.081,-15.081,0,0,-98.256,-11.31,-124.647,6.87,2.965,-98.256
2017-03-31,89.73400,52.53500,4.38200,56.91700,,-3.46100,-33.53000,113.12100,-45.67400,0.58100,44.86900,-1.51900,43.35000,,-1.74300,-18.91600,-18.91600,,,-98.21200,-10.45000,-127.57800,-16.20000,1.99000,-98.21200
2016-12-31,90.416,52.692,0.302,52.994,-0.923,11.48,9.694,153.104,-326.187,2.411,-39.333,0,-39.333,18.53,-344.579,316.4782,316.4782,1.133,1.133,-98.188,-19.636,199.787,8.312,-6.008,-98.188
2016-09-30,127.226,50.326,-33.348,16.978,-0.797,-8.258,2.285,146.489,-293.526,-15.017,-1.21,19.309,18.099,-7.874,-298.318,191.4769,191.4769,50.053,50.053,-98.116,-13.951,129.463,-22.366,1.915,-98.116
2016-06-30,90.04,46.744,-4.051,42.693,4.598,1.633,11.471,144.204,-191.973,1,58.164,-14.515,43.649,0,-147.324,104.287,104.287,0.095,0.095,-97.687,-12.27,-5.575,-8.695,2.383,-97.687
2016-03-31,89.40700,45.72000,-24.88000,20.84000,-2.87800,-6.26100,-14.78100,95.46600,-242.27100,0.31800,-1.26500,-4.79400,-6.05900,-10.65600,-258.66800,143.47800,143.47800,73.58700,73.58700,-73.82700,-6.08200,137.15600,-26.04600,1.71000,-73.82700
2015-12-31,11.744,43.669,2.93,46.599,0.811,32.568,22.705,81.048,-100.846,-1158.719,120.335,0,120.335,0,-1139.23,105.543,105.543,0.086,0.086,-73.226,-13.954,18.449,-1039.733,1.67,-73.226
2015-09-30,78.2,32.259,1.491,33.75,-0.945,-14.936,-8.956,102.994,-29.952,-0.488,-203.205,0,-203.205,0,-233.645,1120.493,1120.493,30.588,30.588,-72.603,-8.188,1070.29,939.639,1.59,-72.603
2015-06-30,60.956,33.282,1.872,35.154,1.065,0.848,-0.262,95.848,-171.204,0,9.926,0,9.926,0,-161.278,-143.406,-143.406,416.775,416.775,-68.741,-8.609,196.019,130.589,1.653,-68.741
2015-03-31,58.63600,32.02600,0.83600,32.86200,-2.36700,-7.72400,-4.05900,87.43900,-81.40600,,-10.10500,,-10.10500,,-91.51100,61.89000,61.89000,0.97000,0.97000,-54.73200,-6.41500,1.71300,-2.35900,1.14200,-54.73200
2014-12-31,49.486,30.818,3.324,34.142,0.505,4.891,-2.611,81.017,-188.737,0,9.988,0,9.988,-29.258,-208.007,190.866,190.866,0.378,0.378,-54.681,-11.126,125.437,-1.553,1.129,-54.681
2014-09-30,59.193,30.968,-3.753,27.215,0.357,-5.949,2.397,88.805,-37.945,0,-5.554,0,-5.554,0,-43.499,9.996,9.996,0.166,0.166,-54.536,-5.661,-50.035,-4.729,1.056,-54.536
2014-06-30,46.008,29.866,8.401,38.267,0.633,5.626,18.912,103.187,-47.181,0,-9.653,0,-9.653,0,-56.834,20.398,20.398,1.495,1.495,-54.527,-6.789,-39.423,6.93,1.678,-54.527
2014-03-31,41.20900,30.01600,1.91200,31.92800,-1.42400,0.57400,-8.56500,64.57200,-258.03300,,1.42500,,1.42500,,-256.60800,163.27600,163.27600,1.05600,1.05600,-46.34700,-5.65700,112.32800,-79.70800,1.12100,-46.34700
2013-12-31,82.172,27.793,-41.725,-13.932,0.386,1.696,4.435,72.675,-267.635,-0.39,1.352,0,1.352,0,-266.673,85.306,85.306,206.008,206.008,-46.302,-5.99,239.022,45.024,1.165,-46.302
2013-09-30,32.352,24.591,12.46,37.051,-4.67,-3.966,2.63,72.033,-25.765,-0.171,-7.301,0,-7.301,0,-33.237,-115.663,-115.663,0.324,0.324,-44.494,-4.196,-164.029,-125.233,1.069,-44.494
2013-06-30,37.101,24.31,2.237,26.547,5.838,4.402,11.787,75.435,-43.01,-0.366,-0.345,0,-0.345,0,-43.721,187.556,187.556,3.917,3.917,-44.488,-7.342,139.643,171.357,1.562,-44.488
2013-03-31,33.93100,24.53500,-0.94400,23.59100,-0.27700,0.73500,-6.40600,51.11600,-19.57500,-0.58900,-3.18100,,-3.18100,,-23.34500,6.86400,6.86400,1.63500,1.63500,-27.73000,-3.75000,-22.98100,4.79000,1.02300,-27.73000
2012-12-31,38.873,22.408,-8.513,13.895,-0.148,7.608,10.15,62.918,-238.48,0.203,6.408,0,6.408,0,-231.869,-14.8741,-14.8741,204.232,204.232,-27.594,-5.636,156.128,-12.823,1.038,-27.594
2012-09-30,41.553,21.414,-11.366,10.048,5.046,1.207,8.739,60.34,-322.653,-0.351,13.85,0,13.85,0,-309.154,130.894,130.894,2.787,2.787,-20.864,-5.897,106.92,-141.894,0.997,-20.864
2012-06-30,24.745,17.75,0.646,18.396,-0.561,1.957,8.69,51.831,-28.694,0.01,-20.836,0,-20.836,0,-49.52,-60.173,-60.173,230.392,230.392,-20.827,-3.776,145.616,147.927,1.364,-20.827
2012-03-31,22.51800,18.77000,1.67400,20.44400,3.10200,-0.02400,-2.17200,40.79000,-19.02600,1.13600,1.49500,,1.49500,,-16.39500,8.92200,8.92200,2.44400,2.44400,-19.00200,-5.66800,-13.30400,11.09100,0.95700,-19.00200
2011-12-31,18.414,17.836,4.658,22.494,-8.333,6.776,2.599,43.507,-87.824,-0.351,5.444,0,5.444,0,-82.731,42.604,42.604,6.505,6.505,-13.242,-4.054,31.813,-7.411,1.862,-13.242
2011-09-30,17.352,15.851,1.12,16.971,-1.694,-4.344,1.141,35.464,-29.183,4.282,-48.652,0,-48.652,0,-73.553,51.543,51.543,1.429,1.429,-13.21,-2.965,36.797,-1.292,1.184,-13.21
2011-06-30,12.517,15.223,5.881,21.104,0.844,2.347,1.57,35.191,-82.477,-0.328,7.827,0,7.827,0,-74.978,-64.87,-64.87,114.479,114.479,-13.194,-3.996,32.419,-7.368,1.585,-13.194
2011-03-31,10.14000,14.68700,2.86700,17.55400,0.54900,1.63600,2.30800,30.00200,-7.55100,-3.07700,-10.02900,,-10.02900,,-20.65700,-6.13700,-6.13700,8.55800,8.55800,-12.38100,-3.58000,-13.54000,-4.19500,1.12600,-12.38100
2010-12-31,10.788,14.24,3.443,17.683,4.248,-2.431,1.614,30.085,-52.974,1.042,2.721,0,2.721,0,-49.211,55.57,55.57,0.56,0.56,-8.758,-3.294,44.078,24.952,1.123,-8.758
2010-09-30,9.482,13.495,5.206,18.701,-4.004,1.228,0.476,28.659,-18.74,7.12,0.806,0,0.806,0,-10.814,-10.354,-10.354,1.396,1.396,-8.751,-6.692,-24.401,-6.556,1.055,-8.751
2010-06-30,7.925,13.299,3.643,16.942,2.415,4.479,5.189,30.056,-26.763,-8.002,-0.737,0,-0.737,0,-35.502,-65.777,-65.777,3.218,3.218,-8.748,-3.633,-74.94,-80.386,1.483,-8.748
2010-03-31,5.17900,13.66900,2.67400,16.34300,0.35200,-6.37100,-5.50700,16.01500,6.63200,-1.05700,6.24600,,6.24600,,11.82100,-40.77700,-40.77700,0.48700,0.48700,-8.70700,-2.04900,-51.04600,-23.21000,0.91900,-8.70700
2009-12-31,7.438,14.142,0.919,15.061,-1.737,0.162,-7.426,15.073,-20.552,0.604,2.898,0,2.898,0,-17.05,48.266,48.266,0,0,-11.274,-4.057,32.935,30.958,0.857,-11.274
2009-09-30,7.574,14.894,2.773,17.667,-6.304,-7.915,-8.281,16.96,-18.317,-1.38,-1.156,0,-1.156,0,-20.853,-21.056,-21.056,0,0,0,-5.61,-26.666,-30.559,0.792,0
2009-06-30,-6.681,13.838,18.61,32.448,-0.631,5.659,4.747,30.514,-25.773,-1.041,-6.05,0,-6.05,0,-32.864,84.159,84.159,0,0,0,-4.736,79.423,77.073,1.261,0
2009-03-31,30.76200,13.40600,-19.20300,-5.79700,-3.67500,-1.19100,-6.34700,18.61800,-37.34000,-0.11400,3.81100,,3.81100,,-33.64300,30.94200,30.94200,,,-21.52600,-3.88500,5.53100,-9.49400,0.89900,-21.52600
