,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,-40.602,23.545,25.953,49.498,50.884,-10.902,23.952,24.186,51.004,59.9,-34.417,-420.788,0,0,0,6.668,-448.537,0,0,0,0,0,-1.643,-1.643,-386.445,25.007
2020-03-31,1518.13100,20.73800,-1443.21500,-1422.47700,13.76100,-10.49600,-12.03400,-14.35200,-85.87000,9.78400,-46.08500,,316.11700,,316.11700,6.17900,276.21100,,,,10.66200,10.66200,-45.39500,-34.73300,240.25500,22.92700
2019-12-31,121.262,21.796,32.668,54.464,-25.448,-17.494,20.756,34.3,42.451,218.177,-42.55,0,-25.554,0,-25.554,7.993,-60.111,0,0,0,-100.495,-100.495,-1.882,-102.377,60.069,20.497
2019-09-30,102.524,19.706,22.805,42.511,-6.511,-14.094,-0.504,77.021,89.497,234.532,-26.559,0,50.219,0,50.219,7.027,30.687,0,0,0,-191.707,-191.707,-3.075,-194.782,66.872,24.176
2019-06-30,147.142,19.172,20.308,39.48,-46.312,-13.401,0.377,38.764,-9.268,177.354,-45.337,0,-195.728,0,-195.728,-5.537,-246.602,-45.773,0,-45.773,-49.499,-49.499,-0.347,-95.619,-164.489,22.467
2019-03-31,71.84800,18.31600,74.51000,92.82600,-42.74300,-13.28000,1.47000,7.46100,-47.46700,117.20700,-35.26100,,-36.79000,,-36.79000,-2.36700,-74.41800,,,,-40.39100,-40.39100,-52.37100,-92.76200,-48.88400,21.04400
2018-12-31,97.392,16.542,9.09,25.632,-19.381,-6.917,20.003,80.993,118.271,241.295,-54.279,0,85.066,5,90.066,-4.839,30.948,0,0,0,-49.972,-49.972,-4.311,-54.283,216.117,18.845
2018-09-30,100.872,14.119,25.53,39.649,-45.577,-1.606,-5.701,0.667,-44.256,96.265,-53.738,0,-19.222,-5,-24.222,-0.064,-78.024,0,0,0,-141.98,-141.98,-2.426,-144.406,-127.132,19.198
2018-06-30,106.105,12.632,24.258,36.89,-8.24,-11.584,5.144,33.099,-3.206,139.789,-57.717,0,2.245,0,2.245,0.206,-55.266,0,0,0,0.565,0.565,-31.488,-30.923,49.962,16.89
2018-03-31,95.86600,11.43400,22.15000,33.58400,-36.02600,-4.00200,5.59900,12.51800,-52.11800,77.33200,-57.57800,,136.38500,,136.38500,30.46200,109.26900,,,,-91.98000,-91.98000,-47.84200,-139.82200,48.49400,15.83000
2017-12-31,10.264,11.024,40.567,51.591,-6.553,5.228,3.955,23.643,100.471,162.326,-69.545,0,62.682,0,62.682,-12.83,-19.693,0,0,0,-49.389,-49.389,-7.075,-56.464,86.907,14.83
2017-09-30,82.555,9.972,8.55,18.522,-32.399,-2.093,-0.19,17.382,17.048,118.125,-48.105,0,-57.37,-12.764,-70.134,-1.827,-120.066,0,0,0,-8.671,-8.671,13.875,5.204,4.429,14.967
2017-06-30,69.179,8.876,18.574,27.45,-27.513,-0.693,-1.112,18.807,13.838,110.467,-18.476,0,64.31,0,64.31,-9.09,36.744,0,0,0,-34.767,-34.767,-16.472,-51.239,97.182,14.245
2017-03-31,69.42000,7.86700,25.80100,33.66800,-24.52500,-7.92300,5.52200,11.16100,-55.46700,47.62100,-59.56900,-8.95300,-71.09000,,-71.09000,-8.85000,-148.46200,,,,3.49500,3.49500,-36.49600,-33.00100,-131.41200,14.81200
2016-12-31,47.621,7.216,19.003,26.219,-2.686,-0.79,0.739,9.853,7.14,80.98,-14.208,0,-55.623,0,-55.623,0,-69.831,0,0,0,-37.143,-37.143,-0.762,-37.905,-30.45,14.214
2016-09-30,51.367,6.901,7.804,14.705,-54.689,-3.349,0.619,16.651,-6.245,59.827,-17.343,0,260.45,-46.745,213.705,-2,194.362,0,0,0,-17.299,-17.299,15.188,-2.111,252.242,13.711
2016-06-30,50.148,5.093,14.467,19.56,-17.594,-0.369,-5.2,10.632,6.459,76.167,-18.818,0,8.662,0,8.662,-6.031,-16.187,0,0,0,-33.382,-33.382,-13.02,-46.402,13.288,13.699
2016-03-31,40.54600,4.79200,9.30300,14.09500,-20.83900,-3.15500,0.44700,14.13000,-23.96100,30.68000,-20.20700,,-15.10900,,-15.10900,,-35.31600,,,,5.38400,5.38400,-14.49000,-9.10600,-13.29600,12.52400
2015-12-31,48.877,4.863,11.405,16.268,-13.652,-0.53,3.167,12.475,14.21,79.355,-16.788,0,-56.948,0,-56.948,0,-73.736,0,0,0,-10.422,-10.422,-1.409,-11.831,-6.326,13.808
2015-09-30,27.616,4.503,19.015,23.518,-4.219,-2.523,-0.494,17.706,8.923,60.057,-10.491,0,-21.812,0,-21.812,0,-32.303,0,0,0,-35.299,-35.299,21.271,-14.028,12.287,14.661
2015-06-30,31.35,4.33,14.952,19.282,-10.671,-1.844,3.031,12.455,12.308,62.94,-10.56,0,-13.101,0,-13.101,0,-23.661,0,0,0,-47.516,-47.516,-20.314,-67.83,-28.225,12.826
2015-03-31,36.17700,4.30800,9.77400,14.08200,-12.23300,1.33400,1.87100,-4.50800,-14.61400,35.64500,-15.61200,,-21.09500,,-21.09500,0.04600,-36.66100,,,,2.77100,2.77100,-9.86800,-7.09700,-9.89300,11.64800
2014-12-31,39.541,4.387,15.318,19.705,-2.299,0.034,-0.901,5.235,12.359,71.605,-7.135,0,-23.118,0,-23.118,-0.001,-30.254,0,0,0,-20.161,-20.161,0.667,-19.502,19.195,10.475
2014-09-30,38.247,4.339,12.831,17.17,-3.523,-2.888,3.797,3.709,12.154,67.571,-6.997,0,-46.744,0,-46.744,-0.049,-53.79,0,0,0,-23.666,-23.666,22.615,-1.051,13.205,9.91
2014-06-30,35.6,4.354,15.558,19.912,-7.468,2.725,-0.274,2.606,14.218,69.73,-4.964,0,-13.272,0,-13.272,0,-18.236,0,0,0,-48.324,-48.324,-18.604,-66.928,-15.295,10.306
2014-03-31,32.44400,4.77600,10.31000,15.08600,-13.93900,-1.87000,0.26500,1.29300,-29.53700,17.99300,-4.99600,,-94.21800,,-94.21800,-0.13300,-99.34700,,,,11.94600,11.94600,9.11500,21.06100,-60.18700,9.13200
2013-12-31,42.421,4.178,9.564,13.742,-6.045,0.691,0.132,5.838,10.949,67.112,-4.24,0,-6.441,0,-6.441,-0.064,-10.745,0,0,0,5.903,5.903,4.828,10.731,67.114,5.173
2013-09-30,34.537,3.858,10.112,13.97,3.114,1.048,-0.368,6.806,6.631,55.138,-5.783,0,-47.172,0,-47.172,-3.262,-56.217,0,0,0,7.166,7.166,5.828,12.994,11.342,7.59
2013-06-30,29.32,3.845,5.847,9.692,0.952,-0.261,-1.561,3.927,14.296,53.308,-3.781,-7.652,-128.73,0,-128.73,-0.164,-140.327,0,0,0,-84.81,-84.81,7.491,-77.319,-164.248,7.265
2013-03-31,-41.98300,4.94400,66.17100,71.11500,-10.00200,-0.32000,1.61100,-2.06200,-18.71400,10.41800,-5.60800,,1.08400,,1.08400,1.07900,-3.44500,,,,10.83000,10.83000,4.59300,15.42300,22.35900,6.41000
2012-12-31,9.559,5.267,25.253,30.52,5.686,0.017,3.882,-2.518,10.679,50.758,-6.848,0,-5.814,0,-5.814,0.01,-12.652,0,0,0,-35.274,-35.274,-1.34,-36.614,1.479,5.979
2012-09-30,-0.344,4.393,34.925,39.318,-5.539,-0.514,-1.934,6.02,1.291,40.265,-5.707,0,-2.644,0,-2.644,-0.387,-8.738,0,0,0,9.233,9.233,1.303,10.536,42.108,5.362
2012-06-30,28.492,4.252,1.53,5.782,-9.415,-1.191,1.687,4.755,1.1,35.374,-13.219,0,-8.416,0,-8.416,2.72,-18.915,0,0,0,13.509,13.509,8.483,21.992,38.438,5.279
2012-03-31,20.98400,3.89900,1.47900,5.37800,-2.39800,-4.03000,-3.64100,0.27900,-18.98100,7.38100,-12.55900,,-25.43900,,-25.43900,0.00300,-37.99500,,,,7.65600,7.65600,6.63500,14.29100,-16.31400,4.86300
2011-12-31,20.449,4.37,-5.38,-1.01,-8.061,-1.083,3.787,2.295,28.539,47.978,-9.375,-0.668,1.475,0,1.475,-3.741,-12.309,0,0,0,-2.135,-2.135,4.987,2.852,38.446,4.959
2011-09-30,19.264,4.823,4.506,9.329,-5.297,-2.015,3.913,6.619,6.954,35.547,-12.507,0.029,1.983,0,1.983,-0.596,-11.091,0,0,0,3.334,3.334,5.927,9.261,33.622,4.954
2011-06-30,11.162,4.605,8.962,13.567,-3.472,-0.648,0.469,1.533,4.967,29.696,-5.697,-186.949,3.092,0,3.092,8.574,-180.98,0,0,0,11.48,11.48,-0.101,11.379,-140.001,4.973
2011-03-31,15.84100,3.67900,8.10000,11.77900,-7.31700,-0.31200,-0.63400,3.20600,-10.37200,17.24800,-2.82500,,3.76700,,3.76700,-8.16800,-7.22600,,,,5.06800,5.06800,-1.31900,3.74900,13.94400,4.27900
2010-12-31,9.905,3.392,-0.405,2.987,-2.222,-0.165,2.599,5.976,19.633,32.525,-6.099,0,-2.476,0,-2.476,1.211,-7.364,0,0,0,0.915,0.915,3.774,4.689,29.74,3.934
2010-09-30,16.815,3.439,4.87,8.309,0.164,0.119,0.022,3.344,10.639,35.763,-3.083,0,-6.248,0,-6.248,-1.184,-10.515,0,0,0,3.694,3.694,-0.04,3.654,29.123,4.414
2010-06-30,32.603,3.711,16.701,20.412,-5.269,-0.143,0.262,-12.466,-10.419,42.596,-4.319,0,5.992,0,5.992,0.074,1.747,0,0,0,1.197,1.197,-0.094,1.103,45.394,4.251
2010-03-31,14.93000,4.47100,8.24800,12.71900,-4.85700,-0.31900,-0.27100,4.37000,-9.00400,18.64500,-4.53000,,4.98800,,4.98800,-0.24600,0.21200,,,,6.01600,6.01600,-0.75500,5.26100,23.92000,3.47300
2009-12-31,11.492,7.581,0.128,7.709,0.581,-0.159,-1.43,11.818,15.058,34.259,-3.108,0,-1,0,-1,-0.369,-4.477,0,0,0,1.721,1.721,-0.86,0.861,30.526,3.077
2009-09-30,-49.942,5.209,61.138,66.347,-1.797,0.224,-0.424,-0.562,-5.612,10.793,-1.04,0,1.915,0,1.915,-0.065,0.81,0,0,0,2.191,2.191,-0.065,2.126,13.779,3.987
2009-06-30,4.545,3.236,4.63,7.866,-1.289,-0.033,0.502,2.74,6.099,18.51,-1.158,0,6.739,0,6.739,0.064,5.645,0,0,0,0.933,0.933,-0.092,0.841,25.131,4.309
2009-03-31,2.63600,3.14300,4.48500,7.62800,-0.08100,-0.11700,0.73800,1.83700,0.33900,10.60300,-1.88600,,-1.68400,,-1.68400,0.03600,-3.53400,,-0.13600,-0.13600,3.25200,3.25200,-0.10700,3.00900,9.95100,3.71500
