,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-03-31,32.76900,12.96700,4.80600,17.77300,37.54200,-1.16600,-30.37600,-2.36300,48.17900,-19.82000,,6.89600,-7.12800,-0.23200,-0.01600,-20.06800,-10.00000,-10.00000,7.81900,7.81900,1.65000,-0.53100,27.58000,8.67600
2016-12-31,35.04,12.252,-2.26,9.992,-20.119,1.304,6.97,6.773,51.805,-8.197,0,7.581,-7.189,0.392,-0.069,-7.874,-24,-24,-8.901,-8.901,1.807,-31.094,12.837,8.399
2016-09-30,35.43,12.671,-4.06,8.611,20.889,-0.681,6.063,35.172,79.213,-7.57,0,2.73,-2.52,0.21,0.229,-7.131,-101,-101,9.294,9.294,1.611,-90.095,-18.013,7.656
2016-06-30,25.007,12.674,7.547,20.221,-71.28,0.237,41.401,-25.708,19.52,-5.237,-7.394,3.501,-4.197,-0.696,-0.232,-13.559,-5,-5,3.445,3.445,1.58,0.025,5.986,7.212
2016-03-31,18.22400,12.17600,6.57200,18.74800,35.75000,-0.47300,-28.37700,4.34900,41.32100,-16.72200,-2.00000,3.02500,-6.41000,-3.38500,-0.04900,-22.15600,74.00000,74.00000,-92.14900,-92.14900,1.23800,-16.91100,2.25400,6.48000
2015-12-31,8.618,7.988,9.681,17.669,-13.816,1.021,27.582,38.127,64.414,-3.976,-333.514,0.9,-2.516,-1.616,0.005,-339.101,66,66,14.791,14.791,-11.631,69.16,-205.527,5.723
2015-09-30,20.142,4.102,4.267,8.369,22.268,0.002,-0.036,26.589,55.1,-2.399,0,0,-22.942,-22.942,0.014,-25.327,0,0,1.64,1.64,3.098,4.738,34.511,5.598
2015-06-30,18.836,3.771,-0.666,3.105,-44.944,-0.043,34.875,-5.033,16.908,-4.217,-6.122,0,-6.449,-6.449,-0.009,-16.797,0,0,2.659,2.659,6.612,9.271,9.382,4.603
2015-03-31,17.27300,3.71300,0.70000,4.41300,8.32000,-0.32800,-23.74400,-23.78100,-2.09500,-1.90900,-0.32500,,-15.00000,-15.00000,,-17.23400,,,3.42500,3.42500,4.45800,7.88300,-11.44600,4.25800
2014-12-31,15.317,3.669,8.742,12.411,-3.061,0.722,1.243,19.98,47.708,-1.306,0,0,0,0,0.003,-1.303,0,0,7.941,7.941,-5.61,2.331,48.736,3.932
2014-09-30,17,3.655,0.374,4.029,32.352,0.813,1.251,45.274,66.303,-1.56,-3.242,0.808,0,0.808,-0.124,-4.118,0,0,2.62,2.62,4.534,7.154,69.339,3.885
2014-06-30,14.74,3.625,2.492,6.117,-62.501,0.012,44.758,-8.589,12.268,-2.847,0,0,0,0,0.035,-2.812,0,0,-20.722,-20.722,2.213,-18.509,-9.053,3.54
2014-03-31,11.88300,3.65600,1.30400,4.96000,24.29800,0.03900,-18.98700,-0.28300,16.56000,-3.63000,,,,,0.30800,-3.32200,,,2.02400,2.02400,3.00700,5.03100,18.26900,3.46200
2013-12-31,10.512,3.693,-12.661,-8.968,-16.286,-1.415,3.824,5.845,7.389,-6.596,0,1.04,0,1.04,0.02,-5.536,0,0,8.888,8.888,16.014,24.902,26.755,3.114
2013-09-30,11.049,3.412,-4.478,-1.066,30.456,0.17,-4.548,32.132,42.115,-6.423,0,0.025,0,0.025,-0.024,-6.422,0,0,4.92,4.92,8.44,13.36,49.053,3.061
2013-06-30,9.047,3.359,-1.235,2.124,-44.216,1.25,29.127,-11.669,-0.498,-8.75,-0.181,0,0,0,0.056,-8.875,0,0,2.844,2.844,5.102,7.946,-1.427,2.903
2013-03-31,8.49300,3.32200,1.05200,4.37400,22.55800,-0.57900,-16.36900,4.21700,17.08400,-5.08900,,0.02500,,0.02500,0.23900,-4.82500,-18.00000,-18.00000,1.63700,1.63700,2.19300,-14.17000,-1.91100,2.57500
2012-12-31,9.376,3.095,-2.83,0.265,-21.256,0.867,20.171,6.773,16.414,-2.751,-10.451,0,0,0,-0.07,-13.272,-10,-10,6.871,6.871,6.29,3.161,6.303,1.905
2012-09-30,10.832,3.28,0.201,3.481,22.137,0.401,-5.634,19.516,33.829,-2.017,-0.054,0.05,0,0.05,0.102,-1.919,-37.7,-37.7,3.213,3.213,2.368,-32.119,-0.209,1.903
2012-06-30,7.105,3.31,0.873,4.183,-39.743,-1.008,15.034,-20.947,-9.659,-3.286,-9.301,0,0,0,-0.061,-12.648,9.7,9.7,1.435,1.435,1.552,12.687,-9.62,1.768
2012-03-31,5.68100,3.02600,1.14900,4.17500,32.03700,-0.62900,-16.06800,8.22800,18.08400,-1.04800,-5.87400,0.02500,,0.02500,,-6.89700,-4.70000,-4.70000,0.92400,0.92400,1.19500,-2.58100,8.60600,1.83500
2011-12-31,8.699,2.898,-2.312,0.586,-14.967,-0.535,9.779,2.045,11.33,-2.352,-17.298,0,0,0,0.518,-19.132,2.7,2.7,-1.294,-1.294,2.442,3.848,-3.954,1.668
2011-09-30,7.506,2.559,1.587,4.146,14.449,1.405,-2.182,14.126,25.778,-1.51,0,0.025,0,0.025,-0.015,-1.5,26.5,26.5,-47.487,-47.487,0.577,-20.41,3.868,1.616
2011-06-30,5.624,2.634,0.1,2.734,-23.24,-0.115,18.192,-6.498,1.86,-0.612,0,0,0,0,0,-0.612,9,9,-12.972,-12.972,1.888,-2.084,-0.836,1.52
2011-03-31,5.72800,2.58500,1.17700,3.76200,15.21400,-0.18000,-11.14100,7.97700,17.46700,-7.80400,,0.02500,,0.02500,0.21400,-7.56500,-4.00000,-4.00000,-6.49600,-6.49600,0.72800,-9.76800,0.13400,1.44900
2010-12-31,7.21,2.711,0.926,3.637,-5.826,0.758,3.912,-2.761,8.086,-0.733,0,0,0,0,-0.175,-0.908,10,10,-22.801,-22.801,1.288,-11.513,-4.335,1.515
2010-09-30,6.723,2.759,1.496,4.255,11.851,-1.061,0.026,16.66,27.638,-0.704,0,0.025,0,0.025,4.994,4.315,1.85,1.85,-27.02,-27.02,-1.526,-26.696,5.257,1.544
2010-06-30,6.249,2.669,0.495,3.164,-26.092,-0.138,12.749,-16.721,-7.308,-1.255,-0.038,0,0,0,0.028,-1.265,14.65,14.65,-10.553,-10.553,1.617,5.714,-2.859,1.608
2010-03-31,4.87200,2.64900,1.41700,4.06600,18.07800,-0.74000,-13.10900,-2.00400,6.93400,-2.23800,-9.62300,0.05000,,0.05000,0.97500,-10.83600,,,-2.23800,-2.23800,0.49500,-1.74300,-5.64500,1.46500
2009-12-31,6.656,2.432,0.6,3.032,2.295,-0.379,-0.471,2.004,11.692,-3.72,0,0,0,0,0.035,-3.685,-2.101,-2.101,0.87,0.87,1.025,-0.206,7.801,1.392
2009-09-30,7.475,2.331,1.12,3.451,-2.47,1.566,8.148,11.99,22.916,-4.094,-0.7,0.825,0,0.825,0.003,-3.966,-13.324,-13.324,-7.679,-7.679,0.524,-20.479,-1.529,1.288
2009-06-30,6.873,2.402,1.029,3.431,-17.4,-0.824,5.658,-14.177,-3.873,-2.205,-1.709,0.9,0,0.9,-0.904,-3.918,7.925,7.925,0.379,0.379,0.6,8.904,1.113,1.238
2009-03-31,6.00600,2.33200,0.97900,3.31100,11.29800,0.82700,-8.89300,2.88900,12.20600,-2.33300,-0.52500,0.77500,,0.77500,-0.00600,-2.08900,-0.50000,-0.50000,-9.53800,-9.53800,0.47000,-9.56800,0.54900,1.12700
