,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,2373,197,1467,1664,70,-7,-1741,-1035,3002,-161,0,0,-19,-19,47,-133,3985,2984,-1036,-1036,-663,-121,1164,4118,107,-663
2020-03-31,3084,192,1771,1963,145,26,-3557,-3580,1467,-216,0,0,2098,2098,-3,1879,0,1001,-3079,-3079,-668,-8,-2754,553,99,-668
2019-12-31,3272.00000,182.00000,1763.00000,1945.00000,-107.00000,-12.00000,-1785.00000,-1342.00000,3875.00000,-191.00000,-77.00000,,793.00000,793.00000,37.00000,562.00000,,,-2315.00000,-2315.00000,-671.00000,-147.00000,-3133.00000,1431.00000,116.00000,-671.00000
2019-09-30,3025,172,1690,1862,-14,-2,-1545,-845,4042,-249,-563,0,-235,-235,43,-1004,0,0,-2092,-2092,-563,-5,-2660,163,86,-563
2019-06-30,3101,165,2047,2212,-116,26,-1349,-1929,3384,-194,-136,0,1071,1071,68,809,0,0,-2111,-2111,-565,-1239,-3915,387,110,-565
2019-03-31,2977,160,1001,1161,-3,-2,-2238,-2074,2064,-156,0,0,-81,-81,-89,-326,0,0,-1897,-1897,-569,-2,-2468,-833,111,-569
2018-12-31,2977.00000,159.00000,1613.00000,1772.00000,-200.00000,-46.00000,-1210.00000,-1455.00000,3294.00000,-157.00000,,,87.00000,87.00000,,-70.00000,,,-2345.00000,-2345.00000,-572.00000,-101.00000,-3018.00000,138.00000,100.00000,-572.00000
2018-09-30,2845,-3837,5415,1578,12,21,-1338,-947,3476,-209,0,0,-1586,-1586,16,-1779,0,0,-1559,-1559,-483,-4,-2046,-361,85,-483
2018-06-30,2329,1526,-132,1394,31,8,-1057,13,3736,-155,0,0,-13,-13,0,-168,0,0,-1722,-1722,-487,-2,-2211,1062,89,-487
2018-03-31,2605,1442,69,1511,33,25,-1439,-1200,2916,-213,-196,0,-21,-21,0,-430,0,0,-2022,-2022,-490,0,-2512,100,85,-490
2017-12-31,2522.00000,1471.00000,-875.00000,596.00000,-146.00000,-51.00000,-750.00000,-305.00000,2813.00000,-141.00000,,,-566.00000,-566.00000,,-707.00000,-1750.00000,-1750.00000,-1725.00000,-1725.00000,-458.00000,-88.00000,-4021.00000,-1835.00000,68.00000,-458.00000
2017-09-30,2140,-3072,4582,1510,-20,41,-1312,-774,2876,-183,0,4,-673,-669,0,-852,2488,2488,-1700,-1700,-390,-18,380,2546,52,-390
2017-06-30,2059,1279,87,1366,6,12,125,112,3537,-195,0,0,-486,-486,0,-681,0,0,-1660,-1660,-394,-7,-2061,1010,67,-394
2017-03-31,430,1162,2956,4118,49,19,-3871,-4152,396,-146,-302,0,3133,3133,0,2685,0,-566,-1545,-1545,-396,-6,-2513,603,71,-396
2016-12-31,2070.00000,1187.00000,-1088.00000,99.00000,-89.00000,-102.00000,201.00000,339.00000,2508.00000,-171.00000,,,-246.00000,-246.00000,,-417.00000,,566.00000,-1837.00000,-1837.00000,-399.00000,-60.00000,-1730.00000,205.00000,45.00000,-399.00000
2016-09-30,1931,-2275,3317,1042,27,78,-508,-521,2452,-141,0,0,-616,-616,0,-757,0,0,-1661,-1661,-339,9,-1991,-268,69,-339
2016-06-30,412,959,-501,458,5,-1,-854,-567,303,-132,-9068,0,887,887,0,-8313,0,0,-1685,-1685,-335,36,-1984,-10056,55,-335
2016-03-31,1707,910,-11,899,-22,-34,-1474,-1766,840,-124,-14,0,4486,4486,0,4348,0,0,-1730,-1730,-336,-16,-2082,3106,58,-336
2015-12-31,1941.00000,908.00000,-202.00000,706.00000,-75.00000,,-898.00000,-668.00000,1979.00000,-126.00000,,,-6068.00000,-6068.00000,,-6194.00000,15971.00000,15971.00000,-1986.00000,-1986.00000,-340.00000,-111.00000,13534.00000,9319.00000,39.00000,-340.00000
2015-09-30,1512,-1940,2908,968,45,39,-737,-746,1734,-138,0,0,-21,-21,0,-159,0,0,14,14,-292,74,-204,1371,48,-292
2015-06-30,1697,800,174,974,10,-8,-403,-560,2111,-74,-93,0,-552,-552,0,-719,0,0,-1033,-1033,-294,43,-1284,108,46,-294
2015-03-31,1550,801,249,1050,4,-54,-1026,-1622,978,-88,0,0,167,167,0,79,0,0,-1036,-1036,-294,227,-1103,-46,48,-294
2014-12-31,1569.00000,833.00000,-38.00000,795.00000,-78.00000,10.00000,-1019.00000,-603.00000,1761.00000,-104.00000,,,-532.00000,-532.00000,,-636.00000,,,-773.00000,-773.00000,-297.00000,58.00000,-1012.00000,114.00000,45.00000,-297.00000
2014-09-30,1073,880,-2103,-1223,2,30,1728,1943,1793,-227,-15,0,-257,-257,0,-499,0,0,-746,-746,-248,-386,-1380,-87,42,-248
2014-06-30,1360,747,42,789,16,-18,-307,-207,1942,-109,-134,0,-93,-93,0,-336,0,0,-1129,-1129,-251,12,-1368,238,41,-251
2014-03-31,1598,694,-357,337,8,12,-919,-6,1929,-97,0,0,267,267,0,170,0,0,-1099,-1099,-253,-1048,-2400,-301,44,-253
2013-12-31,1407.00000,706.00000,15.00000,721.00000,-79.00000,-80.00000,-761.00000,-587.00000,1541.00000,-120.00000,,,-156.00000,-156.00000,,-276.00000,,,-1053.00000,-1053.00000,-254.00000,-23.00000,-1330.00000,-65.00000,45.00000,-254.00000
2013-09-30,1192,786,6,792,18,35,-764,61,2045,-138,0,0,328,328,0,190,0,0,-1301,-1301,-211,10,-1502,733,40,-211
2013-06-30,1225,622,22,644,23,20,-451,288,2157,-122,0,0,-783,-783,0,-905,-1,-1,-967,-967,-216,8,-1176,76,41,-216
2013-03-31,1270,665,25,690,-1,-16,-733,-316,1644,-111,0,0,527,527,0,416,0,0,-1806,-1806,-217,6,-2017,43,50,-217
2012-12-31,1293.00000,645.00000,1632.00000,2277.00000,-78.00000,1.00000,-733.00000,-6394.00000,-2824.00000,-100.00000,,,-765.00000,-765.00000,,-865.00000,-5.00000,-5.00000,-1183.00000,-1183.00000,-220.00000,4357.00000,2949.00000,-740.00000,48.00000,-220.00000
2012-09-30,1662,652,-229,423,70,41,-440,-716,1369,-106,0,0,-365,-365,0,-471,0,0,-111,-111,-147,-135,-393,516,35,-147
2012-06-30,-1839,698,2895,3593,-136,36,-479,-497,1257,-108,-3,0,-1062,-1062,0,-1173,0,0,-427,-427,-148,15,-560,-484,36,-148
2012-03-31,1292,577,-204,373,-26,-12,-108,-568,1097,-61,0,0,-903,-903,0,-964,-1,-1,33,33,-148,79,-37,100,38,-148
2011-12-31,1027.00000,561.00000,17.00000,578.00000,-69.00000,-82.00000,-461.00000,-319.00000,1286.00000,-99.00000,,,293.00000,293.00000,,194.00000,-5.00000,-5.00000,-31.00000,-31.00000,-152.00000,-1477.00000,-1665.00000,-185.00000,38.00000,-152.00000
2011-09-30,878,653,27,680,-9,76,-787,-690,868,-117,0,0,-1757,-1757,0,-1874,-35,-35,-388,-388,-103,76,-450,-1473,32,-103
2011-06-30,1004,522,-135,387,-8,4,-59,4,1395,-89,-106,0,-34,-34,0,-229,-4,-4,-1040,-1040,-105,74,-1075,88,32,-105
2011-03-31,880,521,95,616,-11,-9,-616,-893,603,-72,-162,0,111,111,0,-123,-5,-5,-217,-217,-107,-329,-658,-172,42,-107
2010-12-31,884.00000,472.00000,105.00000,577.00000,-51.00000,-42.00000,-389.00000,-455.00000,1006.00000,-75.00000,,,2.00000,2.00000,,-73.00000,-10.00000,-10.00000,-280.00000,-280.00000,-108.00000,-723.00000,-1121.00000,-183.00000,48.00000,-108.00000
2010-09-30,773,499,6,505,50,41,-448,-385,893,-95,-1805,4,2,6,0,-1894,-5,-5,-316,-316,-90,71,-340,-1338,36,-90
2010-06-30,716,456,31,487,1,16,-88,4,1218,-65,0,0,3,3,0,-62,-4,-4,15,15,-93,-425,-507,645,34,-93
2010-03-31,712,434,104,538,34,-9,-548,-642,609,-41,0,66,5,71,0,30,-5,-5,-219,-219,-92,73,-243,400,29,-92
2009-12-31,763.00000,436.00000,96.00000,532.00000,-92.00000,-69.00000,-386.00000,-1312.00000,-29.00000,-37.00000,,19.00000,40.00000,59.00000,,22.00000,-10.00000,-10.00000,-424.00000,-424.00000,-93.00000,75.00000,-452.00000,-457.00000,32.00000,-93.00000
2009-09-30,514,387,36,423,-25,50,-472,-1146,-209,-101,0,0,976,976,0,875,-42,-42,12,12,-78,-152,-260,417,31,-78
2009-06-30,729,401,-449,-48,-47,34,-135,-332,349,-69,0,44,24,68,0,-1,-4,-4,18,18,-79,542,477,837,20,-79
2009-03-31,1109,672,421,1093,-30,-87,-539,-1784,418,-136,0,840,252,1092,0,956,-8,-8,-2644,-2644,-161,-155,-2968,-1616,64,-161
