,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-03-31,0.00000,,,,,,,,1011.00000,-871.00000,,-488.00000,753.00000,265.00000,5.00000,-601.00000,-9.00000,68.00000,59.00000,-775.00000,-775.00000,-107.00000,149.00000,-674.00000,-264.00000,,-107.00000
2015-12-31,4526,1835,1180,3015,-56,155,331,229,1479,-878,0,729,-779,-50,-251,-1179,-478,0,-478,-425,-425,-105,311,-697,-397,0,-105
2015-09-30,0,0,0,0,0,0,0,0,2067,-562,0,289,-719,-430,-17,-1009,-520,0,-520,-425,-425,-107,70,-982,76,0,-107
2015-06-30,0,0,0,0,0,0,0,0,2745,-919,0,-394,344,-50,14,-955,-333,0,-333,-925,-925,-72,-289,-1619,171,0,-72
2015-03-31,0.00000,,,,,,,,1636.00000,-586.00000,,115.00000,-344.00000,-229.00000,3.00000,-812.00000,-260.00000,,-260.00000,-425.00000,-425.00000,-75.00000,-30.00000,-790.00000,34.00000,,-75.00000
2014-12-31,659,1771,3732,5503,-302,172,-1325,-1491,582,-660,0,894,-262,632,-10,-38,-403,0,-403,-500,-500,-75,12,-966,-422,0,-75
2014-09-30,0,0,0,0,0,0,0,0,1358,-457,0,-894,-253,-1147,21,-1583,-301,0,-301,-250,-250,-75,-1,-627,-852,0,-75
2014-06-30,0,0,0,0,0,0,0,0,2056,-518,0,-251,493,242,-3,-279,-851,0,-851,-225,-225,-50,12,-1114,663,0,-50
2014-03-31,0.00000,,,,,,,,951.00000,-614.00000,,251.00000,-240.00000,11.00000,40.00000,-563.00000,-353.00000,,-353.00000,-125.00000,-125.00000,-51.00000,-4.00000,-533.00000,-145.00000,,-51.00000
2013-12-31,10540,1658,-7816,-6158,90,-87,87,170,1131,-905,-47,8,0,8,-4,-948,-293,0,-293,-157,-157,-51,144,-357,-174,0,-51
2013-09-30,0,0,0,0,0,0,0,0,1161,-631,0,17,0,17,-3,-617,-279,0,-279,-93,-93,-51,-68,-491,53,0,-51
2013-06-30,0,0,0,0,0,0,0,0,1208,-338,0,87,-360,-273,50,-561,-322,0,-322,0,0,0,4,-318,329,0,0
2013-03-31,0.00000,,,,,,,,1004.00000,-647.00000,,46.00000,,46.00000,-29.00000,-630.00000,-299.00000,,-299.00000,,,,145.00000,-154.00000,220.00000,,
2012-12-31,1009,1758,110,1868,-116,-451,-278,54,550,-538,0,23,37,60,-55,-533,31,0,31,0,0,0,94,125,142,0,0
2012-09-30,0,0,0,0,0,0,0,0,463,-426,0,38,-72,-34,32,-428,-189,0,-189,0,0,0,-111,-300,-265,0,0
2012-06-30,0,0,0,0,0,0,0,0,632,-597,0,0,9,9,-64,-652,-374,0,-374,0,0,0,22,-352,-372,0,0
2012-03-31,0.00000,,,,,,,,831.00000,-407.00000,,,26.00000,26.00000,32.00000,-349.00000,-367.00000,,-367.00000,,,,139.00000,-228.00000,254.00000,,
2011-12-31,854,1716,275,1991,-76,-8,-280,-61,1158,-368,0,-234,216,-18,-26,-412,-731,0,-731,0,0,0,335,-396,350,0,0
2011-09-30,0,0,0,0,0,0,0,0,-98,-233,0,0,13,13,8,-212,-251,0,-251,0,0,0,13,-238,-548,0,0
2011-06-30,0,0,0,0,0,0,0,0,986,-313,0,0,11,11,4,-298,-580,0,-580,0,0,0,-134,-714,-26,0,0
2011-03-31,0.00000,,,,,,,,788.00000,-340.00000,,,-240.00000,-240.00000,4.00000,-576.00000,-215.00000,,-215.00000,,,,-8.00000,-223.00000,-11.00000,,
2010-12-31,593,1727,535,2262,-141,-36,-467,-128,318,-421,0,451,-666,-215,-33,-669,-269,0,-269,0,0,0,76,-193,-544,89,0
2010-09-30,0,0,0,0,0,0,0,0,514,-397,0,-524,98,-426,21,-802,-701,0,-701,0,0,0,-9,-710,-998,0,0
2010-06-30,0,0,0,0,0,0,0,0,1034,-196,0,0,-98,-98,32,-262,-1254,0,-1254,0,0,0,3,-1251,-479,0,0
2010-03-31,0.00000,,,,,,,,966.00000,-328.00000,,73.00000,,73.00000,-38.00000,-293.00000,-368.00000,,-368.00000,,,,1.00000,-367.00000,306.00000,,
2009-12-31,-1237,1906,-286,1620,147,0,735,1025,-73,-556,0,-121,256,135,62,-359,-341,0,-341,0,0,0,-16,-357,-789,108,0
2009-09-30,0,0,0,0,0,0,0,0,-25,-111,0,0,0,0,-134,-245,879,0,879,0,0,0,-64,815,545,0,0
2009-06-30,0,0,0,0,0,0,0,0,834,-174,0,49,0,49,-7,-132,-281,0,-281,0,0,0,-11,-292,410,0,0
2009-03-31,0.00000,,,,,,,,643.00000,-361.00000,,72.00000,,72.00000,17.00000,-272.00000,-182.00000,,-182.00000,,,,-3.00000,-185.00000,186.00000,,
