,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-06-30,313.6,32.9,-4,28.9,45.4,-34.8,129.3,471.8,-24.1,0,45.4,45.4,0,21.3,993.4,-213.3,780.1,-62.9,-62.9,-73.2,-27.2,616.8,1151.3,28.7,-73.2
2017-03-31,345.90000,32.50000,153.70000,186.20000,-61.90000,5.10000,-1044.50000,-512.40000,-18.70000,-5.00000,42.30000,42.30000,,18.60000,498.50000,213.30000,711.80000,-80.40000,-80.40000,-72.80000,-4.90000,553.70000,78.10000,28.40000,-72.80000
2016-12-31,-425.5,32.9,-165.2,-132.3,-69.2,36.2,928,370.2,-30.4,-0.2,135,135,0,104.4,0,0,0,-55,-55,-72.7,-0.2,-127.9,305.4,25.3,-72.7
2016-09-30,256.6,32.7,15.7,48.4,9.6,10.3,37.6,342.6,-30.5,-3.2,38.6,38.6,0,4.9,0,0,0,-158.2,-158.2,-70.9,-45.5,-274.6,71.8,23.9,-70.9
2016-06-30,258.1,31.2,25.9,57.1,0.3,-42.3,-22.4,292.8,-28,0,129.1,129.1,0,101.1,0,0,0,-211.7,-211.7,-73.2,0,-284.9,98.2,23.5,-73.2
2016-03-31,186.60000,29.90000,36.70000,66.60000,-45.50000,139.60000,0.40000,253.60000,-26.30000,-75.90000,-6.20000,-6.20000,,-108.40000,,,,-280.50000,-280.50000,-75.00000,,-355.50000,-181.30000,25.40000,-75.00000
2015-12-31,220.4,28.7,63.6,92.3,-86.4,-7.8,-8.1,304.6,-23.1,-3,15.6,15.6,0,-10.5,300,0,300,-175.6,-175.6,-69.3,-48.1,7,286.3,20.7,-69.3
2015-09-30,233.8,28.3,21.4,49.7,72.8,-58.7,15.6,299.1,-25.2,0,35.5,35.5,0,10.3,0,0,0,-288,-288,-68.7,1.8,-354.9,-67.5,22.1,-68.7
2015-06-30,264.1,27.9,21,48.9,50.9,-49.6,19.6,332.6,-21.7,-4.6,-16.2,-16.2,0,-42.5,0,0,0,-215.1,-215.1,-68.5,2.1,-281.5,28.7,21.7,-68.5
2015-03-31,231.30000,28.60000,-7.10000,21.50000,-62.70000,137.10000,9.00000,261.80000,-19.00000,,-30.30000,-30.30000,,-49.30000,552.80000,,552.80000,-389.70000,-389.70000,-72.40000,33.20000,123.90000,290.40000,22.70000,-72.40000
2014-12-31,241.4,27,2.5,29.5,-86.4,36.7,37.9,308.8,-17.8,-29.2,-273.3,-273.3,0,-320.3,0,0,0,-425.6,-425.6,-243.7,-1.8,-671.1,-721.3,20.5,-243.7
2014-09-30,218.5,23.2,1.1,24.3,33.9,-47.9,9,251.8,-18,-130,16.8,16.8,0,-131.2,447.7,0,447.7,-277.4,-277.4,-61,-1.5,107.8,163.5,19.3,-61
2014-06-30,324.4,22.3,-70.6,-48.3,-3,-108.8,4.7,280.8,-19.7,-80.5,-3.6,-3.6,72.6,-31.2,0,0,0,-223.9,-223.9,-61.6,6.4,-279.1,-14.9,20.3,-61.6
2014-03-31,221.70000,23.10000,9.40000,32.50000,-42.80000,103.10000,-77.00000,177.20000,-19.10000,,9.50000,9.50000,-72.60000,-82.20000,,,,-195.60000,-195.60000,-65.30000,38.80000,-222.10000,-127.30000,20.30000,-65.30000
2013-12-31,209.6,23.3,-66.8,-43.5,-93.8,34.4,107.2,273.3,-11.3,-50.7,22.9,22.9,0,-39.1,0,0,0,-106.1,-106.1,-55.9,6.4,-155.6,84.4,17.8,-55.9
2013-09-30,186.8,23.4,31.6,55,24.4,22.9,42.6,284.4,-12.9,0,-190.9,-190.9,0,-203.8,497.2,0,497.2,-361.4,-361.4,-56.3,3.5,83,202.1,16,-56.3
2013-06-30,228.4,23.1,2.9,26,27.4,-110.3,-87.9,166.5,-9.5,0,-6.7,-6.7,0,-16.2,-31.9,0,-31.9,-200,-200,-46.7,8.4,-270.2,-125,16.1,-46.7
2013-03-31,191.10000,23.60000,14.20000,37.80000,-25.00000,127.60000,-26.30000,202.60000,-8.60000,,5.80000,5.80000,,-2.80000,-31.90000,,-31.90000,-89.60000,-89.60000,-50.60000,16.10000,-156.00000,2.60000,17.20000,-50.60000
2012-12-31,162,23.8,32.9,56.7,-71.2,17.1,108.4,327.1,-9.8,0,5.7,5.7,0,-4.1,-31.9,0,-31.9,-26.6,-26.6,-37.2,3.9,-91.8,236.9,18.2,-37.2
2012-09-30,186.5,24.1,-16.8,7.3,-16.5,3.5,66.7,260.5,-13.3,0,-6.9,-6.9,0,-20.2,464.2,0,464.2,11.9,11.9,-38,-1.2,436.9,694.4,16.4,-38
2012-06-30,175.7,22.1,13.6,35.7,55.5,-92.4,-37.9,173.5,-6.6,-3.5,-2.2,-2.2,0,-12.3,-3.7,0,-3.7,-92.7,-92.7,-36.7,-2.4,-135.5,9.4,14.9,-36.7
2012-03-31,175.50000,23.50000,54.60000,78.10000,-96.00000,93.10000,-191.60000,62.00000,-15.30000,,1.70000,1.70000,,-13.60000,-3.80000,,-3.80000,27.60000,27.60000,-39.40000,8.60000,-7.00000,54.70000,15.00000,-39.40000
2011-12-31,98.1,20.7,9.7,30.4,-80.4,-10,8.5,137,-14.1,-187.4,-0.8,-0.8,0,-202.3,-3.8,0,-3.8,8.8,8.8,-31.4,1.1,-25.3,-94.2,13.5,-31.4
2011-09-30,132.1,19,19.9,38.9,86.3,-37.4,49.4,220.4,-18,-3,-3.9,-3.9,0,-24.9,-3.7,0,-3.7,-203.7,-203.7,-32,0.1,-239.3,-84.3,12.9,-32
2011-06-30,190.7,21.8,10.5,32.3,13.2,-15.5,22,245,-16,-7.1,-4,-4,0,-27.1,-1.9,0,-1.9,23.2,23.2,-32.4,3.1,-8,219,14.3,-32.4
2011-03-31,157.10000,17.70000,13.10000,30.80000,-2.00000,110.90000,13.00000,200.90000,-19.60000,,6.30000,6.30000,,-13.30000,-1.90000,,-1.90000,-115.70000,-115.70000,-30.30000,2.80000,-145.10000,59.90000,16.00000,-30.30000
2010-12-31,138.9,17.2,3.3,20.5,-85.5,36.9,19.2,178.6,-24.4,-148.6,-0.8,-0.8,0,-173.8,-2.1,-14.8999,-17,-95.3,-95.3,-24.9,0.6,-136.6,-134.1,15.3,-24.9
2010-09-30,137.2,18.1,10.4,28.5,-14.7,-74.9,5,170.7,-19.3,0,-2.4,-2.4,0,-21.7,494.7,-341.5,153.2001,-8,-8,-24.9,-1.2,119.1,307.8,13.6,-24.9
2010-06-30,122.6,15.2,11.5,26.7,32.3,-29.7,-9.4,139.9,-19.1,0,-0.6,-0.6,0,-19.7,-0.4,-15.5,-15.9,-68.2,-68.2,-28.1,0.3,-111.9,-10.5,12.9,-28.1
2010-03-31,114.70000,15.80000,8.60000,24.40000,13.50000,47.60000,25.00000,164.10000,-16.20000,,2.60000,2.60000,,-13.60000,-0.30000,-71.70000,-72.00000,-17.40000,-17.40000,-25.50000,3.00000,-111.90000,22.50000,14.80000,-25.50000
2009-12-31,103.3,16.6,22.5,39.1,-66.2,61.9,44.8,187.2,-26.4,0,-3,-3,0,-29.4,-0.3,-87.4004,-87.7004,5.2,5.2,-24.5,1.8,-105.2,51.2,13,-24.5
2009-09-30,101.7,16.2,11.9,28.1,35.4,-20.8,2.3,132.1,-29.5,0,-1.3,-1.3,0,-30.8,-0.3,-49.2998,-49.5998,2.2,2.2,-23.6,0.3,-70.7,29.9,13.8,-23.6
2009-06-30,111,15.7,14.4,30.1,-0.1,-23.6,-11.6,129.5,-22.4,0,2.4,2.4,0,-20,-0.4,-80.0998,-80.4998,11.1,11.1,-23.7,2.5,-90.6,51.1,16.1,-23.7
2009-03-31,91.10000,15.60000,22.70000,38.30000,16.00000,69.10000,65.60000,195.00000,-12.40000,-0.90000,-0.30000,-0.30000,,-13.60000,-0.40000,-57.20000,-57.60000,1.30000,1.30000,-26.40000,0.40000,-82.30000,95.80000,14.50000,-26.40000
