,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-06-30,452.6,94.4,32.6,127,0,0,0,-135.7,-135.7,443.9,-110.6,-79.9,3.3,-187.2,-7.5,-5.3,-12.8,-250.1,-250.1,-134.7,2.6,-395,-205.6,0,-134.7
2018-03-31,124.10000,93.40000,47.00000,140.40000,,,,-330.70000,-330.70000,-66.20000,-52.80000,-201.60000,-3.30000,-257.70000,31.60000,247.90000,279.50000,-250.00000,-250.00000,-122.60000,-3.30000,-96.40000,-374.30000,,-122.60000
2017-12-31,457.1,91.4,-97.9,-6.5,-156.7,-112.4,167.2,301.6,199.7,650.3,-69.9,-97.3,-1.1,-168.3,-0.1,0,-0.1,-29.1,-29.1,-112.4,-68.4,-210,290.4,70.8,-112.4
2017-09-30,371.9,87.8,75.7,163.5,0,0,0,-67.7,-67.7,467.7,-70.4,-20.4,3.3,-87.5,0,-4,-4,-335.9,-335.9,-121.7,6,-455.6,-51.1,0,-121.7
2017-06-30,362.2,87.4,29.6,117,0,0,0,-30.3,-30.3,448.9,-44.7,-30.1,0.5,-74.3,-7.6,0,-7.6,-325.1,-325.1,-102.2,9.5,-425.4,-12.4,0,-102.2
2017-03-31,121.10000,86.70000,41.80000,128.50000,,,,-293.00000,-293.00000,-43.40000,-34.80000,-9.80000,,-44.60000,,,,-250.10000,-250.10000,-109.60000,18.20000,-341.50000,-392.20000,,-109.60000
2016-12-31,202.8,87.5,-66.6,20.9,-101.3,26.8,103.6,152.4,181.5,405.2,-48.3,422.5,0,-48.3,0,-0.1,-0.1,62.9,62.9,-103.3,-40.5,-81,210.1,0,-103.3
2016-09-30,381.9,88.7,101.5,190.2,0,0,0,116.5,116.5,688.6,-44.3,0,0,-44.3,0,0,0,0,0,-90.2,15.5,-74.7,575.8,0,-90.2
2016-06-30,752.4,88,-331.3,-243.3,0,0,0,-73.4,-73.4,435.7,-40.5,-9.2,0,372.8,0,-404.6,-404.6,0,0,-80.301,11.9,-473,315.9,0,-80.301
2016-03-31,155.60000,88.00000,-9.80000,78.20000,,,,-241.40000,-241.40000,-7.60000,-40.10000,,,-40.10000,,254.00000,254.00000,-250.10000,-250.10000,-88.89900,-13.20000,-98.20000,-123.90000,,-88.89900
2015-12-31,238.5,94.9,56.6,151.5,-79.8,-6.3,-41,372.5,245.4,635.4,-72.6,-9.8,0,-82.4,-0.2,-332.5,-332.7,44.6,44.6,-76.2,-87.2,-451.5,85.3,0,-76.2
2015-09-30,306,88.5,5.7,94.2,0,0,0,-317.2,-317.2,83,-48.9,-10.3,0,-59.2,0,178.1,178.1,-233.4,-233.4,-79.9,9.3,-125.9,-128.1,0,-79.9
2015-06-30,82.9,92.8,23.4,116.2,0,0,0,96.1,96.1,295.2,-57.9,0,0,-57.9,-7.7,-142.4,-150.1,0,0,-82.7,25.8,-207,45.7,0,-82.7
2015-03-31,55.40000,87.90000,61.20000,149.10000,,,,-329.70000,-329.70000,-125.20000,-51.70000,-941.70000,,-993.40000,-16.00000,327.10000,311.10000,,,-73.80000,19.50000,256.80000,-971.30000,,-73.80000
2014-12-31,260.2,81.9,-94,-12.1,-119.9,-230,157.2,420.2,227.5,475.6,-75,-1,0,-76,596.3,99.9,696.2,-88.9,-88.9,-70.1,-108.7,428.5,768.5,0,-70.1
2014-09-30,296.2,82.3,21.4,103.7,0,0,0,-33.5,-33.5,366.4,-54.4,-2.4,0,-56.8,3.5,-38.5,-35,-160.1,-160.1,-67.8,30.1,-232.8,6.9,0,-67.8
2014-06-30,310.4,85.9,13.4,99.3,0,0,0,-156.5,-156.5,253.2,-44.5,2.2,30.3,-12,-3.5,38.1,34.6,-225.1,-225.1,-78.1,65,-203.6,31.9,0,-78.1
2014-03-31,83.60000,82.30000,-29.10000,53.20000,,,,-258.80000,-258.80000,-122.00000,-45.20000,-7.00000,,-52.20000,4.30000,0.10000,4.40000,-787.70000,-787.70000,-69.60000,1.30000,-851.60000,-1039.30000,,-69.60000
2013-12-31,53.8,83.8,273.9,357.7,-214.3,-39.4,141,-142.1,-254.8,209.5,-49.6,0,-15.3,-64.9,-0.0999,-3.7,-3.7999,-337.9,-337.9,-64.2,1274.8,868.9,1027,-53.8,-64.2
2013-09-30,180.8,82.9,165.6,248.5,0,0,0,42.6,42.6,453.2,-41,0.3,20.7,-20,-1255.2001,0.9,-1254.3001,-243.8,-243.8,-66.8,-2.6,-1567.5,-1116.6,13.7,-66.8
2013-06-30,324.7,83.3,74.5,157.8,0,0,0,-34.4,-34.4,436.8,-64.4,4.4,-3.3,-63.3,1538.3,9.1,1547.4,-449.7,-449.7,-64.1,-15,1018.6,1367.6,18.6,-64.1
2013-03-31,94.60000,83.70000,-8.50000,75.20000,,,,-155.00000,-155.00000,-8.00000,-62.90000,,-4.30000,-67.20000,-0.20000,2.60000,2.40000,90.70000,90.70000,-62.80000,-3.70000,26.60000,-49.20000,21.50000,-62.80000
2012-12-31,241.8,48.4,256.1,304.5,-34.2,-25.3,-12.5,11.4,-60.6,459.9,-67.1,52.7,-10,-24.4,-1.3,-60.6,-61.9,-350.1,-350.1,-45,-9.5,-466.5,-47.5,-34.7,-45
2012-09-30,327.1,92.3,10.4,102.7,0,0,0,-18,-18,429.9,-56.3,0,0,-56.3,-63.2,64.6,1.4,-307.1,-307.1,-51.4,0,-357.1,26.2,15.4,-51.4
2012-06-30,372.9,95.1,-8.8,86.3,0,0,0,-86.7,-86.7,289.2,-52.1,0,36,-16.1,-352.7,1.1,-351.6,-23,-23,-58.8,-5,-438.4,-186.1,12.4,-58.8
2012-03-31,102.20000,98.00000,-55.90000,42.10000,,,,-218.90000,-218.90000,16.40000,-49.70000,,,-49.70000,-1.70000,0.40000,-1.30000,12.90000,12.90000,-51.10000,-2.40000,-41.90000,-71.20000,6.90000,-51.10000
2011-12-31,248.1,56.7,9,65.7,16,-6.4,-55.1,239.7,194.2,446,-88.8,63.5,-66.7,-92,-10.3,10,-0.3,-580.3,-580.3,-33.7,18.2,-596.1,-243.1,11.6,-33.7
2011-09-30,93.4,96.8,270.6,367.4,0,0,0,0.5,0.5,408.3,-34.3,336.9,0,302.6,-2.7,6.6,3.9,-514.1,-514.1,-43,-1.3,-554.5,144,5,-43
2011-06-30,99.3,106.7,208.8,315.5,0,0,0,-77.6,-77.6,395,-7,0.5,44.4,37.9,-73.1,24.9,-48.2,9.9,9.9,-54.6,-3.5,-96.4,341.7,11,-54.6
2011-03-31,-71.50000,98.30000,200.70000,299.00000,,,,-347.20000,-347.20000,-62.50000,-38.50000,-2.50000,,-41.00000,-2.20000,-6.00000,-8.20000,36.00000,36.00000,-26.80000,-0.40000,0.60000,-96.20000,15.00000,-26.80000
2010-12-31,219.5,107.4,155,262.3999,-238.9,-213,246.9,-83.6,-288.6,112.9,-59.9,-8.5,0.4,-68,9.6,9.2,18.8,97.8,97.8,-33.8,4.2,87,203.6,27,-33.8
2010-09-30,237.6,119.6,85.6,205.2,0,0,0,-183.6,-183.6,323.7,-38,0,0.2,-37.8,-238.8,9.8,-229,10.4,10.4,-23.7,-8,-250.3,-10.9,12,-23.7
2010-06-30,202,104.7,68,172.7,0,0,0,-25.4,-25.4,321.2,-33.3,-2.2,-1.4,-36.9,10.4,-59.5,-49.1,26.7,26.7,-29.3,-5.5,-57.2,222.5,15.1,-29.3
2010-03-31,6.00000,105.10000,10.60000,115.70000,,,,-228.10000,-228.10000,-62.40000,-33.80000,-3.30000,1.20000,-35.90000,-243.10000,73.60000,-169.50000,10.40000,10.40000,-24.10000,,-183.20000,-277.60000,19.40000,-24.10000
2009-12-31,147.9,108,111.8,219.8,319.7,392.2,52.9,-823,-58.2,219.2,-45.7,0,0,-45.7,7.9002,-45.9,-37.9999,18.9,18.9,-31.2,0.7,-49.6,132.8,12.3,-31.2
2009-09-30,222.6,110.3,31.6,141.9,0,0,0,191.1,191.1,595.8,-38,0,0,-38,-4.4002,-593.6,-598.0002,7.2,7.2,-34.9,9,-616.7,-49,19.4,-34.9
2009-06-30,127.5,100.7,40.9,141.6,0,0,0,532.3,532.3,867.6,-48.6,0,-0.1,-48.7,-146.0999,-258.1,-404.1999,0.5,0.5,-57.5,-49.8,-511,299.3,14.4,-57.5
2009-03-31,-21.80000,102.50000,28.50000,131.00000,,,,-41.10000,-41.10000,52.00000,-50.20000,,-0.10000,-50.30000,188.40000,-158.70000,29.70000,0.60000,0.60000,-57.40000,-3.70000,-30.80000,-56.60000,22.20000,-57.40000
