,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-06-30,3827,1150,428,1578,-343,-53,-66,367,5772,-595,-29220,17649,17649,-81,-12247,-13,1931,1918,-1573,-1573,-2262,0,-1917,-8311,293,-2262
2017-03-31,4422.00000,912.00000,239.00000,1151.00000,-109.00000,-368.00000,-153.00000,-2660.00000,2913.00000,-529.00000,-4852.00000,4444.00000,4444.00000,1.00000,-936.00000,4462.00000,524.00000,4986.00000,-2940.00000,-2940.00000,-2171.00000,-25.00000,-150.00000,1937.00000,229.00000,-2171.00000
2016-12-31,3814,1055,-573,482,-330,159,652,2357,6653,-699,-459,-930,-930,-86,-2174,-1217,1871,654,-1948,-1948,-2170,0,-3464,767,174,-2170
2016-09-30,4272,908,234,1142,356,35,-271,-53,5361,-549,-3320,1496,1496,1,-2372,-17,792,775,-2020,-2020,-2185,-15,-3445,-435,225,-2185
2016-06-30,3997,900,-84,816,-712,-253,-309,-249,4564,-97,-725,2181,2181,-37,1322,3594,-492,3102,-1943,-1943,-2197,0,-1038,4779,274,-2197
2016-03-31,4457.00000,891.00000,680.00000,1571.00000,-390.00000,-190.00000,-1187.00000,-3839.00000,2189.00000,-614.00000,-5.00000,-917.00000,-917.00000,-1.00000,-1537.00000,7421.00000,-4077.00000,3344.00000,-1879.00000,-1879.00000,-2069.00000,,-604.00000,129.00000,205.00000,-2069.00000
2015-12-31,3215,1033,-1236,-203,493,270,-248,2073,5085,478,-721,-1080,-1080,-68,-1391,31,195,226,-1441,-1441,-2072,-7,-3294,93,197,-2072
2015-09-30,3358,929,268,1197,273,-182,834,1585,6140,-362,0,-615,-615,-24,-1001,-6,498,492,-256,-256,-2076,0,-1840,3000,203,-2076
2015-06-30,4516,889,-976,-87,-395,-261,1179,1043,5472,318,0,-3872,-3872,0,-3554,-5,283,278,-974,-974,-2079,0,-2775,-1349,270,-2079
2015-03-31,4320.00000,895.00000,711.00000,1606.00000,-786.00000,-276.00000,459.00000,-3054.00000,2872.00000,-433.00000,-233.00000,-1112.00000,-1112.00000,-11.00000,-1789.00000,-13.00000,396.00000,383.00000,-1614.00000,-1614.00000,-1946.00000,-50.00000,-3227.00000,-2535.00000,204.00000,-1946.00000
2014-12-31,2521,991,392,1383,178,-22,-1477,700,4604,-1346,-1838,414,414,-152,-2922,2024,1680,3704,-2606,-2606,-1956,0,-858,705,146,-1956
2014-09-30,4749,939,-1981,-1042,168,-493,1504,947,4654,3157,-291,-2078,-2078,-53,735,-6,-1686,-1692,-2057,-2057,-1967,0,-5716,-418,206,-1967
2014-06-30,4326,952,206,1158,-170,-93,-101,45,5529,-299,0,-7780,-7780,-13,-8092,-1759,1599,-160,-730,-730,-1978,0,-2868,-5486,242,-1978
2014-03-31,4727.00000,1013.00000,730.00000,1743.00000,-451.00000,-512.00000,-580.00000,-2547.00000,3923.00000,-595.00000,,-1350.00000,-1350.00000,-81.00000,-2026.00000,-5.00000,-997.00000,-1002.00000,-188.00000,-188.00000,-1867.00000,,-3057.00000,-1205.00000,198.00000,-1867.00000
2013-12-31,3519,1102,158,1260,240,177,-2289,-640,4139,-1163,-16,-173,-173,-226,-1578,3494,-340,3154,-110,-110,-1862,0,1182,3723,144,-1862
2013-09-30,2982,976,44,1020,-327,-252,1220,1945,5947,-764,-645,-120,-120,-24,-1553,18,-54,-36,-2621,-2621,-1862,0,-4519,-103,161,-1862
2013-06-30,3833,990,-500,490,-231,-259,474,728,5051,-730,-6,179,179,-12,-569,-1503,637,-866,719,719,-1856,26,-1977,2452,229,-1856
2013-03-31,3497.00000,1036.00000,736.00000,1772.00000,-445.00000,-288.00000,-800.00000,-2992.00000,2277.00000,-480.00000,-168.00000,-751.00000,-751.00000,-4.00000,-1403.00000,5.00000,-229.00000,-224.00000,1123.00000,1123.00000,-1706.00000,30.00000,-777.00000,-56.00000,194.00000,-1706.00000
2012-12-31,2567,1036,-392,644,-97,592,-1878,165,3376,-548,-63,-1934,-1934,42,-2503,21,-733,-712,903,903,-1690,28,-1471,-575,147,-1690
2012-09-30,2629,1005,1351,2356,-58,25,-293,-5,4980,-467,-99,-1375,-1375,4,-1937,-776,88,-688,669,669,-1683,49,-1653,1444,146,-1683
2012-06-30,1408,852,496,1348,411,-169,-983,1489,4245,-266,-4324,470,470,-6,-4126,24,-2019,-1995,-12584,-12584,-1676,0,-16255,-16225,196,-1676
2012-03-31,3910.00000,773.00000,730.00000,1503.00000,-173.00000,-449.00000,-665.00000,-2618.00000,2795.00000,-144.00000,,4202.00000,4202.00000,-2.00000,4056.00000,-28.00000,-243.00000,-271.00000,813.00000,813.00000,-1565.00000,-160.00000,-1183.00000,5725.00000,173.00000,-1565.00000
2011-12-31,218,843,150,993,-373,72,1948,2240,3451,-507,-328,7520,7520,-447,6238,-5,1357,1352,-553,-553,-1555,0,-756,8925,137,-1555
2011-09-30,3202,783,-200,583,99,-167,561,837,4622,-133,-420,-768,-768,-269,-1590,60,-220,-160,-514,-514,-1558,0,-2232,643,145,-1558
2011-06-30,2776,777,-153,624,16,-168,-22,509,3909,-596,0,-10099,-10099,-5,-10700,4394,-3508,886,38,38,-1563,0,-639,-7382,187,-1563
2011-03-31,3476.00000,755.00000,148.00000,903.00000,-625.00000,-452.00000,141.00000,-2063.00000,2316.00000,-315.00000,-2049.00000,3861.00000,3861.00000,-57.00000,1440.00000,5.00000,900.00000,905.00000,-250.00000,-250.00000,-1480.00000,,-825.00000,3001.00000,152.00000,-1480.00000
2010-12-31,1942,769,-148,621,360,1,-672,1261,3824,-759,0,-677,-677,32,-1404,28,4803,4831,-744,-744,-1481,0,2606,5017,140,-1481
2010-09-30,3417,725,209,934,-46,-109,671,683,5034,-313,-398,-1115,-1115,-49,-1875,1070,-852,218,-433,-433,-1484,0,-1699,1625,169,-1484
2010-06-30,3449,711,-208,503,-58,105,-94,-115,3837,-493,-99,-2089,-2089,-12,-2693,-4,-314,-318,-258,-258,-1489,0,-2065,-1030,148,-1489
2010-03-31,4526.00000,734.00000,1117.00000,1851.00000,-451.00000,-193.00000,-392.00000,-2687.00000,3690.00000,-295.00000,-772.00000,-806.00000,-806.00000,-9.00000,-1882.00000,-8.00000,-2328.00000,-2336.00000,-136.00000,-136.00000,-1350.00000,,-3822.00000,-2067.00000,157.00000,-1350.00000
2009-12-31,2206,744,-848,-104,533,345,984,3185,5287,-702,-133,-1583,-1583,54,-2364,5,2802,2807,-376,-376,-1353,0,1078,3954,129,-1353
2009-09-30,3345,675,54,729,151,89,713,1020,5094,-519,-1046,-211,-211,-79,-1855,-208,-1860,-2068,177,177,-1351,0,-3242,170,158,-1351
2009-06-30,3208,679,-385,294,-109,-3,-285,-139,3363,-561,0,-1724,-1724,-18,-2303,0,-468,-468,-242,-242,-1350,0,-2060,-903,182,-1350
2009-03-31,3507.00000,676.00000,1371.00000,2047.00000,-64.00000,-336.00000,-172.00000,-2727.00000,2827.00000,-429.00000,-1291.00000,710.00000,710.00000,-66.00000,-1076.00000,-7.00000,2219.00000,2212.00000,-807.00000,-807.00000,-1273.00000,,132.00000,1821.00000,159.00000,-1273.00000
