,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,430,273,-14,259,0,0,0,-623,-623,71,-338,0,-1,0,-1,22,-317,402,402,-42,-42,-135,-24,201,-40,0,-135
2018-12-31,552.00000,250.00000,18.00000,268.00000,,,,-16.00000,-16.00000,868.00000,-318.00000,-2141.00000,0.00000,,,10.00000,-2449.00000,1927.00000,1927.00000,-80.00000,-80.00000,-134.00000,-2.00000,1711.00000,130.00000,,-134.00000
2018-09-30,483,246,248,494,-2,-144,-44,359,280,1039,-313,-194,-4,0,-4,28,-483,-250,-280,-55,-55,-107,-13,-455,100,69,-107
2018-06-30,542,238,18,256,0,0,0,-41,-41,785,-328,-382,0,0,0,-27,-737,128,158,-120,-120,-108,-1,-71,-28,0,-108
2018-03-31,316,230,29,259,0,0,0,-665,-665,13,-263,0,2,0,2,-3,-264,315,310,-49,-49,-108,0,153,-95,0,-108
2017-12-31,1632.00000,229.00000,-967.00000,-738.00000,,,,203.00000,203.00000,1126.00000,-296.00000,-101.00000,-3.00000,,-3.00000,-22.00000,-422.00000,-525.00000,-520.00000,-101.00000,-101.00000,-108.00000,,-729.00000,-25.00000,,-108.00000
2017-09-30,395,218,292,510,-55,-246,61,593,408,1150,-287,0,-16,0,-16,6,-297,-615,-615,-66,-66,-81,-7,-769,87,92,-81
2017-06-30,448,187,3,190,0,0,0,-189,-189,467,-315,-3081,-1,0,-1,8,-3389,3223,3220,10,10,-80,-242,2908,-12,0,-80
2017-03-31,341,179,-24,155,0,0,0,-729,-729,-152,-267,0,1,0,1,2,-264,475,478,-80,-80,-79,29,348,-64,0,-79
2016-12-31,594.00000,177.00000,-4.00000,173.00000,,,,360.00000,360.00000,1134.00000,-200.00000,,-2.00000,,-2.00000,-12.00000,-214.00000,-20.00000,-320.00000,-570.00000,-570.00000,-79.00000,12.00000,-957.00000,-42.00000,,-79.00000
2016-09-30,392,179,149,328,73,148,-130,130,202,843,-180,0,-7,0,-7,5,-182,-20,130,-612,-612,-54,26,-510,152,81,-54
2016-06-30,485,178,-24,154,0,0,0,102,102,768,-160,0,-3,0,-3,13,-150,-20,-170,-456,-456,-54,2,-678,-57,0,-54
2016-03-31,434,176,16,192,0,0,0,-635,-635,10,-167,0,3,0,3,3,-161,-653,-353,-395,-395,-54,17,-785,-933,0,-54
2015-12-31,461.00000,172.00000,69.00000,241.00000,,,,394.00000,394.00000,1095.00000,-188.00000,,-2.00000,,-2.00000,-1.00000,-191.00000,-20.00000,-20.00000,-353.00000,-353.00000,-54.00000,23.00000,-404.00000,499.00000,,-54.00000
2015-09-30,259,187,199,386,66,220,-162,-62,239,898,-218,374,-5,0,-5,5,156,-510,-510,-285,-285,-37,0,-832,217,69,-37
2015-06-30,344,177,4,181,0,0,0,318,318,864,-201,23,21,0,21,22,-135,-269,-444,-10,-10,-35,7,-482,248,0,-35
2015-03-31,311,172,1,173,0,0,0,-518,-518,-4,-204,0,1,0,1,1,-202,-47,128,-41,-41,-38,5,54,-158,0,-38
2014-12-31,310.00000,175.00000,11.00000,186.00000,,,,310.00000,310.00000,812.00000,-231.00000,142.00000,-3.00000,,-3.00000,3.00000,-89.00000,-668.00000,-668.00000,-75.00000,-75.00000,-37.00000,5.00000,-775.00000,-57.00000,,-37.00000
2014-09-30,136,148,117,265,-93,-148,202,502,330,635,-195,-8137,16,0,16,-34,-8350,5521,5521,2125,2125,-28,-49,7569,-149,51,-28
2014-06-30,258,128,-40,88,0,0,0,-112,-112,278,-144,0,2,0,2,36,-106,-3,-3,1,1,-26,7,-21,149,0,-26
2014-03-31,210,127,-9,118,0,0,0,-434,-434,-96,-153,-56,-2,0,-2,11,-200,-3,-3,-79,-79,-25,14,-93,-387,0,-25
2013-12-31,252.00000,127.00000,-107.00000,20.00000,,,,67.00000,67.00000,361.00000,-140.00000,,-1.00000,,-1.00000,-3.00000,-144.00000,-373.00000,-373.00000,-147.00000,-147.00000,-25.00000,5.00000,-540.00000,-320.00000,,-25.00000
