,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,1968.00000,359.00000,143.00000,502.00000,32.00000,-15.00000,-201.00000,-43.00000,-893.00000,1577.00000,-237.00000,,364.00000,-56.00000,308.00000,-315.00000,-244.00000,-750.00000,-750.00000,-731.00000,-731.00000,-817.00000,-68.00000,-2366.00000,-1013.00000,143.00000,-817.00000
2018-12-31,3,358,1756,2114,113,-119,178,154,228,2345,-248,0,3189,-24,3165,-182,2735,0,0,-912,-912,-736,-22,-1670,3371,175,-736
2018-09-30,2099,358,75,433,90,-157,-24,127,-320,2212,-167,0,2230,-132,2098,94,2025,-1750,-1750,-369,-369,-742,-40,-2901,1335,198,-742
2018-06-30,1819,356,315,671,176,-20,-101,93,-917,1573,-297,0,5620,0,5620,-82,5241,0,0,-402,-402,-740,-10,-1152,5591,252,-740
2018-03-31,1539.00000,357.00000,304.00000,661.00000,101.00000,-14.00000,-92.00000,529.00000,70.00000,2270.00000,-212.00000,,4586.00000,,4586.00000,-20.00000,4354.00000,-4500.00000,-4500.00000,-928.00000,-928.00000,-753.00000,-414.00000,-6595.00000,55.00000,220.00000,-753.00000
2017-12-31,-3836,397,202,599,281,-174,85,47,5990,2753,-220,-10426,630,0,630,0,-10016,4273,4273,-55,-55,-682,-189,3347,-3920,334,-682
2017-09-30,2712,297,140,437,355,-65,-116,166,-455,2694,-129,0,-1985,0,-1985,0,-2114,2961,2961,-89,-89,-682,-20,2170,2796,113,-682
2017-06-30,3069,298,332,630,-419,-9,-137,-32,-173,3526,-123,0,-4123,0,-4123,0,-4246,-30,-30,-107,-107,-680,-63,-880,-1573,102,-680
2017-03-31,2699.00000,294.00000,186.00000,480.00000,537.00000,-5.00000,-262.00000,177.00000,-254.00000,2925.00000,-118.00000,,425.00000,,425.00000,,307.00000,-30.00000,-30.00000,-469.00000,-469.00000,-687.00000,-58.00000,-1244.00000,2056.00000,89.00000,-687.00000
2016-12-31,3099,292,299,591,422,-214,162,265,-151,3539,-169,0,-2506,0,-2506,0,-2675,-730,-730,-972,-972,-619,-27,-2348,-1580,102,-619
2016-09-30,3325,299,257,556,580,-177,-48,-450,512,4393,-198,0,-3719,0,-3719,0,-3917,4939,4939,-940,-940,-623,-579,2797,3324,95,-623
2016-06-30,3497,284,14,298,381,-83,172,-209,1190,4985,-204,0,-3080,0,-3080,0,-3284,90,90,-973,-973,-626,-52,-1561,170,95,-626
2016-03-31,3567.00000,283.00000,285.00000,568.00000,-191.00000,-14.00000,-239.00000,-126.00000,-5.00000,4130.00000,-177.00000,,-1575.00000,-357.00000,-1932.00000,,-2109.00000,-31.00000,-31.00000,-7908.00000,-7908.00000,-587.00000,-87.00000,-8613.00000,-6536.00000,88.00000,-587.00000
2015-12-31,4685,278,673,951,213,-196,-62,-267,159,5795,-166,0,-2272,0,-2272,0,-2438,-50,-50,-3013,-3013,-614,-788,-4465,-1114,97,-614
2015-09-30,4592,278,-77,201,-800,-25,-332,-61,-697,4096,-286,0,-3900,0,-3900,0,-4186,9881,9881,-2971,-2971,-627,361,6644,6548,97,-627
2015-06-30,4497,273,-13,260,-462,-264,562,125,901,5658,-171,0,-3381,0,-3381,0,-3552,-97,-97,-816,-816,-633,-3795,-5341,-3218,96,-633
2015-03-31,4332.00000,269.00000,-32.00000,237.00000,-348.00000,-370.00000,58.00000,113.00000,1132.00000,5701.00000,-124.00000,,-2175.00000,,-2175.00000,,-2299.00000,-45.00000,-45.00000,-2883.00000,-2883.00000,,206.00000,-2722.00000,608.00000,92.00000,
2014-12-31,3462,275,-24,251,-1751,42,-214,77,-692,3021,-167,0,-220,-18,-238,0,-405,2962,2962,-1945,-1945,0,217,1234,3818,95,0
2014-09-30,2724,268,108,376,505,122,15,85,944,4044,-135,0,-635,0,-635,0,-770,-105,-105,-1586,-1586,0,-4081,-5772,-2522,100,0
2014-06-30,3650,266,57,323,-214,64,-70,-336,212,4185,-91,0,-396,0,-396,0,-487,-311,-311,-1146,-1146,0,86,-1371,2327,83,0
2014-03-31,2223.00000,241.00000,86.00000,327.00000,-1118.00000,-85.00000,-20.00000,-166.00000,-982.00000,1568.00000,-164.00000,,3.00000,,3.00000,,-161.00000,3124.00000,3124.00000,-341.00000,-341.00000,,101.00000,2884.00000,4291.00000,82.00000,
2013-12-31,786.456,128.255,3.361,131.616,-88.692,-126.35,-121.131,-65.858,-191.273,726.799,-68.69,-0.355,285.81,0,285.81,0,216.765,-699.087,-699.087,-327.412,-327.412,0,181.381,-845.118,101.958,71.707,0
2013-09-30,785.216,69.242,89.974,159.216,-45.042,-15.794,-41.7,54.472,-191.336,753.096,-37.18,0,29.148,0,29.148,0,-8.032,-37.2941,-37.2941,-5.691,-5.691,0,-899.248,-942.233,-191.44,62.573,0
2013-06-30,767.618,73.177,58.152,131.329,50.515,-143.747,34.039,17.81,54.057,953.004,-45.276,0,-10.201,0,-10.201,0,-55.477,-682.4739,-682.4739,60.293,60.293,0,64.533,-557.648,338.204,55.953,0
2013-03-31,717.71000,74.32600,113.51300,187.83900,-231.78100,-57.10900,30.79200,-154.42400,-233.44800,672.10100,-38.85400,-378.64500,10.24300,,10.24300,,-407.25600,-247.14500,-247.14500,3.81000,3.81000,,44.33400,-199.00100,60.27800,61.76700,
2012-12-31,759.36,73.425,67.619,141.044,37.169,-125.258,-29.458,-3.688,-194.392,706.012,-269.825,-0.36,320.313,0,320.313,0,50.12,-573.566,-573.566,-84.264,-84.264,0,147.633,-510.197,253.067,57.402,0
2012-09-30,671.035,70.996,51.852,122.848,-19.336,-11.552,-84.156,-80.777,-48.515,745.368,-66.584,0,-451.46,0,-451.46,0,-518.04,-350.016,-350.016,-56.736,-56.736,0,99.238,-307.514,-74.79,54.464,0
2012-06-30,706.074,67.412,6.797,74.209,376.698,-186.357,122.962,33.465,510.368,1290.651,-37.392,0,-597.572,0,-597.572,0,-634.96,-351.539,-351.539,-171.76,-171.76,0,48.42,-474.879,173.558,48.403,0
2012-03-31,437.53100,66.16700,108.73200,174.89900,-196.53100,-26.83300,107.65200,-55.00000,-159.46100,452.96900,-23.19900,-10751.64000,56.71900,-25.00000,31.71900,,-10743.12000,1794.12100,1794.12100,111.76000,111.76000,,-50.29100,1855.59000,-8431.83500,48.73100,
2011-12-31,661.759,73.425,103.198,176.623,-154.343,-64.109,171.139,-24.174,139.725,978.107,-26.11,0,4466.4458,0,4466.4458,0,4440.336,3673.389,3673.389,-172.799,-172.799,0,26.03,3526.62,8974.418,46.603,0
2011-09-30,737.538,73.001,89.417,162.418,0.573,-22.04,-37.843,14.917,-2.85,897.106,-64.289,0,-16.0307,0,-16.0307,0,-80.32,-0.052,-0.052,-841.646,-841.646,0,-34.501,-876.199,3.58,46.18,0
2011-06-30,742.459,74.892,82.603,157.495,-114.09,-17.47,119.534,-1.912,43.301,943.255,-26.635,-367.503,-75.6521,0,-75.6521,0,-469.79,-650.021,-650.021,-667.13,-667.13,0,-54.811,-1371.962,-930.199,50.125,0
2011-03-31,647.30300,80.91400,60.64800,141.56200,-107.87600,-97.17400,176.11400,-32.27400,31.67700,820.54200,-14.87000,-221.10500,-64.40600,,-64.40600,,-300.38100,985.83700,985.83700,-489.82000,-489.82000,,-10.90700,485.11000,928.09900,49.47000,
2010-12-31,626.365,77.517,187.98,265.497,3.206,67.073,-146.145,-63.869,-167.019,724.843,-23.361,0,-384.455,0,-384.455,0,-407.816,-0.197,-0.197,-561.141,-561.141,0,101.682,-459.656,-115.114,53.351,0
2010-09-30,702.163,69.053,40.587,109.64,-109.7,89.28,-120.57,-26.763,-72.381,739.422,-10.806,-91,-1292.323,0,-1292.323,0,-1394.129,1599.845,1599.845,-1375.014,-1375.014,0,45.619,270.45,-459.646,51.802,0
2010-06-30,709.127,58.801,48.293,107.094,-78.467,-142.558,120.535,-13.849,-117.142,699.079,-16.051,0,949.023,0,949.023,0,932.972,494.463,494.463,-1650.632,-1650.632,0,-9.367,-1165.536,545.759,48.047,0
2010-03-31,852.09400,60.10600,82.20700,142.31300,-163.91400,-174.98500,141.72700,4.28700,-323.83800,670.56900,-11.66600,,-1057.11200,,-1057.11200,,-1068.77800,-0.01900,-0.01900,-59.15800,-59.15800,,75.20900,16.03200,-336.07800,46.84100,
2009-12-31,799.393,64.11,8.12,72.23,-66.449,-35.246,68.429,39.507,83.653,955.276,1220.829,-1247.816,-370.6968,0,-370.6968,0,-397.684,-200.09,-200.09,-180.2,-180.2,0,56.211,-324.079,248.359,41.824,0
2009-09-30,670.478,57.051,46.429,103.48,-72.102,-46.892,91.521,-49.789,86.573,860.531,-1265.941,1247.816,-408.5241,0,-408.5241,0,-426.649,-205.55,-205.55,-229.416,-229.416,0,9.641,-425.325,-16.275,48.606,0
2009-06-30,569.145,52.635,62.133,114.768,-128.838,18.767,64.69,10.879,-60.996,622.917,-20.874,-1247.816,205.512,0,205.512,0,-1063.178,94.573,94.573,-177.033,-177.033,0,-73.833,-156.293,-622.772,49.209,0
2009-03-31,586.57600,39.14800,94.62700,133.77500,-89.07300,-11.89500,-20.99900,-17.66100,-79.02100,641.33000,-164.07100,,-164.31800,,-164.31800,,-328.38900,-0.03600,-0.03600,-189.11800,-189.11800,,43.41300,-145.74100,204.34400,41.04500,
