,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,136.2,93.6,9.6,103.2,-130.2,-14.7,-7.2,27.3,-16.4,223,107.7,0,-142.7,0,2.4,2.4,-3.7,-36.3,-259.7,250,-9.7,18.2,18.2,-250.2,-241.7,-55.6,19.9
2020-03-31,94.9,93.7,313.7,407.4,-17.9,-18.4,7.5,-298.9,-384.6,117.7,-31.6,0,111.3,0,0,0,-1.4,78.3,731.9,-250,481.9,-231,-231,-28.3,222.6,418.3,15.7
2019-12-31,385.80000,94.40000,-279.10000,-184.70000,17.60000,-14.90000,-55.40000,-12.90000,-87.20000,113.90000,-31.50000,,-11.80000,,-2.40000,-2.40000,,-45.70000,-9.80000,16.00000,6.20000,-285.90000,-285.90000,-10.20000,-289.90000,-220.30000,18.10000
2019-09-30,-123.5,393.4,-55.5,337.9001,-66.8,18.7,25.4,16.3,33.3,247.7,-31.4,0,-1.2,0,-15.2,-15.2,-33,-80.8,-783.0999,780,-3.0999,1.1,1.1,11.2,9.2,173.9,13.5
2019-06-30,93.9,-166.7,282.3,115.5999,-28.3,-27.7,-3.7,-6.2,-45.8,163.7,-25.8,-4.5,-0.8,0,0,0,-1.7,-32.8,694.5,-780,-85.5,-42.9,-42.9,23.9,-104.5,26.9,13.9
2019-03-31,-272.6,117.6,340.7,458.3,18.2,-26.1,-11.2,-3.2,-52.2,133.5,-29.3,0,-2,0,-3,-3,-2.1,-36.4,-0.4001,0,-0.4001,12.2,12.2,-19.8,-8,89.9,17.5
2018-12-31,98.60000,118.80000,-21.20000,97.60000,0.40000,-27.90000,-16.00000,1.50000,-91.60000,104.60000,-22.60000,,-106.60000,,,,-1.50000,-130.70000,-180.39990,,-180.39990,-133.50000,-133.50000,-14.30000,-328.20000,-355.60000,17.10000
2018-09-30,50.5,119.1,9.8,128.9,-24.4,-11.3,23.5,-9.7,53,232.4,-32.1,0,-72.1,0,0,0,-3.3,-107.5,46.9002,0,46.9002,-96.1,-96.1,21.3,-27.9,91.3,11.9
2018-06-30,112.9,120.5,-18.1,102.4001,-16.3,-11.8,9.9,15.1,18.7,234,-24.7,0,0,0,0,0,-1.7,-26.4,-168.2998,0,-168.2998,-88.8,-88.8,15.6,-241.5,-38.8,17.2
2018-03-31,-681.4,119.5,761.8,881.3,8.9,-4.2,-2.4,4.5,-102.5,97.4,-27,0,-0.3,0,-6,-6,-1.8,-35.1,-18.3001,0,-18.3001,-83.9,-83.9,-12.9,-115.1,-50.2,19.5
2017-12-31,406.70000,121.20000,-363.40000,-242.20000,-6.40000,-23.30000,-7.10000,-15.60000,4.60000,169.10000,-21.80000,,-4.10000,,,,-0.30000,-26.20000,-3.60010,,-3.60010,9.50000,9.50000,-26.20000,-20.30000,123.80000,16.40000
2017-09-30,82.7,120.5,-4.3,116.2,-11.8,8.6,17.7,-9.4,-32.3,166.6,-1898.6,0,1785.8,0,0,0,5,-107.8,85.3,0,85.3,-262.3,-262.3,66.4,-110.6,-47.8,14.8
2017-06-30,59.5,118.3,11,129.3,-57.7,8.8,-28.8,18.6,-600.5,-411.7,1840.8,0,-1872.5,5.3,0,5.3,-3.8,-30.2,-163.3,0,-163.3,15.9,15.9,34.3,-113.1,-546.2,14.4
2017-03-31,526.8,95.1,-1102.8,-1007.7,6.5,-8.3,18.3,9.7,564.7,83.8,-25.1,0,393.6,81.4,0,81.4,-0.9,449,-33.3,0,-33.3,13.4,13.4,-25.2,-45.1,488.6,19.8
2016-12-31,86.50000,115.30000,2.90000,118.20000,21.50000,-20.70000,-17.80000,-31.90000,-35.10000,169.60000,-24.70000,,,0.40000,,0.40000,-0.90000,-25.20000,-25.20000,,-25.20000,13.20000,13.20000,-28.40000,-40.40000,97.60000,19.20000
2016-09-30,92.1,114.6,-14.7,99.9001,-21,5.5,25.7,12.6,36.5,228.5,-31.7,4,0,0,0,0,-4.6,-32.3,-150.1,50,-100.1,-43.8,-43.8,54.6,-89.3,106.9,20.3
2016-06-30,84.9,120.9,-12.1,108.8,-3.8,4.4,12.8,5,53.7,247.4,-21.1,0,0,0,0,0,-0.5,-21.6,-193.7,0,-193.7,-105.7,-105.7,199.5,-99.9,125.2,14.5
2016-03-31,68.9,114,-3.4,110.6,-11.3,1.3,6.5,-14.5,-28.6,150.9,-22,-4,0,0,0,0,-0.8,-26.8,-330.1,0,-330.1,-128,-128,-0.7,-458.8,-334,14.7
2015-12-31,84.90000,115.90000,-24.20000,91.70000,4.30000,-3.60000,-4.90000,-12.90000,-5.20000,171.40000,-19.70000,,,31.10000,,31.10000,0.90000,12.30000,-18.90000,,-18.90000,11.10000,11.10000,-14.90000,-22.70000,159.00000,15.90000
2015-09-30,25.1,122.3,63,185.3,-33.8,11,27.3,14.7,32.8,243.2,-31.3,0,0,0,2.3,2.3,-0.3,-29.3,-768.7,175,-593.6999,6.7,6.7,-16.9,-603.9,-393.7,17.1
2015-06-30,29.5,120.5,27.8,148.3,0.2,3.9,16,2.4,64.5,242.3,-18.4,0,0,0,0,0,0.6,-17.8,-17.4,0,-17.4,13,13,-6.8,-11.2,214.5,16.4
2015-03-31,47.8,126.6,-20.4,106.2,13,10.3,7,8.9,3.8,157.8,-18.6,0,0,0,1.3,1.3,0.3,-17,-28.7,0,-28.7,22.2,22.2,-4.6,-11.1,126.5,13.7
2014-12-31,29.20000,122.00000,4.90000,126.90000,-9.70000,18.70000,-24.80000,-4.20000,-2.60000,153.50000,-21.10000,,,,,,-0.90000,-22.00000,-328.80000,,-328.80000,15.20000,15.20000,-7.60000,-321.20000,-192.10000,12.10000
2014-09-30,28.1,131.4,-9.4,122,-20.5,-2.5,10.1,7.9,-18.4,131.7,-12.3,0,-2.4,0,0,0,-0.4,-15.1,-16.2,0,-16.2,-4.2,-4.2,9.7,-10.7,103.6,10.9
2014-06-30,11.3,133.9,-7.2,126.7,6.9,-18.4,14,5.6,20.4,158.4,-20,0,0,0,3.8,3.8,-1.1,-17.3,-16.3,0,-16.3,22.1,22.1,1,6.8,148,13
2014-03-31,-16.8,130.1,28.2,158.3,5.9,-9.7,-22.7,14.2,-72.5,69,-21.4,0,0,0,2.7,2.7,-1.5,-20.2,-41.2,0,-41.2,40.8,40.8,-6.3,-6.7,42,12.4
2013-12-31,-5.30000,127.80000,-88.20000,39.60000,15.60000,-14.10000,10.40000,4.70000,115.00000,149.30000,-16.40000,,2.40000,,,,-0.40000,-14.40000,-521.30000,,-521.30000,12.90000,12.90000,-6.10000,-514.50000,-380.00000,13.70000
2013-09-30,-1113.9,1250,-35.1,1214.9,-5.2,13.1,8,2.7,-23,78,-17.1,0,-1.2,0,-0.1,-0.1,-2.9,-21.3,-216.2,0,-216.2,11.6,11.6,11.1,-193.5,-135.9,10.4
2013-06-30,-10.914,128.969,9.72,138.689,0.673,15.819,-1.461,5.967,118.497,246.272,-26.157,0,-2.324,0,2.125,2.125,0.351,-26.005,-16.3,0,-16.3,13.577,13.577,-2.713,-5.436,213.434,10.821
2013-03-31,-51.104,126.276,47.854,174.13,1.724,2.285,-2.31,12.953,-108.523,14.503,-24.396,0,80.844,0,0,0,-6.095,50.353,-16.25,0,-16.25,24.846,24.846,-45.879,-37.283,26.525,19.013
2012-12-31,3.11800,128.15500,-53.77400,74.38100,6.90300,-6.00400,-10.62900,-7.42000,77.52600,155.02500,-22.44700,60.00000,-15.32000,,-7.62500,-7.62500,1.14400,15.75200,-16.25000,,-16.25000,12.77700,12.77700,-9.10800,-12.58100,158.04100,12.06600
2012-09-30,-77.733,120.497,28.599,149.096,11.055,-3.241,11.955,69.927,14.206,85.569,-25.258,-4.5,-3762.416,0,-0.05,-0.05,-6.652,-3798.876,3476.3,0,3476.3,6.859,6.859,-115.296,3367.863,-344.65,14.24
2012-06-30,23.594,76.939,-7.034,69.905,-14.482,2.93,-10.494,10.516,-21.703,71.796,-19.885,0,0,0,0,0,-0.949,-20.834,0,0,0,1.352,1.352,-0.989,0.363,50.521,8.754
2012-03-31,-40.273,77.041,24.979,102.02,-0.957,-0.415,2.838,-1.226,39.357,101.104,-18.881,12.5,0,0,-0.1,-0.1,-0.008,-6.489,0,0,0,18.762,18.762,-52.574,-33.812,61.479,8.949
2011-12-31,20.81200,77.12300,17.45600,94.57900,-6.61600,-11.47400,-0.49900,3.28300,-3.66000,111.73100,-14.67600,,-9.78400,,-0.15000,-0.15000,0.00900,-24.60100,,,,1.62700,1.62700,-7.94100,-6.31400,80.75000,8.65700
2011-09-30,27.569,78.378,13.16,91.538,-29.251,2.573,10.95,-5.393,-0.198,118.909,-13.128,0,-7.806,0,0,0,0.02,-20.914,-1.362,1.015,-0.347,1.326,1.326,0.38,1.359,98.531,8.227
2011-06-30,36.196,77.153,-4.018,73.135,11.773,-10.01,-10.932,-3.538,10.593,119.924,-14.848,0,-72.072,0,0,0,-0.007,-86.927,0,-0.342,-0.342,10.67,10.67,-2.941,7.387,40.883,7.779
2011-03-31,82.445,75.735,-45.976,29.759,-6.118,-12.025,-4.057,6.751,-30.334,81.87,-14.602,9.479,-117.728,0,0.051,0.051,0.386,-122.414,0,-0.338,-0.338,10.464,10.464,-5.119,5.007,-35.118,8.768
2010-12-31,10.94000,73.47000,44.20900,117.67900,6.46500,-12.69600,6.62800,1.22800,6.70200,135.32100,-13.08500,0.75000,-18.53100,,-5.47200,-5.47200,0.00600,-36.33200,,-0.33500,-0.33500,2.94400,2.94400,-8.68800,-6.07900,92.41100,10.69800
2010-09-30,-136.974,149.166,104.14,253.306,-15.498,5.975,1.087,0.157,2.439,118.771,-12.311,-1.25,-83.193,0,-5.396,-5.396,5.227,-96.923,0,-0.333,-0.333,1.3,1.3,0.212,1.179,24.257,9.636
2010-06-30,27.448,74.536,27.564,102.1,2.374,4.421,2.937,2.328,-12.266,117.282,-11.718,0.75,0,0,0.432,0.432,0.025,-10.511,0,-47.296,-47.296,1.071,1.071,0.222,-46.003,60.053,7.949
2010-03-31,20.618,73.798,-5.896,67.902,-7.75,-2.684,0.985,8.4,6.112,94.632,-12.494,70.75,-2.164,0,-0.35,-0.35,0.038,55.78,0,-72.889,-72.889,8.317,8.317,0.635,-63.937,86.273,8.454
2009-12-31,26.09500,73.99100,23.63400,97.62500,0.66300,-12.95900,2.14200,10.13400,2.30700,126.02700,-10.13500,0.25000,,,-0.12500,-0.12500,-5.31600,-15.32600,,-56.48600,-56.48600,1.90600,1.90600,-4.23400,-58.81400,51.85600,8.12100
2009-09-30,24.568,70.638,17.65,88.288,18.431,0.836,-3.247,3.435,40.166,153.022,-13.085,0.75,0,0,-5.472,-5.472,5.317,-12.49,0,-103.485,-103.485,8.776,8.776,2.447,-92.262,49.465,8.586
2009-06-30,30.751,71.056,29.089,100.145,22.426,-6.006,-2.245,5.013,25.415,156.311,-17.924,-5.25,0,0,-0.175,-0.175,2.483,-20.866,0,-108.515,-108.515,0.347,0.347,0.075,-108.093,26.493,8.01
2009-03-31,-2271.961,2472.253,49.673,2521.926,16.724,-9.166,-7.389,10.615,-8.842,241.123,-27.225,0.512,-0.229,0,-0.225,-0.225,-5.087,-32.254,0,-89.258,-89.258,1.764,1.764,-0.775,-88.269,121.567,16.343
