,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,503.3,113.3,8.4,121.7,267,13.7,-22.7,365.9,986.8,-36.4,0,0,-0.4,0.3,-0.1,0,-36.5,-100,0,-100,0,0,-304,7.4,-396.6,553.7,22.4,-304
2020-03-31,766.80000,112.60000,31.90000,144.50000,-309.50000,12.40000,-47.30000,-158.30000,757.10000,-42.80000,,,-0.20000,,-0.20000,,-43.00000,-204.60000,,-204.60000,,,-1197.60000,-11.70000,-1413.90000,-699.80000,23.10000,-1197.60000
2019-12-31,469,116.1,1,117.1,53.4,0.3,11.4,131,719.7,-66.4,0,89.6,15.6,-54.7,-39.1,0,-15.9,437.8,-569.2,-131.4,0,0,-268.1,-2342.3,-2741.8,-2038,2.3,-268.1
2019-09-30,636.3,121.2,27.8,149,47.8,9.9,23.8,15.6,810.2,-57.6,0,0,-0.1,10.9,10.8,0,-46.8,38.9,-239.5,-200.6,0,0,-267.9,-21.7,-490.2,273.2,14.4,-267.9
2019-06-30,514.6,122.4,64.7,187.1,-34.9,-13.7,-9.5,-228,473.7,-72.5,0,0,-2.8,34,31.2,0,-41.3,-462.3,239.5,-222.8,0,0,-267.8,1,-489.6,-57.2,38.1,-267.8
2019-03-31,495.90000,113.60000,12.90000,126.50000,-5.50000,-50.60000,-38.40000,46.80000,669.20000,-49.10000,,,6.10000,-5.60000,0.50000,,-48.60000,-106.90000,,-106.90000,,,-892.10000,1.30000,-997.70000,-377.10000,18.30000,-892.10000
2018-12-31,387,91.9,123.1,215,-37.6,9.8,-96.2,-89.6,510.4,-55.8,0,-1774.7,0.2,-20.4,-20.2,0,-1850.7,-1185.3,1119.4,-65.9,0,0,-249.8,3.5,-312.2,-1652.5,46,-249.8
2018-09-30,411.8,53.9,61.4,115.3,47.1,26,-9.6,53.5,582.6,-31.3,0,0,0.1,0,0.1,0,-31.2,-1.9,0,-1.9,0,0,-237.6,-18,-257.5,293.9,16.6,-237.6
2018-06-30,566.1,51.1,-34,17.1,10,2.9,20.5,-60.4,522.8,-11.4,0,0,0.7,20.4,21.1,0,9.7,1187.2,0,1187.2,0,0,-237.7,-24.5,925,1457.5,16.2,-237.7
2018-03-31,598.80000,51.80000,16.90000,68.70000,-85.00000,-6.40000,-15.90000,157.50000,825.00000,-18.20000,,,0.80000,,0.80000,,-17.40000,,,,,,-1424.80000,-10.50000,-1435.30000,-627.70000,17.70000,-1424.80000
2017-12-31,2939.2,51.6,-2554,-2502.4,29.8,-4.9,-91,23.6,460.4,-28.9,0,267.6,-0.5,-259.1,-259.6,0,-20.9,0,0,0,-30.4,-30.4,-223.9,37.5,-216.8,222.7,15.2,-223.9
2017-09-30,308.6,50.7,110.2,160.9,26.8,10.7,-12.1,37.8,507.3,-15.4,0,0,-0.7,12.1,11.4,0,-4,0,0,0,7.5,7.5,-223.5,-18.4,-234.4,268.9,15.1,-223.5
2017-06-30,415.8,52.8,14.3,67.1,10.9,-12.9,49.8,-218.9,264,-17.6,0,0,0.2,-2,-1.8,0,-19.4,0,0,0,12.4,12.4,-223.5,0.7,-210.4,34.2,12.8,-223.5
2017-03-31,399.80000,53.40000,14.10000,67.50000,-61.50000,12.20000,-66.70000,52.10000,519.40000,-20.00000,,,0.50000,243.70000,244.20000,,224.20000,,,,10.50000,10.50000,-1322.60000,-11.60000,-1323.70000,-580.10000,14.90000,-1322.60000
2016-12-31,373.4,57.8,5.2,63,10.6,-8.3,21.7,63.2,499.6,-28.9,0,0,0.6,145.8,146.4,0,117.5,0,0,0,22.3,22.3,-202.9,0.8,-179.8,437.3,23.9,-202.9
2016-09-30,472.8,55.2,-121.4,-66.2,52.4,-1.1,-13.3,72.1,478.7,-23.3,0,8.8,-0.9,-1.1,-2,0,-16.5,0,0,0,9.5,9.5,-202.6,-9.7,-202.8,259.4,12.3,-202.6
2016-06-30,320.1,54.4,28.9,83.3,-37.8,3.3,46.1,-179.7,223.7,-19.4,0,0,0.2,-0.8,-0.6,0,-20,0,0,0,13.6,13.6,-202.4,0.2,-188.6,15.1,14,-202.4
2016-03-31,367.80000,57.90000,46.90000,104.80000,-33.30000,3.50000,-91.30000,57.40000,530.00000,-20.20000,,,-4.10000,-3.00000,-7.10000,,-27.30000,130.00000,,130.00000,6.40000,6.40000,-1179.30000,-6.40000,-1049.30000,-546.60000,16.00000,-1179.30000
2015-12-31,291.7,56.3,51.1,107.4,5,-9.5,3.1,-13.4,391.3,-23.9,0,0,9,54.1,63.1,0,39.2,-70.7,70.7,0,12.2,12.2,-168.5,-15.9,-172.2,258.3,15.6,-168.5
2015-09-30,359.9,57.3,12.6,69.9,36.1,16.1,-3.9,33.7,463.5,-29.6,0,0,29.4,-20,9.4,0,-20.2,0,0,0,9.7,9.7,-168.2,-1.5,-160,283.3,11.5,-168.2
2015-06-30,265,58.3,107.1,165.4,-16.6,-11.8,61.4,-171.6,258.8,-29.3,0,0,-0.1,52.7,52.6,0,23.3,-673,0,-673,13.5,13.5,-167.9,1.5,-825.9,-543.8,19,-167.9
2015-03-31,330.40000,56.70000,18.50000,75.20000,-41.80000,-3.00000,-91.00000,13.30000,418.90000,-31.40000,,,0.00000,,0.00000,7.00000,-24.40000,743.70000,,743.70000,28.60000,28.60000,-838.80000,0.70000,-65.80000,328.70000,14.70000,-838.80000
2014-12-31,306.5,56.4,60.3,116.7,3.4,1.9,38.2,79.3,502.5,-36.5,0,0,0,-55,-55,0,-91.5,750,-750,0,26.7,26.7,-157.6,-1.9,-132.8,278.2,13.9,-157.6
2014-09-30,290,58,40.1,98.1,-10,2.9,-32.9,-153.9,234.2,-26.8,0,0,0,-10.5,-10.5,0,-37.3,0,0,0,15.1,15.1,-157.1,-4.3,-146.3,50.6,14.5,-157.1
2014-06-30,263.8,59.5,-3.3,56.2,10,-11,14,-147.1,171.7,-40.9,0,0,0,0,0,0,-40.9,0,0,0,7,7,-157.1,2.9,-147.2,-16.4,13.2,-157.1
2014-03-31,266.60000,59.30000,28.00000,87.30000,-41.90000,6.90000,-69.70000,27.90000,383.00000,-28.60000,,,-0.80000,,-0.80000,,-29.40000,-750.00000,,-750.00000,4.50000,4.50000,-1025.00000,0.90000,-1769.60000,-1416.00000,13.20000,-1025.00000
2013-12-31,193.1,59.9,-3.7,56.2,9.5,-4.8,58.5,139.8,381.9,161.5,0,0,0,-4,-4,0,157.5,1.3,-1.3,0,20.1,20.1,-149.5,-5.3,-134.7,404.7,14,-149.5
2013-09-30,236.3,60.6,65.3,125.9,47.1,4,-169.1,-239.6,129.8,-38.9,0,0,0.7,0,0.7,127.8,89.6,-1.3,0,-1.3,25.5,25.5,-149.8,3.2,-122.4,97,14.4,-149.8
2013-06-30,311.3,59.1,6.4,65.5,-50,5.7,156.1,-1.5,372.8,-35.6,0,0,0,0,0,0,-35.6,0,0,0,15.3,15.3,-150.4,-77.5,-212.6,124.6,13.6,-150.4
2013-03-31,237.40000,58.50000,5.50000,64.00000,-42.10000,-10.40000,-4.40000,92.10000,396.00000,-20.20000,,,-0.80000,,-0.80000,,-21.00000,,,,12.80000,12.80000,-149.40000,0.30000,-136.30000,238.70000,12.40000,-149.40000
2012-12-31,168.1,59.8,27.2,87,32.1,-2.8,-6.8,71.1,322.5,-40.8,0,-162.9,5.1,39.3,44.4,0,-159.3,0,0,0,2.9,2.9,-580,1.7,-575.4,-412.2,12.6,-580
2012-09-30,218.9,60.7,25.2,85.9,41.2,5.5,-91.2,-67.7,239.4,-40.3,0,0,-17.4,-39.3,-56.7,-24.4,-121.4,0,747.7,747.7,7.7,7.7,-150.1,0.4,605.7,723.7,13.8,-150.1
2012-06-30,253.4,64.9,20.6,85.5,-3.3,10.6,42.7,-78.4,262.2,114.6,0,0,0.2,-2.6,-2.4,0,112.2,0,0,0,3.6,3.6,-147.7,1.2,-142.9,231.5,20.7,-147.7
2012-03-31,266.30000,67.70000,-4.10000,63.60000,-70.30000,-2.10000,-36.50000,66.00000,395.60000,-26.70000,,,9.10000,-22.80000,-13.70000,,-40.40000,,,,7.90000,7.90000,-346.50000,2.80000,-335.80000,19.40000,14.30000,-346.50000
2011-12-31,746.7,62.3,-491.2,-428.9,59.3,-9.7,-18.4,29.3,346.5,-42.8,0,0,0.2,0,0.2,0,-42.6,0,0,0,0.6,0.6,-92.2,0.7,-90.9,213,13.8,-92.2
2011-09-30,315,66.3,34.6,100.9,15.5,1.1,-0.5,6.9,423.7,-41,0,0,0.2,0,0.2,0,-40.8,0,0,0,-154.4,-154.4,-93.1,0.3,-247.2,135.7,12.8,-93.1
2011-06-30,295.6,65.8,4.4,70.2,8.4,-18.7,22.8,-151.6,214,-47,0,0,0.3,0,0.3,18.1,-28.6,0,0,0,-64,-64,-93.9,1.4,-156.5,28.9,12.7,-93.9
2011-03-31,457.10000,66.10000,-139.00000,-72.90000,-96.40000,6.30000,-89.10000,-22.00000,362.10000,-41.40000,,,0.40000,,0.40000,-0.60000,-41.60000,,-420.50000,-420.50000,3.20000,3.20000,-93.60000,-0.10000,-511.00000,-190.50000,12.00000,-93.60000
2010-12-31,196.4,86,56.4,142.4,35.2,8.1,-3.9,56.9,396.6,-62.3,0,-25,0.4,47.2,47.6,-3.2,-42.9,0,0,0,6,6,-77,4.3,-66.7,287,13,-77
2010-09-30,244.3,66.9,-0.6,66.3,1.1,6.2,13.7,0.7,313.9,-43.9,0,0,0.3,-17.4,-17.1,0,-61,0,-300,-300,329.7,329.7,-76.8,-1.2,-48.3,204.6,9,-76.8
2010-06-30,271.2,66.4,21,87.4,-16.7,2.2,81.7,-64.5,293.4,-27.5,39.7,-0.7,0.6,0,0.6,0,12.1,-299.9,-0.4,-300.3,-11.6,-11.6,-75.6,1.4,-386.1,-80.6,9.6,-75.6
2010-03-31,240.20000,64.10000,3.60000,67.70000,-48.30000,-10.40000,-39.40000,48.80000,355.70000,-26.30000,,6.10000,0.40000,,0.40000,,-19.80000,200.00000,608.40000,808.40000,-279.70000,-279.70000,-75.90000,-605.10000,-152.30000,183.60000,9.30000,-75.90000
2009-12-31,202.6,64.6,3.4,68,15.8,10.6,35.7,74.2,345.3,-45,0,0,50.7,-0.3,50.4,0,5.4,-224.8,0,-224.8,3.6,3.6,-76.6,3.6,-294.2,56.5,9.8,-76.6
2009-09-30,202.3,64.2,14.8,79,18.1,-2.4,1.2,17.2,299.4,-33.9,0,0,15.3,0.1,15.4,0,-18.5,-199.9,-250.3,-450.2,2.4,2.4,-76.4,-1.3,-525.5,-244.6,6.7,-76.4
2009-06-30,221.8,62.2,6.5,68.7,-3.2,-8,-7.5,-107.4,183.7,-43.7,0,0,150,150.6,300.6,0,256.9,-110.1,-0.9,-111,12,12,-76.3,-155.8,-331.1,109.5,8.3,-76.3
2009-03-31,199.10000,73.10000,0.30000,73.40000,-45.10000,-24.50000,-36.30000,-15.80000,254.70000,-35.30000,,,63.90000,272.40000,336.30000,,301.00000,-858.80000,744.70000,-114.10000,-24.60000,-24.60000,-76.30000,-299.40000,-514.40000,41.30000,8.60000,-76.30000
