,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-09-30,80.898,14.889,18.582,33.471,-1.262,1.612,20.115,134.484,-12.651,0,0,689.317,-958.99,-269.6732,-0.725,-283.049,-0.434,0,-0.434,-324.654,-324.654,0,12.453,-312.635,-460.71,10.577,0
2013-06-30,86.89,15.408,13.591,28.999,0.017,6.38,30.947,146.836,-20.435,0,0,858.215,-793.456,64.759,0.205,44.529,638.731,0,638.731,-334.593,-334.593,0,5.834,309.972,499.681,8.835,0
2013-03-31,84.51300,15.11800,11.31500,26.43300,-2.28000,37.42200,39.69100,150.63700,-17.11500,,,706.24400,-764.26800,-58.02400,-3.42600,-78.56500,,,,-134.15900,-134.15900,,11.80800,-122.35100,-52.11600,7.59400,
2012-12-31,105.641,15.167,42.733,57.9,-0.275,-10.488,7.218,170.759,-13.155,0,0,-1782.419,1579.234,-203.185,0.05,-216.29,0,0,0,-91.559,-91.559,0,-2.329,-93.888,-139.719,6.971,0
2012-09-30,77.91,13.379,20.558,33.937,1.389,7.022,9.775,121.622,-13.626,0,0,385.576,-481.565,-95.989,-0.118,-109.733,0,0,0,-67.441,-67.441,0,9.127,-58.314,-45.166,9.807,0
2012-06-30,68.472,13.532,18.899,32.431,0.821,13.592,34.068,134.971,-13.325,0,0,3.041,-1092.587,-1089.546,-0.52,-1103.391,0,0,0,-73.618,-73.618,0,8.071,-65.547,-1037.419,8.454,0
2012-03-31,68.00900,12.74100,16.12900,28.87000,1.39200,64.54100,13.39900,110.27800,-12.91700,,,5.06000,-5.08200,-0.02200,,-12.93900,,,,-63.75900,-63.75900,,3.75600,-60.00300,39.69100,8.13000,
2011-12-31,53.814,14.251,26.536,40.787,-0.213,25.957,29.613,124.214,-129.216,0,0,-76.472,75.705,-0.767,0.05,-129.933,-1.067,100,98.933,7.179,7.179,0,11.747,117.859,110.561,7.165,0
2011-09-30,58.916,13.813,24.059,37.872,-0.392,-3.343,11.663,108.451,-33.963,0,0,173.917,-31.667,142.25,0.002,108.289,0,0,0,-229.067,-229.067,0,-0.12,-229.187,-17.377,7.093,0
2011-06-30,-10.61,13.674,-0.438,13.236,1.339,14.906,10.323,12.949,-13.916,0,0,358.348,-26.03,332.318,0,318.402,0,0,0,-87.348,-87.348,-463.498,-2.761,-553.607,-220.661,14.064,-463.498
2011-03-31,40.77100,13.96800,17.43900,31.40700,-0.98500,35.90800,18.10900,90.28700,-15.56500,,,11.23800,-18.00800,-6.77000,-1.18100,-23.51600,,,,-190.87800,-190.87800,,3.61500,-187.26300,-118.80200,14.95000,
2010-12-31,-40.505,14.276,99.9129,114.1891,1.993,28.281,-26.957,46.727,-11.881,0,-2.724,-473.901,474.912,1.011,-0.1,-13.694,-1.004,0,-1.004,20.553,20.553,-518.217,-35.272,-533.94,-500.567,9.977,-518.217
2010-09-30,785.545,13.573,-875.781,-862.2081,1.07,-17.722,-5.178,-81.841,-25.874,0,1149.447,0,-8.682,-8.682,-0.915,1113.976,0,0,0,-123.851,-123.851,0,154.741,30.89,1197.272,16.891,0
2010-06-30,36.374,17.901,15.548,33.449,5.505,43.005,79.377,149.2,-22.874,0,0,0,-13.052,-13.052,-3.773,-39.699,0,0,0,-217.581,-217.581,0,3.966,-213.615,-227.107,13.225,0
2010-03-31,52.44000,21.90500,10.25800,32.16300,4.57900,45.67200,16.51700,101.12000,-19.89800,,15.58300,,-453.17800,-453.17800,,-457.49300,,,,-36.36000,-36.36000,,7.75100,-28.60900,-387.13600,12.08500,
2009-12-31,93.353,24.551,46.065,70.616,11.279,-31.276,9.18,173.149,-44.745,0,187.202,12.328,-1.15,11.178,0.108,153.743,0,2.071,2.071,-205.591,-205.591,0,-76.168,-279.688,44.86,11.761,0
2009-09-30,54.599,20.317,8.842,29.159,5.717,20.218,17.019,100.777,-25.252,0,46.678,-0.75,0.75,0,0.166,21.592,0,0,0,-17.084,-17.084,0,6.042,-11.042,123.954,11.309,0
2009-06-30,35.772,20.868,-28.719,-7.851,0.338,8.109,54.906,82.827,-19.821,0,233.128,24.635,-0.75,23.885,-6.201,230.991,0,0,0,-17.464,-17.464,0,67.135,49.671,365.966,14.168,0
2009-03-31,65.51500,20.53000,-20.30800,0.22200,8.46400,-3.58800,-27.29900,38.43800,-20.99400,,2.37200,93.26600,,93.26600,3.48500,78.12900,,,,15.77200,15.77200,,27.29300,43.06500,153.31800,13.92800,
