,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-07-31,841,94,182,276,-179,-217,71,-250,867,-87,0,-80,353,-178,175,8,-1401,0,-1401,-200,-200,-202,-3,-1806,-931,70,-202
2020-04-30,755,91,67,158,54,-254,-106,-278,635,-71,0,-27,667,-404,263,165,1498,0,1498,-123,-123,-193,-10,1172,1972,71,-193
2020-01-31,892.00000,94.00000,138.00000,232.00000,-146.00000,2.00000,-10.00000,-137.00000,987.00000,-102.00000,,,368.00000,-428.00000,-60.00000,-162.00000,,,,-185.00000,-185.00000,-192.00000,-153.00000,-530.00000,295.00000,93.00000,-192.00000
2019-10-31,698,92,58,150,-160,66,-114,-22,826,-97,0,0,555,-544,11,-86,0,0,0,-428,-428,-194,-3,-625,115,66,-194
2019-07-31,571,89,65,154,-107,138,-42,62,787,-93,0,-5,479,-543,-64,-162,0,0,0,-528,-528,-196,-3,-727,-102,67,-196
2019-04-30,666,94,63,157,181,26,-40,-23,800,-118,0,-23,442,-430,12,-129,0,0,0,-552,-552,-189,-6,-747,-76,65,-189
2019-01-31,771.00000,88.00000,107.00000,195.00000,-121.00000,18.00000,243.00000,-132.00000,834.00000,-133.00000,,,464.00000,-397.00000,67.00000,-66.00000,,,,-750.00000,-750.00000,-192.00000,-74.00000,-1016.00000,-248.00000,65.00000,-192.00000
2018-10-31,757,120,42,162,559,-155,-327,158,1077,-165,0,-1,453,-416,37,-129,0,0,0,-683,-683,-195,-4,-882,66,65,-195
2018-07-31,1016,110,79,189,-217,-319,-48,-572,633,-133,0,0,391,-932,-541,-674,0,0,0,-1250,-1250,-199,-6,-1455,-1496,64,-199
2018-04-30,1100,108,115,223,-482,-329,-184,-712,611,-121,0,0,488,-345,143,22,0,0,0,-2444,-2444,-105,-13,-2562,-1929,64,-105
2018-01-31,165.00000,119.00000,97.00000,216.00000,156.00000,-211.00000,460.00000,1085.00000,1466.00000,-203.00000,,-5.00000,1944.00000,-384.00000,1560.00000,1352.00000,,,,-782.00000,-782.00000,-106.00000,-141.00000,-1029.00000,1789.00000,65.00000,-106.00000
2017-10-31,1067,105,16,121,-63,16,-639,-479,709,-124,0,-12,921,-1314,-393,-529,0,0,0,-335,-335,-107,-6,-448,-268,58,-107
2017-07-31,925,102,58,160,124,-266,259,292,1377,-80,0,-30,935,-1174,-239,-349,-205,0,-205,-374,-374,-107,-8,-694,334,55,-107
2017-04-30,824,103,37,140,-9,-328,133,-53,911,-77,0,-26,601,-1779,-1178,-1281,2176,0,2176,-236,-236,-108,-9,1823,1453,53,-108
2017-01-31,703.00000,97.00000,88.00000,185.00000,-89.00000,-231.00000,265.00000,-96.00000,792.00000,-64.00000,,,286.00000,-589.00000,-303.00000,-367.00000,,,,-130.00000,-130.00000,-108.00000,-102.00000,-340.00000,85.00000,54.00000,-108.00000
2016-10-31,610,100,94,194,-430,-24,144,93,897,-88,0,-11,553,-443,110,11,0,0,0,-127,-127,-108,-95,-330,578,51,-108
2016-07-31,505,97,69,166,63,-100,182,310,981,-50,0,3,208,-483,-275,-322,-2,0,-2,-196,-196,-108,5,-301,358,48,-108
2016-04-30,320,96,28,124,-288,-90,208,37,481,-47,0,-8,232,-182,50,-5,0,0,0,-858,-858,-113,3,-968,-492,48,-113
2016-01-31,286.00000,96.00000,69.00000,165.00000,113.00000,-2.00000,63.00000,-244.00000,207.00000,-68.00000,,,241.00000,-282.00000,-41.00000,-109.00000,-1205.00000,,-1205.00000,-623.00000,-623.00000,-115.00000,10.00000,-1933.00000,-1835.00000,54.00000,-115.00000
2015-10-31,336,96,-126,-30,261,-94,-91,165,471,-53,0,-2,200,-202,-2,-57,2581,0,2581,-655,-655,-119,2,1809,2223,46,-119
2015-07-31,329,93,104,197,-194,-26,135,-192,334,-49,0,-2,583,-616,-33,-84,0,0,0,-624,-624,-123,3,-744,-493,46,-123
2015-04-30,364,90,27,117,-218,-72,51,-183,298,-64,0,0,177,-203,-26,-90,0,0,0,42,42,-123,12,-69,138,47,-123
2015-01-31,348.00000,92.00000,45.00000,137.00000,90.00000,-74.00000,-246.00000,-425.00000,60.00000,-49.00000,,,140.00000,-141.00000,-1.00000,-50.00000,,,,,,-122.00000,39.00000,-83.00000,-73.00000,48.00000,-122.00000
2014-10-31,256,94,42,136,-32,-21,-215,15,407,-63,25,-12,176,-179,-3,-53,0,0,0,40,40,-122,4,-78,276,45,-122
2014-07-31,301,93,92,185,-7,18,78,98,584,-65,0,0,181,-308,-127,-192,0,0,0,1,1,-121,1,-119,273,44,-121
2014-04-30,262,94,71,165,-105,-32,132,10,437,-65,0,0,157,-161,-4,-69,0,0,0,56,56,-122,7,-59,309,42,-122
2014-01-31,253.00000,94.00000,13.00000,107.00000,123.00000,-119.00000,94.00000,12.00000,372.00000,-48.00000,,,364.00000,-163.00000,201.00000,153.00000,,,,10.00000,10.00000,-120.00000,18.00000,-92.00000,433.00000,46.00000,-120.00000
2013-10-31,183,98,82,180,-455,-56,-43,-344,19,-56,7,-1,276,-169,107,57,0,0,0,-13,-13,-120,23,-110,-34,41,-120
2013-07-31,168,100,-2,98,105,-39,68,98,364,-40,0,0,134,-128,6,-34,0,0,0,-10,-10,-120,0,-130,200,40,-120
2013-04-30,-129,384,81,465,-166,-40,-58,-112,224,-52,0,0,158,-167,-9,-61,0,0,0,-33,-33,-108,0,-141,22,39,-108
2013-01-31,34.00000,106.00000,-27.00000,79.00000,112.00000,-6.00000,45.00000,-97.00000,16.00000,-49.00000,,,445.00000,-143.00000,302.00000,253.00000,,,,-30.00000,-30.00000,-108.00000,,-138.00000,131.00000,42.00000,-108.00000
2012-10-31,-515,518,246,764,310,108,-192,162,411,-41,0,-1,254,-175,79,37,0,0,0,-420,-420,-111,-51,-582,-137,44,-111
2012-07-31,218,105,177,282,250,214,-264,156,656,-45,0,-3,205,-438,-233,-281,0,0,0,-545,-545,-115,51,-609,-232,42,-115
2012-04-30,289,108,57,165,-214,178,134,149,603,-39,0,-7,247,-460,-213,-259,0,0,0,-157,-157,-104,0,-261,80,43,-104
2012-01-31,117.00000,112.00000,92.00000,204.00000,147.00000,179.00000,-54.00000,-140.00000,181.00000,-37.00000,,-4179.00000,313.00000,-254.00000,59.00000,-4157.00000,,,,-198.00000,-198.00000,-104.00000,,-302.00000,-4279.00000,53.00000,-104.00000
2011-10-31,455,59,283,342,275,147,-296,-96,701,-73,4,0,750,-192,558,489,-14,0,-14,-144,-144,-106,14,-250,942,36,-106
2011-07-31,476,59,-59,0,102,-64,24,123,599,-55,87,0,269,-49,220,252,1745,0,1745,-20,-20,-105,-14,1606,2460,38,-105
2011-04-30,489,65,9,74,30,-146,249,141,704,-57,0,0,461,-359,102,45,-1,0,-1,-72,-72,-93,0,-166,584,39,-93
2011-01-31,506.00000,63.00000,19.00000,82.00000,-115.00000,-100.00000,209.00000,-163.00000,425.00000,-24.00000,39.00000,,443.00000,-537.00000,-94.00000,-79.00000,,,,-137.00000,-137.00000,-93.00000,,-230.00000,116.00000,33.00000,-93.00000
2010-10-31,468,69,79,148,-119,45,3,-91,525,-35,0,0,441,-421,20,-15,0,0,0,-120,-120,-94,0,-214,294,31,-94
2010-07-31,123,73,45,118,-283,101,23,58,299,-36,0,0,427,-528,-101,-137,-1,0,-1,-98,-98,-94,0,-193,-32,33,-94
2010-04-30,264,87,22,109,-171,-26,-41,154,527,-45,0,0,356,-532,-176,-221,-6,0,-6,-23,-23,-80,0,-109,197,28,-80
2010-01-31,83.00000,76.00000,110.00000,186.00000,-194.00000,25.00000,130.00000,103.00000,372.00000,-53.00000,,-323.00000,184.00000,-297.00000,-113.00000,-489.00000,1.00000,,1.00000,20.00000,20.00000,-81.00000,,-60.00000,-177.00000,34.00000,-81.00000
2009-10-31,138.189,71.391,-39.904,31.4869,-199.319,121.49,-14.133,70.528,240.204,-61.196,0,0,195.974,-306.583,-110.609,-171.805,-0.759,0,-0.759,32.5,32.5,-79.244,0,-47.503,21.154,30.886,-79.244
2009-07-31,-54.865,73.501,117.196,190.6971,72.223,152.517,-12.084,57.8811,193.713,-59.705,0,0,195.541,-162.89,32.651,-27.054,0.082,0,0.082,1.773,1.773,-80.02,0,-78.165,88.494,43.334,-80.02
2009-04-30,-255.39,74.88,235.203,310.083,345.448,230.068,-97.203,29.6069,84.3,-54.781,0,0,383.796,-259.179,124.617,69.836,-0.833,0,-0.833,27.451,27.451,-79.974,0,-53.356,100.78,39.172,-79.974
2009-01-31,-132.93400,71.22800,225.50500,296.73300,368.64800,-144.07500,-125.58000,-349.01600,-185.21700,-73.31800,,,541.68900,-227.34800,314.34100,241.02300,0.51000,,0.51000,-22.72400,-22.72400,-79.76200,,-101.97600,-45.42800,33.60800,-79.76200
