,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-06-30,266.00000,509.00000,-28.00000,481.00000,,-378.00000,-378.00000,369.00000,-109.00000,-108.00000,,,37.00000,-180.00000,-1054.00000,,-1054.00000,-305.00000,-305.00000,-51.00000,1110.00000,-300.00000,-150.00000,22.00000,-51.00000
2018-03-31,565,623,-1007,-384,-464,671,414,557,-74,-46,0,0,69,-51,-242,-402,-644,-35,-35,-51,-24,-754,-227,17,-51
2017-12-31,779,483,66,549,0,-828,-828,500,-114,-41,0,0,429,274,-465,1,-464,15,15,-51,-15,-515,254,18,-51
2017-09-30,265,541,156,697,0,29,29,991,-82,-152,0,0,-144,-378,-139,-278,-417,15,15,-52,1,-453,180,18,-52
2017-06-30,173.00000,363.00000,-79.00000,284.00000,,62.00000,62.00000,519.00000,-107.00000,974.00000,,,7.00000,874.00000,-151.00000,58.00000,-93.00000,11.00000,11.00000,-20.00000,-66.00000,-168.00000,1254.00000,40.00000,-20.00000
2017-03-31,-138,172,14,186,-25,-269,-272,-186,-32,3,0,0,289,260,-29,-16,-45,7,7,-19,78,21,154,19,-19
2016-12-31,37,164,-34,130,0,396,396,563,-85,0,0,0,-19,-104,-44,-244,-288,5,5,-20,-1,-304,57,21,-20
2016-09-30,21,170,101,271,0,-100,-100,192,-123,-11,0,0,-38,-172,26,29,55,6,6,-20,-19,22,54,21,-20
2016-06-30,-20.00000,169.00000,24.00000,193.00000,,-123.00000,-123.00000,50.00000,-89.00000,-423.00000,,,-37.00000,-549.00000,-107.00000,467.00000,360.00000,36.00000,36.00000,-19.00000,-23.00000,354.00000,-178.00000,14.00000,-19.00000
2016-03-31,-133,159,202,361,129,13,-157,60,-114,-289,1,1,-48,-450,-472,381,-91,-35,-35,-21,-102,-249,-652,17,-21
2015-12-31,52,198,22,220,0,-14,-14,258,-127,-26,-71,-71,-25,-249,-8,183,175,117,117,-345,73,20,12,21,-345
2015-09-30,177,203,21,224,0,-279,-279,122,-156,-236,0,0,-5,-397,-392,372,-20,21,21,-32,-9,-40,-381,19,-32
2015-06-30,167.00000,207.00000,-50.00000,157.00000,,38.00000,38.00000,362.00000,-82.00000,34.00000,,,-36.00000,-84.00000,-69.00000,3.00000,-66.00000,-94.00000,-94.00000,-32.00000,-24.00000,-216.00000,101.00000,-12.00000,-32.00000
2015-03-31,23,215,-95,120,237,280,171,330,-96,-14,0,0,-27,-137,-49,0,-49,-279,-279,-33,-38,-399,-295,14,-33
2014-12-31,-313,238,471,709,0,257,257,653,-94,0,0,0,-7,-101,-54,0,-54,67,67,-32,-4,-23,470,19,-32
2014-09-30,156,252,27,279,0,-218,-218,217,-130,-53,0,0,-1,-184,-55,-15,-70,-374,-374,-34,3,-475,-517,16,-34
2014-06-30,151.00000,272.00000,4.00000,276.00000,,-154.00000,-154.00000,273.00000,-105.00000,5.00000,,,-14.00000,-114.00000,-84.00000,-17.00000,-101.00000,-60.00000,-60.00000,-29.00000,9.00000,-181.00000,-3.00000,19.00000,-29.00000
2014-03-31,273,265,68,333,168,253,0,565,-175,3,0,0,-17,-189,-68,31,-37,-43,-43,-30,-113,-223,159,20,-30
2013-12-31,276,251,-74,177,0,76,76,529,-137,-150,0,0,-14,-301,-304,408,104,-98,-98,-29,-21,-44,189,20,-29
2013-09-30,242,247,-52,195,-34,-133,-167,270,-127,149,0,0,3,25,-60,0,-60,-55,-55,-30,3,-142,166,16,-30
2013-06-30,177.00000,255.00000,-19.00000,236.00000,34.00000,-234.00000,-200.00000,213.00000,-140.00000,56.00000,,,-17.00000,-101.00000,-60.00000,,-60.00000,-111.00000,-111.00000,-30.00000,-6.00000,-207.00000,-125.00000,17.00000,-30.00000
2013-03-31,86,269,368,637,55,29,-642,41,-94,150,0,0,-74,-18,62,-13,49,-173,-173,-31,-1,-156,-144,13,-31
2012-12-31,513,268,-669,-401,0,301,301,413,-127,956,0,0,11,840,-802,-11,-813,-56,-56,-31,-2,-902,348,16,-31
2012-09-30,138,271,-16,255,0,51,51,444,-136,-34,0,0,-17,-187,644,-23,621,1,1,-31,-25,566,850,13,-31
2012-06-30,42.00000,262.00000,6.00000,268.00000,,-89.00000,-89.00000,221.00000,-168.00000,2.00000,,,-13.00000,-179.00000,-65.00000,6.00000,-59.00000,,,-31.00000,-7.00000,-97.00000,-93.00000,7.00000,-31.00000
2012-03-31,3470,-2307,-1036,-3343,240,415,364,496,-180,-4,0,0,-36,-220,-52,-28,-80,0,0,-31,1,-110,195,0,-31
2011-12-31,-1391,382,1497,1879,0,232,232,720,-158,0,0,0,-27,-185,-38,-517,-555,0,0,-31,-4,-590,-80,14,-31
2011-09-30,-2866,3004,297,3301,0,-429,-429,6,-175,-360,0,0,-34,-569,-358,322,-36,2,2,-31,-10,-75,-688,17,-31
2011-06-30,185.00000,292.00000,13.00000,305.00000,,-536.00000,-536.00000,-46.00000,-272.00000,-8.00000,,,-54.00000,-334.00000,-37.00000,243.00000,206.00000,13.00000,13.00000,-31.00000,6.00000,194.00000,-171.00000,5.00000,-31.00000
2011-03-31,175,283,77,360,170,332,223,760,-82,65,0,0,-140,-157,-29,-331,-360,-18,-18,-31,-4,-413,208,10,-31
2010-12-31,243,286,21,307,0,-88,-88,462,-209,-91,0,0,23,-277,-23,-1166,-1189,8,8,-23,-12,-1216,-1028,16,-23
2010-09-30,193,294,-10,284,0,-75,-75,402,-210,-9,0,0,14,-205,-29,1,-28,2,2,-23,0,-49,222,16,-23
2010-06-30,148.00000,277.00000,4.00000,281.00000,,-489.00000,-489.00000,-60.00000,-221.00000,-4.00000,,,-28.00000,-253.00000,-11.00000,2.00000,-9.00000,16.00000,16.00000,,-5.00000,2.00000,-349.00000,14.00000,
2010-03-31,264,278,56,334,70,1110,636,1236,-126,0,0,0,-150,-276,-510,-64,-574,20,20,0,-47,-601,357,15,0
2009-12-31,217,301,35,336,0,-421,-421,132,-266,2,0,0,36,-228,-10,61,51,50,50,0,4,105,20,15,0
2009-09-30,220,294,36,330,0,22,22,572,-137,7,0,0,2,-128,-8,1,-7,28,28,0,2,23,487,16,0
2009-06-30,133.00000,283.00000,-56.00000,227.00000,,-657.00000,-657.00000,-297.00000,-140.00000,,,,-18.00000,-158.00000,-9.00000,-5.00000,-14.00000,-1.00000,-1.00000,,1.00000,-14.00000,-377.00000,18.00000,
2009-03-31,1123,1270,478,1748,224,72,-847,1986,-785,-100,0,0,-153,-1038,-532,1265,733,9,9,0,0,742,1598,54,0
