,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-06-30,94,216,10,226,251,-111,0,67,248,568,-492,0,0,0,-243,-735,368,-30,338,3,3,-110,3,234,67,-110
2019-03-31,213.00000,298.00000,59.00000,357.00000,-61.00000,209.00000,,-12.00000,47.00000,617.00000,-481.00000,,,,-194.00000,-675.00000,354.00000,-67.00000,287.00000,3.00000,3.00000,-108.00000,-32.00000,150.00000,92.00000,-108.00000
2018-12-31,109,244,-131,113,-284,90,46,42,-84,138,-502,0,0,0,-289,-791,783,-183,600,2,2,-102,-38,462,-191,-102
2018-09-30,169,206,55,261,1,-177,-46,-100,-281,149,-700,0,146,146,-253,-807,400,280,680,3,3,-101,-59,523,-135,-101
2018-06-30,140,204,35,239,291,-127,0,114,329,708,-450,0,0,0,-102,-552,188,0,188,33,33,-103,0,118,274,-103
2018-03-31,241.00000,279.00000,47.00000,326.00000,7.00000,228.00000,,-2.00000,141.00000,708.00000,-422.00000,,,,-34.00000,-456.00000,39.00000,-170.00000,-131.00000,3.00000,3.00000,-101.00000,,-229.00000,23.00000,-101.00000
2017-12-31,-2,229,260,489,-251,115,6,100,19,506,-457,0,0,0,-57,-514,259,-60,199,3,3,-95,-68,39,31,-95
2017-09-30,172,193,97,290,31,-205,-6,-165,-382,80,-462,0,0,0,-86,-548,33,257,290,4,4,-94,0,200,-268,-94
2017-06-30,93,197,68,265,117,-157,0,78,115,473,-381,0,0,0,-79,-460,13,-27,-14,73,73,-94,0,-35,-22,-94
2017-03-31,199.00000,262.00000,111.00000,373.00000,37.00000,201.00000,,-124.00000,74.00000,646.00000,-365.00000,,,,19.00000,-346.00000,395.00000,-398.00000,-3.00000,3.00000,3.00000,-94.00000,,-94.00000,206.00000,-94.00000
2016-12-31,78,214,-15,199,-206,111,24,123,111,388,-448,0,0,0,-69,-517,-203,323,120,3,3,-87,-18,18,-111,-87
2016-09-30,186,183,113,296,-46,-163,-24,-130,-342,140,-407,0,0,0,-80,-487,330,63,393,3,3,-87,0,309,-38,-87
2016-06-30,125,176,71,247,81,-76,0,65,97,469,-410,0,0,0,-57,-467,284,-2,282,3,3,-87,0,198,200,-87
2016-03-31,164.00000,238.00000,89.00000,327.00000,16.00000,274.00000,,-101.00000,141.00000,632.00000,-407.00000,,,,-37.00000,-444.00000,-12.00000,-235.00000,-247.00000,63.00000,63.00000,-86.00000,,-270.00000,-82.00000,-86.00000
2015-12-31,107,186,-191,-5,-99,93,0,116,118,220,-462,-154,0,0,-108,-724,632,46,678,3,3,-81,0,600,96,-81
2015-09-30,148,173,115,288,25,-181,0,-123,-278,158,-427,0,0,0,-131,-558,-24,164,140,13,13,-80,0,73,-327,-80
2015-06-30,68,169,78,247,242,-143,0,87,187,502,-327,0,0,0,-33,-360,-128,-1,-129,23,23,-81,0,-187,-45,-81
2015-03-31,202.00000,222.00000,141.00000,363.00000,-48.00000,378.00000,,-99.00000,195.00000,760.00000,-348.00000,,,,-74.00000,-422.00000,73.00000,-20.00000,53.00000,4.00000,4.00000,-80.00000,,-23.00000,315.00000,-80.00000
2014-12-31,97,182,79,261,-142,125,0,114,161,519,-452,0,0,0,-99,-551,-282,146,-136,3,3,-75,-36,-244,-276,-75
2014-09-30,94,153,72,225,125,-269,0,-134,-294,25,-462,0,0,0,-102,-564,676,69,745,3,3,-74,0,674,135,-74
2014-06-30,84,151,57,208,299,-237,0,75,34,326,-359,0,0,0,-78,-437,-281,62,-219,4,4,-74,0,-289,-400,-74
2014-03-31,204.00000,199.00000,125.00000,324.00000,-313.00000,345.00000,,-54.00000,83.00000,611.00000,-304.00000,,,,-42.00000,-346.00000,514.00000,-154.00000,360.00000,33.00000,33.00000,-72.00000,,321.00000,586.00000,-72.00000
2013-12-31,102,165,-11,154,-254,208,0,57,47,303,-425,0,0,0,-103,-528,-46,247,201,4,4,-68,0,137,-88,-68
2013-09-30,127,145,109,254,49,-259,-12,-104,-358,23,-320,0,0,0,-68,-388,78,76,154,4,4,-70,0,88,-277,-70
2013-06-30,81,137,89,226,188,-194,56,-88,63,370,-306,0,0,0,-17,-323,-20,-12,-32,4,4,-68,0,-96,-49,-68
2013-03-31,144.00000,181.00000,154.00000,335.00000,-103.00000,447.00000,-44.00000,47.00000,246.00000,725.00000,-274.00000,,,,-19.00000,-293.00000,230.00000,-126.00000,104.00000,24.00000,24.00000,-67.00000,,61.00000,493.00000,-67.00000
2012-12-31,67,158,84,242,-246,187,-19,-175,-2,307,-366,0,0,0,-46,-412,-19,150,131,3,3,-64,0,70,-35,-64
2012-09-30,149,138,137,275,-47,-218,-26,27,-433,-9,-286,0,0,0,-42,-328,308,29,337,4,4,-63,0,278,-59,-63
2012-06-30,101,130,105,235,47,-177,99,-24,-28,308,-281,0,0,0,-16,-297,-122,-19,-141,22,22,-63,0,-182,-171,-63
2012-03-31,67.00000,172.00000,89.00000,261.00000,99.00000,312.00000,-89.00000,94.00000,307.00000,635.00000,-294.00000,,,,-19.00000,-313.00000,-79.00000,15.00000,-64.00000,1.00000,1.00000,-62.00000,,-125.00000,197.00000,-62.00000
2011-12-31,41,142,-170,-28,-176,92,20,-168,-39,-26,-258,0,0,0,-48,-306,-121,40,-81,3,3,-52,0,-130,-462,-52
2011-09-30,140,120,125,245,80,-310,-24,39,-406,-21,-225,0,0,0,-56,-281,-22,37,15,4,4,-53,-35,-69,-371,-53
2011-06-30,101,122,42,164,206,-258,43,66,110,375,-208,0,0,0,-35,-243,90,8,98,22,22,-53,-6,61,193,-53
2011-03-31,135.00000,162.00000,115.00000,277.00000,9.00000,462.00000,-9.00000,56.00000,429.00000,841.00000,-191.00000,,,,-37.00000,-228.00000,-19.00000,13.00000,-6.00000,,,-53.00000,-2.00000,-61.00000,554.00000,-53.00000
2010-12-31,25,140,-184,-44,-311,221,2,-141,-20,-39,-210,0,0,0,-67,-277,88,4,92,3,-223,-51,49,-133,-449,-59
2010-09-30,146,133,174,307,61,-318,-50,-60,-503,-50,-187,0,0,0,-49,-236,460,39,499,2,-11,-37,-5,446,160,-34
2010-06-30,84,131,-29,102,142,-230,85,182,205,391,-234,0,0,0,-44,-278,-324,41,-283,5,5,-40,-14,-332,-219,-35
2010-03-31,88.00000,172.00000,112.00000,284.00000,36.00000,460.00000,-44.00000,-90.00000,285.00000,657.00000,-190.00000,,,,-22.00000,-212.00000,260.00000,25.00000,285.00000,,,-34.00000,-30.00000,221.00000,665.00000,-34.00000
2009-12-31,11,117,70,187,-296,208,5,-76,16,214,-201,0,0,0,-59,-260,-56,91,35,2,2,-32,-51,-46,-91,-29
2009-09-30,75,140,84,224,90,-389,-29,39,-465,-166,-215,0,0,0,-27,-242,-421,-16,-437,2,-2,-30,35,-434,-842,-28
2009-06-30,80,130,-211,-81,276,-299,49,122,195,194,-222,0,0,0,-19,-241,32,4,36,2,254,-31,-13,246,201,-28
2009-03-31,74.00000,183.00000,102.00000,285.00000,-161.00000,566.00000,-75.00000,-31.00000,247.00000,606.00000,-180.00000,,,,-12.00000,-192.00000,486.00000,,486.00000,3.00000,-249.00000,-32.00000,-6.00000,199.00000,615.00000,-29.00000
