,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-06-30,109.811,31.704,20.48,52.184,7.065,12.64,-88.394,-32.579,129.416,-17.62,-2.133,-0.42,-8.05,0,-8.05,-10.303,-38.526,-526.2419,-526.2419,-11.261,-11.261,-49.97,-1.195,-588.668,-515.58,12.479,-49.97
2018-03-31,110.126,29.311,13.724,43.035,-13.276,9.614,-69.474,-4.085,149.076,-12.961,-2.119,-0.482,-2.72,0,-2.72,-1.337,-19.619,-210,-210,-15.722,-15.722,-49.974,-0.823,-276.519,-154.618,11.975,-49.974
2017-12-31,9.526,29.374,13.302,42.676,-49.462,6.182,12.55,80.349,132.551,-15.97,-2.382,0,-0.5,0,-0.5,-9.403,-28.255,0,0,8.284,8.284,-49.855,-13.853,-55.424,47.797,12.01,-49.855
2017-09-30,86.12500,29.57100,12.91000,42.48100,23.31700,-26.94200,-15.40800,-34.62300,93.98300,-16.03000,-2.24200,,-3.22500,,-3.22500,6.07300,-15.42400,-60.00000,-60.00000,3.61500,3.61500,-49.69800,,-106.08300,-10.83300,11.94800,-49.69800
2017-06-30,101.612,28.168,13.029,41.197,-30.811,-3.453,9.297,-2.496,140.313,-18.362,-2.277,-3.88,0,0,0,-6.761,-31.28,-90,-90,23.065,23.065,-46.8,-8.159,-121.894,-5.375,11.662,-46.8
2017-03-31,87.823,28.485,3.383,31.868,-25.713,-2.042,-13.357,-52.093,67.598,-14.61,-2.377,-8.419,-2.597,0,-2.597,10.085,-17.918,0,0,5.439,5.439,-46.681,-11.682,-52.924,39.164,11.461,-46.681
2016-12-31,76.742,27.729,21.035,48.764,-43.287,-8.031,3.918,-5.607,119.899,-14.687,-2.132,8.115,-1.109,0,-1.109,-9.71,-19.523,-5,-5,3.486,3.486,-46.487,0,-48.001,6.488,10.753,-46.487
2016-09-30,76.10700,27.77500,12.04900,39.82400,36.20700,-28.07300,-19.11500,-29.68800,86.24300,-14.56000,-2.47100,-3.09000,-2.75800,,-2.75800,9.71000,-13.16900,,,6.33000,6.33000,-46.37800,,-40.04800,50.22400,12.04900,-46.37800
2016-06-30,83.126,27.022,8.797,35.819,-30.105,4.48,12.022,24.015,142.96,-14.401,-2.404,-799.219,-0.282,0,-0.282,-1.853,-818.159,739.398,739.398,10.757,10.757,-42.104,0,708.051,12.939,11.629,-42.104
2016-03-31,90.79,19.907,10.889,30.796,-21.735,17.261,-14.299,3.165,124.751,-13.199,-1.989,-90.527,-0.633,0,-0.633,22.615,-83.733,17.068,17.068,8.871,8.871,-41.972,-0.108,-16.141,59.691,10.938,-41.972
2015-12-31,95.576,21.517,14.918,36.435,-5.965,25.945,17.924,23.603,155.614,-14.531,-2.479,-152.118,-3,0,-3,11.015,-161.113,-100.152,-100.152,-40.487,-40.487,-41.975,-1.12,-183.734,-163.249,11.458,-41.975
2015-09-30,82.91700,18.40300,12.38300,30.78600,30.49800,-17.19400,-3.52600,10.90500,124.60800,-16.40300,-2.42300,,-4.58200,,-4.58200,-39.34100,-62.74900,199.99200,199.99200,-53.50500,-53.50500,-42.07900,,104.40800,104.80400,12.38300,-42.07900
2015-06-30,87.462,17.746,8.7,26.446,-13.445,-18.731,-19.362,-14.207,99.701,-12.236,-2.333,-2.919,0.687,0,0.687,-6.675,-23.476,-160.009,-160.009,-41.375,-41.375,-39.4,4.221,-236.563,-149.076,13.053,-39.4
2015-03-31,90.984,17.859,1.869,19.728,-25.881,-16.387,0.822,-19.771,90.941,-10.591,-2.299,-9.175,0,0,0,3.068,-18.997,9.492,9.492,-5.995,-5.995,-39.385,9.849,-26.039,-14.37,11.718,-39.385
2014-12-31,91.18,18.869,3.403,22.272,-9.737,-26.509,10.859,-7.45,106.002,-18.994,-2.444,-10.463,-10,0,-10,-17.094,-58.995,73.991,73.991,-32.251,-32.251,-39.278,8.314,10.776,-0.999,11.717,-39.278
2014-09-30,83.26000,18.58200,8.08300,26.66500,20.80400,-37.89700,-15.16800,-23.38900,86.53600,-20.68100,-2.36600,-6.85000,-0.50000,,-0.50000,-11.20600,-41.60300,74.99000,74.99000,-41.87300,-41.87300,-39.19900,2.11700,-3.96500,-24.03600,11.36700,-39.19900
2014-06-30,87.738,19.823,2.853,22.676,-22.235,-0.116,9.834,5.169,115.583,-18.512,-2.743,-0.68,-5.575,0,-5.575,4.674,-22.836,-95.01,-95.01,-15.041,-15.041,-35.131,4.947,-140.235,-32.833,10.778,-35.131
2014-03-31,89.969,17.181,4.042,21.223,-34.934,13.899,-6.114,-10.097,101.095,-17.784,-2.348,0,-3.75,0,-3.75,0.681,-23.201,-40.08,-40.08,-70.318,-70.318,-35.262,1.227,-144.433,-34.112,11.219,-35.262
2013-12-31,86.636,18.58,7.022,25.602,-18.207,-2.787,6.545,-28.073,84.165,-19.674,-1.664,-3.172,-0.85,0,-0.85,-1.998,-27.358,72.898,72.898,-67.104,-67.104,-35.647,7.245,-22.608,-3.899,10.644,-35.647
2013-09-30,80.93000,17.87000,6.92200,24.79200,40.26800,-26.84700,-4.45100,-15.29700,90.42500,-16.75200,-1.67900,,-0.67500,,-0.67500,-2.48600,-21.59200,59.99100,59.99100,-16.35200,-16.35200,-35.47800,1.79900,9.96000,100.52600,10.81600,-35.47800
2013-06-30,73.013,19.659,9.1,28.759,-28.053,17.28,-24.797,22.15,123.922,-16.003,-2.35,0,-0.667,0,-0.667,-7.465,-26.485,-40.045,-40.045,-51.563,-51.563,-24.265,-0.599,-116.472,-136.65,10.499,-24.265
2013-03-31,84.913,20.674,0.326,21,-14.972,26.36,-1.131,1.087,107,-19.941,-1.052,0,-0.667,0,-0.667,0.656,-21.004,39.991,39.991,-50.713,-50.713,-24.251,4.538,-30.435,54.418,10.215,-24.251
2012-12-31,77.942,19.297,6.652,25.949,-12.639,0.201,-0.263,-10.244,93.647,-13.804,-3.766,0,-0.891,0,-0.891,2.933,-15.528,34.991,34.991,-28.315,-28.315,-25.845,4.459,-14.71,67.651,9.522,-25.845
2012-09-30,71.26500,18.65000,2.42000,21.07000,18.39700,-16.69800,-2.48700,-14.08100,78.25400,-13.83100,-1.03500,-5.41800,,,,5.30100,-14.98300,14.84200,14.84200,13.57200,13.57200,-22.84300,2.11900,7.69000,81.08800,7.92100,-22.84300
2012-06-30,76.847,22.426,-1.472,20.954,-20.05,6.032,-10.897,-0.824,96.977,-12.068,-1.466,0,0.499,0,0.499,4.884,-8.151,14.902,14.902,-66.662,-66.662,0,4.871,-46.889,33.474,8.141,0
2012-03-31,64.613,20.026,6.514,26.54,-26.553,3.838,-5.475,-5.127,86.026,-9.878,-1.725,-1.399,0,0,0,7.191,-5.811,9.506,9.506,-47.554,-47.554,0,2.081,-35.967,52.834,7.855,0
2011-12-31,62.872,22.994,-3.53,19.464,12.02,4.693,9.47,28.297,110.633,-12.311,-2.095,0,-3.631,0,-3.631,2.069,-15.968,92.447,92.447,-103.693,-103.693,0,0.94,-10.306,113.17,7.385,0
2011-09-30,50.51800,20.41000,7.04900,27.45900,14.29000,4.24300,-31.03600,11.54600,89.52300,-12.87800,-8.68600,-51.92300,-1.16500,,-1.16500,2.96700,-71.68500,27.54400,27.54400,-112.34300,-112.34300,,0.85600,-83.94300,-125.20400,7.20500,
2011-06-30,58.472,19.508,1.283,20.791,-19.31,7.815,-0.705,-4.935,74.328,-17.446,-1.439,0,-4.55,3.95,-0.6,4.348,-15.137,19.663,19.663,-42.159,-42.159,0,2.944,-19.552,63.563,7.613,0
2011-03-31,53.35,18.12,2.094,20.214,-13.209,12.615,9.26,7.844,81.408,-16.044,-0.253,-1.3,3.29,-3.95,-0.66,3.661,-14.596,14.558,14.558,-38.914,-38.914,0,3.016,-21.34,55.503,6.693,0
2010-12-31,58.456,17.346,-2.773,14.573,-9.995,3.519,-1.942,-4.718,68.311,-17.786,-3.275,0,0,0,0,5.191,-15.87,-29.382,-29.382,21.262,21.262,0,6.153,-1.967,76.197,8.153,0
2010-09-30,56.70800,15.64200,0.69100,16.33300,11.71500,-12.55500,5.42100,-13.89800,59.14300,-15.33300,-1.46400,-21.15000,-1.16600,3.95000,2.78400,4.25500,-30.90800,-30.00000,-30.00000,-8.88100,-8.88100,,2.39700,-36.48400,51.22800,8.35000,
2010-06-30,53.166,15.473,8.67,24.143,-11.514,2.634,-4.529,-18.347,58.962,-16.322,-1.308,0,0,0,0,3.331,-14.299,-20,-20,-24.679,-24.679,0,5.027,-39.652,-32.16,7.884,0
2010-03-31,48.834,16.116,1.256,17.372,-18.885,-15.438,-5.982,-12.664,53.542,-11.94,-0.893,0,0,0.05,0.05,3.376,-9.407,-0.175,-0.175,16.139,16.139,0,2.979,18.943,69.505,8.038,0
2009-12-31,45.983,15.6,3.258,18.858,-1.569,-7.601,-5.247,-53.273,11.568,-14.515,-1.257,-10.66,0,1,1,4.223,-21.209,-18.263,-18.263,-7.242,-7.242,0,3.094,-22.411,-26.393,7.289,0
2009-09-30,42.10200,14.37400,2.86400,17.23800,7.22600,-11.86700,-0.25400,4.80100,64.14100,-14.07800,-1.32800,,0.00000,,,2.01000,-13.39600,,,-20.07800,-20.07800,,2.06900,-18.00900,62.17400,6.52300,
2009-06-30,45.37,14.898,-24.322,-9.424,-8.299,-0.035,21.106,34.284,70.23,-25.146,-1.087,-2.072,-1.368,0,-1.368,8.011,-21.662,0,0,-8.017,-8.017,0,0.485,-7.532,88.578,6.431,0
2009-03-31,101.078,39.065,39.663,78.728,-24.598,-16.106,-0.19,-11.159,168.647,-82.783,-3.441,-0.322,-0.899,0,-0.899,-0.192,-87.637,41.702,41.702,-35.684,-35.684,0,3.385,9.403,5.994,19.084,0
