,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2011-12-31,907,368,-30,338,-230,-96,51,348,73,1318,-629,-880,-751,1001,250,-53,-1312,978,978,160,160,-83,-134,921,923,0,-83
2011-09-30,685,340,166,506,-405,-178,201,169,-213,978,-741,0,50,0,50,56,-635,0,0,0,0,-82,79,-3,337,0,-82
2011-06-30,741,331,0,331,-305,-131,177,10,-249,823,-719,0,401,0,401,-8,-326,0,0,-66,-66,-83,73,-76,408,0,-83
2011-03-31,511.00000,320.00000,,320.00000,-278.00000,-159.00000,220.00000,-49.00000,-266.00000,565.00000,-704.00000,,300.00000,-501.00000,-201.00000,-12.00000,-917.00000,,,66.00000,66.00000,-82.00000,7.00000,-9.00000,-368.00000,,-82.00000
2010-12-31,607,302,286,588,-186,-51,44,-152,-345,850,-430,-140,325,-100,225,-155,-500,-790,-790,-117,-117,-82,171,-818,-477,0,-82
2010-09-30,545,284,-108,176,-169,-118,-10,130,-167,554,-557,-193,1050,0,1050,40,340,0,0,38,38,-82,-134,-178,715,0,-82
2010-06-30,483,272,-47,225,-283,-108,109,65,-217,491,-451,-77,550,-682,-132,35,-625,0,0,6,6,-82,-5,-81,-223,0,-82
2010-03-31,207.00000,261.00000,-47.00000,214.00000,-264.00000,-54.00000,187.00000,27.00000,-104.00000,317.00000,-404.00000,-113.00000,,-500.00000,-500.00000,47.00000,-970.00000,,,34.00000,34.00000,-81.00000,10.00000,-37.00000,-699.00000,,-81.00000
2009-12-31,244,254,71,325,132,118,-7,-36,207,776,-474,-18,300,-102,198,61,-233,-31,-31,57,57,-81,-65,-120,407,0,-81
2009-09-30,266,238,-36,202,98,116,39,-109,144,612,-440,-23,0,0,0,31,-432,0,0,0,0,-81,11,-70,107,0,-81
2009-06-30,265,224,105,329,267,63,-132,-155,43,637,-432,-14,0,-1518,-1518,9,-1955,-1,-1,0,0,-81,5,-77,-1399,0,-81
2009-03-31,380.00000,215.00000,-274.00000,-59.00000,372.00000,-65.00000,-18.00000,-229.00000,60.00000,381.00000,-518.00000,,,,,53.00000,-465.00000,1976.00000,1976.00000,,,-81.00000,42.00000,1937.00000,1843.00000,,-81.00000
