,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-12-31,52.785,56.394,4.421,60.815,3.624,-1.998,3.249,119.357,-257.933,136.055,-0.194,-0.194,-6.45,-128.522,-163.414,172.18,8.766,67.394,66.929,-72.15,-2.224,1.321,-7.844,0,-72.15
2017-09-30,108.882,55.611,-50.593,5.018,-5.032,-16.19,-9.668,100.811,1.817,-319.438,-0.072,-0.072,-5.008,-322.701,-0.92,41.544,40.624,33.799,179.255,-70.398,-2.465,147.016,-74.874,0,-70.398
2017-06-30,78.133,52.666,-18.882,33.784,-0.923,6.826,2.832,114.727,-127.992,22.888,-0.312,-0.312,-2.007,-107.423,-52.357,182.41,130.053,0.031,0.031,-70.33,7.4,67.154,74.458,0,-70.33
2017-03-31,58.07000,51.37900,-0.17800,51.20100,4.39000,7.87500,16.40100,123.93300,-134.82800,-141.22200,-0.11800,-0.11800,-3.10800,-279.27600,-1.56700,217.00000,215.43300,17.35900,17.35900,-70.11700,-8.72100,153.95400,-1.38900,,-70.11700
2016-12-31,59.724,48.448,-0.009,48.439,5.472,24.716,26.183,134.264,-133.348,-7.807,-3.726,-3.726,-6.923,-151.804,-10.71,-3.408,-14.118,29.063,29.063,-69.944,-1.407,-56.406,-73.946,0,-69.944
2016-09-30,61.198,48.903,-4.945,43.958,-4.539,-21.826,-15.633,89.801,-138.247,-5.381,-1.43,-1.43,7.543,-137.515,-1.616,146.787,145.171,54.819,54.819,-66.674,-2.943,130.373,82.659,0,-66.674
2016-06-30,58.898,48.435,-1.787,46.648,1.771,-3.535,-6.398,98.728,-97.754,0.006,-1.367,-1.367,-0.1,-99.215,-35.81,42,6.19,63.464,63.464,-66.192,-4.069,-0.607,-1.094,0,-66.192
2016-03-31,79.06300,47.79900,-25.76700,22.03200,-0.83600,-1.14400,3.08600,104.87900,-67.93100,-129.77600,-0.69700,-0.69700,-3.28300,-201.68700,-1.42300,-0.50000,-1.92300,181.75700,181.75700,-64.88400,-19.47200,95.47800,-1.33000,,-64.88400
2015-12-31,69.998,46.423,-17.251,29.172,5.55,5.576,9.837,107.896,-77.552,18.418,-1.247,-1.247,-6.903,-67.284,436.737,-402.692,34.045,9.715,9.715,-64.901,-11.289,-32.43,8.182,0,-64.901
2015-09-30,54.55,43.718,-0.36,43.358,-6.985,-15.282,-9.663,87.502,-59.32,-12.211,-1.406,-1.406,2.809,-70.128,-148.564,141.048,-7.516,43.133,43.133,-59.692,-2.61,-26.685,-9.311,0,-59.692
2015-06-30,45.673,42.671,7.157,49.828,-1.158,10.405,-4.173,91.662,-80.297,-36.684,-0.102,-0.102,-4.323,-121.406,-430.184,315.144,-115.04,57.418,57.418,-59.391,-2.505,-119.518,-149.262,0,-59.391
2015-03-31,48.20300,41.98400,-0.22000,41.76400,-6.60700,-3.66500,-9.47200,81.98600,-65.36400,-26.41400,-0.04700,-0.04700,-3.12000,-94.94500,197.61900,,197.61900,0.58900,0.58900,-59.33000,-2.43300,136.44500,123.48600,,-59.33000
2014-12-31,37.279,43.411,10.211,53.622,13.051,2.376,14.796,104.284,-90.797,-4.802,0,0,-19.627,-115.226,-199.358,233.579,34.221,61.905,61.905,-58.904,-2.246,34.976,24.034,0,-58.904
2014-09-30,49.049,42.66,-4.847,37.813,-5.275,-15.525,-16.883,69.777,-95.149,10.406,-3.15,-3.15,-2.909,-90.802,-3.207,11,7.793,50.319,50.319,-52.456,-2.026,3.63,-17.395,0,-52.456
2014-06-30,45.416,40.893,-0.25,40.643,-4.123,10.999,6.032,92.907,-91.081,-4.044,-3.581,-3.581,-3.376,-102.082,-23.255,0,-23.255,52.316,52.316,-52.142,-2.131,-25.212,-34.387,0,-52.142
2014-03-31,40.54500,43.85000,-0.21300,43.63700,-6.71600,-1.64700,-6.55200,79.16200,-83.93100,-0.30800,,,-3.80100,-88.04000,-2.84200,,-2.84200,51.61500,51.61500,-51.71400,-1.40900,-4.35000,-13.22800,,-51.71400
2013-12-31,29.603,41.214,12.871,54.085,3.861,-0.324,3.956,87.77,-101.291,-40.074,0,0,-2.346,-143.711,-563.207,564.389,1.182,68.461,68.461,-51.167,-1.439,17.037,-38.904,0,-51.167
2013-09-30,63.366,39.408,-24.242,15.166,-2.426,-1.836,1.05,80.032,-75.547,34.258,0,0,-2.02,-43.309,266.477,-271.272,-4.795,34.867,34.867,-47.653,0.323,-17.258,19.465,0,-47.653
2013-06-30,38.797,39.853,-5.366,34.487,-5.298,10.669,5.367,79.003,-70.477,-38.594,0,0,-3.432,-112.503,-157.41,269.343,111.933,50.678,50.678,-47.312,-4.707,110.592,77.092,0,-47.312
2013-03-31,35.84200,40.62400,-0.31200,40.31200,-2.45800,-7.37700,-10.23700,67.69300,-42.82700,,,,-2.84800,-45.67500,-12.09500,,-12.09500,32.54200,32.54200,-46.88400,-1.29500,-27.73200,-5.71400,,-46.88400
2012-12-31,38.858,35.337,-0.528,34.809,9.751,5.906,13.699,87.478,-54.655,-71.938,0,0,-3.53,-130.123,-281.909,244.807,-37.102,18.602,18.602,-46.848,-2.699,-68.047,-110.692,0,-46.848
2012-09-30,39.656,34.932,-0.49,34.442,-4.046,-15.02,-15.936,59.26,-57.95,-8.927,0,0,-3.21,-70.087,66.765,0,66.765,54.039,54.039,-43.913,-1.158,75.733,64.906,0,-43.913
2012-06-30,33.596,35.199,-0.438,34.761,0.887,6.356,11.064,80.438,-31.027,0,0,0,-3.039,-34.066,-4.579,0,-4.579,17.227,17.227,-43.762,-1.666,-32.78,13.592,0,-43.762
2012-03-31,44.12200,36.57100,-12.16100,24.41000,0.74000,-0.20200,-1.19600,69.45700,-37.03900,,,,-2.24300,-39.28200,-3.29200,,-3.29200,22.40200,22.40200,-43.49700,-4.41200,-28.79900,1.37600,,-43.49700
2011-12-31,32.455,31.853,-0.882,30.971,8.031,-3.404,7.165,71.76,-53.12,-74.227,0,0,32.291,-95.056,269.196,-158,111.196,1.128,1.128,-42.007,-1.285,69.032,45.736,0,-42.007
2011-09-30,48.302,32.083,-15.191,16.892,-3.222,-8.082,-11.968,54.253,-34.34,12.064,0,0,-2.277,-24.553,-2.934,-35.159,-38.093,57.006,57.006,-42.208,-4.183,-27.478,2.222,0,-42.208
2011-06-30,36.471,32.063,-2.513,29.55,-1.641,6.144,6,72.699,-24.827,1.497,-6.862,-6.862,6.34,-23.852,-40.722,-3,-43.722,47.775,47.775,-41.74,-1.313,-39,9.847,0,-41.74
2011-03-31,32.38400,30.56900,-0.61900,29.95000,-1.28000,2.31300,-17.33200,45.99900,-30.17500,-19.19600,-0.08500,-0.08500,-3.45200,-52.90800,-120.29900,115.00000,-5.29900,49.01200,49.01200,-41.35800,-1.24200,1.11300,-5.79600,,-41.35800
2010-12-31,34.305,30.116,-0.804,29.312,5.793,4.134,10.888,77.05,-32.447,-39.551,0,0,-3.785,-75.783,-151.455,198.457,47.002,0.613,0.613,-41.297,-0.962,5.356,6.623,0,-41.297
2010-09-30,31.01,29.591,-0.125,29.466,-0.75,-9.917,-10.672,50.34,-27.735,-17.582,-0.21,-0.21,-3.833,-49.36,-2.939,27,24.061,2.508,2.508,-40.658,-1.274,-15.363,-14.383,0,-40.658
2010-06-30,32.368,31.178,-1.598,29.58,0.142,3.036,9.377,71.384,-17.439,0,-16.72,-16.72,-2.551,-36.71,6.254,0,6.254,2.122,2.122,-40.612,-1.475,-33.711,0.963,0,-40.612
2010-03-31,30.55400,28.93200,2.60800,31.54000,2.27600,0.66600,-5.09200,57.96100,-11.47400,,,,-13.76100,-25.23500,-104.25000,-0.45000,-104.70000,1.36700,1.36700,-40.55300,-1.63500,-145.52100,-112.79500,,-40.55300
2009-12-31,33.366,28.458,-3.519,24.939,0.951,-0.282,3.131,62.561,-27.713,-10.531,-7.02,-7.02,-1.735,-46.999,-248.386,0,-248.386,1.808,1.808,-40.507,-1.516,-288.601,-273.039,0,-40.507
2009-09-30,28.839,28.41,-0.473,27.937,-2.235,-10.962,-11.074,47.995,-23.093,0,0,0,-2.261,-25.354,-2.75,147.534,144.784,110.899,110.899,-38.585,-1.37,215.728,238.369,0,-38.585
2009-06-30,29.794,29.633,0.2,29.833,3.684,6.891,12.923,73.623,-21.662,2.122,0,0,-4.543,-24.083,277.32,-141,136.32,1.996,1.996,-38.528,-1.729,98.059,147.599,0,-38.528
2009-03-31,11.87300,28.59200,19.50100,48.09300,4.67900,4.34700,11.84600,72.58600,-29.61100,,,,-1.29400,-30.90500,-12.65500,17.50000,4.84500,0.79900,0.79900,-38.48000,-1.60800,-34.44400,7.23700,,-38.48000
