,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2014-09-30,1074,1093,-101,992,150,-166,36,-282,-174,1892,-985,-1,0,-60,-60,-143,-1189,1089,-57,1032,7,7,-266,-75,698,1401,-266
2014-06-30,558,1017,87,1104,654,-230,-515,48,-76,1586,-1270,63,0,34,34,-3,-1176,1109,-345,764,11,11,-682,-55,38,448,-682
2014-03-31,93.00000,908.00000,928.00000,1836.00000,-606.00000,80.00000,157.00000,-1412.00000,-1764.00000,165.00000,-1199.00000,,335.00000,-53.00000,282.00000,-94.00000,-1011.00000,-200.00000,638.00000,438.00000,7.00000,7.00000,-266.00000,-28.00000,151.00000,-695.00000,-266.00000
2013-12-31,494,1106,-41,1065,-151,3,127,391,390,1949,-1540,0,0,-26,-26,142,-1424,-409,127,-282,7,7,-268,-17,-560,-35,-268
2013-09-30,737,872,197,1069,-77,-85,340,-86,250,2056,-1341,3,0,-40,-40,-43,-1421,982,-457,525,8,8,-265,-250,18,653,-265
2013-06-30,497,955,110,1065,201,-119,-41,-197,-83,1479,-1067,-3,0,-65,-65,57,-1078,-255,429,174,20,-73,-266,-17,-182,219,-266
2013-03-31,1.00000,1017.00000,-57.00000,960.00000,-70.00000,101.00000,-542.00000,-223.00000,-102.00000,859.00000,-1447.00000,,,-52.00000,-52.00000,28.00000,-1471.00000,148.00000,233.00000,381.00000,12.00000,12.00000,-450.00000,-45.00000,-102.00000,-714.00000,-450.00000
2012-12-31,384,1170,252,1422,15,14,185,-542,-249,1557,-1256,-21,0,-56,-56,99,-1234,55,-58,-3,11,11,-439,-106,-537,-214,-439
2012-09-30,297,1014,464,1478,-186,-33,246,-147,86,1861,-1362,0,0,-42,-42,30,-1374,626,-318,308,19,19,-453,-10,-136,351,-453
2012-06-30,290,1119,338,1457,20,-59,113,-305,-150,1719,-1304,0,0,-59,-59,35,-1328,652,38,690,30,30,-474,-9,237,628,-474
2012-03-31,200.00000,776.00000,455.00000,1231.00000,394.00000,104.00000,-1176.00000,185.00000,-315.00000,994.00000,-1496.00000,964.00000,,-46.00000,-46.00000,-62.00000,-640.00000,-451.00000,141.00000,-310.00000,12.00000,12.00000,-350.00000,-1.00000,-649.00000,-295.00000,-350.00000
2011-12-31,607,614,2460,3074,54,-14,146,-1891,-1745,1936,-1070,-7,0,-18,-18,523,-572,-786,-301,-1087,12,12,-349,5,-1419,-55,-349
2011-09-30,602,588,980,1568,3,-61,86,-135,-266,1904,-987,-380,0,-58,-58,-532,-1957,599,322,921,11,11,-349,-21,562,509,-349
2011-06-30,621,562,509,1071,-53,-61,40,-356,-472,1220,-835,0,0,-63,-63,3,-895,-1,90,89,7,7,-347,1,-250,75,-347
2011-03-31,669.00000,552.00000,-1417.00000,-865.00000,53.00000,78.00000,-526.00000,-349.00000,-11.00000,-207.00000,-1150.00000,,,-52.00000,-52.00000,23.00000,-1179.00000,598.00000,50.00000,648.00000,8.00000,8.00000,-348.00000,-47.00000,261.00000,-1125.00000,-348.00000
2010-12-31,524,688,1759,2447,-60,-10,525,-1441,-1839,1132,-944,-893,0,-29,-29,9,-1857,-1,-65,-66,14,14,-347,1,-398,-1123,-347
2010-09-30,845,800,-84,716,57,-53,186,343,182,1743,-798,0,0,-10,-10,429,-379,782,-224,558,12,12,-348,-19,203,1567,-348
2010-06-30,445,737,21,758,-269,-66,64,-568,-695,508,-706,0,0,-41,-41,-202,-949,-614,33,-581,11,11,-347,2,-915,-1356,-347
2010-03-31,749.00000,718.00000,-299.00000,419.00000,40.00000,67.00000,-303.00000,372.00000,693.00000,1861.00000,-878.00000,,,-57.00000,-57.00000,226.00000,-709.00000,-403.00000,101.00000,-302.00000,11.00000,11.00000,-347.00000,,-638.00000,514.00000,-347.00000
2009-12-31,581,666,27,693,-101,10,337,-202,191,1465,-1021,0,0,-46,-46,-7,-1074,-434,15,-419,14,14,-347,-3,-755,-364,-347
2009-09-30,757,682,14,696,49,-34,-122,235,129,1582,-808,0,0,-51,-51,21,-838,39,95,134,9,9,-346,-5,-208,536,-346
2009-06-30,657,631,410,1041,178,-57,73,-457,-601,1097,-732,0,0,-70,-70,8,-794,-116,-162,-278,10,10,-346,0,-614,-311,-346
2009-03-31,712.00000,622.00000,290.00000,912.00000,108.00000,132.00000,-542.00000,467.00000,326.00000,1950.00000,-712.00000,,,-59.00000,-59.00000,19.00000,-752.00000,16.00000,-4.00000,12.00000,9.00000,9.00000,-346.00000,5.00000,-320.00000,878.00000,-346.00000
