,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2011-12-31,-205,54,38,92,39,22,-93,572,588,475,-44,-19,-51,-51,0,-114,0,0,0,-37,-37,0,1,-36,312,48,0
2011-09-30,-340,51,-1,50,-522,-15,76,357,79,-211,-26,-632,147,147,0,-511,510,0,510,-12,-12,0,1,499,-243,43,0
2011-06-30,221.00000,43.00000,41.00000,84.00000,307.00000,4.00000,-133.00000,-576.00000,-579.00000,-274.00000,-32.00000,-25.00000,-7.00000,-7.00000,,-64.00000,,,,-77.00000,-77.00000,,2.00000,-75.00000,-406.00000,38.00000,
2011-03-31,151,42,37,79,58,29,55,-81,23,253,-21,0,13,13,0,-8,0,0,0,-41,-41,0,1,-40,226,38,0
2010-12-31,-322,44,56,100,57,51,-47,334,571,349,-15,-16,-20,-20,0,-51,0,0,0,0,0,0,0,0,297,48,0
2010-09-30,-201,46,9,55,-334,-71,146,304,12,-134,-12,0,109,109,0,97,0,0,0,16,16,0,0,16,-1,43,0
2010-06-30,96.00000,48.00000,57.00000,105.00000,97.00000,16.00000,-40.00000,-313.00000,-349.00000,-148.00000,-11.00000,,-42.00000,-42.00000,,-53.00000,,,,1.00000,1.00000,,,1.00000,-216.00000,47.00000,
2010-03-31,30,50,84,134,290,46,-93,-58,89,253,-22,-5,-74,-74,0,-101,0,0,0,14,14,0,1,15,159,42,0
2009-12-31,-82,48,104,152,162,107,-87,84,151,221,-16,-275,236,236,-100,-155,0,0,0,0,0,0,13,13,72,68,0
2009-09-30,-391,46,21,67,-266,-34,115,360,330,6,-26,0,55,55,-233,-204,0,0,0,22,22,0,0,22,-163,44,0
2009-06-30,-234.00000,48.00000,43.00000,91.00000,-252.00000,4.00000,8.00000,137.00000,-185.00000,-328.00000,-8.00000,-3.00000,-101.00000,-101.00000,,-112.00000,,,,3.00000,3.00000,,,3.00000,-416.00000,33.00000,
2009-03-31,-1088,566,518,1084,221,-49,-26,-74,16,12,-115,-58,196,196,0,23,0,0,0,89,89,0,2,91,68,203,0
