,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,266.30100,278.45600,-72.46300,205.99300,27.38800,-5.11400,-31.52100,105.37000,577.66400,-418.39900,,,-2.50300,-2.50300,-11.47500,-432.37700,-2.26500,380.03500,377.77000,-362.40000,-362.40000,-67.99900,-64.42100,-117.05000,25.40700,16.11000,-67.99900
2017-12-31,1418.993,256.422,-1306.007,-1049.585,-31.923,-1.058,-9.731,325.094,694.502,-464.457,0,0,-10.806,-10.806,21.285,-453.978,0,-603.733,-603.733,-17.137,-17.137,-62.288,-43.64,-726.798,-486.693,16.188,-62.288
2017-09-30,175.744,257.814,113.552,371.366,-49.52,1.871,-46.588,25.673,572.783,-526.59,0,0,-1.148,-1.148,-6.098,-533.836,-152.669,413.882,261.213,77.185,77.185,-63.297,-84.136,190.965,229.626,15.341,-63.297
2017-06-30,240.873,253.627,21.027,274.654,27.122,-2.673,38.621,18.164,533.691,-416.422,0,0,-1.273,-1.273,290.866,-126.829,0,97.372,97.372,0,0,-63.247,-77.536,-43.411,361.618,15.005,-63.247
2017-03-31,252.57400,258.61300,-7.32700,251.28600,36.34900,-2.79600,-58.22200,-98.42500,405.43500,-455.89500,,,-3.50000,-3.50000,-6.55400,-465.94900,,107.48000,107.48000,,,-63.18200,-33.83200,10.46600,-51.13700,15.96000,-63.18200
2016-12-31,68.89,241.884,23.114,264.998,-56.606,-0.329,11.588,151.079,484.967,-671.511,0,-8.468,-2.078,-2.078,-4.378,-686.435,0,192.584,192.584,0,0,0,9.126,201.71,0.423,16.61,0
2016-09-30,561.26,219.012,-466.699,-247.687,-12.647,4.751,-28.715,121.786,435.359,-618.106,0,-550.975,15,15,-3.462,-1157.543,-2188.1784,2015.134,-173.0443,-100,-100,0,-61.888,-334.932,-1057.097,13.954,0
2016-06-30,514.498,216.84,-415.635,-198.795,14.64,-0.218,39.694,73.347,389.05,-541.64,0,0,0,0,539.438,-2.202,1156.188,-1716.686,-560.4981,1207.5,1207.5,0,-195.32,451.682,838.35,12.875,0
2016-03-31,91.19800,212.28400,43.20500,255.48900,22.74700,6.60200,-64.51500,-122.09100,224.59600,-427.27200,,,-1.55500,-1.55500,-1.19700,-430.02400,240.33900,,240.33900,,,,-39.37700,200.96200,-5.40700,12.04800,0.00000
2015-12-31,-1473.497,1679.606,141.522,1821.128,-17.469,-3.704,-20.69,-80.332,267.299,-478.349,0,92.207,-1.538,-1.538,-5.325,-393.005,-1701.875,1694.875,-7,0,0,0,-12.868,-19.868,-137.483,12.248,0
2015-09-30,94.735,220.057,-27.407,192.65,-15.134,3.952,-31.599,3.126,290.511,-406.453,0,0,182.36,182.36,-1.081,-225.174,-879.3749,328.908,-550.4668,0,0,0,-41.403,-591.87,-534.545,9.688,0
2015-06-30,126.467,218.297,1.181,219.478,-23.767,-3.628,34.975,-74.324,271.621,-281.82,0,0,-216.805,-216.805,204.949,-293.676,-4.879,272.118,267.2389,0,0,0,-102.603,164.636,146.805,10.26,0
2015-03-31,212.64600,216.19400,-132.08600,84.10800,-6.35000,0.73100,-44.93800,-121.10600,175.64800,-292.16500,,,409.92100,409.92100,-0.95900,116.79700,1710.62500,-1318.62600,391.99900,,,,-202.77600,189.22300,481.82000,10.67600,
2014-12-31,-287.472,212.197,376.938,589.1349,-54.113,-5.341,1.948,-193.807,107.856,-247.468,-85,0,-602.594,-602.594,1.965,-933.097,-468.6249,1712.375,1243.75,0,0,0,-16.594,1227.156,400.288,10.713,0
2014-09-30,50.382,211.765,36.651,248.4161,31.642,3.117,7.263,-79.608,219.19,-247.086,0,0,52.37,52.37,5.823,-188.893,-4.375,-2.625,-7,0,0,0,-72.559,-79.559,-51.71,9.951,0
2014-06-30,178.168,212.396,68.524,280.92,4.222,-0.958,28.788,53.741,512.829,-177.22,0,0,-12.473,-12.473,1.602,-188.091,-4.375,-2.625,-6.9999,0,0,0,-67.832,-74.832,250.401,8.405,0
2014-03-31,186.10000,217.05700,15.12700,232.18400,-14.18600,6.34900,-37.45400,-127.48900,290.79500,-192.61600,,,-23.17600,-23.17600,1.72300,-214.06900,1219.22500,-1735.12500,-515.90000,,,,-248.78800,-764.68800,-688.93300,8.19500,
2013-12-31,22.407,216.728,90.424,307.152,-75.172,-9.574,29.287,-114.868,214.691,-165.067,-21.6,0,-2.002,-2.002,-0.116,-188.785,500,-87,413,0,0,0,-10.826,402.174,428.266,8.398,0
2013-09-30,26.967,220.833,42.022,262.855,29.033,2.782,-41.792,75.873,365.695,-136.472,0,0,5.559,5.559,-0.226,-131.139,-150.0281,73,-77.0281,0,0,0,-60.856,-137.884,96.73,7.379,0
2013-06-30,-30.578,226.661,144.8,371.461,32.227,3.947,-8.959,194.523,535.406,-145.375,0,0,6.962,6.962,1.816,-136.597,2227.7661,-2807,-579.2339,0,0,0,-22.242,-601.476,-201.964,7.932,0
2013-03-31,22.57800,220.28400,104.37500,324.65900,-45.93000,2.50900,-45.50200,-152.58100,194.65600,-97.18000,,,-6.42600,-6.42600,-0.01000,-103.61600,-2690.00000,2793.00000,103.00000,,,,-255.52200,-152.52200,-62.87200,8.62300,
2012-12-31,-1188.497,244.134,1097.771,1341.905,-31.267,0.202,-8.27,-131.319,22.089,-105.816,0,0,-17.319,-17.319,0.125,-123.01,-2674.4669,1985.188,-689.2791,0,0,0,-109.978,-799.257,-899.65,9.428,0
2012-09-30,-154.674,245.112,86.978,332.09,50.922,5.549,-29.487,197.59,375.006,-100.387,0,0,2.985,2.985,-1.052,-98.454,915.3498,-463.826,451.5238,0,0,0,-17.112,434.412,711.238,9.336,0
2012-06-30,-70.434,252.177,131.037,383.214,-13.152,-2.629,29.78,-92.218,220.562,-102.397,0,0,-12.403,-12.403,-0.212,-115.012,-450,450,0,0,0,0,-9.192,-9.192,97.029,10.192,0
2012-03-31,-203.30700,259.66300,93.31500,352.97800,-5.24300,2.06100,-39.68200,142.02300,291.69400,-113.73700,,,2.40600,2.40600,1.39000,-109.94100,15.87210,-192.10000,-176.22790,,,,-236.69400,-412.92200,-231.02100,10.60400,
2011-12-31,-19.301,261.25,-7.984,253.266,-47.91,-8.433,1.045,-39.879,194.086,-124.572,0,0,-21.214,-21.214,-1.403,-147.189,-128.68,133,4.3199,0,0,0,-1.975,2.345,50.788,11.046,0
2011-09-30,-106.575,272.65,51.807,324.457,-100.125,1.035,-1.514,-33.765,184.117,-91.146,0,0,-5.038,-5.038,0.915,-95.269,-31.23,839.226,807.9957,0,0,0,-3.186,804.81,893.572,10.055,0
2011-06-30,3450.691,201.091,-3556.129,-3355.038,-2.522,-1.935,37.279,177.292,272.945,-50.719,0,407.046,-26.09,-26.09,1.446,331.683,1380.379,-1493.778,-113.3989,0,0,0,-0.704,-114.103,490.278,9.396,0
2011-03-31,-89.87100,175.95500,-32.73500,143.22000,-4.48600,1.29400,-16.02400,-29.37100,23.97800,-34.45900,,,-76.68900,-76.68900,0.61100,-110.53700,-196.14200,215.67200,19.53000,,,,-0.66000,18.87000,-67.68900,9.21000,
2010-12-31,-139.189,170.472,39.513,209.985,-4.798,-2.912,0.513,52.82,123.616,-8.025,0,0,-294.999,-294.999,137.867,-165.157,-1608.1569,1016.728,-591.429,588.456,588.456,0,-9.279,-12.252,-53.793,8.832,0
2010-09-30,-317.991,183.303,134.656,317.959,2.738,3.326,-30.135,30.586,30.554,-42.869,0,0,-106,-106,94.133,-54.736,-645.839,210,-435.8389,0,0,0,-0.43,-436.269,-460.451,8.599,0
2010-06-30,-883.476,189,778.71,967.71,-36.503,-0.438,17.171,310.519,394.753,-25.054,0,0,-40,-40,15.102,-49.952,2175.834,-1837.63,338.2039,0,0,0,-110.384,227.82,572.621,8.002,0
2010-03-31,-96.74100,178.63100,80.57200,259.20300,21.18700,5.44200,1.76900,-207.37100,-44.90900,-53.94200,,,-262.00000,-262.00000,-0.29200,-316.23400,91.53100,-1275.17700,-1183.64600,,,,-70.83100,-1254.47700,-1615.62000,9.55500,
2009-12-31,-433.918,182.044,559.76,741.804,-70.213,-3.688,-4.074,-238.288,69.598,-13.942,0,0,-41.618,-41.618,-0.409,-55.969,-313.477,1457.807,1144.3299,0.681,0.681,0,0.577,1145.588,1159.217,9.495,0
2009-09-30,-750.388,188.343,772.537,960.88,-32.178,2.28,-38.499,-80.205,130.287,-7.256,0,0,-164.336,-164.336,-0.398,-171.99,355.188,186.119,541.307,-0.632,-0.632,0,-13.338,527.337,485.634,9.32,0
2009-06-30,-212.575,184.68,507.075,691.755,-3.805,2.427,46.456,-225.414,253.766,-34.854,0,156.679,-374.141,-374.141,103.795,-148.521,-2854.267,818.881,-2035.3861,1103.737,1103.737,0,-127.821,-1059.47,-954.225,9.022,0
2009-03-31,105.19900,185.05800,-244.13500,-59.07700,-14.89200,5.55200,-47.76800,88.14100,134.26300,-58.50700,,589.58700,-383.59000,-383.59000,-101.26500,46.22500,4386.89200,-3490.00000,896.89210,0.63200,0.63200,,-22.22900,875.29500,1069.93700,8.73400,
