,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-09-30,89.463,19.64,25.428,45.068,-9.661,-4.085,-15.187,120.368,-8.835,-9.664,0,0,-3.672,-22.171,0,0,7.853,7.853,-2.331,5.522,101.229,31.862
2019-06-30,109.75,18.59,25.891,44.481,-46.932,-28.859,-66.135,88.539,-10.046,-41,0,0,-8.548,-59.594,0,0,-3.856,-3.856,-2.611,-6.467,24.064,29.122
2019-03-31,86.23000,17.89800,22.80300,40.70100,43.98300,27.62200,23.55400,151.57800,-6.90000,-244.32300,,,-0.46000,-251.68300,,,-34.48000,-34.48000,-34.61100,-69.09100,-169.74800,23.80000
2018-12-31,153.163,11.914,19.147,31.061,-106.811,0.871,-51.11,131.485,-8.685,0,0,0,-1.933,-10.618,0,0,-73.393,-73.393,-1.999,-75.392,47.959,24.459
2018-09-30,89.336,13.603,7.655,21.258,4.832,-21.636,-1.535,109.961,-6.326,0,0,0,-0.034,-6.36,0,0,-64.16,-64.16,-1.914,-66.074,33.286,22.983
2018-06-30,92.596,17.125,12.358,29.483,5.017,-9.563,-11.823,111.121,-3.818,-283.026,0,0,-1.173,-288.017,0,0,13.843,13.843,-5.647,8.196,-189.599,20.635
2018-03-31,84.28000,16.61300,12.08800,28.70100,22.50700,38.47700,19.16800,132.42100,-2.93300,,,,-4.30300,-7.23600,,,-105.07200,-105.07200,-24.33300,-129.40500,3.99200,15.26900
2017-12-31,52.585,17.739,15.362,33.101,-32.305,-3.304,15.234,100.7,-4.334,-37.887,0,0,9.179,-33.042,0,0,-108.24,-108.24,-1.037,-109.277,-38.07,13.746
2017-09-30,73.63,16.93,6.066,22.996,-6.996,-12.295,-7.956,88.885,-7.313,-20.134,0,0,-8.926,-36.373,0,0,6.366,6.366,-1.038,5.328,61.575,14.773
2017-06-30,69.73,16.418,9.663,26.081,9.835,18.033,15.982,112.182,-3.445,0,0,0,-10.92,-14.365,0,0,-111.811,-111.811,-0.557,-112.368,-8.192,14.122
2017-03-31,63.30600,16.59100,20.84400,37.43500,15.06000,32.48700,25.51500,125.89300,-4.05700,-5.86400,,,-0.96400,-10.88500,,,-69.85400,-69.85400,-8.48000,-78.33400,43.70900,10.51300
2016-12-31,69.983,17.267,1.967,19.234,-23.989,-12.439,8.491,99.209,-4.224,-7.891,0,0,-0.484,-12.599,0,0,-82.583,-82.583,-0.013,-82.596,-15.437,8.783
2016-09-30,69.557,17.444,2.779,20.223,0.48,-10.032,-5.311,84.399,-2.151,0,0,0,-1.099,-3.25,0,0,-88.6,-88.6,-0.04,-88.64,-5.439,8.952
2016-06-30,69.628,17.444,3.808,21.252,-3.739,-10.043,-19.315,71.649,-3.373,0,0,0,-10.26,-13.633,0,0,-78.793,-78.793,-0.252,-79.045,-20.08,8.534
2016-03-31,56.46800,17.43200,15.88100,33.31300,9.86000,28.96300,21.16700,110.72300,-2.69500,,,,0.00400,-2.69100,,,-32.54800,-32.54800,-5.80100,-38.34900,79.26700,7.07800
2015-12-31,68.021,18.888,6.709,25.597,-0.663,-5.166,23.814,117.372,-5.38,-5.225,0,0,0.232,-10.373,0,0,-88.102,-88.102,-6.387,-94.489,7.929,8.22
2015-09-30,66.033,19.647,-1.916,17.731,-4.545,-3.628,-7.576,77.795,-3.083,-30.516,0,0,0.109,-33.49,0,0,-107.144,-107.144,0.609,-106.535,-64.115,8.87
2015-06-30,62.335,19.707,2.585,22.292,-7.155,-6.834,-18.115,66.412,-4.06,0.101,0,0,-0.044,-4.003,0.005,0.005,10.816,10.816,1.799,12.62,79.96,9.03
2015-03-31,56.13200,19.42800,12.68100,32.10900,18.40700,34.84300,25.91300,114.12000,-3.62200,-10.47700,,,-0.06700,-14.16600,-0.00500,-0.00500,-109.85700,-109.85700,-1.66100,-111.52300,-27.67000,7.83100
2014-12-31,69.633,20.701,-0.336,20.365,-19.647,-12.239,1.427,92.273,-5.395,-0.499,0,0,-0.062,-5.956,0.086,0.086,-108.58,-108.58,4.821,-103.673,-28.741,9.278
2014-09-30,65.479,21.351,-0.835,20.516,2.753,-9.933,-4.211,81.562,-8.705,0,0,0,-0.041,-8.746,-0.005,-0.005,-23.954,-23.954,0.688,-23.271,33.89,9.953
2014-06-30,63.036,20.414,2.272,22.686,-3.998,-3.977,-6.133,79.833,-7.831,-84.119,0,0,-0.085,-92.035,-0.071,-0.071,-66.508,-66.508,2.38,-64.199,-74.769,10.165
2014-03-31,56.54200,19.45800,4.47400,23.93200,15.33800,53.64300,51.16700,131.63900,-4.09200,-18.39800,,,-0.04300,-22.53300,-0.01000,-0.01000,8.57200,8.57200,-3.06100,5.50100,115.19800,7.46500
2013-12-31,75.929,19.438,1.819,21.257,-18.165,-27.808,-12.249,84.961,-14.701,0,0.05,0.05,-0.105,-14.756,0,0,-35.301,-35.301,1.232,-34.069,35.152,8.556
2013-09-30,62.43,19.878,-3.285,16.593,4.506,-26.142,-13.585,65.44,-5.467,0,-0.002,-0.002,0,-5.469,-26.574,-26.574,11.443,11.443,-1.163,-16.294,47.931,9.081
2013-06-30,55.945,20.702,0.808,21.51,-4.464,3.321,9.685,87.148,-4.593,-4.224,-0.018,-0.018,0,-8.835,0,0,-69.474,-69.474,1.961,-67.513,8.41,8.874
2013-03-31,51.02300,20.68300,3.42500,24.10800,15.14000,30.11400,20.26400,95.43400,-4.08700,,-0.03000,-0.03000,,-4.11700,-26.57500,-26.57500,14.19400,14.19400,0.49800,-11.88300,74.29000,8.78700
2012-12-31,56.063,21.753,-2.951,18.802,-22.985,-7.793,-5.341,69.588,-6.095,1.32,-0.016,-0.016,0,-4.791,-26.574,-26.574,-21.175,-21.175,5.987,-41.762,21.816,8.485
2012-09-30,51.619,21.752,-0.497,21.255,10.229,-20.321,-2.507,70.361,-3.552,-46.395,0.036,0.036,0,-49.911,-26.574,-26.574,6.885,6.885,-1.283,-20.972,3.403,8.104
2012-06-30,50.262,21.205,-1.705,19.5,-5.277,4.145,5.109,74.869,-9.587,0,0.077,0.077,0,-9.51,-10.635,-10.635,-55.95,-55.95,2.071,-64.514,-6.362,8.024
2012-03-31,45.53900,20.71200,5.72200,26.43400,5.63200,21.07800,11.61100,83.59700,-4.74300,,-0.00100,-0.00100,,-4.74400,-10.63900,-10.63900,9.16900,9.16900,3.87200,2.40200,86.01800,7.80200
2011-12-31,47.457,19.039,3.638,22.677,-20.158,6.21,7.449,77.614,-9.539,0.267,-0.039,-0.039,0,-9.311,-10.646,-10.646,7.962,7.962,3.016,0.332,65.53,6.514
2011-09-30,45.546,17.091,0.222,17.313,2.444,-7.796,3.383,66.278,-4.919,-269.753,0.038,0.038,0,-274.634,-10.645,-10.645,3.501,3.501,2.127,-5.017,-223.414,6.108
2011-06-30,45.431,14.994,-0.002,14.992,2.824,6.522,18.375,78.91,-4.264,0,-0.016,-0.016,0,-4.28,-5.338,-5.338,6.385,6.385,3.191,4.238,79.778,5.319
2011-03-31,42.24100,14.83100,6.56700,21.39800,6.80400,25.68600,21.21900,84.85900,-3.34100,,-0.07700,-0.07700,,-3.41800,-5.34700,-5.34700,-5.59400,-5.59400,1.71200,-9.22900,77.45500,5.14700
2010-12-31,49.14,15.409,-3.996,11.413,-23.114,-1.259,-85.696,-25.265,-5.105,0,0.666,0.666,0,-4.439,-5.369,-5.369,9.869,9.869,3.952,8.452,-22.237,5.116
2010-09-30,36.13,15.152,-5.258,9.894,11.719,-72.171,26.135,72.263,-4.736,0,0.022,0.022,0,-4.714,-5.391,-5.391,2.803,2.803,1.248,-1.34,79.228,4.743
2010-06-30,35.493,15.049,-5.651,9.398,2.069,11.551,15.245,60.155,-2.549,0,0.075,0.075,0,-2.474,-35.075,-35.075,3.744,3.744,2.947,-28.384,26.248,4.656
2010-03-31,32.36900,15.21600,-2.71300,12.50300,-1.82300,16.40300,14.84100,59.73100,-1.87000,,6.84900,6.84900,,4.97900,-20.07800,-20.07800,8.10500,8.10500,3.60600,-8.36700,53.36200,4.50400
2009-12-31,37.63,16.235,-10.818,5.417,-16.465,-8.46,1.911,44.92,-1.904,0,-7.609,-7.609,0.012,-9.501,-6.7,-6.7,8.594,8.594,6.691,8.585,42.54,3.917
2009-09-30,30.529,16.167,-4.939,11.228,-0.114,-11.857,-7.611,34.079,-1.908,0,2.198,2.198,0,0.29,-6.664,-6.664,4.259,4.259,4.653,2.248,41.635,3.175
2009-06-30,27.137,15.969,-4.748,11.221,3.445,7.861,4.91,43.44,-1.223,0,-1.995,-1.995,0,-3.218,-33.408,-33.408,2.466,2.466,1.569,-29.373,22.434,3.021
2009-03-31,21.09500,15.81500,-5.87900,9.93600,6.70000,25.36500,20.17800,51.25000,-3.28800,,4.99800,4.99800,-0.01200,1.69800,-7.45800,-7.45800,-38.34700,-38.34700,0.25500,-45.55000,1.09300,3.09900
