,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-06-30,168.305,173.058,-13.032,160.026,-21.154,-52.385,275.946,-278.114,0,-0.494,-0.494,1.77,-276.838,313.818,313.818,50.632,50.632,-212.842,-15.879,135.729,134.837,-211.922
2019-03-31,170.41800,169.76400,-7.62900,162.13500,-3.08700,29.23300,361.78600,-318.72500,,-0.72400,-0.72400,6.26300,-313.18600,-1.66800,-1.66800,155.56100,155.56100,-204.10300,-21.04700,-71.25700,-22.65700,-203.62300
2018-12-31,385.635,165.892,-225.593,-59.7011,17.092,-5.38,320.554,-137.65,0,-3.038,-3.038,39.493,-101.195,-117.998,-117.998,51.037,51.037,-203.201,-12.924,-283.086,-63.727,-203.201
2018-09-30,192.407,164.463,-31.376,133.087,-0.634,29.766,355.26,-200.252,0,-0.877,-0.877,22.354,-178.775,-41.315,-41.315,0.391,0.391,-204.326,0.459,-244.791,-68.306,-203.206
2018-06-30,254.543,165.247,-101.202,64.045,2.733,-9.204,309.384,-26.62,0,-2.734,-2.734,31.953,2.599,-30.998,-30.998,0.833,0.833,-202.706,-0.622,-233.493,78.49,-203.186
2018-03-31,141.59000,165.51400,3.74000,169.25400,-6.60800,5.06900,315.91300,-317.67100,,-4.36800,-4.36800,2.75900,-319.28000,270.59100,270.59100,,,-196.59400,-1.12900,72.86800,69.50100,-196.11400
2017-12-31,237.486,163.308,-76.727,86.581,36.766,-1.588,322.479,-331.354,0,-9.933,-9.933,0.658,-340.629,203.8508,203.8508,0.976,0.976,-196.083,-5.799,2.945,-15.205,-196.083
2017-09-30,238.199,151.367,-77.538,73.829,-14.21,46.094,358.122,-427.725,0,-4.46,-4.46,61.157,-371.028,134.553,134.553,0.084,0.084,-197.477,-0.296,-63.136,-76.042,-196.077
2017-06-30,165.194,146.992,-16.705,130.287,-2.544,-19.72,275.761,-144.104,0,-4.326,-4.326,3.586,-144.844,-44.8489,-44.8489,53.216,53.216,-195.65,-19.201,-206.484,-75.567,-195.65
2017-03-31,235.78100,142.14500,-89.07500,53.07000,-10.63000,11.04400,299.89500,-110.03200,,-5.77400,-5.77400,6.92600,-108.88000,-21.90500,-21.90500,56.81700,56.81700,-185.90700,-1.27700,-152.27200,38.74300,-185.30700
2016-12-31,242.183,140.276,-90.617,49.659,15.287,7.703,299.545,-227.4169,0,-7.301,-7.301,68.957,-165.761,216.266,216.266,1.379,1.379,-185.939,-6.233,25.473,159.257,-185.379
2016-09-30,356.328,132.477,-205.094,-72.617,-8.533,23.838,307.549,-238.0771,0,119.199,119.199,-35.222,-154.1,-83.543,-83.543,1.343,1.343,-186.76,-0.896,-269.856,-116.407,-185.36
2016-06-30,197.32,134.35,-51.574,82.776,-6.607,-4.7,275.396,-286.2,0,-120.735,-120.735,79.171,-327.764,336.968,336.968,11.702,11.702,-185.193,-26.344,137.133,84.765,-185.193
2016-03-31,237.87700,128.20800,-75.44500,52.76300,-5.55000,-12.85800,277.78200,-382.78300,,-0.91300,-0.91300,-1.03100,-384.72700,-19.68200,-19.68200,1.10200,1.10200,-171.26500,-6.17600,-196.02100,-302.96600,-171.26500
2015-12-31,155.352,122.664,-11.944,110.72,18.206,14.323,280.395,-264.369,0,-5.701,-5.701,57.068,-213.002,189.071,189.071,15.553,15.553,-185.515,4.644,23.753,91.146,-171.105
2015-09-30,206.075,120.891,-67.864,53.027,7.373,43.268,302.37,-296.987,0,-36.936,-36.936,41.757,-292.166,-155.427,-155.427,577.305,579.635,-166.107,-14.874,243.227,253.431,-166.107
2015-06-30,172.253,118.404,-36.416,81.988,-2.63,1.281,255.522,-306.865,0,36.055,36.055,18.66,-252.15,-59.951,-59.951,95.353,93.023,-165.251,-2.179,-134.358,-130.986,-165.251
2015-03-31,208.05300,113.89500,-68.66800,45.22700,-10.16600,-16.90000,236.38000,-474.80700,,,,32.60800,-442.19900,45.79100,45.79100,1.97300,1.97300,-153.19500,-2.09800,-107.52900,-313.34800,-153.19500
2014-12-31,142.526,110.587,-22.425,88.162,8.651,14.524,245.212,-330.276,0,-0.408,-0.408,10.419,-320.265,295.859,295.859,6.043,-0.257,-153.011,1.894,144.485,69.432,-153.011
2014-09-30,241.005,108.882,-124.566,-15.684,-7.432,6.397,231.718,-326.962,0,-2.458,-2.458,144.441,-184.979,-3.95,-3.95,125.121,129.921,-152.123,-6.3,-32.452,14.287,-152.123
2014-06-30,172.197,105.836,-58.456,47.38,-25.091,-30.183,189.394,-149.161,0,-1.369,-1.369,63.378,-87.152,-117.936,-117.936,207.736,202.936,-150.313,2.808,-62.505,39.737,-150.313
2014-03-31,141.59900,102.72600,-36.84300,65.88300,20.48600,12.83500,220.31700,-237.79200,,-1.42700,-1.42700,14.85500,-224.36400,246.16800,246.16800,7.23400,7.23400,-138.48400,-6.22200,108.69600,104.64900,-138.48400
2013-12-31,252.09,104.129,-142.751,-38.622,45.26,40.924,254.392,10.806,0,-43.579,-43.579,46.61,13.837,42.77,42.77,1.829,-33.395,-138.479,29.32,-99.784,168.445,-138.479
2013-09-30,-10.889,157.572,67.721,225.293,-24.837,-11.692,202.712,-329.427,0,18.949,18.949,-0.183,-310.661,254.731,254.731,0.269,0.269,-138.478,-6.81,109.712,1.763,-138.478
2013-06-30,36.101,184.673,-20.423,164.25,-24.698,-14.528,185.823,-267.253,0,0.817,0.817,31.667,-234.769,-65.677,-65.677,2.352,2.352,-138.463,-85.575,-287.363,-336.309,-138.463
2013-03-31,75.46900,106.05400,-62.09600,43.95800,-30.05700,-38.03900,81.38800,-646.24300,,-2.97800,-2.97800,-0.36000,-649.58100,-1607.24300,-1607.24300,0.25300,0.25300,-110.97900,,-1717.96900,-2286.16200,-110.97900
2012-12-31,122.384,62.456,-46.77,15.686,15.96,27.576,165.646,-431.557,0,-12.108,-12.108,303.011,-140.654,44.641,44.641,2103.537,2103.537,-94.765,-8.92,2044.493,2069.485,-94.765
2012-09-30,86.748,64.913,-12.049,52.864,21.295,13.093,152.705,-302.871,0,-10.194,-10.194,23.084,-289.981,447.366,447.366,150.971,150.971,-93.64,-61.551,443.146,305.87,-93.64
2012-06-30,156.821,66.415,-94.11,-27.695,-13.328,-11.998,117.128,-33.792,0,7.847,7.847,-0.466,-26.411,-51.583,-51.583,166.726,166.726,-92.489,-3.35,19.304,110.021,-92.489
2012-03-31,57.60900,65.03000,1.57400,66.60400,-9.39200,-18.87300,105.34000,-169.42600,,-5.65900,-5.65900,8.74500,-166.34000,-231.43800,-231.43800,8.95600,8.95600,-85.00600,-0.12300,-307.61100,-368.61100,-85.00600
2011-12-31,322.965,48.575,-247.643,-199.068,8.516,10.445,134.342,43.553,-1.701,-16.771,-18.472,1.26,26.341,-157.518,-157.518,12.205,12.205,-84.998,-2.331,-232.642,-71.959,-84.998
2011-09-30,44.677,64.425,0.632,65.057,-9.149,-20.601,89.133,-164.719,0,-16.621,-16.621,4.886,-176.454,-200.585,-200.585,773.496,773.496,-78.925,-5.938,488.048,400.727,-78.925
2011-06-30,43.191,63.605,-3.557,60.048,2.537,29.425,132.664,-189.191,0,1.233,1.233,19.613,-168.345,-1.844,-1.844,113.977,113.977,-77.896,-0.252,33.985,-1.696,-77.896
2011-03-31,30.53700,63.20100,1.42100,64.62200,-13.62400,-21.94400,73.21500,-116.60000,,1.22500,1.22500,-9.30800,-124.68300,-30.11900,-30.11900,150.15700,150.15700,-76.62600,-6.57000,36.84200,-14.62600,-76.62600
2010-12-31,26.665,53.925,9.017,62.942,5.285,8.12,97.727,-98.643,0,-28.062,-28.062,6.116,-120.589,120.53,120.53,59.108,59.108,-76.086,-3.375,100.177,77.315,-76.086
2010-09-30,23.982,59.732,2.916,62.648,-29.709,-23.975,62.655,-102.59,-24,-23.758,-47.758,5.979,-144.369,-1.503,-1.503,15.44,15.44,-75.902,-0.931,-62.896,-144.61,-75.902
2010-06-30,51.066,60.123,-21.834,38.289,8.738,13.486,102.841,-12.7,0,1.537,1.537,13.228,2.065,-1.465,-1.465,222.921,222.921,-73.72,-2.218,145.518,250.424,-73.72
2010-03-31,72.36600,60.44400,-49.94200,10.50200,-4.54400,-13.98500,68.88300,-39.10300,,1.24400,1.24400,1.81600,-36.04300,-26.46500,-26.46500,83.89600,83.89600,-72.66500,,-15.23400,17.60600,-72.66500
2009-12-31,32.35,54.417,-2.237,52.18,18.348,19.073,103.603,-0.876,0,-14.269,-14.269,11.264,-3.881,-482.7129,-482.7129,6.418,6.418,-72.459,-0.888,-549.642,-449.92,-72.459
2009-09-30,58.1,55.818,-24.044,31.774,-13.792,-6.624,83.25,-68.142,0,1.084,1.084,13.437,-53.621,282.8669,282.8669,101.328,101.328,-71.341,-3.908,308.946,338.575,-71.341
2009-06-30,16.723,53.819,22.858,76.677,-3.783,5.507,98.907,-164.202,0,-3.731,-3.731,21.557,-146.376,250.873,250.873,1.079,1.079,-71.101,-7.929,172.922,125.453,-71.101
2009-03-31,47.10100,54.66400,-2.77600,51.88800,-2.83500,-8.16800,90.82100,-149.46600,,3.02900,3.02900,16.75600,-129.68100,132.32000,132.32000,0.03500,0.03500,-68.86600,,63.48900,24.62900,-68.86600
