,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,-127.70000,63.70000,-66.20000,-2.50000,186.30000,-29.00000,-13.40000,59.90000,-70.30000,-21.30000,,238.30000,238.30000,3.70000,220.70000,1240.30000,-475.00000,765.30000,-33.90000,-33.90000,-49.80000,-8.50000,673.10000,831.10000,15.10000,-49.80000
2020-03-31,-249,68.5,86.4,154.9,10.7,161.3,107.9,100.7,6.6,-54.3,-0.9,330.5001,330.5001,0.9,276.2,-3,475,472,-152.7,-152.7,-50.7,0,268.6,540.4,27.7,-50.7
2019-12-31,334.1,68.2,-105.3,-37.1,137.9,113.3,-12.3,246.9,543.9,-85.4,0,215.7,215.7,0,130.3,-2.9,0,-2.9,-99.4,-99.4,-51.3,-0.2,-153.8,526.1,22.1,-51.3
2019-09-30,182.1,66.6,31.6,98.2,-199.6,-36.6,-5.6,-273.6,6.7,-81.2,0,269.6,269.6,0,188.4,-2.8,0,-2.8,-251.6,-251.6,-53.1,-0.7,-308.2,-128.1,27.8,-53.1
2019-06-30,117.10000,66.20000,14.20000,80.40000,108.60000,-165.70000,-39.20000,-0.10000,197.40000,-28.60000,0.90000,134.90000,134.90000,,107.20000,-4.90000,,-4.90000,-191.10000,-191.10000,-48.80000,,-244.80000,64.90000,23.00000,-48.80000
2019-03-31,31.6,69.3,26.8,96.1,-95.8,95.7,55.7,-27,100.7,-48.5,4.5,-20.7,-20.7,-4.5,-69.2,-4.8,0,-4.8,-70.7,-70.7,-49.1,0,-124.6,-97,23.3,-49.1
2018-12-31,120,72,43.3,115.3,124.6,72.5,-37,234.8,470.1,-36.1,0,-41.2,-41.2,0,-77.3,-4.3,0,-4.3,-208,-208,-50.3,0,-262.6,127,22.5,-50.3
2018-09-30,170.3,69.7,35.4,105.1,-172.5,-104.7,-29.4,-293,-17.6,-50.8,0,168.9,168.9,-23.8,94.3,93.3,0,93.3,-93.9,-93.9,-50.7,-2.8,-54.1,20.7,21.3,-50.7
2018-06-30,109.00000,70.30000,35.90000,106.20000,153.80000,-147.10000,-10.60000,15.40000,230.60000,-42.30000,-4.50000,-780.30000,-780.30000,,-827.10000,-5.70000,-9.90000,-15.60000,-108.20000,-108.20000,-40.60000,,-164.40000,-779.70000,21.50000,-40.60000
2018-03-31,41.3,75.8,135.8,211.6,-124.4,77,-26.5,-228.9,24,-38.6,0,167.3,167.3,0,128.7,-7,10.1,3.1,-1.2,-1.2,-40.7,0,-38.8,132.3,18.2,-40.7
2017-12-31,-81.8,72.7,44,116.7,176.3,41.8,0,479.2,514.1,-48.3,-1,-355.2,-355.2,0,-404.5,-7,0,-7,-1.3,-1.3,-40.6,0,-48.9,64.3,16.9,-40.6
2017-09-30,143.8,73.8,21.4,95.2,-191.4,2,-19.3,-136.2,102.8,-32.8,0,248,248,0,215.2,-8,0,-8,-0.2,-0.2,-40.6,0,-48.8,282.5,17.8,-40.6
2017-06-30,59.50000,72.90000,19.30000,92.20000,174.00000,-55.40000,12.80000,182.50000,334.20000,-41.90000,-3.60000,-83.00000,-83.00000,,-128.50000,-6.20000,,-6.20000,-14.30000,-14.30000,-40.50000,,-61.00000,164.60000,21.60000,-40.50000
2017-03-31,-204,75.6,225.2,300.8,-160.8,156.9,25.9,5.1,101.9,-58.5,-3.6,-162.3,-162.3,0,-224.4,-7.9,0,-7.9,-99.9,-99.9,-41.1,0,-148.9,-258.8,17.2,-41.1
2016-12-31,81.3,77.9,67.3,145.2,193,136.1,4.5,391.6,618.1,-60.1,0,90.1,90.1,0,30,-6.1,-95.0002,-101.1002,0.6,0.6,-41.1,0,-141.6,490.4,14.5,-41.1
2016-09-30,45.7,75.6,112.6,188.2,-152.5,-4.8,-3.8,-244.2,-10.3,-87.8,-1.2,116.5,116.5,0,27.5,-6.1,5.0001,-1.0999,0.8,0.8,-41.2,0,-41.5,-22.6,14.2,-41.2
2016-06-30,-22.30000,78.40000,105.70000,184.10000,174.40000,-167.80000,-46.40000,81.10000,242.90000,-77.60000,-1.30000,37.70000,37.70000,,-41.20000,-7.20000,-26.10000,-33.30000,-111.70000,-111.70000,-41.40000,,-186.40000,0.70000,17.70000,-41.40000
2016-03-31,41.4,82.4,71.9,154.3,-46.6,160.1,-2,-31,164.7,-92.7,-2.3,-96.3,-96.3,6,-185.3,-4.9,100.2998,95.3998,-99.2,-99.2,-42.3,-8.9,-55,-62.4,18,-42.3
2015-12-31,131,76,80,156,117,91,-50,199,486,-123,-2,46,46,-1,-80,-7,-115,-122,-90,-90,-42,2,-252,147,25,-42
2015-09-30,160,77,14,91,-206,-113,30,-217,34,-134,-9,-88,-88,-3,-234,292,-25,267,-124,-124,-43,-1,99,-110,22,-43
2015-06-30,64.00000,74.00000,23.00000,97.00000,265.00000,-229.00000,30.00000,171.00000,332.00000,-68.00000,-3.00000,-4.00000,-4.00000,-2.00000,-77.00000,-5.00000,-79.00000,-84.00000,-154.00000,-154.00000,-43.00000,6.00000,-275.00000,-10.00000,32.00000,-43.00000
2015-03-31,124.2,75.4,44.1,119.5,-250.6,142.5,41.6,-240.4,3.3,-91.2,-3.7,-68.9,-68.9,0.1,-163.7,-6.9,120.8999,113.9999,-143.1,-143.1,-39.2,-0.3,-68.6,-263.7,20.5,-39.2
2014-12-31,215,78,-5,73,218,55,-43,327,615,-124,-5,45,45,-1,-85,-4,-97,-101,-88,-88,-40,2,-227,280,18,-40
2014-09-30,201,72,13,85,-293,-137,5,-426,-140,-91,1,-86,-86,0,-176,-8,210,202,-51,-51,-39,1,113,-228,19,-39
2014-06-30,162.00000,69.00000,25.00000,94.00000,230.00000,-158.00000,-19.00000,159.00000,415.00000,-85.00000,-4.00000,-175.00000,-175.00000,,-264.00000,-5.00000,,-5.00000,-197.00000,-197.00000,-40.00000,4.00000,-238.00000,-86.00000,23.00000,-40.00000
2014-03-31,153,65,64,129,-163,99,-28,-87,147,-95,-1,48,48,0,-48,-3,0,-3,-144,-144,-40,2,-185,-85,19,-40
2013-12-31,237,67,0,67,152,95,-107,188,540,-81,-3,48,48,4,-32,-270,0,-270,-171,-171,-36,12,-465,43,31,-36
2013-09-30,205,66,12,78,-224,-142,5,-358,-75,-148,-4,-145,-145,-4,-301,297,0,297,5,5,-37,3,268,-101,21,-37
2013-06-30,181.00000,60.00000,-16.00000,44.00000,131.00000,-129.00000,22.00000,70.00000,295.00000,-66.00000,-32.00000,-7.00000,-7.00000,-2.00000,-107.00000,-2.00000,,-2.00000,-196.00000,-196.00000,-36.00000,17.00000,-217.00000,-34.00000,22.00000,-36.00000
2013-03-31,127,59,67,126,-84,70,-12,-131,122,-81,-4,-17,-17,-4,-106,-1,0,-1,-39,-39,0,8,-32,-25,23,0
2012-12-31,216,61,2,63,222,78,3,311,590,-78,-8,161,161,0,75,-4,0,-4,-138,-138,-73,6,-209,455,22,-73
2012-09-30,214,57,24,81,-205,-85,21,-257,38,-55,-3,98,98,-1,39,-1,0,-1,23,23,-36,6,-8,75,21,-36
2012-06-30,193.00000,56.00000,,56.00000,149.00000,-131.00000,-13.00000,20.00000,269.00000,-62.00000,-7.00000,-60.00000,-60.00000,8.00000,-121.00000,-3.00000,,-3.00000,-344.00000,-344.00000,-19.00000,20.00000,-346.00000,-203.00000,22.00000,-19.00000
2012-03-31,94.4,56.8,17.7,74.5,-105.4,55.1,35.7,-68.1,100.8,-111.9,-1.9,-144.4,-144.4,0,-258.2,-2.4,0,-2.4,19.8,19.8,-18.2,13.9,13.1,-143.8,22.8,-18.2
2011-12-31,169,56.8,16.6,73.4,187.2,81.3,-1.1,258.3,500.7,-67.7,-2.2,91,91,0.7,21.8,-1.4,-100,-101.4,10.5,10.5,-18.4,4.3,-105,408.1,21.2,-18.4
2011-09-30,233.5,56,-4.6,51.4,-253.8,-101.4,38,-213.8,71.1,-53.1,0,-51.4,-51.4,0,-104.5,-2.8,92.3,89.5,-67,-67,-18.5,10.6,14.6,-23.8,16.1,-18.5
2011-06-30,184.10000,55.40000,7.30000,62.70000,58.00000,-183.00000,-23.60000,-34.40000,212.40000,-39.30000,-7.90000,138.80000,138.80000,0.30000,91.90000,-1.40000,7.70000,6.30000,-321.30000,-321.30000,-18.90000,3.20000,-330.70000,-21.50000,17.90000,-18.90000
2011-03-31,73.2,51.3,98.7,150,-97.7,5.9,-11.4,-128.8,94.4,-83.5,-3.1,15.4,15.4,12.6,-58.6,-1.3,0,-1.3,-226.3,-226.3,-9.6,6.4,-230.8,-190.4,21.5,-9.6
2010-12-31,168.4,50.4,-19.2,31.2,185.1,39.8,16.9,170.7,370.3,-77.7,-46.4,-117.4,-117.4,19.1,-222.4,-2.7,0,-2.7,45.8,45.8,-9.5,27.2,60.8,207.5,18.1,-9.5
2010-09-30,205.2,46.4,9.3,55.7,-242.5,-86.7,23.7,-208.3,52.6,-55.3,-19,191.2,191.2,-0.4,116.5,-2.6,0,-2.6,-84.1,-84.1,-9.6,4.7,-91.6,90.1,15.3,-9.6
2010-06-30,120.80000,46.00000,-9.30000,36.70000,104.40000,-132.50000,2.00000,13.90000,171.40000,-38.50000,-2.40000,-91.20000,-91.20000,-2.80000,-134.90000,-1.30000,,-1.30000,-241.70000,-241.70000,-9.80000,1.80000,-251.00000,-217.30000,15.50000,-9.80000
2010-03-31,114.1,47.7,12.9,60.6,-126.7,34.2,-5.8,-72.5,102.2,-97,-27.1,-321.3,-321.3,5.7,-439.7,-2,0,-2,-60.4,-60.4,-9.8,9.9,-62.3,-410.7,20,-9.8
2009-12-31,111.1,44.1,21.5,65.6,219.5,66.1,-7,307.1,483.8,-51.3,-2,181.9,181.9,1.7,130.3,-1.4,0,-1.4,-58.2,-58.2,-5,10.1,-54.5,550.3,15.3,-5
2009-09-30,177.5,45.1,7.2,52.3,-225.4,10.8,18.2,-201.6,28.2,-35.2,0,-12.1,-12.1,-6.9,-54.2,-123.1,0,-123.1,-52.1,-52.1,-4.9,3.2,-176.9,-197.3,11.8,-4.9
2009-06-30,76.80000,44.30000,8.20000,52.50000,224.80000,-82.00000,2.80000,163.00000,292.30000,-17.80000,-1.70000,-127.00000,-127.00000,5.70000,-140.80000,-1.20000,,-1.20000,-9.80000,-9.80000,-5.00000,3.30000,-12.70000,139.60000,12.60000,-5.00000
2009-03-31,406,184.4,86.3,270.7,1.1,-10.5,39.6,97.5,774.2,-185,-46.3,-253.6,-253.6,26.9,-458,-203.5,0,-203.5,-140.8,-140.8,-19.9,12.1,-352.1,-70.3,49.7,-19.9
