,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-03-31,599,147,-158,-11,-53,-19,-19,-43,-190,398,-155,0,-218,0,0,-6,-379,5,5,-58,-58,-118,-3,-174,-171,21,-118
2014-12-31,472.00000,160.00000,129.00000,289.00000,34.00000,-161.00000,8.00000,-30.00000,-466.00000,295.00000,-130.00000,,-1511.00000,,,-10.00000,-1651.00000,47.00000,47.00000,-139.00000,-139.00000,-118.00000,1.00000,-209.00000,-1589.00000,23.00000,-118.00000
2014-09-30,663,143,-276,-133,-15,-10,17,78,219,749,-86,0,-501,0,0,-17,-604,951,951,-110,-110,-119,-7,715,844,19,-119
2014-06-30,403,138,84,222,-63,7,4,52,-125,500,-160,0,0,0,0,-13,-173,0,0,-29,-29,-119,-2,-150,184,18,-119
2014-03-31,362,121,68,189,-131,2,69,-9,-102,449,-139,0,-18,0,0,-18,-175,-7,-7,-130,-130,-102,1,-238,32,18,-102
2013-12-31,353.00000,149.00000,67.00000,216.00000,27.00000,-97.00000,-19.00000,9.00000,-184.00000,385.00000,-121.00000,,,,,-2.00000,-123.00000,-5.00000,-5.00000,-153.00000,-153.00000,-103.00000,-1.00000,-262.00000,-6.00000,22.00000,-103.00000
2013-09-30,388,79,76,155,-35,32,11,2,50,593,-166,0,8,0,0,-30,-188,1,1,-165,-165,-103,0,-267,141,12,-103
2013-06-30,335,147,71,218,-79,8,25,46,63,616,-144,0,0,0,0,19,-125,-1,-1,-186,-186,-104,0,-291,189,19,-104
2013-03-31,277,158,9,167,-74,-40,145,-54,1,445,-125,0,0,0,0,-2,-127,0,0,-128,-128,-88,1,-215,101,19,-88
2012-12-31,277.00000,152.00000,414.00000,566.00000,123.00000,-28.00000,-38.00000,19.00000,-451.00000,392.00000,-124.00000,,,,,19.00000,-105.00000,-664.00000,-664.00000,-151.00000,-151.00000,-89.00000,-1.00000,-905.00000,-617.00000,21.00000,-89.00000
2012-09-30,396,156,-122,34,43,90,-98,64,283,713,-138,0,0,0,0,-2,-140,-50,-50,-160,-160,-89,0,-299,287,16,-89
2012-06-30,199,174,148,322,-10,47,-45,6,-16,505,-109,0,-990,0,0,0,-1099,-861,-861,4,4,-90,-2,-949,-1564,17,-90
2012-03-31,258,138,100,238,-114,72,5,101,26,522,-138,0,0,0,0,-7,-145,1138,1138,36,36,-76,-8,1090,1477,18,-76
2011-12-31,262.00000,141.00000,74.00000,215.00000,98.00000,-86.00000,-51.00000,-14.00000,-270.00000,207.00000,-125.00000,,,,,-1.00000,-126.00000,179.00000,179.00000,-5.00000,-5.00000,-77.00000,-4.00000,93.00000,171.00000,17.00000,-77.00000
2011-09-30,327,145,16,161,148,11,-122,155,142,630,-197,0,0,0,0,-11,-208,0,0,-319,-319,-76,-2,-397,6,13,-76
2011-06-30,357,143,5,148,-84,-76,50,30,-67,438,-97,68,-14,0,0,-2,-45,-95,-95,-250,-250,-79,-7,-431,-27,19,-79
2011-03-31,300,143,52,195,-45,-37,30,11,62,557,-106,0,0,118,118,-9,3,-470,-470,-195,-195,-70,-2,-737,-168,17,-70
2010-12-31,266.00000,133.00000,124.00000,257.00000,7.00000,-106.00000,4.00000,71.00000,-369.00000,154.00000,-109.00000,,-717.00000,37.00000,37.00000,-4.00000,-793.00000,149.00000,149.00000,-21.00000,-21.00000,-71.00000,-4.00000,53.00000,-583.00000,22.00000,-71.00000
2010-09-30,299,119,-263,-144,54,87,-57,-42,319,474,-120,0,20,0,0,-20,-120,0,0,-115,-115,-71,-6,-192,175,61,-71
2010-06-30,331,129,117,246,-228,-102,107,-61,-202,375,-92,0,-15,0,0,-16,-123,0,0,-199,-199,-72,-3,-274,-24,0,-72
2010-03-31,306,128,47,175,-70,-114,98,4,19,500,-78,0,-55,0,0,-2,-135,0,0,-145,-145,-72,-3,-220,144,0,-72
2009-12-31,173.00000,138.00000,79.00000,217.00000,-76.00000,-40.00000,162.00000,-9.00000,-60.00000,330.00000,-74.00000,,12.00000,1.00000,1.00000,-3.00000,-64.00000,,,-17.00000,-17.00000,-74.00000,-2.00000,-93.00000,174.00000,,-74.00000
2009-09-30,92,133,204,337,-128,270,50,-61,113,542,-54,0,-1,0,0,2,-53,-141,-141,1,1,-73,-3,-216,263,50,-73
2009-06-30,-79,130,126,256,-53,216,74,9,153,330,-59,0,675,0,0,0,616,-336,-336,0,0,-74,-5,-415,531,0,-74
2009-03-31,-3272,3799,-559,3240,832,148,-544,181,489,457,-202,0,35,0,0,-5,-172,-326,-326,-152,-152,-147,2,-623,-363,0,-147
