,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-09-30,1720.391,115.751,98.299,214.05,-145.639,330.534,-47.85,1886.591,915.224,-552.315,0,-2468.541,-2468.541,0,-2105.632,972.01,967.411,-566.339,-566.339,0,401.072,212.498,66.501
2017-06-30,720.209,106.075,64.114,170.189,-255.117,17.988,330.818,1221.216,727.052,-0.484,0,-1371.18,-1371.18,0,-644.612,-83.469,-78.87,-344.142,-344.142,0,-423.012,200.425,66.988
2017-03-31,455.62300,103.12200,48.14800,151.27000,-78.42800,-453.60500,-226.27500,380.61800,605.91500,-0.00600,,-1498.72300,-1498.72300,,-892.81400,1051.71800,1051.71800,-208.31800,-208.31800,,843.40000,352.94100,59.05900
2016-12-31,673.921,99.713,37.116,136.829,186.295,109.065,286.081,1096.831,-51.924,0.305,3684,-4762.833,-1078.833,0,-1130.452,0.295,0.295,-254.92,-254.92,0,-254.625,-341.055,74.869
2016-09-30,506.017,1038.78,88.936,1127.716,-126.148,172.474,-113.79,1519.943,-54.377,-48.51,-2176.868,716.495,-1460.3728,0,-1563.26,0,0,-230.28,-230.28,0,-230.28,-271.415,54.115
2016-06-30,580.638,96.79,66.36,163.15,-152.443,42.077,278.68,1022.468,-60.443,-0.072,2176.868,-2902.9201,-726.0523,0,-786.567,992.205,892.205,-273.896,-273.896,0,618.309,836.541,54.982
2016-03-31,374.42400,91.71700,115.58800,207.30500,-191.70400,-339.61600,-236.97100,344.75800,-53.25600,-0.72300,,201.25810,201.25810,,147.27900,2.50000,102.50000,-236.90400,-236.90400,,-134.40400,379.92900,66.03400
2015-12-31,504.269,89.248,185.998,275.246,220.91,7.835,202.849,982.364,-47.278,-4.674,5084.238,-6252.774,-1168.537,0,-1220.488,788.585,788.585,-819.743,-819.743,-90.935,-122.093,-364.43,75.065
2015-09-30,1196.732,87.406,40.71,128.116,-1.664,200.553,-15.048,1309.8,-42.286,-89.727,0,37.665,37.665,0.225,-94.123,0,0,-1274.489,-1274.489,11.759,-1262.73,-47.291,58.799
2015-06-30,517.032,86.869,58.543,145.412,-167.347,2.676,39.932,702.376,-53.088,-19.775,-880.774,-485.289,-1366.063,-0.17,-1439.096,-1.438,-1.438,-674.208,-674.208,14.933,-660.713,-1366.865,60.736
2015-03-31,333.32700,83.23600,28.38200,111.61800,-120.59300,-316.58400,-235.96200,208.98300,-31.26300,-26.16200,880.77400,-1969.29200,-1088.51800,5.12300,-1140.82000,1464.25800,1464.25800,-299.54800,-299.54800,49.53800,1214.24800,107.16300,54.53300
2014-12-31,451.831,88.621,61.284,149.905,171.148,-11.917,153.544,755.28,-40.779,-0.282,18230.135,-20255.242,-2025.1109,-9.309,-2075.481,-20.675,-20.675,-500.967,-500.967,25.468,-496.174,-1904.706,67.172
