,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-09-30,669,305,73,378,1,0,32,-63,-147,900,-303,0,0,0,-303,33,33,-95,-95,-592,-127,-781,-199,8,-592
2019-06-30,1108,309,-430,-121,-42,0,-10,-962,-911,76,-212,-53,1160,0,895,-25,-25,-155,-155,-918,0,-1098,-117,9,-918
2019-03-31,744.00000,317.00000,41.00000,358.00000,-15.00000,,-26.00000,-4.00000,-282.00000,820.00000,-240.00000,,,,-240.00000,-26.00000,-26.00000,-160.00000,-160.00000,-903.00000,,-1089.00000,-513.00000,9.00000,-903.00000
2018-12-31,-40,303,826,1129,-84,0,26,-12,212,1301,-320,0,0,0,-320,-25,-25,-429,-429,-584,-39,-1077,-124,7,-584
2018-09-30,699,299,72,371,-101,0,-2,-18,-174,896,-204,0,0,0,-204,660,660,-292,-292,-591,-54,-277,423,8,-591
2018-06-30,676,291,78,369,19,0,-4,4,62,1107,-172,0,0,0,-172,1805,1805,-84,-84,-902,-10,809,1722,7,-902
2018-03-31,1616.00000,283.00000,-641.00000,-358.00000,47.00000,,-12.00000,-14.00000,139.00000,1397.00000,-234.00000,,,,-234.00000,-25.00000,-25.00000,-21.00000,-21.00000,-902.00000,-29.00000,-977.00000,210.00000,8.00000,-902.00000
2017-12-31,1361,277,-483,-206,7,0,29,26,166,1321,-232,0,0,0,-232,-30,-30,-67,-67,-581,0,-678,418,8,-581
2017-09-30,684,283,78,361,-34,0,34,-27,68,1113,-211,0,0,0,-211,-578,-578,-59,-59,-581,0,-1218,-305,8,-581
2017-06-30,639,345,45,390,39,0,2,9,117,1146,-177,0,0,0,-177,319,319,-64,-64,-892,0,-637,351,8,-892
2017-03-31,579.00000,341.00000,71.00000,412.00000,71.00000,,-25.00000,14.00000,-28.00000,963.00000,-202.00000,,,,-202.00000,85.00000,85.00000,-145.00000,-145.00000,-889.00000,-5.00000,-954.00000,-172.00000,10.00000,-889.00000
2016-12-31,616,338,63,401,39,0,7,-14,196,1213,-294,0,0,1,-293,12,12,12,12,-576,-2,-554,340,6,-576
2016-09-30,606,297,70,367,5,0,17,-29,71,1044,-397,0,0,0,-397,-467,-467,3,3,-576,-31,-1071,-435,7,-576
2016-06-30,394,274,77,351,120,0,-4,11,243,988,-361,-47,0,8,-400,833,833,1,1,-889,0,-55,529,8,-889
2016-03-31,409.00000,280.00000,81.00000,361.00000,155.00000,,-1.00000,-4.00000,29.00000,799.00000,-341.00000,,,-9.00000,-350.00000,-69.00000,-69.00000,1.00000,1.00000,-883.00000,,-951.00000,-483.00000,13.00000,-883.00000
2015-12-31,575.278,268.832,82.475,351.307,25.652,-1.405,13.886,10.395,91.929,1018.514,-414.856,0,0,-0.059,-414.915,305.4259,305.4259,-62.891,-62.891,-522.629,-2.6,-282.694,323.853,9.467,-522.629
2015-09-30,618.193,267.56,43.665,311.225,-40.037,-0.329,3.739,-12.297,-70.465,858.953,-393.544,0,0,-0.392,-393.936,-504.0939,-504.0939,-68.193,-68.193,-831.696,0.103,-1403.88,-963.214,9.342,-831.696
2015-06-30,581.491,268.189,51.586,319.775,43.064,2.384,-0.469,8.695,-54.028,847.238,-351.681,0,0,-0.217,-351.898,514.618,514.618,-63.054,-63.054,-522.063,-13.838,-84.337,412.215,14.99,-522.063
2015-03-31,611.03800,273.41900,58.27400,331.69300,20.32100,-0.65000,-18.15600,-0.79300,-208.43600,734.29500,-366.91900,,,-0.33200,-367.25100,-624.95000,-624.95000,6.13800,6.13800,-830.61200,4.33500,-1445.08900,-1099.85400,12.20100,-830.61200
2014-12-31,877.929,275.564,61.414,336.978,-82.384,1.193,4.155,1.315,0.597,1215.504,-385.466,0,0,-0.313,-385.779,185.1528,185.1528,-230.212,-230.212,-403.457,4.167,-444.349,359.305,10.22,-403.457
2014-09-30,860.499,273.072,31.937,305.0091,-9.683,-0.171,-8.081,-27.896,61.144,1226.652,-265.802,0,0,-0.246,-266.048,-365.8198,-365.8198,-296.491,-296.491,-403.157,-33.678,-1099.146,-145.618,11.597,-403.157
2014-06-30,852.844,285.965,65.801,351.7659,206.154,-1.622,-13.447,2.631,53.607,1258.217,-274.546,0,0,-0.389,-274.935,70.005,70.005,-392.049,-392.049,-672.735,-1.346,-996.125,-10.675,10.081,-672.735
2014-03-31,996.72800,284.39900,79.84800,364.24700,-77.08700,0.60000,12.37300,-6.05000,-228.34800,1132.62700,-251.18600,,,0.94800,-250.23800,491.66200,491.66200,-702.24800,-702.24800,-917.65100,-53.14300,-1181.38000,-297.01200,16.10200,-917.65100
2013-12-31,769.731,277.932,75.261,353.193,24.324,-0.861,4.771,-27.126,155.705,1278.629,-267.1871,-0.014,0,0.495,-266.706,35.895,35.895,-326.396,-326.396,-290.739,-37.808,-619.048,391.294,13.575,-290.739
2013-09-30,809.298,272.087,72.172,344.259,-94.225,-0.401,-6.605,-1.482,-16.981,1136.576,-206.47,0,0,-0.345,-206.815,242.1151,242.1151,-187.643,-187.643,-291.557,-0.713,-237.798,694.979,13.294,-291.557
2013-06-30,671.673,273.976,66.521,340.497,95.263,1.031,-11.381,-21.543,126.519,1138.689,-195.534,-45.857,0,-0.238,-241.629,-273.3571,-273.3571,10.88,10.88,-495.617,1.582,-756.512,134.393,11.891,-495.617
2013-03-31,703.97400,275.67300,75.72200,351.39500,-234.41700,1.34400,26.99200,1.11100,-169.85100,885.51800,-196.76500,,,-0.29400,-197.05900,-334.57800,-334.57800,11.95500,11.95500,-497.99400,1.52500,-819.09200,-133.01800,14.61700,-497.99400
2012-12-31,571.343,273.309,92.522,365.831,-166.372,-1.329,-43.772,-54.374,-52.25,884.924,-385.813,0,0,1.41,-384.403,717.5825,717.5825,15.87,15.87,-2472.046,-0.698,-1739.291,-1232.649,15.16,-2472.046
2012-09-30,444.98,249.127,87.245,336.3721,-189.439,-1.696,14.749,21.282,-26.838,754.514,-326.478,0,0,-0.263,-326.741,-8.521,-8.521,7.324,7.324,-207.995,-18.624,-227.816,223.415,17.401,-207.995
2012-06-30,286.381,240.255,178.587,418.8419,-96.292,-0.588,29.455,-17.66,45.645,750.868,-336.535,0,0,-0.259,-336.794,-451.0429,-451.0429,4.527,4.527,-387.079,-100.028,-933.623,-534.36,13.701,-387.079
2012-03-31,579.10900,215.05200,112.75400,327.80600,-223.35800,-4.74200,0.35600,-27.78500,-239.46400,667.45100,-397.49900,,,-0.19500,-397.69400,-306.23100,-306.23100,547.42700,547.42700,-385.65800,-0.11400,-144.57600,153.64200,19.16600,-385.65800
2011-12-31,524.352,218.861,113.618,332.479,-286.315,-1.554,0.652,-8.621,-123.5081,733.323,-420.282,0,0,214.298,-205.984,300.6278,300.6278,5.943,-774.8059,-19.922,-78.75,-572.85,-48.857,15.472,-19.922
2011-09-30,505.172,216.909,58.13,275.039,-205.478,1.759,11.199,0.227,67.439,847.65,-365.838,0.475,0,223.416,-141.947,-139.885,-139.885,10.984,-48.638,-21.083,-6.019,-215.625,472.469,13.953,-21.083
2011-06-30,489.092,226.796,69.854,296.65,-178.059,-1.807,4.61,-18.444,-122.597,663.145,-386.869,-0.246,0,216.718,-170.397,-137.797,-137.797,6.819,5.743,-25.082,-0.057,-157.193,345.165,13.05,-25.082
2011-03-31,364.50300,213.97400,93.63000,307.60400,-119.31100,-1.23900,-26.02600,-3.13500,-253.72900,418.37800,-329.41100,-0.32900,,149.96200,-179.77800,-121.72100,-121.72100,14.27100,-6.47400,-19.59800,,-147.79300,96.86000,20.23900,-19.59800
2010-12-31,386.407,205.481,85.448,290.929,-113.332,-4.462,12.358,-44.264,-15.183,662.153,-329.933,-0.704,0,148.539,-182.098,-78.137,-78.137,235.568,228.989,-23.35,-0.142,127.36,642.369,15.469,-93.4
2010-09-30,268.834,206.989,151.424,358.413,-115.011,-1.022,-19.373,0.202,-57.154,570.093,-522.692,-1.294,0,-859.731,-1209.943,-456.787,-456.787,2.478,2.478,-23.35,-11.458,-489.117,-1124.123,13.62,0
2010-06-30,78.548,191.931,52.37,244.301,-112.651,-1.596,32.121,-1.831,32.262,355.111,-585.731,-43.305,0,205.501,-423.331,-93.388,-93.388,3.85,3.85,-23.35,-53.544,-166.432,-233.01,13.839,0
2010-03-31,47.81400,168.30600,31.67600,199.98200,8.07000,2.13900,4.16400,-21.94100,34.99800,282.79400,-535.89000,,,-182.57500,-892.44300,-575.27000,-575.27000,0.07300,0.07300,-23.35000,-0.82100,-599.36800,-1203.57100,15.09300,
2009-12-31,-74.017,168.803,104.482,273.285,-117.936,-0.926,3.905,-99.427,-93.074,106.194,-553.509,0,0,114.024,-439.485,-152.993,-152.993,0.064,0.064,-23.35,2390.781,2214.502,1863.571,12.631,0
2009-09-30,-80.617,161.102,114.59,275.692,-36.801,1.026,-9.617,-1.55,29.498,224.573,-512.65,0,0,-39.215,-551.865,897.806,897.806,0,0,-23.35,-40.328,834.128,506.812,12.009,0
2009-06-30,-178.263,154.613,115.368,269.981,-41.246,0.009,19.819,65.656,70.413,162.131,-498.693,0,0,-86.319,-585.012,276.889,276.889,0,0,-23.524,-4.431,248.934,-173.439,9.309,0
2009-03-31,-35.84600,153.38800,45.50500,198.89300,17.23700,1.65000,-2.71900,-39.99900,-17.33200,145.71500,-523.84100,,,90.14000,-433.70100,32.85400,32.85400,-0.01300,-0.01300,-24.47300,0.04100,8.40900,-279.69100,11.59600,
