,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-09-30,142.024,72.048,22.903,94.951,0,0,12.632,12.632,249.607,-84.238,0,0,0,0,0.626,-83.612,-0.005,0,-0.005,-92.307,-92.307,-26.527,-3.693,-122.532,43.463,4.813,-26.527
2016-06-30,124.708,71.908,24.232,96.14,0,0,-154.574,-154.574,66.274,-90.139,0,0,0,0,0.313,-89.826,-0.009,0.005,-0.004,-45.723,-45.723,-26.62,-4.085,-76.432,-99.984,6.511,-26.62
2016-03-31,40.15800,69.40600,-16.45600,52.95000,,,-4.38000,-4.38000,88.72800,-107.19800,,-1.61100,,,2.69900,-106.11000,,-0.00500,-0.00500,-23.43300,-23.43300,-26.71800,-24.63600,-74.79200,-92.17400,4.32100,-26.71800
2015-12-31,88.888,70.053,8.297,78.35,-42.164,-20.925,80.34,70.347,238.201,-70.693,0,-6.397,0,0,-0.049,-77.139,0,-0.004,-0.004,-16.392,-16.392,-13.336,-14.801,-44.533,116.529,4.228,-13.336
2015-09-30,123.805,69.662,-6.45,63.212,0,0,29.683,29.683,216.7,-65.049,0,0.586,0,0,0.033,-64.43,530.945,-598.556,-67.611,17.119,17.119,-13.329,5.496,-58.325,93.945,4.341,-13.329
2015-06-30,48.162,68.385,44.75,113.135,0,0,-115.814,-115.814,45.483,-98.045,0,-21.387,0,0,0,-119.432,-530.945,284.418,-246.527,19.353,19.353,-13.296,-3.502,-243.972,-317.921,4.979,-13.296
2015-03-31,-39.67800,66.72300,-0.55500,66.16800,,,-7.33600,-7.33600,19.15400,-47.25700,,,,,-0.33400,-47.59100,400.00000,-145.91800,254.08200,31.41600,31.41600,-13.25300,7.57600,279.82100,251.38400,4.70000,-13.25300
2014-12-31,38.021,70.639,3.522,74.161,-25.118,-5.595,29.423,-0.901,111.281,-50.924,721.359,-734.722,0,0,0.033,-64.254,0,-0.118,-0.118,10.989,10.989,-7.911,-0.582,2.378,49.405,5.459,-7.911
2014-09-30,66.939,71.156,17.173,88.329,0,0,-28.442,-28.442,126.826,-52.042,0,-268.397,0,0,62.087,-258.352,0,-0.017,-0.017,3.499,3.499,-7.899,0.127,-4.29,-135.816,6.497,-7.899
2014-06-30,45.968,68.324,12.438,80.762,0,0,-96.234,-96.234,27.872,-67.637,0,-1.174,0,0,0.937,-67.874,0,-0.018,-0.018,5.227,5.227,-6.543,0.247,-1.087,-41.089,7.609,-6.543
2014-03-31,53.99500,69.37800,-171.09600,-101.71800,,,40.12700,40.12700,-4.97200,-28.22100,,720.05600,,,-63.02400,628.81100,,-579.67600,-579.67600,34.40700,34.40700,-6.53100,2.99600,-548.80400,75.03500,4.31900,-6.53100
2013-12-31,9.082,76.231,-6.863,69.368,-42.26,-7.7,65.237,19.825,96.487,-155.468,51.604,-51.604,0,0,-0.041,-155.509,0,-0.109,-0.109,9.092,9.092,-1.301,-0.735,6.947,-52.075,5.304,-1.301
2013-09-30,41.364,78.32,155.219,233.539,0,0,29.348,29.348,305.357,-44.812,0,-1.304,0,0,0,-46.116,0,-100.016,-100.016,0.893,0.893,-1.292,0.008,-100.407,158.834,5.687,-1.292
2013-06-30,28.772,76.96,-10.111,66.849,0,0,-128.781,-128.781,-32.478,-32.296,0,5.005,0,0,0,-27.291,0,-40.461,-40.461,0.395,0.395,-1.299,0.032,-41.333,-101.102,6.169,-1.299
2013-03-31,-54.83600,75.59700,-54.11400,21.48300,,,20.48600,20.48600,-12.86700,-25.22800,,-42.04800,,,0.00200,-67.27400,,-10.01600,-10.01600,3.20300,3.20300,-1.29900,0.85600,-7.25600,-87.39700,4.93300,-1.29900
2012-12-31,3.483,78.568,29.894,108.462,17.412,-9.028,12.071,31.837,144.716,7.96,21.166,-10.69,0,0,0.798,19.234,0,-134.66,-134.66,4.295,4.295,-1.298,0.065,-131.598,32.352,8.112,-1.298
2012-09-30,14.26,84.108,-10.823,73.285,0,0,9.275,9.275,96.82,-12.973,0,-1.137,0,0,0.914,-13.196,0,-0.015,-0.015,2.643,2.643,-1.295,-0.132,1.201,84.825,5.761,-1.295
2012-06-30,-18.283,84.116,-33.199,50.917,0,0,-64.839,-64.839,-32.205,0.583,0,0,0,0,0.018,0.601,0,-0.015,-0.015,0.041,0.041,-1.295,0.002,-1.267,-32.871,1.724,-1.295
2012-03-31,-52.05300,85.16700,-48.07500,37.09200,,,44.10500,44.10500,29.14400,-8.09800,,11.82700,,,0.03100,3.76000,,-0.09000,-0.09000,3.48300,3.48300,-1.29500,0.33100,2.42900,35.33300,1.87700,-1.29500
2011-12-31,-27.865,88.048,-33.88,54.168,5.035,-6.927,44.946,21.014,47.317,-19.635,0,-8.622,0,0,-0.134,-28.391,0,-5.123,-5.1229,0.383,0.383,-1.294,-9.432,-15.466,3.46,5.463,-1.294
2011-09-30,19.959,90.948,-4.392,86.556,0,0,14.632,14.632,114.71,-20.807,0,60.546,0,0,0.32,40.059,0,-100.213,-100.213,0,0,-32.308,23.387,-109.134,45.635,4.142,-32.308
2011-06-30,-8.139,92.137,-21.043,71.094,0,0,-105.965,-105.965,-37.034,-21.18,0,0,0,0,0.964,-20.216,1080.847,-934.68,146.167,4.865,4.865,-32.305,-17.897,100.83,43.58,5.173,-32.305
2011-03-31,-54.73300,90.58600,-60.63800,29.94800,,,68.37400,68.37400,44.05000,-23.61500,,12.28400,,,0.40000,-10.93100,,11.44100,11.44100,3.30300,3.30300,-32.26500,0.02500,-17.49600,15.62300,3.67600,-32.26500
2010-12-31,-46.997,92.919,-6.18,86.739,-49.656,6.708,-0.76,13.526,74.879,-14.626,0,-35.13,0,0,3.563,-46.193,0,-39.71,-39.71,7.905,7.905,-32.096,0.26,-63.641,-34.955,5.439,-32.096
2010-09-30,13.246,97.698,5.567,103.265,0,0,3.827,3.827,109.171,-19.162,0,-35.404,0,0,4.392,-50.174,450,-438.806,11.194,6.42,6.42,-32.096,-4.192,-18.674,40.323,4.674,-32.096
2010-06-30,-23.992,97.279,-19.526,77.753,0,0,-52.711,-52.711,12.217,-20.229,0,-0.11,0,0,-0.357,-20.696,0,19.906,19.906,26.556,26.556,-32,0.25,14.712,6.233,5.247,-32
2010-03-31,-38.74700,94.19700,-104.30700,-10.11000,,,55.29600,55.29600,6.43900,-18.70500,,51.06400,,,-3.67200,28.68700,,-11.60600,-11.60600,21.35500,21.35500,-31.60000,0.40000,-21.45100,13.67500,5.27700,-31.60000
2009-12-31,-13.349,96.454,-35.392,61.062,79.93,39.289,-47.125,38.43,98.213,-4.213,0,0,2.692,2.692,-1.076,-2.597,-361.724,246.71,-115.0141,36.744,36.744,-31.42,-10.208,-119.898,-24.282,1.25,-31.42
2009-09-30,54.232,99.243,-56.424,42.819,0,0,87.695,87.695,185.42,-31.716,0,4.538,0,0,-0.038,-27.216,0,-141.036,-141.0358,5.195,5.195,-31.296,11.769,-155.368,2.836,7.86,-31.296
2009-06-30,22.211,99.6,9.507,109.107,0,0,-72.161,-72.161,64.304,-33.482,0,-36.98,5.387,5.387,0.278,-64.797,0,-521.079,-521.0791,572.379,572.379,-54.683,0.141,-3.242,-3.735,8.219,-54.683
2009-03-31,-32.78000,99.31500,4.05200,103.36700,,,36.31100,36.31100,105.09800,-22.56800,,11.53700,25.20300,25.20300,0.43600,14.60800,397.66000,-432.55800,-34.89800,9.55500,9.55500,-54.06900,-3.04200,-82.45400,37.25200,5.79100,-54.06900
