,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-06-30,47.705,32.402,-1.173,31.229,-5.326,-8.912,8.434,-1.654,78.243,-14.602,-1.213,0,0,0,-15.815,-230,0,-230,0,0,-14.042,-2.211,-246.253,-184.267,2.652,-14.042
2014-03-31,35.14400,31.41300,4.34300,35.75600,5.96600,-7.47300,-6.02700,-25.87700,41.91800,-12.10900,-27.32200,-0.06000,-0.06000,,-39.49100,,,,,,-14.05100,0.23300,-13.81800,-10.33500,3.07400,-14.05100
2013-12-31,35.066,28.9,-4.824,24.076,11.101,14.645,-0.506,29.381,95.427,-8.94,-268.558,0,0,0,-277.498,298,0,298,-4.74,-4.74,-14.002,5.555,284.813,105.547,3.445,-14.002
2013-09-30,46.808,27.075,3.299,30.374,5.689,5.778,-5.723,2.427,79.629,-17.743,-3.496,0,0,0,-21.239,7,0,7,0.848,0.848,-13.971,-13.245,-19.368,45.019,2.66,-13.971
2013-06-30,42.635,25.619,-5.99,19.629,-1.664,-15.661,0.738,-10.457,50.979,-21.262,-38.454,-0.05,-0.05,0,-59.766,0,0,0,-1.263,-1.263,-13.98,-3.044,-18.287,-25.136,2.975,-13.98
2013-03-31,27.23900,26.34100,1.70700,28.04800,-16.42000,-13.69300,-0.43500,-42.60800,5.26400,-15.63500,1.50000,,,,-14.13500,,,,5.15500,5.15500,-13.96400,-7.17900,-15.98800,-30.48500,2.79100,-13.96400
2012-12-31,29.577,25.723,-9.01,16.713,-4.866,2.649,-0.549,10.53,55.486,-19.302,-313.692,0,0,0,-332.994,0,0,0,-7.714,-7.714,-13.928,-2.428,-24.07,-297.79,2.453,-13.928
2012-09-30,21.93,23.713,-1.049,22.664,15.159,-7.317,1.668,4.971,49.894,-17.199,49.45,-0.08,-0.08,0,32.171,0,0.001,0.001,3.623,3.623,-13.905,0,-10.281,89.838,2.167,-13.905
2012-06-30,42.899,22.778,-2.537,20.241,6.09,0.326,10.288,-1.324,62.922,-15.563,-38.542,0,0,0,-54.105,0,-0.421,-0.421,2.497,2.497,-13.89,-6.93,-18.744,-45.93,2.284,-13.89
2012-03-31,-283.50800,354.79800,-11.51000,343.28800,-19.31500,2.37200,-1.81200,-29.58700,26.31600,-13.33000,,,,,-13.33000,,-0.28600,-0.28600,1.59400,1.59400,-13.86600,,-12.55800,6.83300,1.71900,-13.86600
2011-12-31,168.221,23.991,-147.271,-123.28,-2.552,7.83,-1.05,-10.366,34.137,-17.274,281.067,-0.15,-0.15,0,263.643,0,-24.714,-24.714,1.079,1.079,-13.858,-5.955,-43.448,212.389,2.053,-13.858
2011-09-30,44.065,24.162,-13.133,11.029,-4.052,-23.591,-3.716,-29.726,22.447,-12.176,-0.011,0,0,0,-12.187,0,0,0,2.353,2.353,-13.84,0.548,-10.939,5.89,1.514,-13.84
2011-06-30,34.487,23.702,4.618,28.32,-13.815,-7.459,-3.218,-32.235,30.513,-9.241,-0.684,0,0,0,-9.925,125,0,125,23.813,23.813,-13.824,-4.22,130.769,163.511,2.056,-13.824
2011-03-31,78.19400,24.64100,-52.32100,-27.68000,-23.14200,-10.59900,-0.48900,-43.97100,7.26000,-5.89100,71.03000,,,,65.13900,-65.80000,,-65.80000,6.76400,6.76400,-13.61400,-14.83800,-87.48800,-6.15400,-1.09100,-13.61400
2010-12-31,81.436,21.259,-82.024,-60.765,-1.652,-3.877,-9.71,16.386,39.961,-8.067,105.607,0,0,0,97.54,-165.8,-5,-170.8,2.187,2.187,-13.608,-17.696,-199.917,-39.305,1.575,-13.608
2010-09-30,22.535,23.848,29.129,52.977,2.434,-12.286,0.178,-23.898,24.137,-7.605,1.208,0,0,0,-6.397,3.4,-5,-1.6,0.438,0.438,-13.584,-76.641,-91.387,-39.372,2.626,-13.584
2010-06-30,60.526,21.683,-12.194,9.489,-7.847,-5.751,3.581,-24.59,45.359,-6.921,49.984,0,0,0,43.063,-13.08,0,-13.08,4.362,4.362,-13.584,-0.637,-22.939,76.41,2.625,-13.584
2010-03-31,37.95800,22.95000,7.38700,30.33700,-43.02300,0.49300,-1.91400,-34.36200,34.37700,-6.73700,24.66900,,,,17.93200,-51.09000,39.70000,-11.39000,3.67000,3.67000,-13.53600,,-21.25600,22.41400,1.69500,-13.53600
2009-12-31,43.015,10.521,-23.181,-12.66,-9.792,3.585,-2.961,18.905,49.383,-6.085,-0.194,0,0,0,-6.279,-57.34,-0.616,-57.956,0.803,0.803,-13.501,0.295,-70.359,29.516,1.165,-13.501
2009-09-30,38.617,25.418,11.277,36.695,4.899,13.11,0.746,25.933,98.473,-6.06,14.411,0,0,0,8.351,-51.072,-0.185,-51.257,0.383,0.383,-13.507,-0.407,-64.788,44.519,2.611,-13.507
2009-06-30,6.772,32.106,56.637,88.743,16.738,-0.224,-0.489,-117.844,-20.114,-7.672,3.684,0,0,0,-3.988,0,0.008,0.008,0,0,-13.503,0,-13.495,-28.781,1.849,-13.503
2009-03-31,225.60700,27.33000,-196.26300,-168.93300,-16.17000,-11.00400,1.83000,-65.03200,-7.64100,-6.52500,295.77500,,,,289.25000,-239.17800,-0.65900,-239.83700,0.36700,0.36700,-13.51100,-0.29500,-253.27600,35.77600,2.15100,-13.51100
