,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-12-31,636.611,959.504,427.9031,1387.407,-86.145,34.402,34.747,-148.796,-213.839,1807.024,-1263.177,0,76.323,76.323,-10,-1196.854,-3.362,0,-3.362,5.68,5.68,-167.149,0.016,-164.815,444.529,42.677,-167.149
2019-09-30,615.122,953.597,391.4039,1345.001,63.891,66.857,7.4,-73.89,99.025,2061.664,-1473.087,0,16.621,16.621,0,-1456.466,-3.235,0,-3.235,-12.972,-12.972,-166.17,-0.092,-182.469,422.62,54.67,-166.17
2019-06-30,847.841,957.304,194.618,1151.922,239.25,7.72,-67.229,568.094,686.117,2686.543,-1560.349,0,-72.325,-72.325,0,-1632.674,-903.213,0,-903.213,6.137,6.137,-127.135,-4.924,-1029.135,24.675,38.566,-127.135
2019-03-31,635.42600,879.59500,266.07500,1145.67000,-308.99600,-18.97900,194.08200,-155.40800,-174.30300,1607.76900,-1985.38700,,94.38100,94.38100,,-1891.00600,-3.19000,,-3.19000,-5.84500,-5.84500,-127.54600,,-136.58100,-419.82400,39.08700,-127.54600
2018-12-31,892.768,919.963,154.122,1074.085,185.349,-108.591,-98.178,207.571,130.5809,2085.228,-1086.295,0,-205.599,-205.599,0,-1291.894,-353.167,0,-353.167,3.564,3.564,-126.97,0,-476.573,281.502,39.047,-126.97
2018-09-30,1190.952,918.18,272.596,1190.776,-243.778,-94.598,81.548,122.316,-193.9379,2189.597,-1645.866,0,-122.791,-122.791,-19.993,-1788.65,-1.698,0,-1.698,-25.582,-25.582,-107.465,0.028,-134.717,265.917,49.001,-107.465
2018-06-30,696.731,848.674,388.194,1236.868,-200.097,-85.42,402.325,-123.36,-5.967,1941.617,-1678.486,0,45.295,45.295,0,-1633.191,-1.683,0,-1.683,-5.555,-5.555,-106.584,-0.028,-113.85,192.121,31.803,-106.584
2018-03-31,638.58900,748.59100,326.24500,1074.83600,-109.65400,-106.79900,53.65200,-19.93000,-160.78100,1552.16600,-1438.38200,,-18.04500,-18.04500,,-1456.42700,-1.67100,,-1.67100,-15.32300,-15.32300,-97.02600,0.05700,-113.96300,-18.13400,35.48600,-97.02600
2017-12-31,2430.468,881.745,-1279.2,-397.455,-366.686,-156.874,211.298,-384.951,-711.183,1327.548,-1021.521,0,-210.404,-210.404,0,-1231.925,-1.658,0,-1.658,-3.368,-3.368,-97.27,0.039,-102.257,-11.91,32.312,-97.27
2017-09-30,100.541,846.222,200.799,1047.021,-129.231,-11.545,36.19,-66.441,-181.87,961.363,-1077.72,0,41.331,41.331,0,-1036.389,-601.646,0,-601.646,-27.13,-27.13,-96.277,-0.096,-725.149,-803.305,43.476,-96.277
2017-06-30,23.053,865.384,134.916,1000.3,75.098,-30.865,56.278,-47.844,52.156,1078.376,-898.482,0,15.814,15.814,0,-882.668,-1.632,0,-1.632,4.202,4.202,-96.277,0,-93.707,102.877,27.601,-96.277
2017-03-31,28.51700,816.03600,180.56300,996.59900,28.68800,24.73600,20.42600,-159.25200,-124.01500,898.04900,-899.75100,,63.32400,63.32400,,-836.42700,-1.61900,,-1.61900,-16.27200,-16.27200,-96.70700,,-114.59800,-53.32900,30.46000,-96.70700
2016-12-31,-142.352,862.524,229.729,1092.253,-220.939,33.131,127.165,-55.786,-137.643,804.745,-79.355,54.534,35.488,35.488,0,10.667,-165.436,0,-165.436,-17.471,-17.471,-96.119,8.14,-270.886,551.168,31.018,-96.119
2016-09-30,-190,899.511,-18.708,880.803,10.712,41.75,2.145,-9.01,66.273,759.581,-448.6211,0,66.137,66.137,0,-382.484,-1.596,0,-1.596,-23.227,-23.227,-92.69,9.43,-108.083,269.005,37.601,-92.69
2016-06-30,-292.558,862.491,-30.139,832.352,-154.97,38.235,86.269,-100.643,-40.249,503.146,-369.0799,0,56.705,56.705,0,-312.375,-1.581,0,-1.581,-8.147,-8.147,-91.866,11.777,-89.817,111.241,27.091,-91.866
2016-03-31,-471.77600,928.89100,-83.90600,844.98500,132.39800,57.57800,-289.62700,14.16600,-83.02500,291.59100,-566.52400,,-2.22800,-2.22800,,-568.75200,589.52800,-259.71800,329.81000,-9.98400,-9.98400,-92.17000,-1.59200,226.06400,-50.02500,32.38000,-92.17000
2015-12-31,-284.296,769.457,166.075,935.532,193.101,31.443,-98.986,-98.832,-39.0509,615.813,-794.281,0,19.423,19.423,0,-774.858,-1.557,230.018,228.461,2.351,2.351,-92.428,1.834,140.218,-24.183,28.651,-92.428
2015-09-30,-4075.739,722.172,4186.614,4908.786,150.128,-10.602,-310.567,453.417,295.8268,1131.432,-1328.796,0,-349.42,-349.42,0,-1678.216,-1.546,29.7,28.154,-16.574,-16.574,-91.447,3.497,-76.37,-624.706,40.276,-91.447
2015-06-30,5.268,909.227,285.748,1194.975,-54.917,99.781,-321.769,-102.714,-317.5999,887.373,-1152.798,0,89.838,89.838,0,-1062.96,-501.532,0,-501.532,-0.403,-0.403,-91.469,7.905,-585.499,-760.024,28.598,-91.469
2015-03-31,-169.74800,912.78800,300.95100,1213.73900,353.10000,-62.17200,-677.87500,299.78200,-85.06000,960.54700,-1544.48100,,-259.74100,-259.74100,,-1804.22200,988.70400,,988.70400,-11.47500,-11.47500,-91.66100,7.00400,892.57200,40.20600,33.05200,-91.66100
2014-12-31,444.588,1013.93,385.9541,1399.884,426.025,-42.792,-23.123,61.474,261.658,2110.438,-1528.595,0,-5.476,-5.476,151.623,-1382.448,-1.509,0,-1.509,-2.091,-2.091,-92.025,11.954,-83.671,606.068,41.45,-92.025
2014-09-30,1103.618,1040.018,-5.8051,1034.213,-91.707,-9.41,219.214,12.08,190.921,2336.469,-2095.932,0,77.379,77.379,0,-2018.553,-1.499,0,-1.499,-23.993,-23.993,-67.986,23.613,-69.865,251.005,38.492,-67.986
2014-06-30,706.353,996.602,424.464,1421.066,-105.019,-40.808,-14.271,-9.597,-193.828,1934.575,-2170.175,0,-36.638,-36.638,-82.191,-2289.004,-1.484,0,-1.484,-51.179,-51.179,-67.904,36.383,-84.184,-437.072,29.579,-67.904
2014-03-31,660.92800,946.49100,478.30700,1424.79800,-144.31700,-68.94800,361.81000,-106.39900,181.94700,2267.67300,-1882.77100,,68.25800,68.25800,-9.04700,-1823.56000,-5.25400,,-5.25400,-27.91200,-27.91200,-51.78000,-5.06800,-90.01400,349.00300,35.56500,-51.78000
2013-12-31,580.194,915.257,326.876,1242.133,190.133,-7.745,33.502,-22.71,195.125,2001.23,-1531.872,0,-21.81,-21.81,2.247,-1551.435,-401.462,0,-401.462,0.428,0.428,-51.447,5.827,-446.654,-0.608,30.884,-51.447
2013-09-30,462.498,928.8,547.426,1476.226,-48.937,39.062,3.83,22.949,65.285,2012.472,-1914.532,0,53.558,53.558,-15.739,-1876.713,-1.452,0,-1.452,-25.161,-25.161,-50.725,28.109,-49.229,90.801,45.447,-50.725
2013-06-30,659.692,910.531,243.407,1153.938,71.948,37.143,-44.696,-10.819,69.388,1890.777,-1636.778,0,-37.791,-37.791,-52.322,-1726.891,-1.439,0,-1.439,2.699,2.699,-50.786,10.205,-39.321,119.982,27.288,-50.786
2013-03-31,494.72500,846.38800,293.09300,1139.48100,-236.75700,-15.05800,186.06500,-152.52500,-209.27100,1424.93500,-1216.88800,,57.14900,57.14900,,-1159.73900,-1.42700,,-1.42700,-3.02000,-3.02000,-46.22000,11.94500,-38.72200,231.59900,30.43600,-46.22000
2012-12-31,-504.999,786.344,1093.882,1880.226,-66.509,-1.996,-100.832,-15.742,-149.776,1227.187,-1454.655,0,13.731,13.731,0,-1440.924,-1.417,0,-1.417,9.38,9.38,-46.668,17.621,-21.084,-236.188,26.441,-46.668
2012-09-30,355.491,825.851,360.668,1186.519,-227.593,-51.19,-92.673,234.605,-108.423,1436.372,-1638.382,0,-185.4,-185.4,0,-1823.782,1232.731,0,1232.731,4.592,4.592,-45.52,25.779,1217.582,832.249,45.871,-45.52
2012-06-30,395.778,808.765,120.324,929.089,205.367,-113.784,-60.27,110.463,161.302,1495.613,-1352.896,0,-126.341,-126.341,0,-1479.237,0,0,0,10.197,10.197,-45.642,5.583,-29.862,-13.69,27.128,-45.642
2012-03-31,324.00900,748.74300,190.25900,939.00200,-89.94800,10.20800,236.62500,-337.57400,-185.85200,1077.60500,-1599.40700,,224.08700,224.08700,,-1375.32000,,,,0.12600,0.12600,-43.25000,16.23900,-26.88500,-321.66200,28.33800,-43.25000
2011-12-31,120.698,693.527,438.1559,1131.683,-210.815,-9.012,105.702,101.879,-20.896,1236.887,-1644.655,0,-103.755,-103.755,0,-1748.41,-220,0,-220,6.456,6.456,-43.036,-4.833,-261.413,-771.002,33.288,-43.036
2011-09-30,540.878,651.684,-82.8359,568.848,36.335,-40.549,56.135,81.822,140.671,1272.283,-1354.794,0,-56.66,-56.66,0,-1411.454,0,0,0,-2.353,-2.353,-42.571,0.073,-44.851,-190.71,41.63,-42.571
2011-06-30,295.574,602.944,224.868,827.812,-51.445,-59.329,23.753,67.877,-4.581,1111.752,-1090.685,0,-76.646,-76.646,0,-1167.331,0,0,0,5.56,5.56,-42.559,1.991,-35.008,-90.847,25.997,-42.559
2011-03-31,133.97300,568.22600,193.46300,761.68900,-113.85500,-67.73300,165.49700,-8.05000,55.60700,957.48800,-1427.54100,,-0.20600,-0.20600,,-1427.74700,,,,1390.59300,1390.59300,-39.00300,-1.77900,1349.81100,879.43200,27.43000,-39.00300
2010-12-31,53.673,543.789,210.2789,754.068,-214.313,-37.61,127.27,-33.397,-171.044,622.875,-1071.205,-210,-7.613,-7.613,11.288,-1277.53,1487.264,-33.7,1453.564,9.036,9.036,-38.963,-1.945,1421.692,761.021,25.678,-38.963
2010-09-30,-70.906,500.888,280.41,781.298,-85.538,-66.818,272.54,-16.996,69.095,784.387,-1475.592,0,80.853,80.853,-0.049,-1394.788,0,33.7,33.7,0.513,0.513,-39.098,-5.406,-10.291,-622.282,36.747,-39.098
2010-06-30,59.872,465.343,80.182,545.525,56.495,-14.051,107.246,-80.267,67.202,681.053,-1240.885,0,61.371,61.371,-11.264,-1190.778,954.395,0,954.395,13.786,13.786,-38.89,-1.184,928.107,420.03,22.459,-38.89
2010-03-31,118.01500,431.90600,166.74100,598.64700,-95.77000,-53.31200,147.63200,-91.13500,-96.37500,620.28700,-1121.10700,,74.32200,74.32200,7.10700,-1039.67800,,,,-0.07000,-0.07000,-36.28900,0.27000,-36.08900,-455.66700,22.49400,-36.28900
2009-12-31,400.427,398.937,-24.2071,374.73,-166.917,-26.554,208.133,-54.75,34.744,828.763,-785.026,0,28.562,28.562,-6.726,-763.19,0,0,0,5.676,5.676,-36.271,42.092,11.497,77.24,20.648,-36.271
2009-09-30,4.196,385.33,376.3001,761.63,-29.922,-1.441,53.125,18.593,52.321,816.458,-921.375,0,22.318,22.318,0.021,-899.036,0,0,0,1.902,1.902,-36.473,11.8,-22.771,-98.453,26.053,-36.473
2009-06-30,-16.706,375.592,383.244,758.836,-7.905,0.745,-62.201,14.896,-69.5,671.379,-697.459,0,-30.569,-30.569,0.83,-727.198,900,-208.1,691.9,5.653,5.653,-36.025,8.429,669.957,621.75,22.072,-36.025
2009-03-31,158.71000,389.32900,132.32800,521.65700,156.92600,-22.89600,-352.62200,121.95800,-77.46800,605.83900,-887.14900,,-138.53200,-138.53200,0.55400,-1025.12700,,208.10000,208.10000,-3.75200,-3.75200,-33.49100,4.62200,175.47900,-246.09700,26.40700,-33.49100
