,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2016-06-30,25.596,36.074,22.69,58.764,0.559,-0.088,-4.823,5.279,33.626,117.986,-63.791,0,0,0,-63.791,0,0,-116.234,-116.234,1.324,-114.91,-60.845,19.533
2016-03-31,-26.43200,34.78800,14.08600,48.87400,14.64200,-1.83300,-8.85200,1.08700,39.23700,61.67900,-62.92100,,585.64800,585.64800,522.72700,,,-583.80200,-583.80200,0.67000,-583.13200,2.80000,10.50500
2015-12-31,67.874,34.14,28.576,62.716,-14.141,2.474,12.424,8.514,-35.837,94.753,-75.578,0,-60.343,-60.343,-135.921,0,0,-313.553,-313.553,-0.402,-313.955,-356.157,-1.814
2015-09-30,144.883,33.145,6.883,40.028,1.544,-1.007,-7.01,10.348,2.522,187.433,-67.445,0,-88.472,-88.472,-155.917,0,0,-30.8,-30.8,16.754,-14.046,16.477,20.996
2015-06-30,140.204,32.44,-31.471,0.969,-4.207,-0.468,-0.72,4.803,17.238,158.411,-55.032,0,-13.793,-13.793,-68.825,0,0,-93.073,-93.073,47.175,-45.898,44.728,21.743
2015-03-31,122.64100,30.64300,4.90000,35.54300,13.30000,-0.73700,14.83100,3.19400,84.53500,242.71900,-59.36300,,-44.11400,-44.11400,-103.47700,,,-23.24900,-23.24900,10.70800,-12.54100,123.49200,16.98600
2014-12-31,121.234,29.75,6.285,36.035,-16.216,0.544,-12.538,12.138,-24.958,132.311,-92.19,0,-46.872,-46.872,-139.062,0,0,-24.933,-24.933,8.699,-16.234,-23.153,14.284
2014-09-30,130.801,27.961,5.999,33.96,1.496,-0.375,-2.99,10.519,24.564,189.325,-57.56,0,-149.351,-149.351,-206.911,0,0,-13.113,-13.113,3.441,-9.672,-27.432,20.755
2014-06-30,110.27,27.009,27.349,54.358,-3.685,-0.316,9.69,6.443,16.025,180.653,-55.61,0,-29.749,-29.749,-85.359,0,0,-37.556,-37.556,0.562,-36.994,58.458,34.042
2014-03-31,83.06900,25.75400,21.55800,47.31200,7.43900,-2.16000,8.00600,3.18300,49.39700,179.77800,-47.23000,,-40.28200,-40.28200,-87.51200,,,-12.73600,-12.73600,8.89900,-3.83700,88.38900,27.35900
2013-12-31,79.622,24.903,-10.426,14.477,-9.438,-0.535,-1.337,9.487,45.966,140.065,-63.261,0,-41.21,-41.21,-104.471,0,0,-41.248,-41.248,20.673,-20.575,15.127,13.035
2013-09-30,83.379,24.618,4.661,29.279,0.405,-1.234,-2.689,8.394,8.304,120.962,-56.535,0,-35.532,-35.532,-92.067,0,0,-16.59,-16.59,13.437,-3.153,26.444,16.289
2013-06-30,87.853,23.597,27.302,50.899,0.486,0.159,5.305,1.492,3.751,142.503,-43.635,0,-136.549,-136.549,-180.184,0,0,-30.1,-30.1,2.453,-27.647,-65.298,18.946
2013-03-31,76.58400,22.93600,13.12100,36.05700,1.30900,-0.34000,0.77300,2.03900,12.60900,125.25000,-36.49500,,-15.09800,-15.09800,-51.59300,,,-50.96500,-50.96500,1.98900,-48.97600,24.37700,15.38700
2012-12-31,61.353,22.141,2.323,24.464,-2.379,-1.133,-0.519,-4.913,40.209,126.026,-59.532,0,-29.592,-29.592,-89.124,0,0,-134.531,-134.531,-1.168,-135.699,-98.596,12.024
2012-09-30,72.3,21.362,11.798,33.16,-4.912,0.546,3.469,9.247,17.602,123.062,-47.173,0,-18,-18,-65.173,0,0,-42.964,-42.964,0.972,-41.992,16.352,14.575
2012-06-30,81.683,20.543,10.492,31.035,-1.437,-0.491,1.99,4.285,28.781,141.499,-48.468,0,-50.488,-50.488,-98.956,0,0,-12.586,-12.586,5.314,-7.272,34.606,17.437
2012-03-31,62.66400,20.08400,-45.00900,-24.92500,-0.71000,-1.10200,2.90900,-7.28500,-8.36300,29.37600,-41.86400,,-60.38200,-60.38200,-102.24600,,,-27.01100,-27.01100,68.44000,41.42900,-31.05200,20.24000
2011-12-31,57.473,19.198,10.648,29.846,-2.834,-0.146,2.694,1.261,32.908,120.227,-58.28,0,-48.79,-48.79,-107.07,0.089,0.089,-22.233,-22.233,0.757,-21.387,-8.632,8.761
2011-09-30,60.433,18.741,5.903,24.644,0.388,-0.323,0.369,13.433,31.076,116.153,-35.186,0,-10,-10,-45.186,-0.031,-0.031,-19.248,-19.248,8.81,-10.469,60.074,10.643
2011-06-30,50.657,18.505,1.821,20.326,1.444,0.292,3.868,-6.598,35.428,106.411,-31.243,-0.586,-20.009,-20.009,-51.838,-0.029,-0.029,-8.876,-8.876,20.973,12.068,66.862,13.055
2011-03-31,46.38200,18.49400,4.70500,23.19900,-1.96800,-1.63900,2.50100,1.38800,-1.27600,68.30500,-26.43800,,20.31400,20.31400,-6.12400,-0.02900,-0.02900,-13.15100,-13.15100,8.70000,-4.48000,58.10100,8.92300
2010-12-31,46.445,17.815,10.495,28.31,-1.288,0.079,2.106,0.586,18.24,92.995,-42.036,-1.9,-34.766,-34.766,-78.702,-0.028,-0.028,-26.417,-26.417,26.289,-0.156,13.842,3.535
2010-09-30,48.228,17.319,9.402,26.721,-0.503,-0.816,-0.443,4.177,-7.709,67.24,-29.526,0,15,15,-14.526,-0.025,-0.025,-47.061,-47.061,2.547,-44.539,8.954,6.157
2010-06-30,46.461,17.053,3.493,20.546,-0.337,-0.044,3.626,1.576,2.082,69.089,-21.95,0,0,0,-21.95,-0.021,-0.021,-39.117,-39.117,1.039,-38.099,9.04,7.002
2010-03-31,37.84700,16.73400,0.08900,16.82300,1.38500,-0.70000,1.70000,3.30800,5.19700,59.86700,-19.70300,,-55.00000,-55.00000,-74.70300,-0.02200,-0.02200,-14.00700,-14.00700,2.30100,-11.72800,-26.56400,4.68700
2009-12-31,31.596,15.94,-7.626,8.314,-1.63,0.244,-1.795,7.105,41.67,81.58,-36.916,0,-50,-50,-86.916,-0.021,-0.021,-13.701,-13.701,0.178,-13.544,-18.88,3.513
2009-09-30,34.464,15.451,7.385,22.836,0.084,-0.143,3.148,4.898,7.131,64.431,-28.473,0,0,0,-28.473,-0.021,-0.021,-9.251,-9.251,3.461,-5.811,30.147,3.768
2009-06-30,35.393,15.197,11.291,26.488,0.104,0.051,0.644,4.469,-10.23,51.651,-24.665,0,0,0,-24.665,-0.02,-0.02,-29.767,-29.767,6.166,-23.621,3.365,4.339
2009-03-31,25.39200,14.72000,7.86300,22.58300,0.56700,-0.97700,-0.56200,2.66900,15.03600,63.01100,-27.14400,,99.99000,99.99000,72.84600,-0.02000,-0.02000,-19.57700,-19.57700,0.63000,-18.96700,116.89000,3.37200
