,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-12-31,181.597,258.676,25.068,283.744,-84.529,103.946,99.642,564.983,-251.051,-685.701,46.805,0,46.805,43.809,-846.138,514.7341,6.767,521.5012,14.338,-44.773,-150.593,1.111,327.246,17.879,18.445,-142.718
2014-09-30,206.63,249.066,64.496,313.562,0,-22.968,-22.968,497.224,-257.106,-9.409,-13.393,0,-13.393,13.303,-266.605,-18.502,0,-18.5021,17.2,16.979,-142.782,-68.3,-212.605,12.654,18.269,-134.644
2014-06-30,221.659,245.427,71.595,317.022,0,57.119,57.119,595.8,-252.356,-252.766,19.138,0,19.138,-59.765,-545.749,-562.0961,-6.595,-568.6911,16.943,600.269,-126.715,-1.194,-96.331,-50.48,18.835,-126.715
2014-03-31,193.31300,245.76300,21.55500,267.31800,,15.95100,15.95100,476.58200,-213.89100,-62.76100,-13.03500,,-13.03500,-1.36900,-291.05600,-143.95900,-0.17200,-144.13100,13.79500,13.79500,-0.55400,-22.01100,-152.90100,39.86300,24.60400,-0.55400
2013-12-31,73.925,252.407,84.73,337.137,-19.08,-72.2,43.542,454.604,-276.283,-4096.106,16.782,0,16.782,140.908,-4214.699,242.832,0.647,243.479,12.523,12.523,-224.976,-0.22,30.806,-3746.777,14.983,-224.976
2013-09-30,163.222,184.922,16.776,201.698,0,-4.998,-4.998,359.922,-167.644,-54.488,-13.432,0,-13.432,-121.3,-356.864,3741.6539,7.544,3749.1979,-57.166,-57.166,-106.727,4.314,3589.619,3591.906,15.058,-106.727
2013-06-30,84.113,184.608,101.953,286.561,0,19.811,19.811,390.485,-156.7,-66.076,-1.403,0,-1.403,-0.967,-225.146,1793.5411,0,1793.5411,-48.533,-48.533,-102.984,-1771.513,-129.489,6.741,17.055,-102.984
2013-03-31,160.94800,185.80400,71.41700,257.22100,,-24.13300,-24.13300,394.03600,-123.90500,-245.09400,-7.50000,,-7.50000,-0.12900,-376.62800,-1705.39000,-29.23400,-1734.62400,-6.34000,-6.34000,,1775.59300,34.62900,73.08800,21.04200,
2012-12-31,118.153,189.578,26.294,215.872,-43.679,-39.413,-36.181,297.844,-191.022,-1175.241,-5.99,0,-5.99,-11.866,-1384.119,1331.9679,-75.363,1256.6049,-33.379,-33.379,-185.758,20.803,1058.271,-13.694,12.329,-185.758
2012-09-30,231.825,144.061,-24.723,119.338,0,2.509,2.509,353.672,-150.624,-289.854,33.563,0,33.563,-0.442,-407.357,18.5242,2.972,21.4962,5.796,5.796,-86.935,1.448,-58.195,-99.625,13.058,-86.935
2012-06-30,33.689,172.072,172.126,344.198,0,-17.029,-17.029,360.858,-105.37,-373.457,3.793,0,3.793,-0.579,-475.613,177.412,0,177.412,25.346,25.346,-82.881,22.973,142.85,10.679,13.551,-82.881
2012-03-31,210.35800,149.65500,-28.78700,120.86800,,70.79100,70.79100,402.01700,-121.03200,-159.40300,-8.99000,,-8.99000,-1.87100,-291.29600,21.49890,17.12700,38.62590,-5.05000,-5.05000,,-6.13600,27.44000,141.06700,13.04500,
2011-12-31,196.434,156.707,-32.786,123.921,-28.857,-83.613,-4.411,315.944,-125.927,-1100.101,-17.43,0,-17.43,12.277,-1231.181,1167.995,26.993,1194.988,-21.588,-21.588,-137.765,46.195,1081.83,152.685,11.252,-137.765
2011-09-30,-19.726,142.113,196.546,338.659,0,-28.273,-28.273,290.66,-160.508,-328.018,-1.913,0,-1.913,-11.905,-502.344,151.026,-0.001,151.025,-138.817,-138.817,0,49.437,61.645,-155.036,12.14,0
2011-06-30,113.171,138.558,67.851,206.409,0,-44.058,-44.058,275.522,-138.679,-275.206,9.572,0,9.572,21.556,-382.757,129.351,0,129.351,-73.805,-73.805,0,24.6,80.146,-30.281,11.687,0
2011-03-31,91.96100,131.23100,58.24900,189.48000,,2.37500,2.37500,283.81600,-97.90100,-617.34800,37.15200,,37.15200,3.56700,-674.53000,-126.66900,101.12900,-25.54000,-117.55000,-117.55000,,5.56400,-137.52600,-521.14000,12.35800,
2010-12-31,83.703,133.513,80.021,213.534,-18.974,-50.141,-50.879,246.358,-118.184,-315.336,-3.39,0,-3.39,-4.832,-441.742,780.913,0,780.913,-64,-64,0,-6.541,710.372,512.085,12.409,0
2010-09-30,93.601,115.383,87.846,203.229,0,-38.607,-38.607,258.223,-95.97,-451.798,-12.43,0,-12.43,-12.052,-572.25,498.342,0,498.342,-117.658,-117.658,0,-5.863,374.821,68.985,13.354,0
2010-06-30,99.819,110.403,48.699,159.102,0,3.826,3.826,262.747,-77.453,-43.985,-6.58,0,-6.58,-8.212,-136.23,-78.351,0,-78.351,-99.085,-99.085,0,-0.077,-177.513,-49.994,13.227,0
2010-03-31,96.48300,110.83500,45.28100,156.11600,,1.05000,1.05000,253.64900,-55.05700,-88.48700,-8.07500,,-8.07500,0.93900,-150.68000,14.29100,,14.29100,-11.36700,-11.36700,,-0.27400,2.65000,105.59400,13.56500,
2009-12-31,64.302,116.583,43.217,159.8,-17.844,2.005,-31.375,192.727,-67.835,-134.428,-2.091,0,-2.091,5.669,-198.685,23.445,0,23.445,6.368,6.368,0,-6.3,23.513,17.619,10.546,0
2009-09-30,67.579,105.543,73.416,178.959,0,-6.485,-6.485,240.053,-68.573,-67.909,1.155,0,1.155,2.727,-132.6,-97.16,0,-97.16,-104.039,-104.039,0,-0.409,-201.608,-93.963,12.95,0
2009-06-30,56.487,102.463,71.662,174.125,0,-27.004,-27.004,203.608,-64.227,-92.121,1.251,0,1.251,-8.176,-163.273,43.671,0,43.671,-53.881,-53.881,0,-9.62,-19.83,20.599,12.836,0
2009-03-31,58.75900,99.86800,53.25400,153.12200,,-6.14300,-6.14300,205.73800,-49.62700,-1.14500,1.14400,,1.14400,1.12000,-48.50800,-1.15500,,-1.15500,4.23700,4.23700,,-0.09900,2.98300,159.96100,24.33800,
