,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-06-30,365.112,562.616,104.371,666.9871,-101.347,-4.508,88.673,158.482,238.989,789.247,-1141.686,0,-0.003,-28.2941,-28.2971,17.277,-1152.706,27.324,4.403,31.727,1.789,1.789,-190.73,-7.692,-164.906,-528.365,-186.151
2020-03-31,123.29400,568.59600,-62.27200,506.32390,70.35700,-15.38900,-127.72700,-455.89900,-577.69000,659.06000,-1068.24100,,2.26500,-80.63500,-78.37000,101.12400,-1045.48700,1580.76700,-4.91100,1575.85600,39.96400,39.96400,-190.52600,-0.75600,1424.53800,1038.11100,-185.76300
2019-12-31,389.605,547.636,-178.27,369.366,129.778,-13.774,103.348,-25.445,178.794,698.68,-1407.242,0,30.319,-107.0101,-76.6911,-1.383,-1485.316,411.16,28.939,440.099,4.559,4.261,-189.275,1.443,256.527,-530.109,-185.165
2019-09-30,369.459,565.87,233.864,799.734,-103.746,-1.053,-156.414,63.136,-164.481,1064.857,-991.246,0,-51.073,50.793,-0.28,-8.399,-999.925,96.805,282.327,379.1323,31.506,64.992,-185.065,-4.069,254.99,319.922,-180.956
2019-06-30,240.534,538.583,220.968,759.551,-166.956,-8.945,44.781,-161.159,-265.98,551.901,-1117.05,0,51.073,-18.8461,32.2269,10.78,-1074.043,31.677,-306.86,-275.1833,629.87,629.87,-176.971,-3.161,174.555,-347.587,-172.861
2019-03-31,258.64600,530.22400,144.06600,674.29000,39.69700,-4.40100,-63.61300,-60.79600,-153.74200,501.18900,-951.62900,,,4.04020,4.04020,-3.36900,-950.95800,1145.37500,-0.01700,1145.35800,35.57700,-14.42300,-176.70000,-1.94500,952.29000,502.52100,-172.59100
2018-12-31,-62.322,523.211,-22.307,500.904,252.249,-3.889,17.363,-474.25,-198.147,525.743,-1084.122,0,-54.5,-49.9018,-104.4018,83.018,-1105.506,-352.513,-4.339,-356.852,577.941,597.403,-168.707,0.913,72.757,-507.006,-164.839
2018-09-30,539.818,489.735,125.226,614.961,-108.188,41.216,-17.515,-45.773,-86,779.581,-993.876,0,10.769,-68.172,-57.403,-19.51,-1070.789,632.249,-37.425,594.824,20.955,20.955,-164.483,15.106,466.402,175.194,-161.044
2018-06-30,248.859,502.428,37.271,539.699,-176.665,24.773,166.321,-451.103,-380.51,522.53,-934.254,0,-10.363,-19.3031,-29.6661,8.666,-955.254,-981.664,1178.972,197.3079,1.739,1.739,-164.373,5.241,39.915,-392.809,-160.934
2018-03-31,136.20000,525.18100,130.40700,655.58800,131.15000,-16.26100,-68.85700,-137.94700,-158.22700,557.39300,-931.47900,,-0.40600,-35.89700,-36.30300,-6.65600,-974.43800,1771.72600,-773.17700,998.54910,1.95200,1.95200,-164.32600,5.19300,841.36800,424.32300,-160.88700
2017-12-31,-475.711,517.013,748.064,1265.077,100.392,-23.789,177.764,191.305,419.483,910.749,-1028.347,0,1.078,-133.783,-132.705,147.725,-1013.327,224.0181,225.619,449.6371,65.608,59.408,-164.091,-7.394,337.56,234.982,-160.489
2017-09-30,401.644,518.894,261.97,780.864,-204.12,14.533,-85.649,-78.797,-287.1,893.068,-902.392,0,-1.705,-23.881,-25.586,-129.54,-1057.518,-170.5012,103.72,-66.7811,7.302,7.302,-159.633,-4.642,-223.754,-388.204,-156.187
2017-06-30,413.369,511.298,-268.231,243.067,-150.11,-0.252,57.369,-273.464,-299.853,290.29,-920.016,0,12.082,-60.817,-48.735,10.347,-958.404,745.6841,-74.421,671.263,5.371,5.371,-159.582,2.495,519.547,-148.567,-156.136
2017-03-31,86.05100,531.37300,141.22200,672.59500,156.20100,6.46500,-47.68200,-71.97000,-29.73900,529.39300,-673.53900,,-10.37700,-160.77000,-171.14700,32.88600,-811.80000,-575.49200,908.37800,332.88600,2.44800,2.44800,-159.51900,1.81000,177.62500,-104.78200,-156.07300
2016-12-31,-1765.538,574.419,1843.847,2418.266,173.872,9.31,74.488,50.479,255.909,746.304,-755.827,0,-12.374,-162.5841,-174.9581,63.229,-867.556,210.372,-18.352,192.02,-0.006,-30.006,-159.684,-0.668,1.662,-119.59,-155.842
2016-09-30,393.203,536.119,311.23,847.349,-213.174,19.314,54.521,-162.34,-283.25,1000.315,-710.355,0,12.374,-33.8059,-21.4319,15.533,-716.254,842.29,-591.525,250.765,16.265,-69.018,-158.545,4.072,27.274,311.335,-152.15
2016-06-30,572.59,512.505,-238.473,274.032,-134.205,18.675,112.776,-89.333,-51.043,719.259,-658.612,0,196.509,-29.7151,166.7939,103.607,-388.211,-529.5661,258.81,-270.756,11.068,16.344,-162.556,-9.632,-426.6,-95.552,-152.004
2016-03-31,235.24200,500.24800,82.77600,583.02400,76.53200,-9.08900,-67.36400,-15.95700,-59.40900,532.82100,-1583.78900,,-196.50900,-95.96300,-292.47200,-1.76600,-1878.02700,966.13810,271.73000,1237.86800,5.78700,0.51100,-151.83900,-0.64400,1085.89600,-259.31000,-151.83900
2015-12-31,104.849,504.546,-256.312,248.234,260.463,-4.798,-44.902,277.643,485.069,941.539,-287.297,0,15.894,-165.215,-149.321,14.21,-422.408,129.9048,-287.674,-157.7692,0.148,87.816,-136.781,-2.034,-208.768,310.363,-151.629
2015-09-30,-718.234,542.802,1249.391,1792.193,-122.143,-3.83,14.286,-149.625,-149.44,1011.284,-605.832,-70.79,38.699,-168.5229,-129.8239,-9.837,-816.283,429.7901,-157.951,271.8391,-74.408,-168.693,-154.098,-13.821,-64.773,130.228,-149.009
2015-06-30,153.722,543.88,82.94,626.82,-122.456,18.805,49.105,-112.936,-95.001,727.403,-562.968,70.79,-54.3,-57.9751,-112.2751,-65.759,-670.212,-321.831,131.566,-190.265,0.741,0.741,-153.882,16.039,-327.367,-270.176,-149.002
2015-03-31,302.92900,526.00800,97.06600,623.07400,22.28800,-22.55300,-153.70000,47.08200,-217.37500,610.95800,-532.95800,-70.79000,0.27800,-107.03800,-106.76000,10.62900,-699.87900,-197.19300,210.01200,12.81900,-1.92200,-1.92200,-154.13600,-9.32000,-152.55900,-241.48000,-149.25700
2014-12-31,125.007,542.345,-154.348,387.997,217.601,-26.339,27.171,909.228,1073.875,998.072,-612.58,72,9.893,-195.2121,-185.319,-60.148,-786.047,644.8351,-293.038,351.7971,-58.214,-58.214,-154.688,2.597,141.492,353.517,-149.809
2014-09-30,234.916,543.577,512.925,1056.502,-71.988,-2.262,-86.864,134.948,27.457,1362.926,-575.219,0,37.09,-131.3331,-94.2431,-108.319,-777.781,124.493,-147.899,-23.406,6.71,6.71,-153.96,3.952,-166.704,418.441,-149.08
2014-06-30,194.281,525.528,124.464,649.992,-96.227,16.185,13.827,-82.161,-81.554,761.406,-476.268,0,-18.093,-107.407,-125.5,-133.293,-735.061,-10.022,-165.497,-175.519,27.561,32.434,-158.705,17.03,-284.76,-258.415,-148.953
2014-03-31,406.05300,516.44200,237.42100,753.86300,49.10700,15.94000,32.87000,-284.16200,-290.87600,767.15700,-445.02400,-72.00000,18.09300,-152.55200,-134.45900,-4.11600,-655.59900,17.45000,157.95900,175.40900,35.53800,30.66500,-148.27500,,57.79900,169.35700,-148.27500
2013-12-31,151.352,539.091,391.76,930.851,93.228,-11.548,175.062,-540.64,-398.455,989.76,-375.763,71.736,43.656,-213.7332,-170.0772,-69.713,-543.817,111.5791,-59.153,52.4261,3.807,42.525,-166.808,0,-71.857,373.794,-148.006
2013-09-30,244.182,524.035,306.151,830.186,-55.597,10.231,-232.619,185.156,-63.217,1083.554,-536.349,0,-43.656,-196.965,-240.621,24.368,-752.602,-143.984,15.919,-128.065,301.14,296.808,-445.031,0,-276.288,53.96,-445.031
2013-06-30,168.056,476.017,-186.825,289.192,-188.434,11.337,192.854,157.682,178.309,571.916,-613.002,-71.736,44.298,-70.207,-25.909,67.233,-643.414,248.898,16.237,265.135,-288.522,-298.659,153.484,0,119.96,48.441,147.902
2013-03-31,166.98200,472.93300,98.67100,571.60400,-29.84500,-5.14700,-40.86100,-52.25700,-194.32800,543.98900,-631.85700,,-44.29800,-165.73300,-210.03100,180.12800,-661.76000,-285.14300,277.88600,-7.25700,8.10200,8.10200,-153.48400,,-152.63900,-269.63800,-147.90200
2012-12-31,301.85,477.982,-120.228,357.754,147.813,-2.541,-150.375,99.101,130.761,720.497,-1261.671,72,69.995,-154.4218,-84.4268,-42.472,-1316.57,87.6503,439.83,527.4801,6.284,6.284,-154.749,0,379.015,-217.15,-147.917
2012-09-30,342.669,461.005,235.673,696.678,-109.83,10.159,135.257,63.635,138.518,1031.869,-616.413,0,-107.071,-189.7082,-296.7792,90.171,-823.021,135.2419,252.46,387.7019,315.715,315.715,-445.624,0,257.793,466.326,-441.292
2012-06-30,370.584,382.653,-180.782,201.871,-208.387,0.991,153.938,-107.143,-58.248,587.419,-689.383,-72,-56.71,-32.2929,-89.0029,99.455,-750.931,-50.0609,-37.397,-87.4579,-291.939,-291.939,141.091,0,-238.306,-401.609,146.674
2012-03-31,-146.74000,450.00900,394.38200,844.39100,156.20200,-20.21300,-145.59900,83.71500,-47.67200,600.50000,-563.53900,,93.78600,-207.84000,-114.05400,-71.68200,-749.27500,175.29690,32.78200,208.07890,32.82600,83.82600,-152.25600,,139.64900,-9.43600,-146.67400
2011-12-31,160.026,429.725,-274.05,155.675,241.615,-7.284,106.909,633.838,1329.013,999.061,-925.906,0,-11.623,-105.6221,-117.2451,-8.199,-1051.35,-34.724,-36.537,-71.2609,13.296,-17.012,-152.202,0,-240.475,-292.702,-146.315
2011-09-30,633.069,463.702,-311.1,152.602,-45.271,18.134,-162.076,271.798,316.734,1152.507,-469.375,6.531,0,-93.638,-93.638,-11.298,-567.78,68.9929,14.076,83.0689,-59.099,-59.099,-151.95,0,-127.98,457.282,-146.935
2011-06-30,320.599,429.617,132.116,561.733,-270.964,7.051,77.595,-141.238,-237.874,654.148,-804.322,72,21.212,-148.976,-127.764,-70.812,-930.898,385.8801,-52.284,333.5961,48.158,48.158,-301.371,0,80.383,-196.379,-296.355
2011-03-31,253.67800,422.41100,173.00500,595.41600,102.71100,-12.50800,-154.39800,-310.91100,-507.00200,323.10100,-486.56100,-72.00000,-21.21200,-321.67600,-342.88800,4.62400,-896.82500,133.36000,68.24400,201.60400,-190.80200,-190.80200,-5.01500,,5.78700,-568.23500,
2010-12-31,233.306,445.788,-547.294,-101.506,143.686,-13.993,172.287,742.79,911.217,760.992,-571.472,290.496,-92.74,-133.1809,-225.9209,-72.582,-579.479,-465.73,10.42,-455.31,-207.552,-207.552,-155.186,0,-818.048,-636.447,-150.171
2010-09-30,497.902,427.758,953.858,1381.616,-65.881,-1.674,21.254,-144.575,-137.949,1697.255,-484.232,0,62.266,-107.3518,-45.0858,-292.525,-821.843,407.2801,-36.055,371.2251,-490.828,-490.828,-159.902,0,-279.505,595.395,-154.887
2010-06-30,320.283,408.353,214.76,623.113,-221.275,11.326,102.344,-154.181,-228.783,793.569,-471.106,0,-32.67,-151.668,-184.338,-2.009,-657.453,-191.239,30.491,-160.748,-135.111,-135.111,-161.922,0,-457.781,-321.51,-156.904
2010-03-31,218.81400,423.43200,97.66300,521.09500,43.83000,-6.32400,-79.25000,-71.60300,-165.06100,674.26500,-447.47600,-62.32500,88.10000,-80.12300,7.97700,-13.62400,-515.44800,-57.74400,-13.36800,-71.11200,6.07800,6.07800,-146.90700,,-211.94100,-52.51700,-141.89200
2009-12-31,318.74,382.746,380.636,763.382,101.588,9.461,175.335,-7.624,-11.05,923.827,-621.319,0.5,70.353,-156.8463,-86.4933,60.579,-646.733,463.535,-25,438.535,10.983,10.983,-146.743,0,302.775,578.771,-141.778
2009-09-30,460.166,378.91,258.989,637.899,12.968,13.793,-131.409,84.747,46.704,992.982,-377.87,30.4,12.456,23.417,35.873,-16.583,-328.18,-63.749,0,-63.749,-598.601,-600.448,-151.017,0,-815.214,-150.127,-146.019
2009-06-30,231.811,348.761,84.983,433.744,-100.54,13.668,75.831,-69.531,-62.225,641.73,-476.319,8.654,9.772,-25.579,-15.807,10.793,-472.679,-514.45,-25,-539.45,1.764,1.764,-152.071,0,-689.757,-522.051,-147.074
2009-03-31,240.33300,348.44400,128.04600,476.49000,102.42800,-17.63100,-134.00800,-322.03700,-421.44500,374.61900,-455.73700,-72.00000,7.33900,-118.57300,-111.23400,-7.83100,-646.80200,274.96400,25.00000,299.96400,0.92700,0.92700,-147.08300,,153.80800,-117.53300,-142.08500
