,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,402.50000,123.60000,-166.10000,-42.50000,-57.00000,300.20000,143.60000,386.80000,746.50000,-26.00000,-72.10000,-813.50000,-813.50000,-68.30000,-979.90000,245.90000,162.10000,408.00000,-167.10000,-167.10000,-147.30000,4.70000,98.30000,-135.10000,21.60000,-147.30000
2017-12-31,842.9,111.7,-1060.5,-948.8,44,603.3,15,662.3,559.3,-31.5,-62.1,-522.2,-522.2,-119.3,-735.1,-57.1006,36.4,-20.7006,17.1,17.1,-141.5,-3.3,-148.4,-324.2,20.5,-141.5
2017-09-30,813.2,116.2,-467.6,-351.4,-144.4,1389,63.3,1307.9001,1799.6,-29.2,393.2,-1292.1,-1292.1,114.7,-813.4,-121.6001,95.1,-26.5001,-32.4,-32.4,-135.8,-2.9,-197.6,788.6,18.2,-135.8
2017-06-30,314.8,102,-1,101,30.3,874.7,-18.6,886.3999,1306.2,-60.3,-6,-627.3,-627.3,20.3,-673.3,-17.0996,-24.8,-41.8996,16.1,16.1,-132.7,-2.7,-161.2,471.7,21.9,-132.7
2017-03-31,353.60000,100.40000,-10.20000,90.20000,-44.10000,429.80000,-286.80000,98.90000,522.90000,-43.80000,-43.70000,-1657.00000,-1657.00000,-86.50000,-1831.00000,304.39990,14.40000,318.79990,-72.00000,-72.00000,-130.00000,6.40000,123.20000,-1184.90000,22.10000,-130.00000
2016-12-31,338.2,68.1,284.3,352.4,29.8,545.9,-1.1,574.6,930.5,-45.8,-19.5,-659.402,-659.402,68.4,-656.3,296.6,71.4,368,-22.4,-22.4,-123.8,5.4,227.2,501.4,25.7,-123.8
2016-09-30,327.4,138.8,-145.6,-6.8,11.2,280.4,0,291.6,801.7,-34.4,-15.6,-752.198,-752.198,-21.4,-823.6,83.5,36,119.5,-18.7,-18.7,-117.9,1.8,-15.3,-37.2,18.6,-117.9
2016-06-30,327,119.4,-60.5,58.9,-66.5,696.9,0,630.4,1230.1,-30.5,-9.6,-1805.501,-1805.501,24.9,-1820.7,975.7001,-53.9,921.8001,-102.9,-102.9,-112.8,-3,703.1,112.5,17.8,-112.8
2016-03-31,369.20000,145.40000,-219.70000,-74.30000,124.20000,617.10000,,741.30000,895.50000,-44.20000,-29.50000,-1733.70000,-1733.70000,-45.90000,-1853.30000,791.89990,-55.90000,735.99990,-97.90000,-97.90000,-110.40000,8.20000,535.90000,-421.90000,22.30000,-110.40000
2015-12-31,258.3,91.3,70.1,161.4,-46.1,623.4,145.7,723,1054.1,-40.1,145.2,-1215.199,-1215.199,-290.7,-1400.8,593,26,619,-107.8,-107.8,-110.8,-3.1,397.3,50.6,17.8,-110.8
2015-09-30,300.9,187.6,-353.1,-165.5,-117.2,1114,0,996.8,1205.6,-29,-345.4,-612.8999,-612.8999,157.6,-829.7,-143.3999,213.9,70.5001,-82.2,-82.2,-111.9,-2.5,-126.1,249.8,16.4,-111.9
2015-06-30,264.9,81.8,31.9,113.7,-60,1232.1,0,1172.1,1486.5,-34.5,-116.2,-430.3999,-430.3999,-126.5,-707.6,676.4,21.8,698.2,9.2,-540.8,-120.3,-3.6,33.5,812.4,18.5,-112
2015-03-31,429.10000,103.10000,-204.30000,-101.20000,11.80000,314.10000,,325.90000,630.90000,-32.80000,-87.90000,-60.70020,-60.70020,-48.10000,-229.50000,-629.90000,-13.60000,-643.50000,-66.20000,-66.20000,-114.50000,10.90000,-813.30000,-411.90000,31.80000,-106.30000
2014-12-31,280.3,131.1,-62,69.1,-58.1,422.6,0,364.5,905.3,-18.5,-34.9,-153.6992,-153.6992,-138.3,-345.4,204.9,-64.8,140.1,3.1,3.1,-108.2,-1.8,33.2,593.1,16.9,-99.9
2014-09-30,252.8,181.1,40,221.1,34.1,382,0,416.1,820.3,-24.2,-52.9,-186.4009,-186.4009,-67.2,-330.7,-633.5,-7.2,-640.7,-211.5,-211.5,-108.1,-0.8,-961.1,-471.5,19.1,-99.9
2014-06-30,319.2,109.1,-56,53.1,-23.1,485.3,0,462.2,786,-43.5,-11.7,339.3003,339.3003,54.6,338.7,-620.6999,23.8,-596.8999,-65.6,-65.6,-110.6,-2.4,-775.5,349.2,17.7,-94.1
2014-03-31,324.10000,115.40000,-4.00000,111.40000,74.00000,344.10000,,418.10000,591.30000,-49.80000,-182.20000,-672.50000,-672.50000,69.20000,-835.30000,-516.20010,-39.40000,-555.60010,-98.20000,-98.20000,-82.70000,1.80000,-734.70000,-978.70000,21.60000,-82.70000
2013-12-31,250.4,90.5,-22.4,68.1,-88.1,621.7,0,533.6,823.3,-36.7,-26.6,206.8984,206.8984,62.9,206.5,-353.7,26.9,-326.8,43.9,43.9,-85,2.8,-365.1,664.7,16.8,-76.7
2013-09-30,259.1,73.7,-41.7,32,0.7,531.4,0,532.1,614.3,-10.8,-12.1,513.7007,513.7007,-1,489.8,-137.1,-252.5,-389.6,-23.8,-23.8,-93,-1.1,-507.5,596.6,15.5,-76.5
2013-06-30,236.6,86.3,62.1,148.4,-53.2,328.5,0,275.3,187.7,-18.6,-23.5,-357.1003,-357.1003,2,-397.2,-399,101,-298,0.4,0.4,-75.8,32.2,-341.2,-550.7,16.8,-67.6
2013-03-31,190.00000,90.50000,-46.10000,44.40000,8.70000,133.10000,,141.80000,595.90000,6.70000,-1291.70000,-208.20000,-208.20000,-32.20000,-1525.40000,-1427.60000,6.90000,-1420.70000,-101.20000,-101.20000,-67.60000,3.00000,-1586.50000,-2516.00000,19.40000,-67.60000
2012-12-31,226.7,100.3,148.2,248.5,4.9,475.9,0,480.8,707.1,-3.3,-54.9,280.298,280.298,-114.2,107.9,1135.6992,29.3,1164.9992,4.2,4.2,-78.2,-7.8,1083.2,1898.2,13.6,-61.7
2012-09-30,198.8,116.9,-142.9,-26,-16.7,772.5,0,755.8,871.7,-10.9,-75,-854.0987,-854.0987,47.6,-892.4,993.5003,-211,782.5003,-56.5,-56.5,-69.9,-3,653.1,632.4,12.7,-61.6
2012-06-30,178.6,106.3,40.4,146.7,-14.9,284.4,0,269.5,600.3,-7.4,-81,-31.2002,-31.2002,-16.7,-136.3,-443.8,165.8,-278,-136.4,-136.4,-53.7,-1.2,-469.3,-5.3,12.4,-53.7
2012-03-31,221.30000,-96.50000,-100.40000,-196.90000,97.30000,521.90000,,619.20000,901.70000,-17.30000,-21.30000,-578.10010,-578.10010,-73.80000,-690.50000,-1262.90000,-20.90000,-1283.80000,-55.10000,-55.10000,-62.50000,8.20000,-1393.20000,-1182.00000,25.10000,-54.30000
2011-12-31,142,81,307.5,388.5,-30.4,149,0,118.6,827.9,-24.3,-356.6,91.5996,91.5996,176.3,-113,974.8998,30.6,1005.4998,-97.3,-97.3,-222,-1.4,684.8,1399.7,10.9,-213.7
2011-09-30,74.5,150.9,-327.7,-176.8,-21.2,242.7,0,221.5,99.9,-14.1,-25.7,-598.8997,-598.8997,-244.3,-883,276.8,-12.1,264.7,-207.8,-207.8,-8.2,-1,47.7,-735.4,11.5,0
2011-06-30,249.2,90.2,-73.1,17.1,-36.4,316.9,0,280.5,590,-14.4,-11.1,19.2,19.2,84.3,78,-236.7,-8.2,-244.9,-228.6,-228.6,-8.3,-0.8,-482.6,185.4,11.8,0
2011-03-31,208.80000,69.20000,148.20000,217.40000,-42.20000,309.10000,,266.90000,1195.50000,-4.10000,-7.00000,795.39990,795.39990,-68.40000,715.90000,-1774.70000,-25.60000,-1800.30000,3.20000,3.20000,-8.20000,0.70000,-1804.60000,106.80000,9.20000,0.00000
2010-12-31,181.7,90.6,505.1,595.7,-71.5,299.3,0,227.8,862.2,-10.1,-30,-148.3003,-148.3003,-90,-278.4,-774.9,-15.2,-790.1,0.3,0.3,-184.5,-0.9,-975.2,-391.4,13.5,-176.2
2010-09-30,151.3,133.6,-219,-85.4,1.5,416.4,0,417.9,445.2,-2.8,-5.2,717,717,29.9,738.9,-742.1,-1.9,-744,10.6,10.6,-8.2,-1,-742.6,441.5,10.8,0
2010-06-30,144.2,106.5,209.5,316,-20.3,332.3,0,312,831.1,-4.4,-8.9,75.7004,75.7004,-33.4,29,-649.1,-4.9,-654,0.5,0.5,-8.3,-0.7,-662.5,197.6,12.6,0
2010-03-31,203.60000,102.70000,-210.00000,-107.30000,-12.00000,255.90000,,243.90000,653.20000,-4.20000,-9.70000,-460.40010,-460.40010,12.30000,-462.00000,-869.50000,69.90000,-799.60000,6.60000,6.60000,-8.20000,-0.70000,-801.90000,-610.70000,10.70000,
2009-12-31,154.9,55.9,-22,33.8999,-20.8,341.3,0,320.5,448.6,-5.6,-34.1,-98.7,-98.7,9,-129.4,-1107,-44,-1151,0,0,-167.8,-1.2,-1320,-1000.8,10.3,-159.5
2009-09-30,204.2,69.8,-239.6,-169.7999,-50.8,369.5,0,318.7,379.5,-4.1,12.7,-95.2,-95.2,10,-76.6,-1309.3,-39.6,-1348.9,-31.8,-31.8,-8.2,-1.3,-1390.2,-1087.3,10.4,0
2009-06-30,164,-13.4,252.1,238.7,-12.4,538.2,0,525.8,465,-3.3,-49,1309.2,1309.2,-37.5,1219.4,-854.5,-340.8,-1195.3,1149.7,1149.7,-8.3,-1.6,-55.5,1628.9,11.2,0
2009-03-31,122.60000,118.40000,-40.70000,77.70000,-42.90000,281.90000,,239.00000,949.90000,-13.20000,-37.50000,77.20000,77.20000,-13.10000,13.40000,-926.30000,63.20000,-863.10000,1.00000,1.00000,-8.20000,-1.40000,-871.70000,91.60000,5.30000,
