,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-03-31,0.00000,,4.83800,4.83800,550.29100,,-507.16000,-0.45900,38.10500,42.94300,-23.55500,7.40300,-16.08300,9.52200,9.52200,,-22.71300,-0.23700,,-0.23700,3.83100,3.83100,-1.43300,2.16100,24.37300,
2018-12-31,-1194.1,-103.6,1442.086,1338.486,2254.11,26.3,-1946.585,-329.403,-35.892,105.009,-53.832,0,0,-0.979,-0.979,0,-54.811,-1.366,0,-1.366,-45.637,-45.637,0,-47.003,-1.425,-19.2
2018-09-30,269.3,34.9,-307.7,-272.8,19.7,-14.6,0.6,59.9,64.4,62.277,-21.881,0,0.045,-7.673,-7.673,0,-29.509,-0.09,0,-0.09,3.746,3.746,-5.832,-2.176,31.504,7.1
2018-06-30,334.931,68.7,-1098.2,-1029.5,52.5,-11.7,500,247.178,770.323,77.862,-22.631,0,0.266,-61.477,-61.477,0,-83.842,-1.418,0,-1.418,3.24,3.24,-3.838,-2.016,-3.56,12.1
2018-03-31,589.86900,,-2.20000,-2.20000,,,-543.70000,-0.37800,-547.32300,40.34600,-27.16600,-0.00300,6.91900,1.43400,1.43400,,-18.81600,-0.08700,,-0.08700,3.87200,3.87200,-1.27000,2.51500,22.66200,
2017-12-31,-39.5,-106,-11.232,-117.232,2116.348,52.6,-1901.619,-18.324,226.069,69.337,-26.044,-0.005,-1.771,14.737,14.737,0,-13.083,-0.096,0,-0.096,10.982,10.982,-7.31,3.576,54.941,-16.6
2017-09-30,22.1,35.3,9.7,45,-20.6,-14.7,9.7,3,-38.6,28.5,-20.272,0.13,-1.301,6.629,6.629,0,-14.814,-0.071,0,-0.071,-2.193,-2.193,-0.576,-2.84,7.454,6
2017-06-30,5,37,6.4,43.4,-8.6,-11,37,8.2,14.1,62.503,-25.613,-3.92,-0.032,-7.718,-7.718,0,-37.283,-0.073,0,-0.073,-0.995,-0.995,0,-1.068,30.001,5.2
2017-03-31,12.40000,33.70000,-4.20000,29.50000,6.80000,-26.90000,-61.20000,-15.10000,-98.10000,-56.20300,-39.31700,,-73.54100,2.46600,2.46600,,-110.39200,-0.07600,-0.03600,-0.11200,3.89000,3.89000,-3.10500,0.67300,-164.58400,5.40000
2016-12-31,-48.695,-110.156,-13.8,-123.956,2041.374,45.182,-1804.042,14.913,267.4078,94.752,-45.093,-0.135,-2.38,-2.521,-2.515,0,-50.123,-0.072,0.037,-0.035,2.452,2.452,0.412,2.829,37.958,-14.318
2016-09-30,18.405,38.488,3.737,42.225,0.583,-16.959,27.919,-12.137,-9.028,51.607,-39.101,0.006,-0.308,-14.02,-14.026,0,-53.429,-0.075,0,-0.075,1.953,1.953,1.019,2.897,-0.712,4.911
2016-06-30,18.014,37.578,3.87,41.448,12.076,-16.579,15.102,21.158,17.693,77.155,-31.549,-0.006,-1.843,-26.072,-26.072,0,-59.47,-0.079,0,-0.079,3.107,3.107,0.008,3.036,15.036,4.762
2016-03-31,12.27600,34.09000,3.52300,37.61300,19.99100,-34.40000,-47.66600,-9.33700,-57.33700,-7.44800,-25.29500,,-9.63400,-15.92900,-15.92900,,-50.85800,-0.07700,,-0.07700,3.76800,3.76800,-3.43300,0.25800,-53.93400,4.64500
2015-12-31,-63.611,-97.97,4.378,-93.592,1939.088,67.609,-1747.931,-19.136,193.155,35.952,-27.949,0.003,-0.866,-54.966,-54.966,0,-83.778,-0.15,0,-0.15,3.51,3.51,0.368,3.728,-49.78,-15.919
2015-09-30,63.611,97.97,6.518,104.488,-954.62,-67.609,916.626,-1.246,-85.82,82.279,-24.732,-0.054,-3.49,-1.548,1.041,0,-27.235,-0.001,0,-0.001,0.14,0.14,1.984,2.123,57.196,12.309
2015-06-30,0,0,-1.179,-1.179,493.137,0,-444.771,-0.882,39.712,38.533,-32.164,-0.014,0.895,6.007,3.418,0,-27.865,-0.065,0,-0.065,3.08,3.08,0.046,3.061,24.405,0
2015-03-31,0.00000,,2.97900,2.97900,478.47900,,-453.98600,0.47100,26.46700,29.44600,-27.07600,-1.30700,-0.89500,1.28700,1.28700,,-27.99100,-0.06600,,-0.06600,1.50600,1.50600,-1.77100,-0.33100,12.47700,
2014-12-31,0,0,-46.839,-46.839,548.797,0,-453.872,-10.036,87.055,40.216,-40.29,0.009,-0.982,-8.181,-8.181,0,-49.444,-0.072,-1.198,-1.27,6.686,6.686,-1.791,3.625,-11.342,0
2014-09-30,0,0,5.429,5.429,526.236,0,-427.12,0.155,85.2249,90.654,-27.312,-0.106,-1.635,-17.458,-17.458,0,-46.511,-0.063,-0.3,-0.363,1.892,1.892,0.237,1.766,39.923,0
2014-06-30,0,0,8.684,8.684,543.04,0,-454.082,-10.62,68.1881,76.872,-30.705,-3.024,-42.01,15.389,16.753,0,-58.986,-0.052,-0.012,-0.064,3.049,3.049,-0.177,2.808,20.163,0
2014-03-31,0.00000,,-0.22400,-0.22400,544.44700,,-471.45200,-0.29200,65.79400,65.57000,-22.46700,-12.35800,,0.61900,-0.74500,,-35.57000,-0.06600,-0.05000,-0.11600,3.42400,3.42400,0.18200,3.49000,32.95600,
2013-12-31,0,0,2.424,2.424,558.779,0,-468.184,-11.045,68.1261,70.55,-27.758,-0.2,-3.544,-7.943,-7.943,0,-39.445,-0.05,0.066,0.016,1.84,1.84,1.912,3.768,39.758,0
2013-09-30,0,0,-2.332,-2.332,524.906,0,-424.617,-25.507,57.164,54.832,-20.176,0,-2.627,197.733,197.733,0,174.93,-300.055,0,-300.055,2.817,2.817,-12.091,-309.329,-75.206,0
2013-06-30,0,0,9.597,9.597,502.187,0,-451.134,-13.006,10.14,19.737,-23.433,-0.037,-1.827,-0.987,-0.987,0,-26.284,-0.049,0.001,-0.048,3.445,3.445,-2.107,1.29,-1.63,0
2013-03-31,0.00000,,5.82200,5.82200,504.15800,,-460.09300,-11.67500,18.19500,24.01700,-34.07700,-0.46300,-64.05600,-9.68600,-9.68600,,-108.28200,-0.07400,-0.01900,-0.09300,3.13500,3.13500,-10.46800,-7.42600,-94.75900,
2012-12-31,0,0,8.157,8.157,550.814,0,-436.58,-19.869,78.0791,86.236,-24.409,-0.056,-0.964,-35.611,-35.611,1.418,-59.622,-0.124,0.022,-0.102,1.653,1.653,1.964,3.515,36.931,0
2012-09-30,0,0,-8.206,-8.206,504.476,0,-392.737,-2.399,79.5479,71.342,-36.552,-0.491,-19.89,-42.371,-42.371,-4.622,-103.926,-0.129,-0.439,-0.568,2.746,2.746,0.376,2.554,-30.03,0
2012-06-30,0,0,7.622,7.622,507.44,0,-406.441,-12.37,66.02,73.642,-40.929,-0.988,-3.26,-109.99,-109.99,4.614,-150.553,-0.142,0.087,-0.055,2.647,2.647,0.208,2.8,-77.325,0
2012-03-31,0.00000,,-0.34100,-0.34100,501.07500,,-428.73300,-11.73100,35.60100,35.26000,-34.65400,-0.24500,-15.32900,-34.64700,-34.64700,-1.41000,-86.28500,-0.22500,0.13900,-0.08600,3.46400,3.46400,0.34100,3.71900,-40.41900,
2011-12-31,0,0,3.343,3.343,509.821,0,-390.174,-10.773,78.153,81.496,-35.598,0.003,-149.84,9.411,9.411,3.581,-172.443,-0.22,-3.869,-4.089,1.218,1.218,1.138,-1.733,-96.797,0
2011-09-30,0,0,1.46,1.46,488.652,0,-406.844,-12.79,49.698,51.158,-24.613,-0.296,-3.47,-34.383,-34.383,6.949,-55.813,-0.247,-0.529,-0.776,2.573,2.573,0.259,2.056,0.727,0
2011-06-30,0,0,5.873,5.873,523.533,0,-406.4,-12.371,104.426,110.299,-24.657,-0.04,-1.657,-51.518,-51.518,-2.911,-80.783,-0.605,-1.887,-2.492,2.82,2.82,0.532,0.86,42.393,0
2011-03-31,0.00000,,-1.23900,-1.23900,496.74900,,-436.43000,-20.92500,21.02100,19.78200,-17.78600,-0.10300,-3.57100,-48.21400,-48.21400,-7.61900,-77.29300,-225.76300,2.38500,-223.37800,7.63800,7.63800,0.99700,-214.74300,-278.64300,
2010-12-31,0,0,-0.244,-0.244,509.706,0,-393.236,-10.59,100.632,100.388,-31.506,-1.366,-0.613,-14.172,-14.172,-4.445,-52.102,221.368,-0.368,221,3.713,3.713,-3.191,221.522,275.911,0
2010-09-30,0,0,-2.152,-2.152,476.119,0,-364.235,-20.781,69.018,66.866,-20.202,-0.684,-21.349,-7.111,-7.111,-11.915,-61.261,-2.501,-0.013,-2.514,3.394,3.394,2.152,3.032,16.417,0
2010-06-30,0,0,-0.309,-0.309,445.989,0,-389.959,-4.445,36.695,36.386,-19.43,-0.35,-0.849,-14.049,-14.049,8.543,-26.135,0.655,-0.158,0.497,2.927,2.927,-0.266,3.158,16.089,0
2010-03-31,0.00000,,-0.22300,-0.22300,445.66900,,-389.50500,-20.39300,22.49200,22.26900,-16.12500,-1.68100,-66.49600,2.68200,2.68200,4.60600,-77.01400,-1.59500,-0.29100,-1.88600,2.69600,2.69600,0.22300,1.03300,-51.80400,
2009-12-31,0,0,9.74,9.74,487.262,0,-356.229,-15.048,105.9821,115.722,-17.864,-2.136,-0.053,-6.229,-6.229,3.691,-22.591,-1.57,0.338,-1.232,2.618,2.618,0.284,1.67,95.759,0
2009-09-30,0,0,-0.292,-0.292,459.846,0,-331.626,-15.913,97.781,97.489,-15.536,-2.07,-2.132,-56.537,-56.537,-6.316,-82.591,-1.668,-0.413,-2.081,3.272,3.272,-0.033,1.158,20.705,0
2009-06-30,0,0,-0.061,-0.061,435.852,0,-322.899,-0.192,105.553,105.492,-14.728,-5.36,-33.364,0.854,0.854,-5.456,-58.054,293.047,-0.144,292.903,2.5,2.5,-2.255,293.148,340.604,0
2009-03-31,0.00000,,-0.02700,-0.02700,395.35600,,-375.62800,-7.31800,6.39800,6.37100,-18.66700,0.00000,-0.44100,0.83100,0.83100,5.56100,-12.71600,-1.88200,-2.08400,-3.96600,1.89600,1.89600,0.02700,-2.04300,-11.65400,
